 14826 FLINT                  MI  -5  N42 58  W 83 44   233   988
 61-90
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  1591 G4   441  1787 G4  1670   970 G5   217  3822 13043  7.6  6.7  0.65  0.08   1.78  -5.39  -1.78  -0.67  69   620     0  5.8
  2  2580 G4   889  2499 G4  2583  1523 G5   504  5319 14491  7.7  6.7  0.65  0.07   0.11  -8.72  -4.28  -2.65  67   631     0  4.8
  3  3320 G4  1420  2467 G4  3185  2000 G5   591  7408 16226  7.6  7.0  1.21  0.10   9.06   1.22   5.17   6.29  78   403     0  4.8
  4  4521 G4  1472  3427 G4  3089  2371 G5   579  9494 17928  7.2  6.4  1.30  0.11  13.22   3.17   8.22   9.68  68   301     2  5.3
  5  4589 G4  1503  2502 G4  2607  2943 G5   439 11011 19319  7.6  7.2  1.57  0.17  16.78   6.17  11.50  13.29  73   208     0  4.6
  6  5506 G4  1854  3842 G4  3372  2838 G5   636 11649 20012  7.0  6.2  2.64  0.16  24.67  14.67  19.67  21.30  77     9    54  4.0
  7  5949 G4  1651  4805 G4  2805  2690 G5   507 11341 19622  6.0  5.0  2.66  0.17  26.83  15.83  21.33  23.28  72     4   101  3.8
  8  5605 G4  1113  5319 G4  2319  2225 G5   567 10113 18358  4.8  4.2  2.68  0.13  27.28  16.06  21.67  23.55  75    10   119  3.4
  9  4169 G4  1227  3889 G4  2528  1917 G5   413  8237 16747  5.9  5.0  2.20  0.14  23.06  10.89  17.00  19.74  70    85    47  3.9
 10  2722 G4  1049  2882 G4  2745  1380 G5   440  6094 15029  6.5  6.0  1.67  0.09  18.06   7.83  12.94  15.00  78   167     3  4.1
 11  1582 G4   567  1407 G4  1674  1068 G5   207  4286 13435  8.1  7.6  1.08  0.08   8.39   0.83   4.61   5.88  76   407     0  5.0
 12  1278 G4   356   923 G4  1442  1002 G5   214  3391 12568  8.5  8.2  0.78  0.07   0.67  -4.89  -2.11  -1.30  80   629     0  5.1
 13  3622 G4  2007  2981 G4  2836  1912 G5   831  7692 16407  7.0  6.3  1.60  0.11  14.17   4.83   9.50  11.20  74  3474   326  4.5
 1974
  1  1533 G4   455  1462 G4  1868  1058 G5   268  3822 13043  8.1  7.3  0.82  0.06  -0.17  -7.89  -4.00  -2.67  83   689     0  4.8
  2  2471 G4   811  2240 G4  2507  1495 G5   374  5319 14491  7.5  6.8  0.64  0.08  -1.17 -11.17  -6.17  -4.08  73   683     0  4.8
  3  3269 G4  1147  2660 G4  2993  1887 G5   653  7408 16226  7.6  6.9  0.87  0.10   5.44  -2.22   1.61   2.61  70   513     0  5.1
  4  4405 G4  1702  3415 G4  3354  2292 G5   594  9494 17928  6.8  5.9  1.22  0.14  14.61   3.22   8.94  10.82  67   280     2  5.4
  5  4768 G4  1724  3088 G4  3050  2729 G5   556 11011 19319  7.5  6.7  1.66  0.14  17.22   7.06  12.17  13.79  71   191     3  4.5
  6  5755 G4  1455  4348 G4  2503  2805 G5   478 11649 20012  6.8  5.7  2.08  0.14  24.00  12.50  18.28  20.14  66    39    43  4.2
  7  6447 G4  1603  5779 G4  2882  2467 G5   570 11341 19622  5.1  4.0  2.40  0.17  28.44  15.17  21.83  23.99  63     2   114  3.7
  8  5171 G4  1200  4298 G4  2345  2411 G5   452 10113 18358  6.4  5.2  2.44  0.13  27.11  14.72  20.94  22.85  68     6    91  3.0
  9  3850 G4  1215  3477 G4  2521  1922 G5   422  8237 16747  6.4  5.9  1.78  0.11  20.94   8.89  14.94  17.23  65   117    19  3.7
 10  2819 G4   890  3149 G4  2532  1370 G5   400  6094 15029  6.3  5.5  1.38  0.09  15.33   2.50   8.94  11.75  60   288     1  3.8
 11  1598 G4   638  1492 G4  2009  1055 G5   254  4286 13435  8.0  7.3  1.08  0.08   8.44   0.61   4.56   5.79  78   409     0  4.1
 12  1285 G4   325   778 G4  1334  1040 G5   199  3391 12568  8.9  8.5  0.84  0.07   1.33  -4.44  -1.56   0.02  78   612     0  4.2
 13  3620 G4  2035  3020 G4  2854  1879 G5   781  7692 16407  7.1  6.3  1.44  0.11  13.44   3.22   8.39  10.27  70  3829   273  4.3
 1975
  1  1381 G4   393   937 G4  1372  1061 G5   182  3822 13043  9.0  8.4  0.75  0.07   1.61  -6.11  -2.22  -1.06  73   634     0  5.0
  2  2176 G4   606  1556 G4  1844  1521 G5   341  5319 14491  8.2  7.6  0.74  0.09   0.44  -5.78  -2.67  -1.74  74   586     0  5.1
  3  3089 G4   978  2038 G4  2384  2011 G5   453  7408 16226  7.9  7.4  0.80  0.10   3.44  -5.00  -0.78   0.73  72   588     0  4.9
  4  4818 G4  1509  3943 G4  3146  2393 G5   583  9494 17928  6.3  5.7  0.94  0.13   9.44  -0.28   4.61   6.07  64   409     0  4.8
  5  5866 G4  1648  4931 G4  3240  2514 G5   688 11011 19319  6.3  5.2  1.89  0.13  22.56  10.50  16.56  18.64  68    90    38  3.7
  6  5771 G4  1506  4269 G4  2518  2859 G5   491 11649 20012  6.7  5.6  2.42  0.16  24.61  14.50  19.56  21.03  74    31    71  4.0
  7  6501 G4  1064  5874 G4  2248  2556 G5   617 11341 19622  4.6  3.8  2.49  0.16  27.50  15.28  21.39  23.49  72     4   104  3.4
  8  4541 G4  1622  3137 G4  2803  2467 G5   450 10113 18358  7.1  6.5  2.93  0.17  26.11  15.94  21.06  22.67  74     1    88  3.6
  9  3713 G4  1290  3127 G4  2672  1955 G5   490  8237 16747  6.7  6.2  1.76  0.13  19.06   9.11  14.11  15.96  76   125     1  3.7
 10  2919 G4  1107  3456 G4  2818  1318 G5   402  6094 15029  5.9  5.1  1.40  0.10  17.56   6.44  12.00  14.05  66   197     5  4.4
 11  1821 G4   620  2132 G4  2159  1021 G5   263  4286 13435  6.8  6.2  1.29  0.08  12.78   4.17   8.50   9.70  73   292     0  4.9
 12  1303 G4   373  1117 G4  1614   948 G5   209  3391 12568  8.2  7.9  0.81  0.08   2.17  -5.78  -1.78  -0.66  76   621     0  4.7
 13  3666 G4  2092  3052 G4  2849  1886 G5   798  7692 16407  7.0  6.3  1.53  0.12  13.94   4.44   9.22  10.82  72  3578   307  4.4
 1976
  1  1686 G4   446  1436 G4  1967  1206 G5   287  3822 13043  7.9  7.6  0.57  0.07  -2.78 -12.67  -7.72  -6.27  76   804     0  5.3
  2  2420 G4   646  2271 G4  1799  1469 G5   255  5353 14520  7.6  6.6  0.80  0.08   4.11  -5.17  -0.50   0.81  72   543     0  5.5
  3  3336 G4  1248  2729 G4  2898  1865 G5   482  7480 16285  7.5  6.6  1.04  0.10   8.72  -1.28   3.72   4.36  66   449     0  6.0
  4  5099 G4  1451  4861 G4  3188  2090 G5   604  9556 17980  5.8  4.9  1.18  0.12  14.72   3.22   9.00  10.75  66   288    11  4.8
  5  5215 G4  1826  4022 G4  3358  2597 G5   642 11046 19356  6.7  5.8  1.54  0.15  18.06   6.94  12.50  14.52  71   179     3  4.2
  6  6488 G4  1569  5673 G4  3062  2574 G5   646 11654 20017  5.3  4.3  2.21  0.15  26.94  14.56  20.78  23.06  64     9    86  4.0
  7  6266 G4  1339  5184 G4  2518  2687 G5   585 11315 19592  5.6  4.6  2.57  0.18  27.94  15.44  21.72  23.82  67     1   109  4.0
  8  5703 G4  1248  5504 G4  2618  2168 G5   537 10060 18309  5.4  3.8  2.22  0.14  26.94  13.28  20.11  22.71  67    18    78  3.5
  9  4390 G4  1431  4700 G4  3041  1684 G5   503  8169 16692  5.2  4.1  1.71  0.13  22.22   9.50  15.89  18.51  69    94    23  4.1
 10  2592 G4  1039  2537 G4  2397  1403 G5   293  6026 14973  6.9  6.2  1.16  0.10  13.22   3.22   8.22  10.00  69   311     2  4.2
 11  1732 G4   581  1977 G4  2050  1018 G5   255  4238 13390  6.9  6.6  0.67  0.09   4.72  -3.28   0.72   2.24  69   524     0  4.9
 12  1407 G4   435  1581 G4  1944   924 G5   228  3384 12561  7.7  6.9  0.51  0.07  -3.28 -12.94  -8.11  -6.33  76   815     0  5.0
 13  3863 G4  2155  3538 G4  3008  1808 G5   757  7680 16397  6.5  5.7  1.35  0.11  13.44   2.56   8.06   9.86  69  4035   312  4.6
 1977
  1  1744 G4   533  1922 G4  2214  1095 G5   347  3822 13043  7.5  6.9  0.36  0.07  -8.06 -15.44 -11.72 -10.28  74   928     0  5.7
  2  2374 G4   634  2176 G4  2135  1467 G5   328  5319 14491  7.5  6.9  0.62  0.07  -1.61  -9.06  -5.33  -4.04  70   659     0  5.4
  3  3499 G4  1272  3315 G4  2994  1762 G5   501  7408 16226  7.0  5.9  0.95  0.09   8.94  -0.94   4.00   5.82  64   441     0  5.4
  4  4586 G4  1734  4061 G4  3610  2112 G5   589  9494 17928  6.2  5.4  1.36  0.13  16.11   3.33   9.72  11.49  57   260     7  4.8
  5  6626 G4  1220  6465 G4  2591  2296 G5   609 11011 19319  5.0  3.3  1.69  0.14  24.39   9.61  17.00  19.74  54    84    48  4.1
  6  6131 G4  1779  5021 G4  3278  2672 G5   611 11649 20012  6.2  5.1  2.17  0.16  23.33  11.22  17.28  19.45  62    66    39  4.0
  7  5868 G4  1648  4899 G4  3027  2578 G5   566 11341 19622  6.0  4.9  2.98  0.15  29.11  17.33  23.22  25.08  63     4   159  4.2
  8  4924 G4  1328  3749 G4  2498  2507 G5   469 10113 18358  6.5  5.7  2.76  0.15  25.56  14.61  20.11  21.78  74    19    78  4.0
  9  3310 G4  1226  2093 G4  2383  2088 G5   424  8237 16747  8.1  7.6  2.49  0.12  21.61  13.44  17.56  18.83  79    54    34  3.8
 10  2668 G4   996  2870 G4  2505  1346 G5   338  6094 15029  6.6  6.0  1.36  0.11  14.39   4.28   9.33  11.18  77   276     0  4.5
 11  1499 G4   417   903 G4  1218  1168 G5   220  4286 13435  9.0  8.5  1.44  0.06   8.56   1.72   5.17   6.06  80   389     0  5.2
 12  1208 G4   392  1033 G4  1553   880 G5   179  3391 12568  8.6  8.0  0.75  0.07   0.00  -6.94  -3.44  -2.51  84   672     0  5.6
 13  3712 G4  2169  3219 G4  3027  1832 G5   753  7692 16407  7.0  6.2  1.58  0.11  13.56   3.61   8.56  10.29  70  3852   365  4.7
 1978
  1  1619 H4   463  1107 H4  1626  1239 H5   308  3822 13043  8.5  8.1  0.58  0.07  -3.83 -11.50  -7.67  -5.96  83   802     0  6.0
  2  3023 H4   583  3494 H4  2395  1558 H5   529  5319 14491  6.0  5.2  0.39  0.08  -4.89 -15.78 -10.33  -7.95  78   799     0  4.0
  3  3619 H4   898  2664 H4  2577  2225 H5   524  7408 16226  7.3  6.6  0.72  0.11   1.50  -7.39  -2.94  -1.17  80   654     0  4.7
  4  4652 H4  1738  3860 H4  3582  2263 H5   658  9494 17928  6.6  5.9  1.07  0.11  12.44   0.61   6.56   8.02  63   351     0  5.4
  5  5573 H4  1774  4342 H4  3540  2657 H5   717 11011 19319  6.2  5.5  1.83  0.14  20.61   9.06  14.83  16.66  68   132    28  4.5
  6  6262 H4  1383  4988 H4  2394  2806 H5   389 11649 20012  6.3  5.0  2.12  0.16  24.67  12.06  18.39  20.64  66    48    53  4.3
  7  5665 H4  1533  4140 H4  2845  2883 H5   499 11341 19622  6.5  5.6  2.71  0.14  27.11  14.61  20.89  22.90  66     9    92  4.1
  8  5398 H4  1334  4777 H4  2883  2349 H5   622 10113 18358  5.9  4.7  2.55  0.15  27.11  15.06  21.11  23.08  68     4    96  3.8
  9  4263 H4  1273  4246 H4  2830  1843 H5   478  8237 16747  5.6  4.9  2.52  0.11  24.50  12.56  18.56  20.10  73    49    60  4.1
 10  2662 H4   731  2526 H4  2304  1531 H5   433  6094 15029  6.8  5.9  1.26  0.11  15.33   5.00  10.17  12.14  67   249     0  4.4
 11  1825 H4   738  2099 H4  2396  1025 H5   265  4286 13435  7.1  6.5  1.10  0.08   9.06   0.50   4.78   5.77  79   403     0  4.7
 12  1249 H4   314   924 H4  1422   962 H5   194  3391 12568  8.5  8.0  0.85  0.07   0.28  -6.39  -3.06  -1.95  81   659     0  5.5
 13  3819 H4  2031  3256 H4  2919  1948 H5   815  7692 16407  6.8  6.0  1.48  0.11  12.83   2.39   7.61   9.45  72  4159   329  4.6
 1979
  1  1677 H4   380  1264 H4  1680  1251 H5   354  3822 13043  8.4  7.7  0.62  0.07  -5.72 -12.22  -8.94  -7.63  78   842     0  5.5
  2  2745 H4   738  2939 H4  2782  1507 H5   532  5319 14491  6.6  6.1  0.55  0.07  -6.22 -15.11 -10.67  -8.95  70   810     0  5.1
  3  3158 H4  1055  2144 H4  2751  1999 H5   553  7408 16226  7.8  7.4  1.15  0.11   8.22  -1.50   3.39   4.29  76   461     0  5.4
  4  4273 H4  1555  3008 H4  3481  2426 H5   666  9494 17928  7.6  6.8  1.34  0.11  11.44   2.56   7.00   8.31  71   337     0  5.0
  5  5353 H4  1563  3873 H4  3092  2755 H5   631 11011 19319  7.2  6.0  1.75  0.13  19.22   8.28  13.78  15.59  68   162    24  4.4
  6  6235 H4  1622  4916 H4  3044  2818 H5   610 11649 20012  6.1  4.9  2.21  0.17  25.44  13.06  19.28  21.28  65    36    66  4.6
  7  6167 H4  1612  5260 H4  3185  2603 H5   668 11341 19622  5.6  4.7  2.61  0.15  26.44  15.67  21.06  22.88  74     9    98  3.3
  8  4892 H4  1407  3583 H4  2827  2558 H5   563 10113 18358  7.1  6.1  2.65  0.14  24.50  14.17  19.33  21.12  80    20    54  3.9
  9  4575 H4   970  4950 H4  2571  1785 H5   550  8237 16747  4.7  3.8  1.95  0.12  23.61  10.44  17.06  19.45  74    67    32  3.9
 10  2367 H4   633  1600 H4  1863  1613 H5   323  6094 15029  8.2  7.7  1.59  0.11  14.17   5.72   9.94  11.48  80   265     9  4.7
 11  1762 H4   643  2052 H4  2463  1017 H5   319  4286 13435  7.2  6.7  1.06  0.08   8.33   0.06   4.22   5.56  79   418     0  4.9
 12  1390 H4   460  1825 H4  2011   823 H5   208  3391 12568  7.3  6.7  0.86  0.07   3.78  -3.67   0.06   1.11  80   563     0  5.2
 13  3719 H4  2033  3113 H4  2976  1932 H5   845  7692 16407  7.0  6.2  1.54  0.11  12.78   3.11   7.94   9.65  75  3990   283  4.7
 1980
  1  1505 H4   466  1468 H4  1821  1018 H5   249  3822 13043  7.9  7.5  0.56  0.05  -0.94  -8.61  -4.78  -3.24  79   712     0  5.2
  2  2286 H4   778  2095 H4  2517  1426 H5   402  5353 14520  7.5  7.0  0.51  0.09  -2.61 -10.39  -6.50  -4.82  73   716     0  4.5
  3  3304 H4   899  2392 H4  2374  2069 H5   450  7480 16285  7.6  6.8  0.84  0.11   3.50  -5.83  -1.17   0.41  71   599     0  5.2
  4  4260 H4  1721  2869 H4  3671  2459 H5   722  9556 17980  7.4  6.8  1.18  0.13  11.50   2.44   7.00   8.34  72   337     2  4.8
  5  5845 H4  1548  4718 H4  3157  2682 H5   688 11046 19356  6.2  5.2  1.68  0.16  20.50   8.00  14.28  16.66  64   139    15  3.8
  6  6006 H4  1583  4549 H4  3010  2911 H5   604 11654 20017  6.4  5.1  2.11  0.16  22.61  10.22  16.44  18.63  71    86    31  4.1
  7  5824 H4  1507  4598 H4  3033  2738 H5   664 11315 19592  6.2  5.3  2.92  0.14  26.78  16.00  21.39  23.27  75     1   101  3.5
  8  4927 H4  1341  3742 H4  2593  2509 H5   540 10060 18309  6.7  5.7  2.80  0.15  26.17  16.56  21.39  22.69  81     4   102  3.3
  9  4054 H4  1149  3709 H4  2782  1964 H5   526  8169 16692  6.3  5.4  2.20  0.11  21.22  10.44  15.83  17.83  81    84    15  4.0
 10  2647 H4   919  2555 H4  2633  1469 H5   408  6026 14973  6.8  6.4  1.21  0.10  11.22   2.44   6.83   8.41  77   352     0  4.8
 11  1769 H4   560  2010 H4  2094  1040 H5   275  4238 13390  7.2  6.6  0.89  0.08   6.50  -1.83   2.33   4.07  75   476     0  5.0
 12  1313 H4   374  1294 H4  1779   922 H5   221  3384 12561  7.8  7.6  0.80  0.07   0.06  -8.56  -4.22  -2.97  79   696     0  4.7
 13  3648 H4  2036  3002 H4  2886  1935 H5   863  7680 16397  7.0  6.3  1.48  0.11  12.22   2.56   7.39   9.15  75  4202   266  4.4
 1981
  1  1834 H4   475  2141 H4  2211  1113 H5   321  3822 13043  6.9  6.6  0.50  0.07  -3.67 -11.83  -7.72  -6.30  80   803     0  4.3
  2  2123 H4   547  1226 H4  1656  1596 H5   301  5319 14491  8.5  8.1  0.70  0.08   1.56  -5.72  -2.06  -1.60  82   568     0  5.9
  3  3421 H4  1251  3075 H4  3069  1809 H5   508  7408 16226  6.9  6.4  0.66  0.11   6.56  -2.56   2.00   3.32  71   502     0  5.1
  4  4502 H4  1480  3469 H4  3415  2394 H5   712  9494 17928  7.0  6.2  1.38  0.11  14.78   3.17   9.00  10.45  69   277     0  5.5
  5  5908 H4  1728  4801 H4  3346  2629 H5   645 11011 19319  6.2  4.9  1.60  0.16  18.56   6.11  12.33  14.53  63   187     6  4.0
  6  6173 H4  1555  4715 H4  2946  2900 H5   642 11649 20012  6.2  5.0  2.42  0.18  24.67  13.00  18.83  21.05  68    23    43  4.2
  7  5903 H4  1533  4787 H4  3239  2695 H5   700 11341 19622  5.9  5.2  2.92  0.15  27.11  15.89  21.50  23.59  67     6   109  3.0
  8  5126 G4  1313  4051 G4  2758  2491 G5   587 10113 18358  6.6  5.7  2.79  0.15  26.33  14.72  20.56  22.50  73    13    84  3.0
  9  3781 G4  1362  3230 G4  2839  1919 G5   533  8237 16747  6.8  6.1  2.21  0.13  18.72   9.83  14.28  15.94  79   128    11  4.0
 10  2532 G4   985  2286 G4  2605  1480 G5   444  6094 15029  7.5  6.8  1.39  0.10  12.22   1.89   7.06   9.00  76   345     0  4.4
 11  2032 G4   716  2912 G4  2561   943 G5   300  4286 13435  5.9  5.1  0.99  0.08   8.50  -1.06   3.72   5.18  78   433     0  4.0
 12  1262 G4   352  1012 G4  1471   947 G5   206  3391 12568  8.3  8.1  0.65  0.07  -0.17  -6.39  -3.28  -1.65  83   666     0  4.7
 13  3725 G4  2074  3153 G4  2982  1911 G5   850  7692 16407  6.9  6.2  1.52  0.12  12.94   3.11   8.00   9.72  74  3951   253  4.3
 1982
  1  1626 G4   487  1645 G4  1935  1063 G5   302  3822 13043  7.8  7.3  0.57  0.06  -4.78 -12.56  -8.67  -7.67  79   834     0  6.3
  2  2634 G4   824  2683 G4  2631  1467 G5   418  5319 14491  7.1  6.3  0.67  0.09  -2.61 -10.50  -6.56  -4.92  84   692     0  4.5
  3  3356 G4  1178  2596 G4  2866  2003 G5   470  7408 16226  7.3  6.7  0.84  0.10   4.28  -3.56   0.39   1.56  76   553     0  5.4
  4  5038 G4  1748  4355 G4  3653  2294 G5   654  9494 17928  6.1  5.1  0.93  0.14  12.33   0.17   6.28   8.20  61   360     0  5.7
  5  5290 G4  1364  3645 G4  2497  2780 G5   522 11011 19319  7.7  6.3  2.35  0.15  24.17  12.50  18.33  20.25  66    46    51  3.6
  6  5244 G4  1565  2989 G4  2663  3151 G5   462 11649 20012  7.5  6.7  2.34  0.19  22.67  11.67  17.17  18.80  73    51    19  3.8
  7  6019 G4  1509  4750 G4  2806  2743 G5   504 11341 19622  5.8  4.8  2.98  0.18  27.56  16.06  21.83  23.77  71     2   113  3.5
  8  5068 G4  1194  3893 G4  2154  2511 G5   431 10113 18358  6.3  5.5  2.52  0.19  25.11  13.33  19.22  21.42  72    32    66  3.4
  9  3821 G4  1369  3127 G4  2810  2039 G5   466  8237 16747  6.4  5.9  2.28  0.16  21.44  10.78  16.11  18.26  80    91    27  3.4
 10  2760 G4   930  2754 G4  2248  1450 G5   330  6094 15029  6.0  5.4  1.58  0.17  17.11   5.67  11.39  13.68  72   214     3  3.9
 11  1501 G4   591  1324 G4  1828  1020 G5   247  4286 13435  8.0  7.3  1.27  0.14   8.89   1.56   5.22   6.42  77   389     0  4.8
 12  1065 G4   357   680 G4  1051   843 G5   117  3391 12568  8.6  8.1  1.16  0.15   6.39  -0.61   2.89   3.76  76   473     0  5.2
 13  3623 G4  2010  2871 G4  2729  1949 G5   855  7692 16407  7.1  6.3  1.63  0.14  13.56   3.72   8.61  10.39  74  3737   279  4.5
 1983
  1  1402 G4   511  1390 G4  1737   914 G5   192  3822 13043  7.5  6.9  0.64  0.15   0.78  -5.61  -2.39  -1.17  72   641     0  4.6
  2  2158 G4   782  1763 G4  2166  1378 G5   296  5319 14491  7.7  6.8  0.82  0.17   3.78  -4.06  -0.11   1.22  74   513     0  3.7
  3  3306 G4  1266  2370 G4  2559  2026 G5   460  7408 16226  7.1  6.4  1.06  0.20   7.94  -1.56   3.22   4.58  71   466     0  4.2
  4  4186 G4  1703  2791 G4  3083  2408 G5   575  9494 17928  7.4  6.8  1.14  0.17  11.17   1.83   6.50   7.92  69   352     0  4.9
  5  4995 G4  1737  3159 G4  2830  2837 G5   458 11011 19319  7.1  6.3  1.47  0.23  17.67   6.17  11.94  14.03  68   195     0  4.7
  6  6372 G4  1737  4945 G4  3012  2910 G5   671 11649 20012  5.2  3.9  2.29  0.24  25.61  13.56  19.61  22.04  66    36    79  3.3
  7  5987 G4  1625  4623 G4  3027  2788 G5   605 11341 19622  5.5  4.6  3.37  0.22  29.11  17.56  23.33  25.41  72     7   167  3.5
  8  5151 G4  1428  4064 G4  2814  2498 G5   576 10113 18358  5.9  5.0  3.16  0.20  28.50  17.39  22.94  24.94  75     3   149  3.0
  9  4431 G4  1219  4350 G4  2576  1882 G5   449  8237 16747  5.2  4.1  2.20  0.18  24.61  11.83  18.22  20.87  71    59    61  3.8
 10  2413 G4   858  2037 G4  2276  1485 G5   396  6094 15029  7.5  6.7  1.61  0.14  15.89   5.72  10.83  12.92  72   234     6  4.2
 11  1494 G4   566  1186 G4  1627  1044 G5   228  4286 13435  8.3  7.8  1.29  0.12   9.28   0.78   5.06   6.22  72   395     0  5.1
 12  1295 G4   403  1007 G4  1644   982 G5   215  3391 12568  8.3  7.9  0.64  0.09  -2.89 -10.39  -6.61  -5.21  72   769     0  5.4
 13  3605 G4  2148  2810 G4  2808  1932 G5   854  7692 16407  6.9  6.1  1.65  0.18  14.28   4.44   9.39  11.19  71  3670   462  4.2
 1984
  1  1665 G4   499  1691 G4  1906  1095 G5   265  3822 13043  7.7  7.0  0.53  0.09  -5.44 -14.17  -9.78  -7.62  78   869     0  4.6
  2  2290 G4   780  2079 G4  2304  1400 G5   361  5353 14520  7.5  6.7  0.86  0.11   3.67  -4.56  -0.44   0.96  78   543     0  4.9
  3  3517 G4  1309  2978 G4  2971  1895 G5   503  7480 16285  7.4  6.4  0.68  0.12   1.44  -7.28  -2.89  -1.45  70   654     0  5.4
  4  4329 G4  1617  3074 G4  3356  2401 G5   638  9556 17980  7.8  6.7  1.16  0.14  12.78   1.94   7.39   8.88  69   326     0  5.2
  5  4873 G4  1604  2974 G4  2629  2864 G5   426 11046 19356  7.6  6.8  1.64  0.18  16.72   4.89  10.83  12.83  71   228     1  4.7
  6  6121 G4  1344  4670 G4  2725  2911 G5   654 11654 20017  6.2  4.8  2.59  0.20  26.83  14.56  20.72  23.08  64    13    87  4.2
  7  5967 G4  1237  4732 G4  2412  2780 G5   497 11315 19592  6.1  5.0  2.55  0.18  27.94  14.28  21.11  23.75  65     8    99  3.5
  8  5002 G4  1246  3697 G4  2283  2622 G5   434 10060 18309  6.7  5.3  2.89  0.18  28.22  16.00  22.11  24.30  73     7   128  3.1
  9  3699 G4  1363  3047 G4  2967  1973 G5   535  8169 16692  7.0  6.2  2.25  0.15  21.44  10.39  15.94  18.02  76    98    29  3.6
 10  2543 G4   930  2262 G4  2289  1479 G5   332  6026 14973  7.5  6.8  1.97  0.10  17.61   6.78  12.22  14.38  78   186     1  3.7
 11  1674 G4   574  1708 G4  1780  1044 G5   241  4238 13390  7.7  6.7  1.11  0.10   8.61  -0.44   4.11   5.61  71   423     0  5.0
 12  1098 G4   323   754 G4  1195   867 G5   158  3384 12561  8.8  8.3  1.00  0.09   4.83  -3.28   0.78   1.92  78   540     0  5.3
 13  3567 G4  2002  2806 G4  2684  1946 G5   851  7680 16397  7.3  6.4  1.60  0.14  13.72   3.28   8.50  10.40  73  3895   345  4.4
 1985
  1  1609 G4   365  1387 G4  1436  1151 G5   303  3822 13043  8.1  7.4  0.45  0.08  -3.22 -10.39  -6.78  -5.33  79   775     0  5.0
  2  2266 G4   707  1590 G4  2055  1586 G5   372  5319 14491  7.9  7.3  0.76  0.10  -1.00  -9.39  -5.17  -3.64  76   654     0  5.0
  3  3432 G4  1399  3445 G4  3315  1603 G5   530  7408 16226  6.2  5.8  0.92  0.11   7.44  -1.89   2.78   4.03  72   478     0  5.6
  4  4544 G4  1546  3557 G4  2764  2292 G5   463  9494 17928  7.2  6.0  1.55  0.13  16.94   5.06  11.00  12.90  66   232    16  5.2
  5  5796 G4  1637  4674 G4  3037  2587 G5   526 11011 19319  6.7  5.3  1.79  0.15  21.94   8.39  15.17  17.75  66   109    16  4.7
  6  6165 G4  1626  4887 G4  2833  2731 G5   508 11649 20012  6.1  4.9  2.04  0.17  23.67  10.17  16.94  19.30  68    57    18  4.1
  7  6102 G4  1273  4928 G4  2644  2705 G5   551 11341 19622  6.0  5.0  2.68  0.15  27.78  14.83  21.33  23.28  72     4    99  3.9
  8  4731 G4  1607  3635 G4  3021  2433 G5   515 10113 18358  6.9  6.1  2.64  0.13  25.83  13.28  19.56  21.69  75    16    59  3.3
  9  3890 G4  1177  3442 G4  2518  1953 G5   474  8237 16747  6.6  5.5  2.69  0.13  23.06  11.72  17.39  19.35  78    85    60  3.7
 10  2584 G4   866  2488 G4  2466  1437 G5   385  6094 15029  7.1  6.4  1.77  0.12  16.17   5.33  10.78  12.50  75   229     0  3.6
 11  1288 G4   290   347 G4   725  1164 G5   190  4286 13435  9.6  9.4  1.53  0.07   7.17   1.50   4.33   4.52  85   416     0  4.1
 12  1142 G4   274   563 G4   929   971 G5   135  3391 12568  9.0  8.9  0.62  0.08  -2.44  -9.44  -5.94  -4.92  82   747     0  4.8
 13  3637 G4  2135  2921 G4  2875  1885 G5   756  7692 16407  7.3  6.5  1.63  0.12  13.61   3.28   8.44  10.19  75  3802   268  4.4
 1986
  1  1660 G4   481  1720 G4  1733  1082 G5   210  3822 13043  7.8  6.7  0.67  0.07  -1.17 -10.33  -5.72  -4.09  77   743     0  4.4
  2  2387 G4   825  1534 G4  1828  1690 G5   336  5319 14491  8.3  7.9  0.74  0.09  -2.50  -9.61  -6.06  -4.63  83   680     0  3.4
  3  3560 G4  1300  2899 G4  2988  1991 G5   476  7408 16226  7.5  6.4  0.95  0.11   7.78  -3.56   2.11   4.12  69   499     0  4.7
  4  4624 G4  1633  4083 G4  3385  2110 G5   632  9494 17928  6.5  5.7  1.36  0.11  16.06   3.28   9.67  11.47  64   264     7  4.0
  5  5366 G4  1853  4082 G4  3169  2549 G5   476 11011 19319  7.3  5.8  2.01  0.14  21.00   8.89  14.94  16.81  65   121    21  3.7
  6  5756 G4  1905  4254 G4  3437  2796 G5   699 11649 20012  6.4  5.5  2.47  0.17  24.50  12.00  18.28  20.09  73    38    41  4.2
  7  5848 G4  1333  4500 G4  2538  2770 G5   511 11341 19622  6.2  5.3  3.25  0.16  28.06  16.61  22.33  24.13  76     7   137  3.6
  8  5205 G4  1305  4435 G4  2572  2383 G5   497 10113 18358  6.0  5.1  2.54  0.13  25.50  12.61  19.06  21.18  74    30    57  3.3
  9  3586 G4  1407  2654 G4  2422  2035 G5   359  8237 16747  7.6  6.7  2.82  0.12  22.72  11.67  17.22  18.99  81    63    32  3.6
