Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	115
Date	2004APR24
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	18.99984	[UTC]
Stop_time	19.28262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.43014	[p_s^-1]
ForeOptic_temperature	25.42	[ns]
Front_temperature	25.42	[ns]
Back_temperature	25.38	[ns]
Inside_temperature	24.98	[ns]
Shelter_temperature	23.98	[ns]
PSUnit_temperature	27.77	[ns]
AirCond_temperature	13.91	[ns]
Outside_temperature	26.98	[ns]
Comments	none
Formatted_file	2004115f14.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
304.002	34.91043	0.0006	0.0000
304.103	28.21620	0.0007	0.0000
304.203	24.05958	0.0008	0.0000
304.303	37.37620	0.0006	0.0000
304.403	44.42000	0.0006	0.0000
304.503	44.01569	0.0006	0.0000
304.603	50.86436	0.0005	0.0000
304.703	38.41442	0.0006	0.0000
304.803	22.43061	0.0008	0.0000
304.903	45.04865	0.0006	0.0000
305.003	60.93901	0.0005	0.0000
305.104	43.95840	0.0006	0.0000
305.204	79.06206	0.0004	0.0000
305.304	75.99068	0.0004	0.0000
305.404	46.64532	0.0006	0.0000
305.504	56.15403	0.0005	0.0000
305.604	64.66370	0.0005	0.0000
305.704	48.66480	0.0005	0.0000
305.804	26.11886	0.0007	0.0000
305.904	29.85901	0.0007	0.0000
306.004	43.26229	0.0006	0.0000
306.104	62.07058	0.0005	0.0000
306.205	72.79358	0.0004	0.0000
306.305	69.70649	0.0005	0.0000
306.405	51.75156	0.0005	0.0000
306.505	52.78003	0.0005	0.0000
306.605	66.08542	0.0005	0.0000
306.705	41.16452	0.0006	0.0000
306.805	54.07962	0.0005	0.0000
306.905	75.85695	0.0004	0.0000
307.005	90.82306	0.0004	0.0000
307.105	91.38563	0.0004	0.0000
307.205	85.75351	0.0004	0.0000
307.306	81.67172	0.0004	0.0000
307.406	100.42070	0.0004	0.0000
307.506	92.83522	0.0004	0.0000
307.606	65.31199	0.0005	0.0000
307.706	115.45280	0.0004	0.0000
307.806	92.99296	0.0004	0.0000
307.906	107.62080	0.0004	0.0000
308.006	106.50916	0.0004	0.0000
308.106	97.90971	0.0004	0.0000
308.206	70.12701	0.0005	0.0000
308.306	85.04737	0.0004	0.0000
308.407	88.59344	0.0004	0.0000
308.507	140.58911	0.0003	0.0000
308.607	129.96713	0.0003	0.0000
308.707	102.41233	0.0004	0.0000
308.807	86.08586	0.0004	0.0000
308.907	107.81131	0.0004	0.0000
309.007	96.95360	0.0004	0.0000
309.107	87.36262	0.0004	0.0000
309.207	82.44485	0.0004	0.0000
309.307	48.98482	0.0005	0.0000
309.407	76.61286	0.0004	0.0000
309.507	129.34566	0.0003	0.0000
309.608	135.51517	0.0003	0.0000
309.708	71.17974	0.0005	0.0000
309.808	109.24893	0.0004	0.0000
309.908	128.99277	0.0003	0.0000
310.008	77.73772	0.0004	0.0000
310.108	59.07212	0.0005	0.0000
310.208	68.21108	0.0005	0.0000
310.308	132.69182	0.0003	0.0000
310.408	168.08492	0.0003	0.0000
310.508	158.72574	0.0003	0.0000
310.608	159.99817	0.0003	0.0000
310.708	180.38281	0.0003	0.0000
310.809	193.66574	0.0003	0.0000
310.909	210.13803	0.0003	0.0000
311.009	191.63225	0.0003	0.0000
311.109	164.33672	0.0003	0.0000
311.209	189.51999	0.0003	0.0000
311.309	216.71919	0.0003	0.0000
311.409	171.55258	0.0003	0.0000
311.509	178.94200	0.0003	0.0000
311.609	211.36848	0.0003	0.0000
311.709	154.69260	0.0003	0.0000
311.809	162.31448	0.0003	0.0000
311.909	162.83737	0.0003	0.0000
312.009	150.07167	0.0003	0.0000
312.110	164.99585	0.0003	0.0000
312.210	153.78313	0.0003	0.0000
312.310	182.32861	0.0003	0.0000
312.410	229.09142	0.0003	0.0000
312.510	205.36305	0.0003	0.0000
312.610	162.85207	0.0003	0.0000
312.710	196.85913	0.0003	0.0000
312.810	222.22824	0.0003	0.0000
312.910	199.42082	0.0003	0.0000
313.010	209.25281	0.0003	0.0000
313.110	197.49525	0.0003	0.0000
313.210	211.23207	0.0003	0.0000
313.310	195.95915	0.0003	0.0000
313.411	185.13429	0.0003	0.0000
313.511	190.21169	0.0003	0.0000
313.611	211.32127	0.0003	0.0000
313.711	199.02882	0.0003	0.0000
313.811	257.46445	0.0002	0.0000
313.911	272.36414	0.0002	0.0000
314.011	242.00322	0.0002	0.0000
314.111	260.96567	0.0002	0.0000
314.211	273.58646	0.0002	0.0000
314.311	192.01233	0.0003	0.0000
314.411	105.99221	0.0004	0.0000
314.511	123.83681	0.0003	0.0000
314.611	211.17665	0.0003	0.0000
314.711	232.76555	0.0003	0.0000
314.812	219.23883	0.0003	0.0000
314.912	301.16559	0.0002	0.0000
315.012	272.47183	0.0002	0.0000
315.112	263.07541	0.0002	0.0000
315.212	270.61237	0.0002	0.0000
315.312	266.08643	0.0002	0.0000
315.412	260.73584	0.0002	0.0000
315.512	236.71744	0.0002	0.0000
315.612	244.51064	0.0002	0.0000
315.712	200.28087	0.0003	0.0000
315.812	148.47386	0.0003	0.0000
315.912	137.87088	0.0003	0.0000
316.012	179.47360	0.0003	0.0000
316.112	171.82872	0.0003	0.0000
316.212	188.99977	0.0003	0.0000
316.313	255.19325	0.0002	0.0000
316.413	283.36884	0.0002	0.0000
316.513	238.69060	0.0002	0.0000
316.613	272.38318	0.0002	0.0000
316.713	327.35660	0.0002	0.0000
316.813	266.96222	0.0002	0.0000
316.913	242.43477	0.0002	0.0000
317.013	299.81451	0.0002	0.0000
317.113	368.70892	0.0002	0.0000
317.213	361.60410	0.0002	0.0000
317.313	381.36267	0.0002	0.0000
317.413	345.05893	0.0002	0.0000
317.513	310.64349	0.0002	0.0000
317.613	330.78751	0.0002	0.0000
317.713	390.82513	0.0002	0.0000
317.813	290.52936	0.0002	0.0000
317.914	236.15492	0.0003	0.0000
318.014	209.93593	0.0003	0.0000
