DIUREF	TITLE	AUTHOR	KEYWORDS	REFERENCE	PDATE
50.00	Near-surface temperature, salinity and bathymetry measurements.	MULLER, T.J. AND SCHENK, H.W.	\BATHYMETRY\SALINITY\SST\TECHNOLOGY\UNPUBW\UPPER OCEAN\COUNTRYDE\	WOCE Hydrographic operations and methods, (ed.T.M.Joyce). WOCE Hydrographic Programme Office, WHPO-90-2. various pagination. (Unpublished manuscript), 3pp. In	1990.00
53.00	Improved meteorological measurements from buoys and ships (IMET): preliminary report on barometric pressure sensors.	PAYNE, R.E., CRESCENTI, G.H. AND WELLER, R.A.	\AIR SEA INTERACTION\IMET\PRESSURE MEASUREMENT\UNPUBW\COUNTRYUS\	Woods Hole Oceanographic Institution, Technical Report WHOI-89-49, 43pp. (IMET-TR-89-05)	1989.00
54.00	Improved meterological measurements from ships and buoys.	PRADA, K.E., HOSOM, D.S. AND HINTON, A.	\AIR SEA INTERACTION\IMET\PRESSURE MEASUREMENT\UNPUBW\COUNTRYUS\	pp.178-182 in, MTS Proceedings: marine instrumentation '90. Washington, DC:  Marine Technology Society.	1990.00
55.00	A model of the effects of sampling height on the determination of net longwave heat flux at the sea surface.	SIEGEL, D.A. AND DICKEY, T.D.	\AIR SEA INTERACTION\HEAT EXCHANGE\IMET\UNPUBW\COUNTRYUS\	University of Southern California, Technical Report IMET TR-91-3-C, USC-OPG-91-2C, 30pp.	1991.00
56.00	Procedures for collection of gas samples from seawater for 85Kr and 39Ar analysis using the LDGO large volume methods.	SMETHIE, W.M.	\DATA ACQUISITION\TRACERS\UNPUBW\COUNTRYUS\	WOCE Hydrographic operations and methods, (ed.T.M.Joyce). WOCE Hydrographic Programme Office, WHPO-90-2, various pagination. (Unpublished manuscript),10pp. In	1990.00
57.00	Meteorological observations.	TAYLOR, P.K.	\AIR SEA INTERACTION\METEOROLOGICAL OBSERVATIONS\TECHNOLOGY\UNPUBW\COUNTRYGB\	WOCE Hydrographic operations and methods, (ed.T.M.Joyce). WOCE Hydrographic Programme Office, WHPO-90-2, various pagination. (Unpublished manuscript),10pp. In	1990.00
59.00	CFC data processing quality control steps.	VAN WOY, F.A. AND SALAMEH, P.K.	\CFC\HYDROGRAPHIC DATA\TECHNOLOGY\UNPUBW\COUNTRYUS\	WOCE Hydrographic operations and methods, (ed.T.M.Joyce). WOCE Hydrographic Programme Office, WHPO-90-2, various pagination. (Unpublished manuscript), 4pp. In	1990.00
60.00	The new national ocean sciences accelerator mass spectrometer facility at Woods Hole Oceanographic Institution: progress and first results.	VON REDEN, K.F., JONES, G.A., SCHNEIDER, R.J., MCNICHOL, A.P., COHEN, G.J. AND PURSER, K.H.	\CARBON CYCLE\CARBON ISOTOPES\REF\TECHNOLOGY\COUNTRYUS\	Radiocarbon, 34(3), 478-482.	1992.00
64.00	Improving the measurement of pressure in the NBIS Mark III CTD.	WILLIAMS, R.T. AND DELAHOYDE, F.W.	\HYDROGRAPHIC DATA\PRESSURE MEASUREMENT\TECHNOLOGY\UNPUBW\COUNTRYUS\	WOCE Hydrographic operations and methods, (ed.T.M.Joyce). WOCE Hydrograhic Programme Office, WHPO-90-2, various pagination. (Unpublished manuscript),10pp. In	1990.00
66.00	US WOCE Report 1994.	US WOCE	\ATLN\DATA PROCESSING\OCEAN MODEL\SOMALI CURRENT\TEMPERATURE VARIATIONS\THERMOCLINE\TOPEX-POSEIDON\UNPUBW\WOCE SECTION P17\COUNTRYUS\	US WOCE Implementation Report No. 6, 48pp. 1994	1994.00
