SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,POPESTIMATE2002,POPESTIMATE2001,NPOPCHG_2002,PPOPCHG_2002,SRANK_POPEST2002,SRANK_POPEST2001,SRANK_NPCHG2002,SRANK_PPCHG2002
040,08,000,4,8,Colorado,Colorado,4498077,4427288,70789,1.598924669,,,,
050,08,001,4,8,Adams County,Colorado,372920,360787,12133,3.3629260478,5,5,2,9
050,08,003,4,8,Alamosa County,Colorado,15123,14975,148,0.9883138564,30,30,31,39
050,08,005,4,8,Arapahoe County,Colorado,510187,503243,6944,1.379850291,4,4,5,30
050,08,007,4,8,Archuleta County,Colorado,11073,10513,560,5.326738324,37,37,18,3
050,08,009,4,8,Baca County,Colorado,4389,4501,-112,-2.488335925,53,52,62,62
050,08,011,4,8,Bent County,Colorado,5694,5730,-36,-0.628272251,48,48,57,56
050,08,013,4,8,Boulder County,Colorado,278277,276797,1480,0.534687876,6,6,9,43
050,08,014,4,8,Broomfield County,Colorado,40837,40252,585,1.4533439332,16,16,17,27
050,08,015,4,8,Chaffee County,Colorado,16828,16489,339,2.0559160653,27,27,22,17
050,08,017,4,8,Cheyenne County,Colorado,2152,2217,-65,-2.931889941,58,58,59,64
050,08,019,4,8,Clear Creek County,Colorado,9548,9415,133,1.4126394052,39,39,33,29
050,08,021,4,8,Conejos County,Colorado,8385,8380,5,0.0596658711,40,40,49,49
050,08,023,4,8,Costilla County,Colorado,3617,3584,33,0.9207589286,56,56,44,40
050,08,025,4,8,Crowley County,Colorado,5490,5483,7,0.1276673354,49,49,48,47
050,08,027,4,8,Custer County,Colorado,3657,3612,45,1.2458471761,55,55,40,33
050,08,029,4,8,Delta County,Colorado,29019,28298,721,2.5478832426,18,18,15,13
050,08,031,4,8,Denver County,Colorado,557666,561522,-3856,-0.686705062,1,1,64,57
050,08,033,4,8,Dolores County,Colorado,1854,1829,25,1.3668671405,59,59,46,31
050,08,035,4,8,Douglas County,Colorado,211679,198128,13551,6.8395178874,8,8,1,1
050,08,037,4,8,Eagle County,Colorado,44335,43303,1032,2.3832067062,15,15,11,15
050,08,039,4,8,Elbert County,Colorado,22031,21259,772,3.6314031704,22,22,14,8
050,08,041,4,8,El Paso County,Colorado,541833,534002,7831,1.4664739083,2,2,4,25
050,08,043,4,8,Fremont County,Colorado,47537,47038,499,1.0608444237,12,12,19,36
050,08,045,4,8,Garfield County,Colorado,46988,45553,1435,3.1501767172,13,13,10,10
050,08,047,4,8,Gilpin County,Colorado,4864,4810,54,1.1226611227,50,51,39,35
050,08,049,4,8,Grand County,Colorado,12901,12614,287,2.2752497225,35,35,24,16
050,08,051,4,8,Gunnison County,Colorado,14016,14031,-15,-0.106906136,33,33,55,52
