";"
";","File:","e:\outgoing\doe\grayshbr\70anmllw.dat"
";","Date:","Friday","May",15,1998,"10:49:44"
";","Surface","Name:","70anmllw"
";","Surface","Desc:",1970,"annual","condition","moved","-1.5 to NOS mllw"
";","Point","Type:","Random"
";","Format:","Easting","Northing","Elevation"
";","Pen","Order:","One","Then","Zeroes"
";"
222423.6,179777,-7.7724
222424.6,179782.4,-7.7724
222424.7,179787.5,-7.7724
222424.3,179792.4,-7.7724
222423.5,179797.1,-7.7724
222422.3,179801.5,-7.7724
222420.8,179805.6,-7.7724
222419.2,179809.5,-7.7724
222415.5,179816.7,-7.7724
222411.7,179823,-7.7724
222407.9,179828.4,-7.7724
222404.3,179833.1,-7.7724
222397.4,179841,-7.7724
222391.9,179846.7,-7.7724
222383.1,179854.8,-7.7724
222373.9,179862.1,-7.7724
222369.1,179865.5,-7.7724
222364.7,179868.4,-7.7724
222360.5,179870.8,-7.7724
222356.6,179872.8,-7.7724
222349.2,179876.3,-7.7724
222342.8,179878.8,-7.7724
222337.1,179880.8,-7.7724
222327.2,179883.9,-7.7724
222312.2,179888.1,-7.7724
222304.6,179890.3,-7.7724
222297,179892.7,-7.7724
222237.9,179912,-7.7724
222178.7,179931.4,-7.7724
222153.3,179940,-7.7724
222134.4,179946.9,-7.7724
222120.3,179952.3,-7.7724
222099.3,179961,-7.7724
222088.8,179965.8,-7.7724
222440.6,179476.2,-5.9436
222440.6,179481.6,-5.9436
222440.8,179489.6,-5.9436
222441.3,179497.7,-5.9436
222445.8,179545.2,-5.9436
222450.5,179592.7,-5.9436
222455.3,179633.6,-5.9436
222463,179695,-5.9436
222466.3,179725.6,-5.9436
222468.9,179756.3,-5.9436
222469.1,179760.2,-5.9436
222469.1,179763.8,-5.9436
222468.7,179770.7,-5.9436
222468.1,179776.6,-5.9436
222467.3,179781.8,-5.9436
222465.5,179791,-5.9436
222459.1,179818.2,-5.9436
222451.6,179849.9,-5.9436
222439.6,179897.1,-5.9436
222433.8,179920.8,-5.9436
222428.5,179944.5,-5.9436
222425.4,179960.3,-5.9436
222420.7,179988.2,-5.9436
222414.3,180030.2,-5.9436
222410.8,180051.2,-5.9436
222406.7,180072,-5.9436
222403.2,180087.6,-5.9436
222396.4,180114.7,-5.9436
222390.8,180134.8,-5.9436
221962.6,180216.3,-7.7724
221955.7,180249.1,-7.7724
221952,180265.4,-7.7724
221947.8,180281.6,-7.7724
221924.3,180368,-7.7724
221917.7,180389.5,-7.7724
221912.4,180405.4,-7.7724
221903.5,180429,-7.7724
221898.5,180440.7,-7.7724
221893.2,180452.2,-7.7724
221889.2,180460.3,-7.7724
221885.5,180467.1,-7.7724
221878.7,180478.9,-7.7724
221873.4,180487.6,-7.7724
221856.8,180513.3,-7.7724
221812.9,180580.4,-7.7724
221768.1,180646.9,-7.7724
221746.4,180678.3,-7.7724
221729.6,180701.4,-7.7724
221716.6,180718.4,-7.7724
221706.5,180731,-7.7724
221690.7,180749.2,-7.7724
221682.5,180758.1,-7.7724
221674,180766.8,-7.7724
221670.8,180769.9,-7.7724
221664.6,180775.3,-7.7724
221658.9,180779.8,-7.7724
221648.7,180787.3,-7.7724
221633,180798.1,-7.7724
221625.3,180803.6,-7.7724
221617.8,180809.5,-7.7724
221597.4,180826.6,-7.7724
221582.3,180839.5,-7.7724
221571.1,180849.5,-7.7724
221554.8,180865,-7.7724
221546.8,180873,-7.7724
221538.9,180881.3,-7.7724
221532.8,180888.2,-7.7724
221527.8,180894.4,-7.7724
221523.7,180900.1,-7.7724
221520.3,180905.1,-7.7724
221514.7,180914.2,-7.7724
221510.8,180921.2,-7.7724
221508.1,180926.6,-7.7724
221504.2,180934.8,-7.7724
221500.7,180943.1,-7.7724
221493.4,180961.5,-7.7724
221488.3,180975.4,-7.7724
221484.7,180985.8,-7.7724
221479.7,181001.6,-7.7724
221475,181017.6,-7.7724
221468,181044.8,-7.7724
221457.9,181085.7,-7.7724
221452.9,181106.1,-7.7724
221447.6,181126.5,-7.7724
221445.5,181134.1,-7.7724
221443.7,181139.7,-7.7724
221442.4,181143.9,-7.7724
221440.3,181150.2,-7.7724
221438,181156.5,-7.7724
221437.2,181158.3,-7.7724
221435.7,181161.7,-7.7724
221434.2,181164.5,-7.7724
221432.8,181166.9,-7.7724
221431.4,181168.9,-7.7724
221430.2,181170.6,-7.7724
221427.9,181173.6,-7.7724
221426,181175.8,-7.7724
221423.1,181179,-7.7724
221420,181182.2,-7.7724
221416,181186,-7.7724
222155.1,181025.5,-5.9436
222092.1,181058.3,-5.9436
222076.5,181066.7,-5.9436
222053.5,181080.1,-5.9436
222042.3,181087.2,-5.9436
222031.4,181094.8,-5.9436
221993.5,181122.2,-5.9436
221955.6,181149.8,-5.9436
221927.8,181169.9,-5.9436
221899.8,181190,-5.9436
221896.3,181192.4,-5.9436
221892.9,181194.3,-5.9436
221889.6,181196,-5.9436
221886.5,181197.5,-5.9436
221880.4,181199.9,-5.9436
221875,181201.6,-5.9436
221870.1,181202.9,-5.9436
221861.4,181204.8,-5.9436
221854.8,181205.9,-5.9436
221844.9,181207.2,-5.9436
221835,181208.2,-5.9436
221831,181208.5,-5.9436
221823.5,181208.5,-5.9436
221816.9,181208.3,-5.9436
221793.7,181206.6,-5.9436
221787.9,181206.4,-5.9436
221783.6,181206.3,-5.9436
221777.2,181206.6,-5.9436
221774,181206.9,-5.9436
222971.8,177802.7,-5.9436
222969.8,177818.1,-5.9436
222966.6,177846.8,-5.9436
222964,177868.4,-5.9436
222961.8,177884,-5.9436
222959.8,177895,-5.9436
222958.1,177902.8,-5.9436
222956.6,177908.2,-5.9436
222954.3,177915.8,-5.9436
222951.6,177922.5,-5.9436
222949.8,177926.1,-5.9436
222946.2,177932.8,-5.9436
222931.8,177956,-5.9436
222928.4,177962,-5.9436
222926.2,177966.5,-5.9436
222924.7,177970,-5.9436
222922.7,177975.3,-5.9436
222921.2,177980.8,-5.9436
222913.6,178014.6,-5.9436
222906.2,178048.5,-5.9436
222887.8,178129.3,-5.9436
222869.5,178210,-5.9436
222865.2,178230.7,-5.9436
222858.7,178267,-5.9436
222850,178321.7,-5.9436
222845.3,178349,-5.9436
222839.8,178376.1,-5.9436
222836.9,178388.3,-5.9436
222834,178398.9,-5.9436
222828.3,178417.3,-5.9436
222819.6,178444.9,-5.9436
222815.6,178458.8,-5.9436
222812.1,178472.8,-5.9436
222805.1,178505.2,-5.9436
222795.1,178553.9,-5.9436
222784.9,178602.5,-5.9436
222767.2,178684.5,-5.9436
222757.7,178725.4,-5.9436
222747.1,178766,-5.9436
222743.5,178777.6,-5.9436
222740,178787.5,-5.9436
222736.7,178796.1,-5.9436
222730.4,178811,-5.9436
222720.1,178832.9,-5.9436
222709.5,178854.8,-5.9436
222691,178892.3,-5.9436
222662.5,178948.3,-5.9436
222648.5,178976.4,-5.9436
222634.9,179004.6,-5.9436
222618,179041.8,-5.9436
222593.7,179098,-5.9436
222581.5,179126.1,-5.9436
222568.9,179154,-5.9436
222559.8,179173,-5.9436
222542.8,179205.8,-5.9436
222516.2,179254.6,-5.9436
222503.1,179279.1,-5.9436
222490.6,179304.1,-5.9436
222483.4,179319.5,-5.9436
222477.4,179333.2,-5.9436
222472.5,179345.2,-5.9436
222464.6,179366.4,-5.9436
222459.2,179382.6,-5.9436
222455.5,179394.9,-5.9436
222450.4,179413.5,-5.9436
222446,179432.5,-5.9436
222444.4,179440.6,-5.9436
222443.2,179447.7,-5.9436
222442.3,179454,-5.9436
222441.7,179459.4,-5.9436
222440.9,179469,-5.9436
221974.8,179243.1,-9.6012
221971.5,179282.7,-9.6012
221971,179294.9,-9.6012
221971,179305.6,-9.6012
221971.3,179315,-9.6012
221972.3,179331.4,-9.6012
221974,179356,-9.6012
221974.6,179368.3,-9.6012
221974.8,179380.5,-9.6012
221974.6,179393.1,-9.6012
221974.2,179404,-9.6012
221973,179423.1,-9.6012
221971.6,179437.5,-9.6012
221970.4,179448.2,-9.6012
221968,179464.3,-9.6012
221965.2,179480.4,-9.6012
221963.4,179488.3,-9.6012
221961.5,179495.1,-9.6012
221959.6,179500.9,-9.6012
221957.7,179505.9,-9.6012
221955.9,179510.3,-9.6012
221954.1,179514,-9.6012
221950.8,179520.4,-9.6012
221948,179525.1,-9.6012
221945.8,179528.5,-9.6012
221942.3,179533.5,-9.6012
221938.4,179538.4,-9.6012
221931.7,179546.3,-9.6012
221918.5,179560.4,-9.6012
222381.8,180164.9,-5.9436
222372.2,180194.9,-5.9436
222366.9,180210.3,-5.9436
222357.1,180237,-5.9436
222349.3,180256.9,-5.9436
222336.9,180286.3,-5.9436
222323.9,180315.5,-5.9436
222318.6,180326.2,-5.9436
222313.5,180335.3,-5.9436
222304,180350.8,-5.9436
222289.5,180374,-5.9436
222282.7,180385.9,-5.9436
222279.6,180392,-5.9436
222276.6,180398.1,-5.9436
222271.7,180409.6,-5.9436
222267.7,180419.6,-5.9436
222261.3,180437.4,-5.9436
222256.9,180450.9,-5.9436
222250.7,180471.3,-5.9436
222245,180492,-5.9436
222236.6,180525.2,-5.9436
222231.1,180550.1,-5.9436
222227.5,180568.8,-5.9436
222225.2,180582.9,-5.9436
222222.4,180604.1,-5.9436
222220.5,180625.3,-5.9436
222220.1,180633.3,-5.9436
222220,180640.4,-5.9436
222220.1,180646.6,-5.9436
222220.7,180657.5,-5.9436
222221.5,180665.6,-5.9436
222223,180677.8,-5.9436
222225,180689.9,-5.9436
222227.6,180702.1,-5.9436
222230.1,180712.7,-5.9436
222235,180731.1,-5.9436
222242.7,180758.5,-5.9436
222246.2,180772.4,-5.9436
222249.2,180786.4,-5.9436
222251.3,180798.7,-5.9436
222253,180809.5,-5.9436
222255.3,180828.4,-5.9436
222256.7,180842.5,-5.9436
222258.2,180863.8,-5.9436
222259.3,180885,-5.9436
222259.4,180893.5,-5.9436
222259.2,180901,-5.9436
222258.8,180907.4,-5.9436
222258.2,180913.1,-5.9436
222257.6,180918,-5.9436
222256,180926.7,-5.9436
222254.5,180933.2,-5.9436
222253.2,180938,-5.9436
222250.8,180945.3,-5.9436
222248,180952.5,-5.9436
222247.1,180954.5,-5.9436
222245.4,180958,-5.9436
222243.7,180961,-5.9436
