DIUREF	TITLE	AUTHOR	KEYWORD	REFERENCE	PDATE
5139	The water masses along the western boundary of the south and equatorial Atlantic.	MEMERY, L., ARHAN, M., ALVAREZ-SALGADO, X.A., MESSIAS, M.-J., MERCIER, H., CASTRO, C.G., AND RIOS, A.F.	\AIMS\ARGENTINE BASIN\BOUNDARY CURRENTS\NUTRIENTS\REF\TRACERS\WATER MASSES\WOCE SECTION A17\COUNTRYES\COUNTRYFR\	Progress in Oceanography, 47(1), 69-98.	2000
5140	On the temporal variability of the transport through the Drake Passage.	MEREDITH, M.P., VASSIE, J.M., HEYWOOD, K.J., AND SPENCER, R.	\AIMS\ANTATL\BOTTOM PRESSURE\DRAKE PASSAGE\REF\TEMPORAL VARIATIONS\TRANSPORT\COUNTRYGB\	Journal of Geophysical Research, 101(C10), 22485-22494 and 102(C2), 3501.	1996
5141	Space and time scales for optimal interpolation of temperature - tropical Pacific Ocean.	MEYERS, G., PHILLIPS, H., SMITH, N., AND SPRINTALL, J.	\ENSO\MATHEMATICAL ANALYSIS\PACT\REF\SPATIAL VARIATIONS\SST\TEMPORAL VARIATIONS\TOGA\COUNTRYAU\	Progress in Oceanography, 28(3), 189-218.	1991
5142	A statistical description of the mean circulation and eddy variability in the northwestern Atlantic using SOFAR floats.	OWENS, W.B.	\ATLNW\FLOATS\GULF STREAM\NORTH ATLANTIC CURRENT\OCEAN CIRCULATION\REF\COUNTRYUS\	Progress in Oceanography, 28(3), 257-303.	1991
5143	Temporal trends in deep ocean redfield ratios.	PAHLOW, M., AND RIEBESELL, U.	\NUTRIENTS\PAC\REDFIELD RATIO\REF\TEMPORAL VARIATIONS\TRACERS\COUNTRYDE\	Science, 287(5454), 831-833.	2000
5144	Anisotropic optimization of the current field with the variational method.	PANTELEEV, G.G, MAKSIMENKO, N.A., DEYOUNG, B., AND YAMAGATA, T.	\CURRENT MEASUREMENT\DRIFTERS\REF\SURFACE CURRENTS\COUNTRYCA\COUNTRYJP\COUNTRYUS\	Oceanology, 40(4), 451-457.	2000
5145	Characterization and validation of the heat storage variability from TOPEX/Poseidon at four oceanographic sites.	POLITO, P.S., SATO, O.T., AND LIU, W.T.	\AIMS\HEAT BUDGET\HEAT EXCHANGE\MIXED LAYER\REF\SSH\TOPEX-POSEIDON\UPPER OCEAN\COUNTRYUS\	Journal of Geophysical Research, 105(C7), 16911-16921.	2000
5146	Outflows and deep water production by marginal seas.	PRICE, J.F., AND BARINGER, M.O.	\ARCEUR\ATL\DENSITY\MED\OUTFLOW\REF\WATER MASSES\WEDDELL SEA\COUNTRYUS\	Progress in Oceanography, 33(3), 161-200.	1994
5147	On the total geostrophic circulation of the North Atlantic Ocean: flow patterns, tracers and transports.	REID, J.L.	\AIMS\ATLN\HYDROGRAPHIC SECTIONS\NUTRIENTS\OCEAN CIRCULATION\REF\TRACERS\TRANSPORT\COUNTRYUS\	Progress in Oceanography, 33(1), 1-92.	1994
5148	Surface salinity of the North Atlantic: can we reconstruct its fluctuations over the last one hundred years?	REVERDIN, G., CAYAN, D., DOOLEY, H.D., ELLETT, D.J., LEVITUS, S., DU PENHOAT, Y., AND DESSIER, A.	\ATLN\CLIVAR\DATA COLLECTIONS\REF\SALINITY\TEMPORAL VARIATIONS\UPPER OCEAN\COUNTRYDK\COUNTRYFR\COUNTRYGB\COUNTRYUS\	Progress in Oceanography, 33(4), 303-346.	1994
5149	Intensive surveys of the Azores Front. 1: Tracers and dynamics.	RUDNICK, D.L., AND LUYTEN, J.R.	\AIMS\ATLNE\AZORES CURRENT\DYNAMICS\FRONTS\REF\SUBDUCTION\TRACERS\WOCE SECTION AR11\COUNTRYUS\	Journal of Geophysical Research, 101(C1), 923-939.	1996
5150	The thermohaline ocean circulation: a system with dangerous thresholds?	SCHNEIDER, S.	\BOUNDARY CONDITIONS\CLIVAR\FRESHWATER\OCEAN MODEL\REF\THERMOHALINE CIRCULATION\COUNTRYDE\	Climatic Change, 46(3), 247-256.	2000
5151	Transition, decay and splitting of Agulhas rings in the southeastern Atlantic Ocean.	SCHOUTEN, M.W., DE RUIJTER, W.P.M., VAN LEEUWEN, P.J., AND LUTJEHARMS, J.R.E.	\AGULHAS\AIMS\EDDIES\OCEAN CIRCULATION\REF\TOPEX-POSEIDON\COUNTRYNL\COUNTRYZA\	Journal of Geophysical Research, 105(C9), 21913-21925.	2000
5152	The relationship between the simulated climatic variability modes of the tropical Atlantic.	SERVAIN, J., WAINER, I., AYINA, H.L., AND ROQUET, H.	\ATLT\CLIMATE CHANGES\CLIVAR\OCEAN MODEL\REF\SST\TEMPORAL VARIATIONS\THERMOCLINE\COUNTRYFR\	International Journal of Climatology, 20(9), 939-953.	2000
5153	The 1000,000 year ice-age cycle identified and found to lag temperature, carbon dioxide, and orbital eccentricity.	SHACKLETON, N.J.	\ANT\CARBON DIOXIDE\CLIMATE CHANGES\CLIVAR\ICE AGES\PALEOCLIMATE\REF\COUNTRYGB\	Science, 289(5486), 1897-1902.	2000
5154	Tracing the thermohaline circulation in the western North Atlantic using chlorofluorocarbons.	SMETHIE, W.M.	\ATLNW\CFC\DEEP WESTERN BOUNDARY CURRENT\LABRADOR SEA WATER\OCEAN CIRCULATION\REF\THERMOHALINE CIRCULATION\TRACERS\COUNTRYUS\	Progress in Oceanography, 31(1), 51-99.	1993
5155	A univarite statistical interpolation scheme for subsurface thermal analyses in the tropical oceans.	SMITH, N.R., BLOMLEY, J.E., AND MEYERS, G.	\ENSO\MATHEMATICAL ANALYSIS\PACT\REF\TEMPERATURE\TEMPORAL VARIATIONS\TOGA\UPPER OCEAN\COUNTRYAU\	Progress in Oceanography, 28(3), 219-256.	1991
5156	The Indian Ocean 13C Suess effect.	SONNERUP, R.E., QUAY, P.D., AND MCNICHOL, A.P.	\BIOGEOCHEMISTRY\CARBON CYCLE\IND\JGOFS\REF\TRACERS\COUNTRYUS\	Global Biogeochemical Cycles, 14(3), 903-916.	2000
5157	Southern Ocean transformation in a coupled model with and without eddy mass fluxes.	SPEER, K., GUILYARDI, E., AND MADEC, G.	\AIMS\ANT\COUPLED MODEL\EDDY FLUX\OCEAN CIRCULATION\REF\COUNTRYFR\	Tellus A, 52A(5), 554-565.	2000
5158	Dynamical processes of transfer at the sea surface.	THORPE,S.A.	\AIR SEA INTERACTION\DYNAMICS\MIXED LAYER\MIXING\REF\TURBULENCE\UPPER OCEAN\WAVES\COUNTRYGB\	Progress in Oceanography, 35(4), 315-352.	1995
5159	Validation of wind vector retrieval from ERS-1 SAR images over the ocean.	VACHON, P.W., AND DOBSON, F.W.	\ERS-1\INTERCOMPARISON\MEASUREMENT\REF\SAR\SATELLITE WINDS\COUNTRYCA\	Global Atmosphere and Ocean System, 5(2), 177-187.	1996
5160	Effect of iron supply on Southern Ocean CO2 uptake and implications for glacial atmospheric CO2.	WATSON, A.J., BAKKER, D.C.E., RIDGWELL, A.J., BOYD, P.W., AND LAW, C.S.	\ANT\CARBON DIOXIDE\CLIVAR\IRON\PALEOCLIMATE\REF\TRACERS\COUNTRYGB\COUNTRYNL\	Nature, 407(6805), 730-733.	2000
5161	Uncertainty in climate change.	WEAVER, A.J., AND ZWIERS, F.W.	\CLIMATE CHANGES\CLIMATE MODEL\CLIVAR\REF\TEMPORAL VARIATIONS\COUNTRYCA\	Nature, 407(6804), 571-572.	2000
5162	Loop Current rings and the deep circulation in the Gulf of Mexico.	WELSH, S.E., AND INOUE, M.	\DEEP CURRENTS\LOOP CURRENT\MEXICO GULF\OCEAN CIRCULATION\REF\COUNTRYUS\	Journal of Geophysical Research, 105(C7), 16951-16959.	2000
5163	Classification of mesoscale features in the Brazil-Falkland Current confluence zone.	WILLSON, H.R., AND REES, N.W.	\AIMS\ATLSW\AVHRR\BRAZIL CURRENT\EDDIES\FALKLAND CURRENT\MALVINAS CURRENT\REF\SATELLITE SENSING\SST\TOPEX-POSEIDON\COUNTRYGB\	Progress in Oceanography, 45(3/4), 415-426.	2000
5164	Indian Ocean Warming of 1997-1998.	YU, L., AND RIENECKER, M.M.	\AIMS\AIR SEA INTERACTION\IND\REF\SST ANOMALIES\TEMPORAL VARIATIONS\COUNTRYUS\	Journal of Geophysical Research, 105(C7), 16923-16393.	2000
5165	Suface currents in the Canary Basin from drifter observations.	ZHOU, M., PADUAN, J.D., AND NIILER, P.	\AIMS\ATLNE\CANARY CURRENT\CURRENT MEASUREMENT\DRIFTERS\GYRES\OCEAN CIRCULATION\REF\COUNTRYUS\	Journal of Geophysical Research, 105(C9), 21893-21911.	2000
5166	Assimilation of Topex/Poseidon data improves ENSO hindcast skill.	SCHOTTLE, S., AND LATIF, M.	\CLIVAR\DATA ASSIMILATION\ENSO\OCEAN MODEL\PACT\SATELLITE ALTIMETRY\SSH\TOPEX-POSEIDON\UNPUB\COUNTRYDE\	Exchanges CLIVAR, 5(3), 8-10.	2000
5167	Impact of temperature error models in a univariate ocean data assimilation system.	TIPPET, M.K., JI, M., AND KAPLAN, A.	\CLIVAR\DATA ASSIMILATION\ERRORS\OCEAN MODEL\TEMPERATURE\UNPUB\COUNTRYUS\	Exchanges CLIVAR, 5(3), 13-14.	2000
5168	The impact of TOPEX/Poseidon altimetry assimilation on equatorial circulation modelling in the Pacific.	SEIDEL, H.F., GIESE, B., AND CARTON, J.	\CLIVAR\DATA ASSIMILATION\EQUATORIAL CIRCULATION\OCEAN MODEL\PACT\SSH\TOGA TAO\TOPEX-POSEIDON\UNPUB\COUNTRYUS\	Exchanges CLIVAR, 5(3), 10-13.	2000
5169	Impacts of the ocean lateral diffusion on the El Nino/Southern Oscillation-like variability of a global coupled General Circulation Model.	RAYNAUD, S., SPEICH, S., GUILYARDI, E., AND MADEC, G.	\CLIVAR\COUPLED MODEL\DIFFUSION\EL NINO\ENSO\MIXING\OCEAN CIRCULATION\REF\COUNTRYFR\	Geophysical Research Letters, 27(19), 3041-3044.	2000
5170	Interannual mean sea level change and the Earth's water.	CHAMBERS, D.P., CHEN, J., NEREM, R.S., AND TAPLEY, B.D.	\CLIVAR\FRESHWATER\REF\SEA LEVEL\TEMPORAL VARIATIONS\COUNTRYUS\	Geophysical Research Letters, 27(19), 3073-3076.	2000
5171	Ocean state estimation in support of CLIVAR and GODAE.	STAMMER, D.	\ASSIMILATION\CLIVAR\GODAE\OCEAN CIRCULATION\OCEAN MODEL\PREDICTION\UNPUB\COUNTRYUS\	Exchanges CLIVAR, 5(3), 3-5.	2000
5172	The role of individual air-sea flux components in CO2-induced changes of the ocean's circulation and climate.	MIKOLAJEWICZ, U., AND VOSS, R.	\AIR SEA INTERACTION\CARBON DIOXIDE\CLIMATE CHANGES\CLIVAR\GLOBAL WARMING\GREENHOUSE GASES\OCEAN CIRCULATION\REF\COUNTRYDE\	Climate Dynamics, 16(8), 627-642.	2000
5173	The seasonal cycle in coupled ocean-atmosphere general circulation models.	COVEY, C., ABE-0UCHI, A., BOER, G.J., BOVILLE, B.A., CUBASCH, U., FAIRHEAD, L., FLATO, G.M., GORDON, H., GUILYARDI, E., JIANG, X., JOHNS, T.C., LE TREUT, H., MADEC, G., MEEHL, G.A., MILLER, R., NODA, A., POWER, S.B., ROECKNER, E., RUSSELL, G., SCHNEIDER,	\CLIMATE CHANGES\CLIVAR\CMIP\COUPLED MODEL\INTERCOMPARISON\REF\SEASONAL VARIABILITY\UPPER OCEAN\COUNTRYAU\COUNTRYCA\COUNTRYDE\COUNTRYFR\COUNTRYJP\COUNTRYUS\COUNTRYGB\	Climate Dynamics, 16(10/11), 775-787.	2000
5174	Parallel climate model (PCM) control and transient simulations.	WASHINGTON, W.M., WEATHERLY, J.W., MEEHL, G.A., SEMTNER, A.J., BETTGE, T.W., CRAIG, A.P., STRAND, W.G., ARBLASTER, J., WAYLAND, V.B., JAMES, R., AND ZHANG, Y.	\CARBON DIOXIDE\CLIMATE CHANGES\CLIMATE MODEL\CLIVAR\EL NINO\GLOBAL WARMING\GREENHOUSE GASES\REF\SEA LEVEL\COUNTRYUS\	Climate Dynamics, 16(10/11), 755-774.	2000
5175	The ocean heat transport  and meridional overturning near 25 degrees North in the Atlantic in the CMIP models.	JIA, Y.	\ATLN\CMIP\HEAT TRANSPORT\INTERCOMPARISON\OCEAN MODEL\THERMOHALINE CIRCULATION\UNPUB\COUNTRYGB\	Exchanges CLIVAR, 5(3), 23-26.	2000
5176	Uncertainties in thermohaline circulation response to greenhouse warming.	TZIPERMAN, E.	\AIMS\CLIMATE CHANGES\ERRORS\GLOBAL WARMING\GREENHOUSE GASES\OCEAN MODEL\REF\THERMOHALINE CIRCULATION\COUNTRYIL\	Geophysical Research Letters, 27(19), 3077-3080.	2000
5177	Variational assimilation of SSH variance from TOPEX/POSEIDON and ERS-1 into an eddy permitting model of the North Atlantic.	KOHL, A., AND WILLEBRAND, J.	\ATLN\DATA ASSIMILATION\ERS-1\OCEAN MODEL\SATELLITE ALTIMETRY\SSH\TOPEX-POSEIDON\UNPUB\COUNTRYDE\COUNTRYUS\	Exchanges CLIVAR, 5(3), 14-21.	2000
5178	Water vapour feedbacks in the ECMWF reanalyses and Hadley Centre climate model.	SLINGO, A., PAMMENT, J.A., ALLAN, R.P., AND WILSON, P.S.	\AIMS\CLIMATE CHANGES\COUPLED MODEL\DATA CENTRES\ECMWF\FRESHWATER\REF\COUNTRYGB\	Journal of Climate, 13(17), 3080-3098.	2000
5179	Satellite altimetry, the marine geoid, and the oceanic general circulation.	WUNSCH, C., AND STAMMER, D.	\AIMS\ASSIMILATION\EDDIES\GEOID\HEAT TRANSPORT\OCEAN MODEL\REF\SATELLITE ALTIMETRY\SSH\TEMPORAL VARIATIONS\TIDES\TOPEX-POSEIDON\COUNTRYUS\	Annual Reviews of Earth and Planetary Sciences, 26, 219-253.	1998
5180	An Arctic Ocean cold core eddy.	MUENCH, R.D.,  GUNN, J.T., WHITLEDGE, T.E., SCHLOSSER, P., AND SMETHIE, W.	\ARC\CANADA BASIN\CFC\EDDIES\OXYGEN ISOTOPES\REF\TRACERS\WATER MASSES\COUNTRYUS\	Journal of Geophysical Research, 105(C10), 23997-24006.	2000
5181	Biharmonic friction with a Smagorinsky-like viscosity for use in large-scale eddy-permitting ocean models.	GRIFFIES,S.M., AND HALLBERG, R.W.	\DIFFUSION\DYNAMICS\EDDIES\MIXING\MODELW\OCEAN MODEL\REF\VISCOSITY\COUNTRYUS\	Monthly Weather Review, 128(8) Part 2, 2935-2946.	2000
5182	Characteristic features of distribution of the elements of carbonic acid system in the tropical Atlantic.	OVINOVA, N.V.	\AIR SEA INTERACTION\ATLT\CARBON DIOXIDE\NUTRIENTS\REF\WATER MASSES\COUNTRYRU\	Russian Meteorology and Hydrology, 2000(2), 51-57.	2000
5183	Circulation and eddies over the South China Sea derived from TOPEX/Poseidon altimetry.	HWANG, C., AND CHEN, S.-A.	\AIMS\CHINA SEA\EDDIES\ENSO\OCEAN CIRCULATION\PACTW\REF\SATELLITE ALTIMETRY\TOPEX-POSEIDON\COUNTRYTW\	Journal of Geophysical Research, 105(C10), 23943-23965.	2000
5184	Continuous dynamical modes in straits having arbitrary cross sections, with applications to the Bab al Mandab.	PRATT, L.J., DEESE, H.E., MURRAY, S.P., AND JOHNS, W.	\BAB EL MANDEB\DYNAMICS\HYDRAULICS\INDNW\INFLOW\OUTFLOW\REF\TRANSPORT\COUNTRYUS\	Journal of Physical Oceanography, 30(10), 2515-2534.	2000
5185	Cyclone surface pressure fields and frontogenesis from NASA scatterometer (NSCAT) winds.	ZIERDEN, D.F., BOURASSA, M.A., AND O'BRIEN, J.J.	\METEOROLOGY\NSCAT\REF\SATELLITE WINDS\WIND STRESS\COUNTRYUS\	Journal of Geophysical Research, 105(C10), 23967-23981.	2000
5186	Ekman transports, tidal mixing, and the control of temperature structure in Australia's northwest waters.	GODFREY, J.S., AND MANSBRIDGE, J.V.	\AIMS\EKMAN TRANSPORT\INDSE\MIXING\REF\STRATIFICATION\TIDES\COUNTRYAU\	Journal of Geophysical Research, 105(C10), 24021-24044.	2000
5187	ENSO'S phase locking to the seasonal cycle in the fast-SST, fast-wave, and mixed-mode regimes.	GALANTI, E., AND TZIPERMAN, E.	\ENSO\MATHEMATICAL ANALYSIS\METEOROLOGY\PLANETARY WAVES\REF\SEASONAL VARIABILITY\COUNTRYIL\	Journal of the Atmospheric Sciences, 57(17), 2936-2950.	2000
5188	Generalized inverse of a reduced gravity primitive equation ocean model and Tropical Atmosphere-Ocean data.	NGODOCK, H.E., CHUA, B.S., AND BENNETT, A.F.	\DATA ASSIMILATION\INVERSE METHODS\OCEAN MODEL\PACT\REF\TOGA COARE\COUNTRYUS\	Monthly Weather Review, 128(6), 1757-1777.	2000
5189	Hydraulic control of three-layer exchange flows: application to the Bab al Mandab.	SMEED, D.A.	\AIMS\BAB EL MANDEB\DYNAMICS\HYDRAULICS\INDNW\INFLOW\OUTFLOW\REF\TRANSPORT\COUNTRYGB\	Journal of Physical Oceanography, 30(10), 2574-2588.	2000
5190	Hydrographic and current measurements in the area of the Angola-Benguela Front.	LASS, H.U., SCHMIDT, M., MOHRHOLZ, V., AND NAUSCH, G.	\ANGOLA BASIN\ATLSE\CURRENT MEASUREMENT\FRONTS\HYDROGRAPHIC DATA\REF\COUNTRYDE\	Journal of Physical Oceanography, 30(10), 2589-2609.	2000
5191	Impact of upper ocean-topographic coupling and isopycnal outcropping in Japan/East Sea models with 1/8 degree to 1/64 degree resolution.	HOGAN, P.J., AND HURLBURT, H.E.	\BOTTOM TOPOGRAPHY EFFECTS\JAPAN SEA\MIXING\MODELW\OCEAN MODEL\PACNW\REF\COUNTRYUS\	Journal of Physical Oceanography, 30(10), 2535-2561.	2000
5192	Implications of the deep circulation and ventilation of the Indian Ocean on the renewal mechanism of North Atlantic Deep Water.	YOU, Y.	\AIMS\ATLN\CONVECTION\IND\NADW\REF\THERMOHALINE CIRCULATION\VENTILATION\WATER MASSES\COUNTRYFR\	Journal of Geophysical Research, 105(C10), 23895-23926.	2000
5193	The Indonesian Throughflow's effect on global climate determined from the COLA Coupled Climate System.	WAJSOWICZ, R.C., AND SCHNEIDER, E.K.	\CLIMATE CHANGES\CLIMATE MODEL\INDONESIAN THROUGHFLOW\INDPAC\TRANSPORT\UNPUB\COUNTRYUS\	Center for Ocean-Land-Atmosphere Studies Calverton MD Report, No. 86, 26pp.	2000
5194	Interannual and interdecadal variability of the South Atlantic convergence zone.	ROBERTSON, A.W., AND MECHOSO, C.R.	\ATLS\CONVERGENCE\METEOROLOGY\REF\TEMPORAL VARIATIONS\COUNTRYUS\	Monthly Weather Review, 128(8) Part 2, 2947-2957.	2000
5195	Low-frequency variability on the western flanks of the Grand Banks.	HOGG, N.G.	\AIMS\ATLNW\CURRENT MEASUREMENT\GRAND BANKS\OCEAN CIRCULATION\REF\ROSSBY WAVES\TEMPORAL VARIATIONS\COUNTRYUS\	Journal of Marine Research, 58(4), 523-545.	2000
5196	Numerical discretization of rotated diffusion operators in ocean models.	BECKERS, J.-M., BURCHARD, H., DELEERSNIJDER, E., AND MATHIEU, P.P.	\DIFFUSION\MATHEMATICAL PROGRAMMES\MIXING\MODELW\OCEAN MODEL\REF\COUNTRYBE\	Monthly Weather Review, 128(8) Part 1, 2711-2733.	2000
5197	On mechanisms of rain-induced air-water exchange.	HO, D.T., ASHER, W.E., BLIVEN, L.F., SCHLOSSER, P., AND GORDAN, E.L.	\AIR SEA INTERACTION\ATMOSPHERIC PRECIPITATIONS\FRESHWATER\GAS EXCHANGE\REF\SALINITY\COUNTRYUS\	Journal of Geophysical Research, 105(C10), 24045-24057.	2000
5198	Recent variability of the North Atlantic thermohaline circulation inferred from surface heat and freshwater fluxes.	MARSH, R.	\AIMS\AIR SEA INTERACTION\FRESHWATER\HEAT EXCHANGE\REF\TEMPORAL VARIATIONS\THERMOHALINE CIRCULATION\WATER MASSES\COUNTRYGB\	Journal of Climate, 13(18), 3239-3260.	2000
5199	Recipe for Banda Sea water.	WAWORUNTU, J.M., FINE, R.A., OLSON, D.B., AND GORDON, A.L.	\BANDA SEA\CFC\INDONESIAN THROUGHFLOW\INDPAC\MIXING\REF\WATER MASSES\COUNTRYID\COUNTRYUS\	Journal of Marine Research, 58(4), 547-569.	2000
5200	Representation of eddies in primitive equation models by a PV flux.	WARDLE, R., AND MARSHALL, J.	\AIMS\EDDIES\MATHEMATICAL ANALYSIS\OCEAN MODEL\PARAMETERIZATION\POTENTIAL VORTICITY\REF\COUNTRYUS\	Journal of Physical Oceanography, 30(10), 2481-2503.	2000
5201	Salt conservation, free surface, and varying levels: a new formulation for ocean general circulation models.	ROULLET, G., AND MADEC, G.	\FRESHWATER\MATHEMATICAL PROGRAMME\MODELW\OCEAN MODEL\REF\SALINITY\SSH\COUNTRYFR\	Journal of Geophysical Research, 105(C10), 23927-23942.	2000
5202	Sensitivity of the Gulf Stream path to the cyclonic wind stress curl.	GANGOPADHYAY, A., AND CHAO, Y.	\ATLNW\GULF STREAM\OCEAN CIRCULATION\OCEAN MODEL\REF\TEMPORAL VARIATIONS\WIND STRESS\COUNTRYUS\	Global Atmosphere and Ocean System, 7(2), 151-178.	2000
5203	Structure of annual-to-decadal climate variability in the tropical Atlantic sector.	RUIZ-BARRADAS, A., CARTON, J.A., AND NIGAM, S.	\ATLT\CLIMATE CHANGES\REF\SEASONAL VARIABILITY\TEMPORAL VARIATIONS\UPPER OCEAN\COUNTRYUS\	Journal of Climate, 13(18), 3285-3297.	2000
5204	On the origins of deep and bottom waters of the Indian Ocean.	MANTYLA, A.W., AND REID, J.L.	\AABW\AIMS\HYDROGRAPHIC DATA\IND\NADW\NUTRIENTS\OCEAN CIRCULATION\OXYGEN\REF\WATER MASSES\COUNTRYUS\	Journal of Geophysical Research, 100(C2), 2417-2439.	1995
5205	The source of 90-day oscillations at Wake Island.	MITCHUM, G.T.	\ENSO\GEOSAT\OCEAN MODEL\PACTW\PLANETARY WAVES\REF\SATELLITE ALTIMETRY\SSH\TEMPORAL VARIATIONS\COUNTRYUS\	Journal of Geophysical Research, 100(C2), 2459-2475.	1995
5206	Lagrangian mixed layer modelling of the western equatorial Pacific.	SHINODA, T., AND LUKAS, R.	\DRIFTERS\MATHEMATICAL ANALYSIS\MIXED LAYER\PACTW\REF\TOGA COARE\UPPER OCEAN\COUNTRYUS\	Journal of Geophysical Research, 100(C2), 2523-2541.	1995
5207	Comparison of tropical Pacific temperature and current simulations with two vertical mixing schemes embedded in an ocean general circulation model and reference to observations.	HALPERN, D., CHAO, Y., MA, C.-C., AND MECHOSO, C.R.	\CURRENT PROFILES\EQUATORIAL CIRCULATION\INTERCOMPARISON\MIXING\OCEAN MODEL\PACT\REF\TEMPERATURE\TOGA COARE\COUNTRYUS\	Journal of Geophysical Research, 100(C2), 2515-2522.	1995
5208	Frontogenesis, subduction, and cross-front exchange at upper ocean fronts.	SPALL, M.A.	\AIMS\ATLN\FRONTS\JETS\MIXING\OCEAN MODEL\REF\SUBDUCTION\UPWELLING\COUNTRYUS\	Journal of Geophysical Research, 100(C2), 2543-2557.	1995
5209	Causes of Atlantic Ocean climate variability between 1958 and 1998.	SEAGER, R., KUSHNIR, Y., VISBECK, M., NAIK, N., MILLER, J., KRAHMANN, G., AND CULLEN, H.	\AIR SEA INTERACTION\ATL\CLIMATE CHANGES\CLIVAR\HEAT TRANSPORT\REF\SST\COUNTRYUS\	Journal of Climate, 13(16), 2845-2862.	2000
5210	Interannual variability of synthesized FSU and NCEP-NCAR reanalysis pseudostress products over the Pacific Ocean.	PUTMAN, W.M., LEGLER, D.M., AND O'BRIEN, J.J.	\AIMS\DATA COLLECTIONS\PAC\REANALYSES\REF\WIND STRESS\COUNTRYUS\	Journal of Climate, 13(16), 3003-3016.	2000
5211	On the persistence of decadal SST anomalies in the North Atlantic.	WATANABE, M., AND KIMOTO, M.	\ATLN\CLIVAR\MIXED LAYER\REF\TEMPERATURE ANOMALIES\TEMPORAL VARIATIONS\COUNTRYJP\	Journal of Climate, 13(16), 3017-3028.	2000
5212	Seasonal CO2 fluxes in the tropical and subtropical Indian Ocean.	SABINE, C.L., WANNINKHOF, R., KEY, R.M., GOYET, C., AND MILLERO, F.J.	\AIR SEA INTERACTION\CARBON DIOXIDE\GAS EXCHANGE\IND\JGOFS\REF\SEASONAL VARIABILITY\COUNTRYUS\	Marine Chemistry, 72(1), 33-53.	2000
5213	Tropical cyclone activity over the western North Pacific associated with El Nino and La Nina events.	CHAN, J.C.L.	\ENSO\HURRICANES\METEOROLOGY\PACN\REF\COUNTRYCH\	Journal of Climate, 13(16), 2960-2972.	2000
5214	Simulation of bomb radiocarbon in two global ocean general circulation models.	DUFFY, P.B., ELIASON, D.E., BOURGEOIS, A.J., AND COVEY, C.C.	\CARBON ISOTOPES\JGOFS\OCEAN CIRCULATION\OCEAN MODEL\REF\TRACERS\COUNTRYUS\	Journal of Geophysical Research, 100(C11), 22545-22563.	1995
5215	Gulf Stream flow field and events near 68W.	SHAY, T.J., BANE, J.M., WATTS, D.R., AND TRACEY, K.L.	\ATLNW\GULF STREAM\OCEAN CIRCULATION\PREDICTION\REF\COUNTRYUS\	Journal of Geophysical Research, 100(C11), 22565-22589.	1995
5216	The absolute velocity field of Agulhas eddies and the Benguela Current.	CLEMENT, A.C., AND GORDON, A.L.	\AGULHAS\ADCP\AIMS\ATLSE\BENGUELA CURRENT\EDDIES\REF\TRANSPORT\COUNTRYUS\	Journal of Geophysical Research, 100(C11), 22591-22601.	1995
5217	High-frequency variability of western boundary currents using ERS 1 three-day repeat altimeter data.	MINSTER, J.-F., AND GENNERO, M.C.	\AIMS\ERS-1\REF\SATELLITE ALTIMETRY\SSH\TEMPORAL VARIATIONS\WESTERN BOUNDARY CURRENTS\COUNTRYFR\	Journal of Geophysical Research, 100(C11), 22603-22612.	1995
5218	The Bernoulli function and flux of energy in the ocean.	SAUNDERS, P.M.	\AIMS\EQUATION OF STATE\HEAT TRANSPORT\MATHEMATICAL ANALYSIS\REF\THERMODYNAMICS\COUNTRYGB\	Journal of Geophysical Research, 100(C11), 22647-22648.	1995
5219	Inversion for heat anomaly transport from sea surface temperature time series in the northwest Pacific.	OSTROVSKII, A., AND PITERBARG, L.	\HEAT TRANSPORT\KUROSHIO EXTENSION\PACNW\REF\SST\TIME SERIES\COUNTRYJP\COUNTRYUS\	Journal of Geophysical Research, 100(C3), 4845-4865.	1995
5220	The ocean response to operational westerly wind bursts during the 1991-1992 El Nino.	KINDLE, J.C., AND PHOEBUS, P.A.	\ENSO\OCEAN MODEL\PACTE\REF\TOGA COARE\WIND DRIVEN CIRCULATION\COUNTRYUS\	Journal of Geophysical Research, 100(C3), 4893-4920.	1995
5221	Simulations of the mesoscale circulation of the Greenland-Iceland-Norwegian Seas.	HEBURN, G.W., AND JOHNSON, C.D.	\ARCEUR\ATLN\EDDIES\GREENLAND SEA\ICELAND WATERS\NORWEGIAN SEA\OCEAN CIRCULATION\OCEAN MODEL\REF\COUNTRYUS\	Journal of Geophysical Research, 100(C3), 4921-4941.	1995
5222	The Southern Ocean western boundary currents: comparison of fine resolution Antarctic model results with Geosat altimeter data.	FERON, R.C.V.	\AIMS\ANT\FRAM\GEOSAT\OCEAN MODEL\REF\SATELLITE ALTIMETRY\WESTERN BOUNDARY CURRENTS\COUNTRYFR\	Journal of Geophysical Research, 100(C3), 4959-4975.	1995
5223	Irreversible thermodynamics and air-sea exchange.	DONEY, S.C.	\AIR SEA INTERACTION\CARBON DIOXIDE\GAS EXCHANGE\REF\THERMODYNAMICS\UPPER OCEAN\COUNTRYUS\	Journal of Geophysical Research, 100(C5), 8541-8553.	1995
