DIUREF	TITLE	AUTHOR	KEYWORD	REFERENCE	PDATE
2854	Hull-mounted sea surface temperatures from ships of opportunity.	EMERY, W.J., CHERKAUER, K., SHANNON, B. AND REYNOLDS, R.W.	\MEASUREMENT\REF\SELECTED SHIPS\SENSORS\SST\VOS\COUNTRYUS\	Journal of Atmospheric and Oceanic Technology, 14(5), 1237-1251.	1997
2855	Calculation of ADCP alignment offsets using single-beam velocity and depth data.	TRUMP, C.L.	\AIMS\ADCP\CURRENT PROFILES\REF\COUNTRYUS\	Journal of Atmospheric and Oceanic Technology, 14(5), 1252-1255.	1997
2856	Climatic variability of deep waters in the Pacific Antarctic.	GOLDIN, A.Y. AND KOSHLYAKOV, M.N.	\ANTPAC\CLIMATE CHANGES\CLIVAR\DEEP WATER\REF\SALINITY\TEMPERATURE\COUNTRYRU\	Oceanology, 37(5), 577-585.	1997
2857	Assessment of the ocean circulation in the Azores region as predicted by a numerical assimilating altimeter data from Topex/Poseidon and  ERS-1 satellites.	MAILLY, T., BLAYO, E. AND VERRON, J.	\AIMS\ASSIMILATION\ERS-1\OCEAN CIRCULATION\OCEAN MODEL\REF\SATELLITE ALTIMETRY\SEASONAL VARIABILITY\TOPEX-POSEIDON\COUNTRYFR\	Annales Geophysicae, 15(10), 1354-1368.	1997
2858	Optimisation of a parallel ocean general circulation model.	BEARE, M.L. AND STEVENS, D.P.	\AIMS\OCEAN CIRCULATION\OCEAN MODEL\PARALLEL COMPUTING\REF\COUNTRYGB\	Annales Geophysicae, 15(10), 1369-1377.	1997
2859	Volume budget of the eastern boundary layer off the Iberian Peninsula.	MAZE, J.P., ARHAN, M. AND MERCIER, H.	\AIMS\ATLNE\BOUNDARY LAYERS\OCEAN CIRCULATION\REF\TRANSPORT\WATER MASSES\COUNTRYFR\	Deep-Sea Research I, 44(9/10), 1543-1574.	1997
2860	Streamtube models of gravity currents in the ocean.	EMMS, P.W.	\AIMS\ANTATL\ATLN\DENMARK STRAIT\DENSITY\MED\OCEAN MODEL\OUTFLOW\REF\WEDDELL SEA\COUNTRYGB\	Deep-Sea Research I, 44(9/10), 1575-1610.	1997
2861	Variation of CO2 partial pressure in surface seawater in the equatorial Pacific Ocean.	GOYET, C. AND PELTZER, E.T.	\CARBON DIOXIDE\DIURNAL VARIATIONS\JGOFS\PACT\PARTIAL PRESSURE\REF\UPWELLING\COUNTRYUS\	Deep-Sea Research I, 44(9/10), 1611-1625.	1997
2862	Observations of an Agulhas Undercurrent.	BEAL, L.M. AND BRYDEN, H.L.	\AIMS\AGULHAS\DEEP WESTERN BOUNDARY CURRENT\INDSW\LADCP\OCEAN CIRCULATION\REF\WESTERN BOUNDARY CURRENTS\COUNTRYGB\	Deep-Sea Research I, 44(9/10), 1715-1724.	1997
2863	Gravimetric preparation of gas phase working standards containing volatile halogenated compounds for oceanographic applications.	HAPPELL, J.D. AND WALLACE, D.W.R.	\AIMS\CFC\GRAVITY\REF\STANDARDS\TRACERS\COUNTRYUS\	Deep-Sea Research I, 44(9/10), 1725-1738.	1997
