Statistics (+/- 3 hr window)
***************************************************************************************************
Lwn412
In Situ data flags applied: SHADE
---------------------------------------------------------------------------------------------------
dataid      cruise      mon dd yyyy hh:mm      lat       lon    tdiff    pix      SAT         ENV     ratio  % diff     filename
104703 boussole_buoy_l  Jun 21 2004  1:00PM  43.3700    7.9000   -103     22    0.613667    1.075957   0.570  42.965  T2004173111500.L2_LAC
104909 boussole_buoy_l  Sep 23 2005 12:00PM  43.3700    7.9000    -62     25    0.931087    0.862350   1.080   7.971  T2005266105500.L2_LAC
212476          i8si9n  Apr 21 2007  4:18AM   9.9531   85.6631     71     20    1.417647    1.356818   1.045   4.483  T2007111052500.L2_LAC
 26403         ioffe01  Apr 18 2002  1:13PM  26.2190  -19.9940    -90     15    1.731500    1.318777   1.313  31.296  T2002108114000.L2_LAC
  5184         bats163  Apr 18 2002  4:16PM  32.0561  -64.2247    -77     25    1.966300    1.856624   1.059   5.907  T2002108145500.L2_LAC
104899 boussole_buoy_l  Sep 12 2005 12:00PM  43.3700    7.9000    -44     25    0.772850    0.899846   0.859  14.113  T2005255111500.L2_LAC
104850 boussole_buoy_l  May  7 2005 12:00PM  43.3700    7.9000    -43     25    0.555238    0.435432   1.275  27.514  T2005127111500.L2_LAC
104564 boussole_buoy_e  Sep 30 2005 10:00AM  43.3700    7.9000     64     25    0.553095    0.671552   0.824  17.639  T2005273110000.L2_LAC
 26241         ioffe01  Oct 11 2001  1:26PM  39.2530  -13.2880    -72     25    0.842864    1.488732   0.566  43.384  T2001284121000.L2_LAC
104856 boussole_buoy_l  Jul 11 2005 12:45PM  43.3700    7.9000   -143     25    0.778095    1.092103   0.713  28.753  T2005192102000.L2_LAC
 10704           car86  Feb 11 2003  4:53PM  10.5000  -64.6700   -127     25    0.271435    0.187723   1.446  44.593  T2003042144500.L2_LAC
104409 boussole_buoy_e  Jul 14 2004 12:00PM  43.3700    7.9000   -135     25    0.973455    1.101032   0.884  11.587  T2004196094500.L2_LAC
  9904         cal0104  Apr 16 2001  6:20PM  32.2260 -123.4840     49     25    0.900591    1.092566   0.824  17.571  T2001106190500.L2_LAC
