        CERES Azimuth Position File

 Terra Satellite Orbit Inclination:  98.140
    GERB longitude:   -3.4  (if different - recompile!!)
    * DOY 2004001 = 01 January 2004

------------------------------------------------------------
--DOY*------ hhmmss ---orbit -- XT_Azimuth     (lat  lon)
------------------------------------------------------------
2006001     123358     32127      130.23      -33.66 -36.87
2006001     123511     32127      128.05      -37.99 -38.14
2006001     123551     32127      180.00      -40.36 -38.87

2006001     135400     32128      202.04       34.54 -45.69
2006001     135446     32128      199.82       31.76 -46.45
2006001     135532     32128      197.51       28.99 -47.18
2006001     135618     32128      195.13       26.21 -47.88
2006001     135704     32128      192.69       23.43 -48.57
2006001     135744     32128      190.56       21.04 -49.13
2006001     135824     32128      188.41       18.65 -49.69
2006001     135903     32128      186.24       16.26 -50.23
2006001     135943     32128      184.06       13.87 -50.77
2006001     135956     32128      180.00       13.07 -50.94

2006002     080400     32139      145.97       26.29  40.21
2006002     080452     32139      148.20       23.11  39.43
2006002     080539     32139      150.34       20.33  38.78
2006002     080625     32139      152.67       17.54  38.13
2006002     080704     32139      154.83       15.15  37.59
2006002     080744     32139      157.14       12.76  37.06
2006002     080824     32139      159.59       10.37  36.54
2006002     080857     32139      161.75        8.37  36.11
2006002     080930     32139      164.02        6.38  35.68
2006002     081003     32139      166.37        4.39  35.25
2006002     081036     32139      168.82        2.39  34.82
2006002     081109     32139      171.35        0.40  34.40
2006002     081142     32139      173.94       -1.60  33.97
2006002     081208     32139      176.07       -3.19  33.63
2006002     081234     32139      178.22       -4.79  33.29
2006002     081301     32139      180.39       -6.38  32.95
2006002     081327     32139      182.59       -7.97  32.61
2006002     081354     32139      184.78       -9.57  32.26
2006002     081420     32139      186.98      -11.16  31.92
2006002     081446     32139      189.17      -12.75  31.57
2006002     081513     32139      191.34      -14.35  31.21
2006002     081539     32139      193.49      -15.94  30.86
2006002     081606     32139      195.60      -17.53  30.50
2006002     081639     32139      198.19      -19.52  30.04
2006002     081712     32139      200.71      -21.50  29.58
2006002     081745     32139      203.14      -23.49  29.10
2006002     081818     32139      205.49      -25.47  28.62
2006002     081851     32139      207.74      -27.45  28.13
2006002     081924     32139      209.90      -29.43  27.62
2006002     082003     32139      212.35      -31.80  26.99
2006002     082043     32139      214.66      -34.17  26.34
2006002     082122     32139      216.84      -36.54  25.65
2006002     082209     32139      219.18      -39.30  24.82
2006002     082255     32139      221.34      -42.05  23.94
2006002     082348     32139      223.61      -45.19  22.84
2006002     082447     32139      225.91      -48.70  21.49
2006002     082454     32139      180.00      -49.09  21.34

2006002     093700     32140      110.61       47.42  21.89
2006002     093925     32140      112.79       38.76  18.92
2006002     094104     32140      115.02       32.83  17.19
2006002     094216     32140      117.25       28.46  16.04
2006002     094316     32140      119.57       24.89  15.14
2006002     094402     32140      121.80       22.11  14.47
2006002     094442     32140      124.08       19.72  13.91
2006002     094515     32140      126.31       17.73  13.46
2006002     094548     32140      128.88       15.74  13.00
2006002     094614     32140      131.26       14.15  12.65
2006002     094640     32140      133.94       12.55  12.30
2006002     094700     32140      136.20       11.36  12.03
2006002     094720     32140      138.69       10.16  11.77
2006002     094740     32140      141.43        8.96  11.51
2006002     094800     32140      144.45        7.77  11.25
2006002     094813     32140      146.64        6.97  11.08
2006002     094826     32140      148.96        6.17  10.91
2006002     094839     32140      151.43        5.37  10.74
2006002     094852     32140      154.05        4.58  10.57
2006002     094906     32140      156.82        3.78  10.40
2006002     094919     32140      159.74        2.98  10.23
2006002     094932     32140      162.81        2.18  10.06
2006002     094945     32140      166.01        1.39   9.89
2006002     094958     32140      169.33        0.59   9.72
2006002     095012     32140      172.77       -0.21   9.55
2006002     095025     32140      176.29       -1.01   9.38
2006002     095038     32140      179.86       -1.80   9.21
2006002     095051     32140      183.48       -2.60   9.04
2006002     095104     32140      187.09       -3.40   8.87
2006002     095118     32140      190.68       -4.20   8.70
2006002     095131     32140      194.22       -4.99   8.53
2006002     095144     32140      197.68       -5.79   8.36
2006002     095157     32140      201.03       -6.59   8.19
2006002     095210     32140      204.27       -7.38   8.01
2006002     095224     32140      207.38       -8.18   7.84
2006002     095237     32140      210.34       -8.98   7.67
2006002     095250     32140      213.15       -9.78   7.50
2006002     095303     32140      215.81      -10.57   7.32
2006002     095316     32140      218.33      -11.37   7.15
2006002     095330     32140      220.69      -12.17   6.97
2006002     095343     32140      222.91      -12.96   6.80
2006002     095403     32140      225.99      -14.16   6.53
2006002     095422     32140      228.79      -15.35   6.27
2006002     095442     32140      231.33      -16.54   6.00
2006002     095502     32140      233.64      -17.74   5.73
2006002     095522     32140      235.74      -18.93   5.45
2006002     095548     32140      238.24      -20.52   5.09
2006002     095615     32140      240.46      -22.11   4.71
2006002     095648     32140      242.89      -24.09   4.24
2006002     095721     32140      245.01      -26.07   3.75
2006002     095800     32140      247.18      -28.45   3.15
2006002     095846     32140      249.33      -31.22   2.43
2006002     095946     32140      251.62      -34.78   1.45
2006002     100058     32140      253.85      -39.11   0.16
2006002     100231     32140      256.08      -44.61  -1.68
2006002     100430     32140      258.21      -51.63  -4.50
2006002     100456     32140      180.00      -53.18  -5.19

2006002     111400     32141      260.35       54.09   0.10
2006002     111625     32141      258.15       45.50  -3.54
2006002     111804     32141      256.05       39.59  -5.55
2006002     111923     32141      253.85       34.85  -6.96
2006002     112029     32141      251.51       30.89  -8.05
2006002     112122     32141      249.16       27.72  -8.87
2006002     112201     32141      247.03       25.33  -9.47
2006002     112241     32141      244.52       22.95 -10.05
2006002     112314     32141      242.03       20.96 -10.52
2006002     112340     32141      239.74       19.37 -10.89
2006002     112407     32141      237.13       17.77 -11.26
2006002     112427     32141      234.92       16.58 -11.53
2006002     112446     32141      232.47       15.38 -11.80
2006002     112506     32141      229.74       14.19 -12.06
2006002     112526     32141      226.71       12.99 -12.33
2006002     112539     32141      224.50       12.20 -12.50
2006002     112552     32141      222.12       11.40 -12.68
2006002     112606     32141      219.58       10.60 -12.85
2006002     112619     32141      216.86        9.80 -13.02
2006002     112632     32141      213.95        9.01 -13.20
2006002     112645     32141      210.86        8.21 -13.37
2006002     112658     32141      207.59        7.41 -13.54
2006002     112712     32141      204.14        6.62 -13.71
2006002     112725     32141      200.53        5.82 -13.89
