"uscode","sic","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","3732",,56973,281176,1049491,2032,,1652,6664,34289,939,,2375,9074,37425,361,,3814,17067,69741,281,,6428,31486,122390,216,,6943,34518,134858,99,,14839,76833,270549,95,,9706,48415,180469,26,,7040,35397,126720,12,,4176,21722,73050,3
"98","3740",,28629,218790,890503,185,,56,311,3257,34,,120,853,3998,17,,335,2123,10208,24,,1194,7725,30720,36,,2268,13233,55814,32,,2875,16655,70500,20,,2992,17899,77353,8,"D",0,0,0,9,"D",0,0,0,5
"98","3750",,9923,56346,238592,241,,168,1084,3506,88,,378,1418,6486,59,,420,1669,7691,31,,1045,5373,23968,33,,923,4286,19211,14,,1324,6306,26903,9,,1561,9383,39958,4,"D",0,0,0,1,"D",0,0,0,2
"98","3760",,201073,2148770,8429037,143,,29,167,1548,15,,75,361,1548,10,,173,1139,5010,12,,498,3663,15025,16,,1075,9528,37279,15,,2409,21482,82945,14,,4970,43352,160556,13,,8129,79013,303234,11,,183715,1990065,7821892,37
"98","3761",,156988,1726079,6739506,46,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,"D",0,0,0,2,"D",0,0,0,2,"D",0,0,0,3,"D",0,0,0,6,"D",0,0,0,1,,153125,1692627,6614809,29
"98","3764",,34033,339684,1343448,40,"D",0,0,0,7,"D",0,0,0,2,"D",0,0,0,2,"D",0,0,0,4,,413,3361,13849,6,"D",0,0,0,2,,1457,16427,62109,4,,4909,50404,187417,6,"D",0,0,0,7
"98","3769",,10052,83007,346083,57,"D",0,0,0,7,"D",0,0,0,6,"D",0,0,0,10,"D",0,0,0,10,"D",0,0,0,7,"D",0,0,0,9,"D",0,0,0,3,"D",0,0,0,4,"D",0,0,0,1
"98","3790",,44783,266678,1065314,962,,589,3816,14439,289,,1146,4265,18288,169,,2186,9835,39690,160,,5396,25016,107109,174,,5348,25071,106143,76,,10717,55282,215565,68,,5939,39414,162768,16,"D",0,0,0,4,"D",0,0,0,6
"98","3792",,14301,70714,282922,338,"D",0,0,0,102,"D",0,0,0,52,,695,2626,10829,51,"D",0,0,0,55,,1887,8977,36498,27,,7220,37462,145517,45,,2210,11882,49263,6,,0,0,0,0,,0,0,0,0
"98","3795",,13111,108300,417926,46,"D",0,0,0,1,"D",0,0,0,6,"D",0,0,0,8,"D",0,0,0,11,,532,3407,14732,7,"D",0,0,0,3,,1657,15535,59313,4,"D",0,0,0,1,,9102,76870,289585,5
"98","3799",,17263,87199,362640,568,"D",0,0,0,182,"D",0,0,0,110,"D",0,0,0,97,,3227,14621,61790,107,,2929,12687,54913,42,"D",0,0,0,20,,2072,11997,54192,6,,2279,12170,51059,3,"D",0,0,0,1
"98","3800",,965916,8172156,32179602,10264,,5713,34990,207683,2957,,10676,65590,283155,1590,,21373,136458,585473,1538,,54750,366361,1497689,1720,,64421,447870,1833266,906,,131922,945233,3789202,838,,125231,922420,3694953,352,,153307,1237455,4972183,212,,398523,4015779,15315998,151
"98","3810",,317926,3136763,12185755,861,,324,2362,9919,150,,730,4710,20518,106,,1708,11245,48873,120,,4924,36460,143284,151,,6877,51046,203531,99,,11504,96680,373731,72,,17837,139877,568830,49,,31762,299931,1156201,41,,242260,2494452,9660868,73
