"uscode","sic","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","----",,93476087,506640225,2104107477,6175563,,5852545,25639337,137517893,3345500,,8168423,34793650,149414335,1238541,,10352053,46565431,197704989,770301,,15384375,72313350,301711298,508596,,12029187,59688249,244870062,175375,,14615634,77910083,315729158,97742,,8309953,50331586,201942603,24334,,6551486,43872363,174198834,9592,,12212431,95526176,381018305,5582
"98","07--",,531010,1770827,8650036,84811,"D",0,0,0,55676,,107018,318946,1557412,16318,,110299,367002,1754428,8342,,97930,345400,1614361,3386,,48523,177592,763089,719,,42154,165016,692816,284,,20684,78145,325374,64,,12044,48917,204131,17,"D",0,0,0,5
"98","0700",,500048,1620665,7985961,81328,,82992,222048,1513166,53406,,103547,305521,1496924,15790,,105573,345993,1654541,7994,,91141,316403,1485559,3160,,44090,153225,670271,654,,36967,130716,566479,248,,17894,65862,270965,55,"D",0,0,0,16,"D",0,0,0,5
"98","0710",,3658,16361,77881,523,,589,1952,10713,327,,675,2775,13148,101,,848,3812,16912,61,,829,4020,17517,27,"D",0,0,0,5,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","0720",,36603,136611,640402,3265,,3230,12085,91037,1946,,3736,14731,76935,568,,4728,20363,103584,353,,7384,30786,135404,242,,6443,22071,83478,93,,7808,25957,111670,54,"D",0,0,0,8,"D",0,0,0,1,,0,0,0,0
"98","0740",,120886,409389,1884418,18214,,18950,53703,262292,8458,,39554,127840,585889,5929,,39895,141450,649896,3054,,19511,73603,331739,735,,2273,8555,37871,35,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","0750",,33659,98205,428595,7352,,9357,20924,102140,5407,,7946,19632,82533,1236,,6455,18613,79224,494,,4719,15930,65968,171,,1705,6965,28625,26,,1972,9621,39766,13,,1505,6520,30339,5,,0,0,0,0,,0,0,0,0
"98","0760",,10763,30968,135753,775,,694,3528,23624,473,,793,3319,16017,123,,1062,4351,18430,77,,1687,6312,24486,57,"D",0,0,0,21,,2513,3930,14678,18,"D",0,0,0,5,"D",0,0,0,1,,0,0,0,0
"98","0761",,4054,9305,49200,195,,88,264,5751,105,,217,617,4817,34,,332,1223,5714,23,,432,1082,5504,15,"D",0,0,0,7,,1079,1963,7967,7,"D",0,0,0,4,,0,0,0,0,,0,0,0,0
"98","0762",,3549,15989,67052,405,,467,2525,12915,263,,398,2062,8980,62,,532,2561,11002,39,,824,4173,15450,27,,668,3456,13712,9,,660,1212,4993,5,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","0780",,274112,859077,4485151,46903,,45585,113560,920749,33596,,46540,122543,656377,7158,,49166,146147,733968,3693,,53337,173039,852261,1804,,30197,105823,478208,451,,22847,81318,358106,152,"D",0,0,0,30,,10269,43547,184758,14,"D",0,0,0,5
"98","0800",,17981,66506,287955,1798,,1565,5112,33281,1100,,1920,6683,31342,291,,2712,10126,42386,199,,4202,14020,62550,141,,2661,8197,31660,39,,3145,13832,54841,23,"D",0,0,0,4,"D",0,0,0,1,,0,0,0,0
"98","0900",,10555,62469,299401,1609,,1418,6298,50793,1145,,1449,5625,24684,223,,1823,8676,48069,134,,2253,12282,56654,73,,1486,12935,50658,22,,1220,12023,42368,9,,906,4630,26175,3,,0,0,0,0,,0,0,0,0
"98","098\",,2426,21187,76719,76,"D",0,0,0,25,,102,1117,4462,14,,191,2207,9432,15,,334,2695,9598,12,,286,3235,10500,4,,822,8445,29128,4,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","10--",,723190,6447526,26653197,30359,"D",0,0,0,14687,,33524,207287,906495,5049,,58778,381450,1649919,4295,,112993,833634,3499511,3709,,92301,753107,3080367,1344,,119254,1105075,4428729,788,,103034,1117974,4404901,306,,83286,864544,3487088,125,"D",0,0,0,56
"98","1000",,53033,453744,1862551,1060,,823,5886,36912,527,,850,6270,25040,129,,1731,12972,54303,127,,3562,30852,124094,115,,3433,29894,116311,50,,10984,95122,388479,67,,5811,50564,205525,18,,11838,104057,417810,18,,14001,118127,494077,9
"98","1010",,8774,76992,301138,52,,52,448,1487,25,,28,144,627,4,,81,537,1678,6,,168,562,2241,6,,0,0,0,0,"D",0,0,0,2,"D",0,0,0,2,,3167,29355,113149,4,"D",0,0,0,3
"98","1020",,12858,108747,443490,47,,16,105,774,8,,35,291,1553,6,"D",0,0,0,8,,183,2665,8771,5,"D",0,0,0,2,,987,8814,34645,5,"D",0,0,0,1,"D",0,0,0,9,"D",0,0,0,3
"98","1030",,2582,23010,92008,36,,18,79,404,11,,0,0,0,0,,84,887,3200,6,"D",0,0,0,2,"D",0,0,0,5,,1236,12280,46450,9,"D",0,0,0,3,,0,0,0,0,,0,0,0,0
"98","1040",,18721,164068,689973,316,,192,1237,12471,131,,239,1611,6338,36,,529,4297,18882,39,,1372,13410,51689,42,,1392,12775,50877,19,,5295,45999,191862,33,,2956,24682,102277,9,,2215,20974,83023,4,,4531,39083,172554,3
"98","1041",,16768,148673,631391,280,,161,1090,12003,115,"D",0,0,0,34,,447,3977,17807,34,,1181,11798,45994,36,,1392,12775,50877,19,,4472,38010,162446,28,"D",0,0,0,7,,2215,20974,83023,4,,4531,39083,172554,3
"98","1044",,1813,14481,55873,31,,31,147,432,14,"D",0,0,0,2,,57,272,895,3,,191,1612,5695,6,,0,0,0,0,,708,7123,26923,4,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","1060",,2143,17576,70292,45,,48,367,1504,26,,55,409,1644,8,,43,215,1218,3,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,4,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0
"98","1080",,3395,28131,120402,218,,192,1916,10121,117,,172,1564,5896,25,,442,3041,12996,31,,786,6156,26184,27,,896,7651,29325,13,,907,7803,35880,5,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1090",,3786,31201,126365,160,"D",0,0,0,69,"D",0,0,0,26,"D",0,0,0,24,,624,5740,26049,20,,659,5766,21276,11,,1441,11150,42923,9,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1094",,1814,15731,63929,79,"D",0,0,0,26,,102,834,3193,16,,163,1629,6253,13,"D",0,0,0,11,"D",0,0,0,9,,604,4686,16854,4,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1099",,1970,15444,62345,80,"D",0,0,0,42,"D",0,0,0,10,"D",0,0,0,11,"D",0,0,0,9,"D",0,0,0,2,,837,6464,26069,5,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1200",,144182,1363228,5492347,3312,,1479,9512,109224,999,,2970,17204,74417,439,,8003,49472,198117,570,,22299,167579,681721,722,,18108,150457,616657,258,,28656,294306,1166260,179,,37403,407706,1587790,110,,21488,227570,899539,32,,3776,39422,158622,3
"98","1220",,130695,1267966,5071533,2468,,962,5757,68305,649,"D",0,0,0,312,,6178,39138,153144,438,,16753,128983,526601,540,,15295,129795,526185,217,,26991,278284,1104840,168,"D",0,0,0,109,,21488,227570,899539,32,,3776,39422,158622,3
"98","1221",,55123,517325,2105097,1226,"D",0,0,0,325,,1266,7791,31680,188,,2846,18318,75107,204,,7450,58472,244224,240,,9151,81841,328597,132,,13810,141734,571668,91,"D",0,0,0,38,,5276,53711,217308,7,"D",0,0,0,1
"98","1222",,73190,737850,2902410,1016,,321,2008,27087,211,,650,4273,17445,95,"D",0,0,0,193,,8189,64116,255725,263,,5848,46107,190809,80,,13053,136274,531793,76,,23477,265039,1018677,71,,16212,173859,682231,25,"D",0,0,0,2
"98","1230",,867,5752,23748,27,,22,107,501,11,,23,109,656,4,"D",0,0,0,1,,234,1540,6321,8,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1240",,4882,38938,168494,243,,188,941,10534,90,,306,1825,7876,45,,485,3060,13885,34,,1439,10694,42406,46,,1322,10405,46070,20,,1142,12013,47723,8,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1300",,291970,2221138,9452601,19210,,19087,109050,595104,11079,,20649,128180,537779,3152,,30331,196650,833132,2233,,51251,366093,1539034,1688,,41381,293587,1229276,603,,45835,371020,1517238,310,,29753,259364,1091250,88,,27311,238740,1006078,40,,26372,258454,1103710,17
"98","1310",,101800,954614,3927615,7443,,8538,51625,238936,4708,,8096,56240,231204,1245,,9509,75044,296937,714,,14109,128526,510469,460,,10886,105024,425535,156,,15052,149247,577332,101,"D",0,0,0,36,,9640,99697,395430,14,"D",0,0,0,9
"98","1320",,10677,101323,405774,549,,320,3096,14858,145,"D",0,0,0,100,,1558,14646,57018,115,,4556,43042,171263,148,,2062,18949,74542,32,,1076,11168,45459,8,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1380",,175778,1142978,5002940,10058,,9112,47435,291023,5254,"D",0,0,0,1697,,18561,102608,460328,1352,,32004,190564,838763,1061,,28041,168238,723664,410,,29504,209319,890025,199,,16840,124365,528362,51,,17671,139043,610648,26,"D",0,0,0,8
"98","1381",,50683,321028,1383102,1798,,1503,8372,59637,815,"D",0,0,0,261,,3326,17589,79433,236,,7479,42053,190617,242,,9613,57959,249574,135,,12067,78279,324008,79,,7227,50953,213296,21,,4513,30716,130052,7,"D",0,0,0,2
"98","1382",,13554,110195,465182,1401,,1576,9988,48497,991,,1133,8821,37968,171,,1574,12101,52331,116,,2275,20102,84487,74,,1761,11463,49218,26,,2151,19120,74038,14,,3084,28600,118643,9,,0,0,0,0,,0,0,0,0
"98","1389",,105052,679674,2972234,5643,"D",0,0,0,2591,,7126,38379,160887,1086,,12042,65401,295487,879,,20916,122989,540260,699,,16206,96811,416057,242,,14454,105462,460922,100,,6529,44812,196423,21,,13158,108327,480596,19,"D",0,0,0,6
"98","1400",,102737,677625,3039780,5409,"D",0,0,0,1778,,7622,39888,202677,1121,,15925,88867,428719,1162,,28055,174286,782406,939,,17730,119767,522279,265,,16330,114184,489981,113,,7851,70806,283005,24,,2836,26635,103071,5,"D",0,0,0,2
"98","1410",,1963,8697,41961,190,"D",0,0,0,93,,206,803,4076,31,,444,1785,7787,33,,738,3261,15552,27,,295,1632,7126,5,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1420",,37956,241362,1117593,1749,,782,3869,27892,381,,1999,10414,55927,284,,6757,37456,180486,475,,13016,83612,371732,439,,8442,57230,252672,124,,5893,39722,183003,42,,1067,9059,45881,4,,0,0,0,0,,0,0,0,0
"98","1422",,25232,157942,742760,1180,"D",0,0,0,265,,1397,7287,39336,195,,4684,25700,127323,333,,7956,49769,228938,272,,5579,38045,166168,81,,4789,32226,151610,33,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1423",,5589,37422,160798,206,"D",0,0,0,15,"D",0,0,0,19,,805,4738,20234,52,,2857,18407,78761,97,,1295,9327,38618,20,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1429",,7117,45933,213781,360,,216,1024,6558,100,"D",0,0,0,68,,1268,7018,32929,90,,2203,15436,64033,70,,1568,9858,47886,23,"D",0,0,0,7,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","1440",,29978,181265,873707,2331,"D",0,0,0,821,,3980,21230,107915,593,,6460,36644,185431,488,,9889,62732,289431,334,,4949,30961,142756,76,,2463,17883,78697,17,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","1442",,26360,158551,775316,2146,,1527,7630,49819,765,,3756,19621,101659,559,"D",0,0,0,457,,8516,54273,253447,291,,3849,23992,112030,58,"D",0,0,0,14,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","1446",,3582,22572,97167,173,"D",0,0,0,46,,219,1593,6140,33,"D",0,0,0,30,,1373,8459,35984,43,,1100,6969,30726,18,"D",0,0,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1450",,8543,64443,238828,165,"D",0,0,0,36,"D",0,0,0,22,,260,2124,6863,19,,1355,7859,33363,41,,1595,12010,45582,23,,2609,16806,69161,18,"D",0,0,0,5,"D",0,0,0,1,,0,0,0,0
"98","1455",,3675,33710,120585,36,"D",0,0,0,3,,0,0,0,0,"D",0,0,0,3,,368,2060,8431,11,,693,6263,21717,10,"D",0,0,0,4,"D",0,0,0,5,,0,0,0,0,,0,0,0,0
"98","1459",,4854,30697,118048,128,"D",0,0,0,33,"D",0,0,0,22,"D",0,0,0,15,,987,5799,24932,30,,902,5747,23865,13,"D",0,0,0,14,,0,0,0,0,"D",0,0,0,1,,0,0,0,0
"98","1470",,13419,119397,486478,118,,71,768,5465,34,,98,525,1949,15,,106,869,2998,8,,396,2780,11938,11,,741,6762,27378,12,,3297,26402,102347,21,,3945,37336,149734,12,"D",0,0,0,3,"D",0,0,0,2
"98","1474",,5718,57858,240290,24,"D",0,0,0,2,,20,130,494,3,"D",0,0,0,1,"D",0,0,0,3,"D",0,0,0,2,"D",0,0,0,2,"D",0,0,0,7,"D",0,0,0,3,"D",0,0,0,1
"98","1475",,4168,32376,133146,28,"D",0,0,0,5,"D",0,0,0,2,"D",0,0,0,3,"D",0,0,0,5,"D",0,0,0,2,"D",0,0,0,8,"D",0,0,0,2,,0,0,0,0,"D",0,0,0,1
"98","1479",,3356,27999,108314,61,,48,571,4768,26,,60,335,1158,9,,48,488,1862,4,,119,1012,3424,3,,340,3631,14338,5,,1765,13306,49670,11,,976,8656,33094,3,,0,0,0,0,,0,0,0,0
"98","1480",,1817,11452,58035,161,"D",0,0,0,60,,313,1947,9196,44,,498,3055,13968,37,,377,2086,9430,13,,373,2822,13989,6,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1490",,6786,41241,171564,304,,246,1183,6657,122,,277,1643,7865,41,,727,3792,17162,53,,1739,9831,40580,56,,1199,7854,30251,17,"D",0,0,0,13,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0
"98","149\",,131268,1731791,6805918,1368,,650,8182,68754,304,,1433,15745,66582,208,,2788,33489,135648,203,,7826,94824,372256,245,,11649,159402,595844,168,,17449,230443,866771,119,,22216,329534,1237331,66,,19813,267542,1060590,30,,47444,592630,2402142,25
"98","15--",,5239067,30059735,132474633,578375,,598094,2424703,13427708,350706,,726035,3247340,14314946,110670,,859438,4420275,19373907,64264,,1105349,6521531,28321634,37287,,676018,4428014,18929802,9973,,629709,4375320,18596584,4325,,290102,2110171,8902570,861,,130672,949799,3952398,194,,223650,1582582,6655084,95
"98","1500",,1352043,7870301,33684199,177267,,193339,846412,4485973,116590,,208194,951943,4025976,32037,,217059,1139009,4781256,16326,,259189,1576503,6558288,8774,,151432,1030224,4217310,2239,,148225,1075265,4383536,1013,,71243,560488,2228749,211,,35256,236642,989509,51,,68106,453815,2013602,26
"98","1510",,899616,5545390,23785242,86607,,91240,382190,1969593,52213,,104928,488000,2062143,16032,,126618,699063,2960516,9442,,181890,1165991,4922950,6067,,121176,842379,3502872,1791,,119946,850726,3600836,819,,58806,466217,1913203,175,"D",0,0,0,44,"D",0,0,0,24
"98","1530",,120522,891768,3415018,10396,,10925,68710,333575,5899,,13572,76792,326811,2064,,16748,107419,436442,1245,,23883,181900,701373,780,,15497,132235,488464,227,,21654,198270,689940,143,,10685,88141,293212,30,"D",0,0,0,6,"D",0,0,0,2
"98","1600",,734499,4731132,23351412,31865,,23849,111552,849812,14050,,38114,193136,1085023,5700,,68732,379953,2098024,5032,,132349,786439,4101559,4335,,107671,686075,3458448,1568,,123449,826876,4076010,842,,77310,567645,2595519,232,,37036,259188,1209766,55,,125989,920268,3877251,51
"98","1610",,215161,1321104,7564338,8476,,5018,25535,261872,3140,,9819,53164,380460,1443,,20205,112797,762991,1472,,43537,254422,1587799,1418,,38115,238017,1296978,554,,51147,322197,1750703,351,,27464,183938,891722,83,,5733,39884,203200,9,,14123,91150,428613,6
"98","1620",,494498,3293429,15198859,20299,,16026,72324,477715,9134,,23879,119551,599707,3596,,43099,242407,1218948,3154,,83108,505111,2397252,2717,,67281,436047,2098849,980,,70612,495641,2281301,479,,49846,383707,1703797,149,,31303,219304,1006566,46,,109344,819337,3414724,44
"98","1700",,3130012,17195672,74413571,368845,,380747,1464540,8082459,219987,,479223,2095947,9168718,72861,,572757,2890196,12450632,42839,,711155,4125183,17537584,24093,,413506,2661246,11060593,6119,,354317,2426521,9962288,2443,,137958,949449,3919984,406,"D",0,0,0,81,"D",0,0,0,16
"98","1710",,645154,4009130,16934788,71791,,75060,319035,1529480,40579,,100385,497354,2082724,15226,,123299,706397,2973022,9206,,146145,965695,4056002,4956,,84185,613538,2558535,1251,,69443,560793,2310935,478,,25703,206289,901247,75,"D",0,0,0,16,"D",0,0,0,4
"98","1720",,164917,725796,3321472,29393,,32508,104703,605116,20326,,32922,120465,540984,5044,,32902,139946,623074,2484,,35213,183706,796482,1209,,16465,91663,401170,246,,10289,57545,244056,70,,4618,27768,110590,14,,0,0,0,0,,0,0,0,0
"98","1730",,528603,3464319,14628923,52201,,54428,237095,1168806,29337,,71343,358458,1521970,10834,,87680,509130,2139860,6560,,114209,751668,3170064,3839,,69385,516694,2157296,1023,,69110,541581,2273819,463,,38211,321914,1317290,113,,18084,164832,658713,27,,6153,62947,221105,5
"98","1740",,461136,2328808,9722950,43211,,42706,150241,861809,24341,,55903,217544,941549,8477,,70995,324375,1345897,5245,,104806,557960,2313598,3492,,72856,428252,1724580,1066,,69775,403323,1581680,485,,29964,159789,623659,86,"D",0,0,0,17,"D",0,0,0,2
"98","1741",,168297,711087,3119470,21572,,23190,71948,436305,13196,,29124,99179,452898,4442,,30408,120848,515162,2263,,36416,169018,706425,1227,,20035,113112,453648,293,,18286,92354,376732,126,,7644,30551,125891,21,"D",0,0,0,3,"D",0,0,0,1
"98","1742",,255043,1413235,5751599,16005,,13218,55110,311230,7366,,20852,92727,383031,3127,,33355,166192,675104,2445,,59324,334140,1377678,1964,,47366,279133,1122758,691,,47671,283448,1106261,332,,22320,129238,497768,65,"D",0,0,0,14,"D",0,0,0,1
"98","1743",,33109,190529,790569,4541,,5116,19790,93708,2963,,4790,22487,92519,729,,6404,34601,144311,475,,8261,52068,218701,272,,5166,35221,145723,78,,3372,26362,95607,24,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1750",,222714,1028800,4248495,38818,,46007,161412,784151,27454,,41666,167418,680207,6436,,39978,188097,767121,3022,,40802,225847,916985,1410,,22248,127409,501968,326,,22167,114890,446637,146,"D",0,0,0,18,"D",0,0,0,6,,0,0,0,0
"98","1751",,171123,768984,3156476,29267,,35140,124308,607885,20742,,31460,123773,500434,4880,,29250,133664,541898,2218,,30328,162538,657144,1048,,15667,86827,334720,229,,19736,97316,374878,127,"D",0,0,0,17,"D",0,0,0,6,,0,0,0,0
"98","1752",,47256,246178,1035833,8172,,9215,32177,152786,5592,,8989,39626,164345,1367,,10059,51978,216115,752,,10168,62278,255956,350,,6345,40162,165758,93,"D",0,0,0,17,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1760",,216752,1039061,4631699,23200,,22343,73095,424304,12731,,30765,113699,520649,4645,,41085,180607,810675,3042,,62055,320574,1404339,2098,,33505,194308,815416,508,,21797,132228,557615,162,"D",0,0,0,12,"D",0,0,0,2,,0,0,0,0
"98","1770",,198241,944761,4551681,21496,,20015,70660,570146,12112,,29278,109720,568987,4445,,36676,154907,758976,2737,,46080,222914,1007612,1553,,30229,163379,715550,449,,24456,149830,638580,174,"D",0,0,0,24,,0,0,0,0,"D",0,0,0,2
"98","1780",,18128,96637,425493,3261,,4005,14257,72569,2104,,4531,20169,88068,696,,4033,22512,97411,308,,3916,27127,114103,130,"D",0,0,0,21,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1790",,485774,2772695,12253302,51830,,51031,200280,1164690,29207,,69317,312454,1413377,10491,,90035,467728,2078274,6726,,115170,692913,3006630,3890,,69975,460473,1932240,1032,,58695,428176,1760220,408,,20380,133910,577299,61,"D",0,0,0,13,"D",0,0,0,2
"98","1791",,60697,400579,1736633,3356,"D",0,0,0,1135,,4639,24676,108181,697,,9771,57359,250446,702,,16710,106294,453476,554,,11831,81387,345615,177,,11124,85132,355834,79,,3714,29870,130483,11,"D",0,0,0,1,,0,0,0,0
"98","1793",,39060,236266,963797,4013,,3831,16025,75040,1805,,7195,37160,151206,1076,,8785,52056,217104,656,,11252,74882,302857,388,,5151,35159,139788,74,"D",0,0,0,12,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0
"98","1794",,101144,524493,2580042,15376,,16906,64998,385556,9934,,19100,80912,401065,2926,,20184,96010,471970,1529,,21227,121914,584161,733,,11963,74450,340335,182,,8662,61838,283988,62,,3102,24371,112967,10,,0,0,0,0,,0,0,0,0
"98","1795",,11961,68515,299608,832,"D",0,0,0,360,,1235,6235,28490,183,,1888,10757,45277,137,,3323,20309,88513,106,,2299,14056,62508,32,,1779,12279,47727,12,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","1796",,64454,556706,2216058,3040,"D",0,0,0,1090,,3890,26932,107911,582,,7828,58719,238664,574,,14473,128006,505595,479,,13193,119196,451618,190,,15762,151591,589129,111,,2724,23489,88923,8,,3238,24249,112739,5,"D",0,0,0,1
"98","1799",,196971,943815,4263852,22471,,22271,81715,483411,12830,,30468,126673,576449,4591,,39295,184842,818785,2954,,46299,234208,1044883,1566,,24796,134317,583892,365,,19137,101725,426059,130,,9271,47082,209269,28,"D",0,0,0,6,"D",0,0,0,1
"98","179\",,22513,262630,1025451,398,,159,2199,9464,79,,504,6314,35229,72,,890,11117,43995,67,,2656,33406,124203,85,,3409,50469,193451,47,,3718,46658,174750,27,,3591,32589,158318,12,"D",0,0,0,7,"D",0,0,0,2
"98","20--",,19173382,133805915,544058204,378087,,231002,1066080,6271632,123013,,441053,2111659,9020643,65422,,833229,4386123,18591051,60467,,1891127,10761191,45081112,60502,,2139947,12746465,52344331,30532,,3716918,23168337,93944003,24102,,2941056,19204105,77265938,8519,,2490302,18078323,72399731,3658,,4488748,42283632,169139763,1872
"98","2000",,1452803,8074222,34082211,20492,,9180,35027,270602,5110,,19877,72093,325411,2916,,42042,171606,774156,3031,,117634,565706,2478297,3699,,158703,850968,3627419,2243,,329470,1880454,7967282,2095,,306568,1789160,7405311,875,,267498,1566323,6463634,395,,201831,1142885,4770099,128
"98","2010",,371386,1597142,6751449,3111,,1577,5016,42834,818,,2794,9529,37492,417,,5216,19212,82448,381,,14928,67679,288335,477,,21625,100225,423799,309,,48253,233075,977207,297,,70859,307453,1267997,198,,99034,413543,1756330,142,,107100,441410,1875007,72
"98","2011",,119172,543773,2313735,1295,,905,2468,22876,456,,1329,4613,17830,202,,2362,8105,33431,172,,5643,22594,96485,184,,6665,28618,113896,95,,12459,55672,233934,80,,16810,79555,317024,47,,19469,100393,422676,27,,53530,241755,1055583,32
"98","2013",,78799,432249,1771576,1173,,473,1591,8651,222,,1163,3832,15259,172,,2272,9183,39325,166,,7419,36782,155899,235,,11590,59606,256605,166,,21959,125694,520762,136,,19712,106350,418321,56,,10060,64156,254877,17,,4151,25055,101877,3
"98","2015",,170850,612339,2624795,472,,78,573,7324,47,,139,613,2514,20,,292,1095,5759,21,,1288,6230,26337,39,,2830,10159,45182,40,,12962,48527,208703,75,,34337,121548,532652,95,,69505,248994,1078777,98,,49419,174600,717547,37
"98","2020",,140154,856386,3546334,2123,"D",0,0,0,375,"D",0,0,0,249,,4161,17550,74929,298,,13463,68031,291368,411,,25216,150684,623316,349,,53318,326250,1336913,341,,26082,162026,666230,79,,11361,90266,366061,18,"D",0,0,0,3
"98","2021",,1903,11946,49773,46,,32,79,365,12,,19,103,553,3,,102,498,2289,7,"D",0,0,0,10,"D",0,0,0,8,,808,5523,21249,6,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","2022",,34570,180804,775261,570,,177,694,3750,85,,525,1647,8029,76,,1508,5540,24088,108,"D",0,0,0,117,,6906,34830,151353,98,,8666,48233,199876,56,,7920,39907,169887,24,"D",0,0,0,4,"D",0,0,0,2
"98","2023",,13178,96480,397945,173,"D",0,0,0,22,,77,427,1665,10,,394,2234,9495,28,,1374,8341,33901,44,"D",0,0,0,42,,2101,14448,56453,15,,2244,16229,67440,7,,2561,21744,85711,4,"D",0,0,0,1
"98","2024",,20737,116045,499468,470,,198,1803,6728,130,"D",0,0,0,72,,973,4031,17019,70,,3078,15092,68371,96,,3164,19216,78670,43,,7381,40612,178031,45,,3896,22544,96982,12,"D",0,0,0,2,,0,0,0,0
"98","2026",,69308,449498,1815690,803,,191,1005,5082,89,,551,2314,11071,79,,1056,4846,20034,76,,4702,24518,100388,140,,11472,72466,293456,156,,34362,217434,881304,219,,12022,83346,331921,36,,4952,43569,172434,8,,0,0,0,0
"98","2030",,187979,934167,4296350,1863,,665,2624,21329,381,,1432,5362,28401,214,,3261,14363,80228,240,,10346,49216,265053,327,,15483,80916,420648,217,,45670,227513,1099079,286,,39518,203998,900487,113,,45412,214762,923241,67,,26192,135413,557884,18
"98","2032",,22928,147341,584107,202,,101,407,2438,52,,224,521,2084,33,,377,1321,5691,27,,804,2746,10333,27,,1392,7037,30579,18,,3265,18313,81456,21,,3971,32035,94492,11,,5150,27315,121472,8,,7644,57646,235562,5
"98","2033",,48316,249706,1340088,598,"D",0,0,0,114,,315,1250,7851,47,,1002,4873,30519,73,,4116,21592,138338,128,,6550,36345,212475,94,,15036,73059,398435,96,,11125,61241,316833,33,"D",0,0,0,12,"D",0,0,0,1
"98","2034",,10527,51926,245707,138,"D",0,0,0,29,,159,544,3732,23,,240,924,5832,18,,733,3631,17764,22,"D",0,0,0,12,,3895,18936,84814,24,,2093,9217,42598,6,,2492,14424,69005,4,,0,0,0,0
"98","2035",,18882,107569,488220,362,"D",0,0,0,86,"D",0,0,0,62,"D",0,0,0,52,,2088,9854,44497,68,"D",0,0,0,32,,7653,43044,203839,48,,3031,15891,77474,10,"D",0,0,0,4,,0,0,0,0
"98","2037",,46414,199540,891298,238,,59,449,4356,28,"D",0,0,0,17,"D",0,0,0,23,"D",0,0,0,26,"D",0,0,0,34,,8550,40623,189535,54,,10052,44413,196152,27,,16491,64708,273931,23,"D",0,0,0,6
"98","2038",,40074,175946,738180,277,,67,265,2806,43,,195,641,2753,30,,515,1787,7893,38,,1571,6910,30073,50,,1838,7864,34816,26,,7271,33538,141000,43,,8846,40482,169677,25,,11042,51055,206299,16,,8729,33404,142863,6
"98","2040",,103829,741244,3014084,2524,"D",0,0,0,531,"D",0,0,0,449,,7486,38758,160559,523,,18432,108674,447009,584,,15023,91908,366257,215,,22639,159668,655957,149,,16962,130843,542078,48,,15407,148996,585347,23,"D",0,0,0,2
"98","2041",,12846,85614,368033,348,,139,496,2151,66,,372,1435,6050,55,,855,4774,19577,58,,3077,19742,82751,94,,2816,19911,80140,40,,4272,31008,141468,31,,1315,8248,35896,4,,0,0,0,0,,0,0,0,0
"98","2043",,15748,169306,688418,57,"D",0,0,0,9,,45,214,1090,6,,93,431,2047,6,,216,1994,6535,6,,322,2022,8969,4,"D",0,0,0,4,,3374,34847,142747,9,,7538,81172,332751,11,"D",0,0,0,2
