s o p   pedestal     gain      rms  nevt  dped     dgain     drms
1 1 1 1841.663208 11.443394 1.576924 79 2.745972 0.630819 0.036762
1 1 2 1836.836182 12.593625 1.480487 80 1.595581 0.564538 0.032687
1 1 3 1824.027710 11.554703 1.673883 94 2.066406 0.558427 0.047096
1 1 4 1815.384644 11.816719 1.533636 96 1.672241 0.496303 0.033199
1 1 5 1817.161133 11.983569 1.514663 95 1.720215 0.749704 -0.034451
1 1 6 1829.663208 11.126821 1.705875 96 2.220459 0.578069 0.021948
1 2 1 1782.048706 11.140550 2.565811 95 3.168579 0.959405 0.055442
1 2 2 1834.209473 11.848438 1.782364 96 2.224976 0.835835 -0.033605
1 2 3 1776.915527 11.332137 2.158125 96 2.742554 0.877073 0.043427
1 2 4 1848.881714 11.520116 1.737158 95 2.273682 0.835423 -0.012295
1 2 5 1799.551636 11.678599 1.680126 95 1.332275 1.028200 -0.056453
1 2 6 1767.805664 11.249886 2.303177 96 1.106079 0.914021 0.043437
1 3 1 1778.580444 12.368737 2.449968 95 0.345703 0.827344 -0.037893
1 3 2 1813.724121 12.404513 3.013437 96 4.750854 0.966254 0.187875
1 3 3 1819.329956 12.696329 3.343191 94 1.631104 0.255551 0.191307
1 3 4 1814.992310 12.553192 3.571312 93 4.446045 0.641982 -0.218152
1 3 5 1780.057983 11.970492 2.210021 96 1.022949 0.771335 0.364447
1 3 6 1832.227417 10.816251 2.582573 96 2.446777 0.675095 0.019094
1 4 1 1840.062988 11.806233 1.648474 95 1.751831 0.747066 -1.057852
1 4 2 1811.886597 12.479918 1.361073 96 1.109741 0.673713 -0.432833
1 4 3 1828.344849 11.853375 1.433167 96 0.831543 0.421207 -0.311500
1 4 4 1808.507202 12.164537 1.367860 93 1.509888 0.643729 -0.275448
1 4 5 1800.149780 12.331915 1.321576 92 -2.897461 0.030877 -0.366028
1 4 6 1799.904053 12.267105 1.731779 95 0.940430 0.715441 -0.862873
1 5 1 1808.323975 12.528128 1.548463 95 1.061157 0.469570 -0.327990
1 5 2 1806.305786 12.254264 1.668674 95 1.491211 0.480681 -0.393118
1 5 3 1820.985718 12.900975 1.753610 95 0.933105 0.392260 -0.200464
1 5 4 1782.456177 12.540500 1.594813 96 0.677979 0.378529 -0.133146
1 5 5 1827.980103 12.402517 1.698906 95 1.046387 0.506769 -0.151463
1 5 6 1786.421875 12.307487 2.125010 95 0.736572 0.315993 -0.388969
1 6 1 1780.148804 12.151844 1.604208 96 1.186035 0.612804 -0.027958
1 6 2 1814.002441 11.832500 1.357375 96 1.627563 0.486460 0.007985
1 6 3 1825.603394 12.569429 1.455337 95 1.920410 0.531846 -0.033694
1 6 4 1823.118286 12.116815 1.630593 86 0.760376 0.501257 0.014988
1 6 5 1827.338379 12.694864 1.946652 95 1.993774 0.590425 -0.023274
1 6 6 1820.093750 11.997840 2.891958 95 0.706909 0.543457 -0.018126
1 7 1 1814.702637 11.251579 1.434937 95 0.897583 0.415474 -0.031500
1 7 2 1822.688477 12.410748 1.375667 96 1.677612 0.455831 -0.019583
1 7 3 1807.399780 12.208013 1.513906 96 1.489990 0.565603 0.074156
1 7 4 1798.205566 12.263022 1.382927 96 0.755371 0.469395 -0.001448
1 7 5 1789.394409 12.311062 1.419021 95 1.106201 0.572429 0.058821
1 7 6 1798.929199 11.950646 1.490636 96 1.520874 0.419191 0.025656
1 8 1 1857.610229 12.131001 2.191437 64 2.255493 0.610707 -0.021610
1 8 2 1772.788696 13.631202 1.722559 59 -1.399048 2.875751 0.021543
1 8 3 1787.074585 12.116718 1.598104 96 1.201904 0.496162 -0.019511
1 8 4 1788.550171 13.112395 1.703245 94 1.121826 0.275354 0.017412
1 8 5 1844.930176 12.392508 1.782521 94 1.825073 0.350152 -0.045721
1 8 6 1792.818481 11.804023 2.356178 95 1.871948 0.366226 -0.053085
2 1 1 1794.294312 14.902489 1.830742 155 0.729370 0.513635 -0.138735
2 1 2 1795.837524 12.796369 2.168362 152 1.130859 0.536841 -0.106683
2 1 3 1798.815918 12.830021 1.932071 154 0.409424 0.530674 -0.139477
2 1 4 1794.917969 13.201936 1.716510 155 1.167725 0.508897 -0.077574
2 1 5 1794.723022 12.779245 1.835713 146 1.122925 0.481892 -0.157057
2 1 6 1747.781616 13.603767 1.614897 154 0.277588 0.506831 -0.061520
2 2 1 1813.468140 14.134436 1.953843 153 0.450684 0.550893 0.060251
2 2 2 1800.572021 13.210704 1.995159 157 5.481445 0.365479 -23.391861
2 2 3 1805.924072 13.219158 2.054288 156 0.967407 0.420690 0.080249
2 2 4 1790.594727 13.148008 1.777115 157 0.549927 0.460195 0.026939
2 2 5 1803.633301 13.114467 1.982538 158 0.675903 0.423768 0.031305
2 2 6 1803.313721 14.428828 1.567756 152 6.368652 0.426203 -22.262030
2 3 1 1804.116577 11.676848 1.771426 155 1.352661 0.527967 -0.036275
2 3 2 1762.866943 9.852909 1.965987 152 0.770874 0.471805 0.039678
2 3 3 1776.226929 14.451032 2.067969 157 0.885742 0.395514 0.021618
2 3 4 1808.548584 12.521675 1.820616 159 0.800171 0.401760 0.014754
2 3 5 1789.731323 13.453409 1.823298 154 -0.081421 0.414552 -0.003446
2 3 6 1783.054688 13.468503 1.720813 155 1.039307 0.507861 0.015813
2 4 1 1776.021362 15.399392 2.343955 154 0.589111 0.404070 0.014065
2 4 2 1789.215576 13.471678 2.300711 159 0.430420 0.393631 -0.002006
2 4 3 1806.895630 13.262075 2.524443 158 0.914551 0.403831 -0.034343
2 4 4 1808.980713 12.661531 2.052911 159 0.609863 0.576794 -0.031820
2 4 5 1786.103394 14.133039 2.398961 156 0.260864 0.339433 0.026093
2 4 6 1789.932007 14.143179 1.993918 158 0.178101 0.347208 -0.001956
2 5 1 1810.474976 15.767751 1.881352 156 1.043091 0.482183 -0.132404
2 5 2 1785.479004 13.988640 2.338557 122 1.208496 0.477584 -0.152564
2 5 3 1804.982178 14.229241 2.025237 156 0.907471 0.471097 -0.121851
2 5 4 1778.790161 13.579970 2.061426 148 0.564697 0.463165 -0.151313
2 5 5 1793.474609 14.303609 2.013938 146 0.511108 0.449584 -0.135552
2 5 6 1793.419434 13.389006 1.720893 150 0.678833 0.462522 -0.116859
2 6 1 1772.229614 14.358964 2.113123 155 0.299072 0.456877 -0.101362
2 6 2 1835.051025 13.500716 2.506907 150 1.843750 0.445347 -0.066367
2 6 3 1808.570679 13.102754 2.363452 157 1.069092 0.470253 -0.036579
2 6 4 1787.774536 12.600062 2.054510 155 0.224854 0.440835 -0.060950
2 6 5 1777.457031 13.502912 2.202415 152 0.324463 0.465802 -0.056490
2 6 6 1830.322998 13.489168 1.999384 151 2.276001 0.472490 -0.017061
2 7 1 1815.309692 15.266906 1.775207 155 2.334595 0.460394 -0.444283
2 7 2 1830.797974 12.601965 2.218733 157 2.522217 0.381031 -0.098292
2 7 3 1824.978638 14.052198 2.205767 154 1.633667 0.442562 -0.084077
2 7 4 1810.298218 12.251032 1.922980 157 2.594116 0.481660 -0.408710
2 7 5 1800.960693 13.909761 2.017630 154 1.304688 0.456709 -0.112228
2 7 6 1818.498413 13.496269 1.918217 152 0.868774 0.395263 -0.042725
2 8 1 1811.658813 15.070659 1.772237 156 0.481201 0.235920 0.051130
2 8 2 1843.734375 13.306799 2.213474 154 2.197266 0.207705 0.051662
2 8 3 1825.329346 14.209114 1.715442 156 1.840088 0.264873 -0.005888
2 8 4 1798.548096 12.879444 1.884639 158 1.156982 0.296425 0.030369
2 8 5 1824.939697 13.744029 1.650556 153 1.546387 0.308530 -0.021677
2 8 6 1860.361938 14.482100 1.535525 158 1.894165 0.277114 0.014357
3 1 1 1839.847656 18.019215 1.809815 237 1.555664 0.432570 -0.003324
3 1 2 1840.145508 16.961657 2.186488 236 1.468140 0.447510 -0.009794
3 1 3 1823.357056 19.141500 2.361460 237 1.255615 0.301327 0.025090
3 1 4 1818.319458 14.676950 2.227646 235 1.169678 0.384747 -0.039283
3 2 1 1793.424927 17.127142 1.649505 238 0.761841 0.308178 -0.062058
3 2 2 1789.171143 18.394762 1.729526 230 -1.722534 0.558439 -0.076682
3 2 3 1832.106934 18.818060 1.728824 239 1.410034 0.422600 -0.156078
3 2 4 1814.605347 15.753999 1.795169 236 1.094116 0.517859 -0.124957
3 3 1 1790.278809 17.479643 2.258964 215 1.038574 0.386141 0.049903
3 3 2 1786.715088 18.648470 2.706605 213 1.701660 0.532059 0.045717
3 3 3 1815.796387 19.850494 2.803439 214 1.176636 0.261265 0.020476
3 3 4 1811.234497 15.917166 3.002460 204 1.132812 0.685841 0.061229
3 4 1 1776.207886 15.999974 1.795084 237 0.066895 0.434504 0.004113
3 4 2 1780.969849 17.515453 2.026302 235 -0.027222 0.627350 0.000269
3 4 3 1772.008911 17.586489 2.167795 239 0.073608 0.479422 0.006695
3 4 4 1773.569824 15.831031 2.516348 239 0.449097 0.452759 -0.049117
3 5 1 1801.751221 16.084599 1.858583 240 1.428223 0.603865 0.050963
3 5 2 1801.310181 17.363140 2.014134 239 1.343384 0.567898 0.072724
3 5 3 1784.661987 17.965042 2.044172 238 1.644165 0.727997 0.060214
3 5 4 1774.234863 15.658488 2.301668 232 0.514160 0.469639 0.078806
3 6 1 1824.632080 18.058241 2.092931 231 2.447632 0.416380 0.345557
3 6 2 1826.304077 17.575575 2.263813 236 1.440186 0.498865 0.390131
3 6 3 1823.955933 19.397116 2.043008 240 1.641724 0.441587 0.296746
3 6 4 1818.709229 16.438429 2.082622 235 1.447876 0.388527 0.298660
3 7 1 1809.658447 16.975845 1.722236 237 0.793579 0.364801 -0.275089
3 7 2 1817.597290 18.773748 1.719270 233 1.641602 0.510300 -0.314794
3 7 3 1792.876953 18.528191 1.979738 240 1.185425 0.353758 0.028379
3 7 4 1791.206055 16.302916 1.849983 239 1.177979 0.450270 -0.020092
3 8 1 1787.457153 16.667765 1.555412 238 1.078857 0.418461 0.066625
3 8 2 1784.536621 17.935892 1.688803 233 0.717041 0.417648 -0.011943
3 8 3 1814.374634 18.804434 1.705803 239 1.147461 0.456068 0.086586
3 8 4 1814.152344 16.082104 1.722146 239 1.556885 0.420491 0.012711
