UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
N,1,2005,999,289252010,141313658,147938352,114749834,118155456,16785554,19458694,1378968,1407952,5971434,6391416,251434,248950,2176434,2275884,116639114,120113353,17631247,20364417,2127577,2221961,6783897,7217768,477348,483653,120119867,127737214,95091965,99525894,16046268,18663145,1056511,1114206,5843399,6258905,194850,196778,1886874,1978286,96723676,101221365,16759145,19430926,1698509,1818261,6572404,6998017,389453,398655,21193791,20201138,19657869,18629562,739286,795549,322457,293746,128035,132511,56584,52172,289560,297598,19915438,18891988,872102,933491,429068,403700,211493,219751,87895,84998
N,1,2005,0,4087202,2090931,1996271,1589142,1513927,315458,304912,20978,20091,92034,86923,4179,3818,69140,66600,1653013,1575471,356580,344473,26623,25769,118013,111844,6582,6047,1603155,1527981,1138131,1080884,295860,286290,18170,17420,88782,83709,2899,2623,59313,57055,1192761,1133429,331391,320460,22527,21789,111465,105457,4930,4505,487776,468290,451011,433043,19598,18622,2808,2671,3252,3214,1280,1195,9827,9545,460252,442042,25189,24013,4096,3980,6548,6387,1652,1542
N,1,2005,1,4070164,2082341,1987823,1592938,1517567,307037,297530,20399,19779,89974,84801,3960,3551,68033,64595,1655920,1577387,347622,336175,26044,25279,115365,108623,6131,5640,1611623,1536149,1152619,1094865,292960,284126,17650,17083,87315,82181,2887,2596,58192,55298,1206322,1145928,327876,317464,22026,21351,109478,102914,4683,4357,470718,451674,440319,422702,14077,13404,2749,2696,2659,2620,1073,955,9841,9297,449598,431459,19746,18711,4018,3928,5887,5709,1448,1283
N,1,2005,2,4009744,2050644,1959100,1572069,1496818,303654,295368,19814,19424,87227,82682,3589,3270,64291,61538,1631341,1553591,342269,332496,25339,24659,110285,104553,6387,5998,1595285,1522259,1142348,1084631,292659,284804,17350,17004,85309,80782,2876,2585,54743,52453,1192802,1133001,325875,316817,21597,21126,105345,99702,4967,4612,455359,436841,429721,412187,10995,10564,2464,2420,1918,1900,713,685,9548,9085,438539,420590,16394,15679,3742,3533,4940,4851,1420,1386
N,1,2005,3,4024453,2055707,1968746,1576170,1504313,309478,301354,19708,19223,83881,79428,3223,3223,63247,61205,1634555,1560815,347760,338295,25122,24690,106201,101023,5946,5820,1609686,1540383,1155543,1100537,298261,290469,17277,16784,82000,77741,2550,2569,54055,52283,1205390,1148733,331340,322357,21579,21035,101361,96548,4581,4553,446021,428363,420627,403776,11217,10885,2431,2439,1881,1687,673,654,9192,8922,429165,412082,16420,15938,3543,3655,4840,4475,1365,1267
N,1,2005,4,4025056,2059039,1966017,1575495,1497983,311429,302705,20857,20086,83786,80185,3632,3463,63840,61595,1634148,1554625,348232,338677,28647,27635,106680,101967,7058,6636,1623447,1550675,1168780,1110602,298367,290019,17345,16717,81521,78057,2769,2642,54665,52638,1218997,1158999,330302,321047,23409,22593,101446,97083,5408,5079,435592,415342,406715,387381,13062,12686,3512,3369,2265,2128,863,821,9175,8957,415151,395626,17930,17630,5238,5042,5234,4884,1650,1557
N,1,2005,5,3823316,1955766,1867550,1497764,1422042,289081,280704,23739,22742,74757,73800,4315,4094,66110,64168,1557751,1480266,323154,314127,38157,36632,98957,97026,9736,9313,1555194,1484133,1134650,1074987,271716,264058,17143,16388,71624,70692,3059,2906,57002,55102,1186522,1125174,301623,293213,28432,27119,92834,90990,7352,7048,400572,383417,363114,347055,17365,16646,6596,6354,3133,3108,1256,1188,9108,9066,371229,355092,21531,20914,9725,9513,6123,6036,2384,2265
N,1,2005,6,3918430,2001597,1916833,1530749,1455738,301325,292993,24462,23429,75473,76875,4379,4168,65209,63630,1590000,1513452,334799,326113,38797,37354,99059,99725,9806,9218,1598743,1531487,1165130,1106562,283836,276073,17863,17207,72328,73879,3157,2955,56429,54811,1216549,1156408,313313,305109,29132,28097,93023,93855,7547,6995,402854,385346,365619,349176,17489,16920,6599,6222,3145,2996,1222,1213,8780,8819,373451,357044,21486,21004,9665,9257,6036,5870,2259,2223
N,1,2005,7,3845361,1967130,1878231,1504926,1429220,295833,285749,23503,22799,77883,77314,4285,3993,60700,59156,1559906,1482740,326844,316070,36992,35844,100086,98903,9302,8900,1573664,1503119,1147042,1088558,279085,269533,17121,16665,74890,74425,3093,2856,52433,51082,1194665,1134892,306357,296110,27650,26905,94389,93420,7125,6812,393466,375112,357884,340662,16748,16216,6382,6134,2993,2889,1192,1137,8267,8074,365241,347848,20487,19960,9342,8939,5697,5483,2177,2088
N,1,2005,8,3911603,1999581,1912022,1535636,1458276,297581,289563,23951,23149,78868,79202,4308,4091,59237,57741,1589268,1510385,327165,318645,37586,36374,100544,100327,9468,9092,1604624,1535274,1175766,1115310,281020,273680,17535,16984,75876,76342,3111,2954,51316,50004,1222323,1160528,307000,299338,28348,27526,95028,94851,7319,6992,394957,376748,359870,342966,16561,15883,6416,6165,2992,2860,1197,1137,7921,7737,366945,349857,20165,19307,9238,8848,5516,5476,2149,2100
