Section P
September 1951 - July 1969
P-1 through P-____?

Public release photos of JPL projects, visitors to JPL, portraits and group photos of employees, social events, club activities, early facilities photos,  ...

There are 17 P-numbered photo albums ... when visiting the Archives to view photos, please request specific photo album numbers, such as photo album P1, or P17.

Dates seen in the index are the dates the photographs were entered into the Photo Lab index and filed.  This is not necessarily the date the photo was actually taken.

(U) - Unclassified


Photo Album P1  (Contains photograph numbers P-1 through P-____)

Date
Entered	Photo #	Description				
11-2-62	P-2201		Position plot board, Mariner R 2 (Mariner 2)
11-5-62	P-2202		Mariner 2, pass of Venus as seen from Earth
11-5-62	P-2203		Mariner 2, pass of Venus as seen from inside Venus orbit
11-2-62	P-2204AB	Dr. J.F. Tait, portrait
11-5-62	P-2205		Typical Earth-Mars trajectory
11-5-62	P-2206		Typical Earth-Mars trajectory
11-5-62	P-2207		Typical Earth-Mars trajectory
11-2-62	P-2208		10 and 15-year pin presentation
11-8-62	P-2209AB	Surveyor mock-up
11-9-62	P-2210		Mariner 2 flight path to Venus


11-9-62	P-2211		Position plot board, Mariner R 2 (Mariner 2)
11-9-62	P-2212AB	Position plot board, Mariner R 2 (Mariner 2)
11-6-62	P-2213		1 of 2 - Solar concentrator curvature
				2 of 2 - Solar concentrator curvature (color)
11-12-62	P-2214		Robert Chamberlain, passport photo
11-14-62	P-2215		Position plot board, Mariner R 2 (Mariner 2)
11-14-62	P-2216		J.J. Stiffler, passport photo
11-9-62	P-2217AB	1 of 2 - Ranger 7, P.R. photos
			AcBc	2 of 2 - Ranger 7, P.R. photos
11-9-62	P-2218AB	1 of 2 - Ranger 7, P.R. photos	
			AcBc	2 of 2 - Ranger 7, P.R. photos
11-9-62	P-2219AB	1 of 2 - Ranger 7, P.R. photos	
			AcBc	2 of 2 - Ranger 7, P.R. photos
11-9-62	P-2220AB	1 of 2 - Ranger 7, P.R. photos	
			AcBc	2 of 2 - Ranger 7, P.R. photos
11-9-62	P-2221		1 of 2 - Ranger 7, P.R. photos	
				2 of 2 - Ranger 7, P.R. photos (color)
11-16-62	P-2222		John Glenn and Dr. William Pickering
11-16-62	P-2223		John Glenn and Dr. William Pickering
11-16-62	P-2224AB	John Glenn and Dr. William Pickering
11-16-62	P-2225AB	John Glenn and Dr. William Pickering
11-16-62	P-2226AB	John Glenn and Dr. William Pickering
11-16-62	P-2227		John Glenn and Dr. William Pickering
11-16-62	P-2228AB	John Glenn and Dr. William Pickering
11-16-62	P-2229AB	John Glenn and Dr. William Pickering
11-16-62	P-2230		John Glenn and Dr. William Pickering
11-16-62	P-2231		John Glenn and Dr. William Pickering
11-16-62	P-2232AB	John Glenn and Dr. William Pickering
11-16-62	P-2233		A - Bldg. 150, Colonel Glenn in JPL vehicle
				B - Dr. William Pickering and Glenn, bldg. 150


11-16-62	P-2234		Colonel Glenn at JPL
				A - Dr. William Pickering, Colonel Glenn, Dr. Lee DuBridge, Walt Williams
				B - Colonel Glenn, Miss Berenice Anderson, Dr. Lee DuBridge,
      Walt Williams
11-16-62	P-2235AB	National Science Foundation tour, bldg. 150
				Colonel Glenn, Walt Williams, Dr. Lee DuBridge, Dr. William Pickering
11-21-62	P-2236		Position plot board, Mariner R 2 (Mariner 2)
11-16-62	P-2237AB	National Science Foundation tour, Dr. William Pickering, Dr. Lee DuBridge
11-16-62	P-2238AB	National Science Foundation tour, Dr. William Pickering, Dr. Lee DuBridge
11-16-62	P-2239AB	National Science Foundation tour, Dr. William Pickering, Dr. Lee DuBridge
11-16-62	P-2240AB	NASA Show, ARS 352, Mariner 2
11-16-62	P-2241AB	NASA Show, ARS 352, Mariner 2
11-16-62	P-2242AB	NASA Show, ARS 352, Mariner 2
11-16-62	P-2243AB	NASA Show, ARS 352, Mariner 2
11-16-62	P-2244		NASA Show, ARS 352, Mariner 2
11-16-62	P-2245AB	NASA Show, ARS 352, Mariner 2
11-16-62	P-2246AB	NASA Show, ARS 352, Mariner 2
11-16-62	P-2247		NASA Show, ARS 352, Mariner 2 (color)
11-16-62	P-2248AcBc	NASA Show, ARS 352, Mariner 2
11-16-62	P-2249AcBc	NASA Show, ARS 352, Mariner 2 spacecraft
11-16-62	P-2250AcBc	NASA Show, ARS 352, Mariner 2 spacecraft
11-27-62	P-2251		Senior Staff conference
11-27-62	P-2252AB	Senior Staff conference
11-27-62	P-2253		Dr. William Pickering's personal autographed picture of the astronauts: (L to R)
Carpenter, Cooper, Glenn, Grissom, Schirra, Shepard, and Slater (color)
11-16-52	P-2254		Colonel John Glenn and Dr. Lee DuBridge
11-28-62	P-2255AcBc	Senior staff conference
11-28-62	P-2256		Position plot board, Mariner R 2 (Mariner 2)
12-4-62	P-2257		Position plot board, Mariner R 2 (Mariner 2)
12-5-62	P-2258		Solar orbit of Mariner R-2 (Mariner 2)
12-10-62	P-2259AB	Dr. William Pickering accepting invitation to be Grand Marshal at Rose Parade
12-10-62	P-2260AB	Dr. William Pickering accepting invitation to be Grand Marshal at Rose Parade


12-12-62	P-2261AB	1 of 2 - Mariner 2 spacecraft orbit scale model
			AcBc	2 of 2 - Mariner 2 spacecraft orbit scale model
12-12-62	P-2262AB	1 of 2 - Mariner 2 spacecraft orbit scale model
			AcBc	2 of 2 - Mariner 2 spacecraft orbit scale model
12-12-62	P-2263AB	1 of 2 - Mariner 2 spacecraft orbit scale model
			AcBc	2 of 2 - Mariner 2 spacecraft orbit scale model
12-12-62	P-2264		Dr. Rechtin, portrait
12-14-62	P-2265AB	Mariner R 2 (Mariner 2) Venus flyby activity
12-14-62	P-2266AB	Mariner R 2 (Mariner 2) Venus flyby activity
12-14-62	P-2267AB	Mariner R 2 (Mariner 2) Venus flyby activity
12-14-62	P-2268AB	Mariner R 2 (Mariner 2) Venus flyby activity
12-14-62	P-2269AB	Mariner R 2 (Mariner 2) Venus flyby activity
12-14-62	P-2270AB	Mariner R 2 (Mariner 2) Venus flyby activity
12-14-62	P-2271AB	Mariner R 2 (Mariner 2) Venus flyby activity
12-14-62	P-2272AB	Mariner R 2 (Mariner 2) Venus flyby activity
12-14-62	P-2273AB	Mariner R 2 (Mariner 2) Venus flyby activity
12-17-62	P-2274		Dave Scaff, passport photo
12-20-62	P-2275		Candid publicity photos of Dr. William Pickering, Mr. Larsen, and Mr.
Sparks
12-26-62	P-2276		Mariner 2 (Fig 1)
12-27-62	P-2277		1 of 2 - Rose Parade float (JPL)
				2 of 2 - Rose Parade float (JPL) (color)
12-26-62	P-2278AB	Robert Nagler, portrait
1-2-63		P-2279AB	JPL bus service publicity photos
1-2-63		P-2280AB	Interiors of new machine shop, bldg. 170
1-2-63		P-2281AB	Interiors of new machine shop, bldg. 170
1-3-63		P-2282		JPL Rose Parade float construction progress
1-3-63		P-2283AB	JPL Rose Parade float construction progress
1-3-63		P-2284AB	JPL Rose Parade float construction progress
1-3-63		P-2285AB	JPL Rose Parade float construction progress
1-3-63		P-2286AB	JPL Rose Parade float construction progress


1-3-63		P-2287AB	JPL Rose Parade float construction progress
1-3-63		P-2288AB	JPL Rose Parade float construction progress
1-3-63		P-2289AB	JPL Rose Parade float construction progress
1-3-63		P-2290AB	JPL Rose Parade float construction progress
1-4-63		P-2291		Vern Evenson, portrait
1-4-63		P-2292		George Slingmeyer, portrait
1-1-63		P-2293AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2294AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2295AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2296AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2297AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2298AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2299AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2300AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2301AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2302AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2303AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2304AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2305AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2306AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2307AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2308AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2309AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2310AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2311AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2312AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2313AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2314AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2315AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2316AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)


1-1-63		P-2317AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2318AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2319AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2320AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2321AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2322AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2323AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2324AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2325AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2326AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2327AcBc	JPL Rose Parade activity (Dr. William Pickering, JPL float)
1-1-63		P-2328AB	Mariner float, JPL Rose Parade 1963
1-1-63		P-2329AB	Mariner float, JPL Rose Parade 1963
1-1-63		P-2330AB	Dr. William Pickering, JPL Grand Marshal, Rose Parade 1963
1-1-63		P-2331AB	Dr. William Pickering, JPL Grand Marshal, Rose Parade 1963
1-9-63		P-2332		1 of 3 - Symbol for a coat lapel pin "American Institute of Aeronautics
and Astronautics"
				2 of 3 - Symbol for a coat lapel pin "American Institute of
				Aeronautics and Astronautics" Aeronautics & Astronautics"
(color)
				3 of 3 - Symbol for a coat lapel pin "American Institute of
				Aeronautics and Astronautics" (transparency)
1-1-63		P-2333		1963 Rose Parade, Pasadena
				Ac - Grand Marshall, Dr. William Pickering
				Bc - JPL Mariner float 
1-10-63	P-2334AB	10 and 15-year service award
1-10-63	P-2335AB	10 and 15-year service award
1-10-63	P-2336AB	10 and 15-year service award
1-10-63	P-2337AB	10 and 15-year service award
1-10-63	P-2338AB	10 and 15-year service award
1-10-63	P-2339		Bill Schimandle, portrait
1-18-63	P-2340		Ac - Mariner R 2 (Mariner 2) trail fishing boat
				Bc - Mariner R 2 (Mariner 2) Atlantic 
1-17-63	P-2341AB	Bus stop, 3 people loading
1-17-63	P-2342		Bus stop photo
				A - One getting off and three waiting to get on
				B - 4 people walking toward bus
1-17-63	P-2343AB	Seven people loading bus


1-18-63	P-2344		P.R. photos, Bob Buchanan, Eastman Kodak
1-18-63	P-2345AB	P.R. photos, Bob Buchanan, Eastman Kodak
1-18-63	P-2346AB	P.R. photos, Bob Buchanan, Eastman Kodak
1-18-63	P-2347AB	P.R. photos, Bob Buchanan, Eastman Kodak
1-21-63	P-2348		A - Bldg. 200, Drafting Room
B - Carpenter Shop, bldg. 201
1-21-63	P-2349		Visitors from IBM data processing to Section 372
1-21-63	P-2350AB	Visitors from IBM data processing to Section 372
1-22-63	P-2351AB	1 of 3 - Explorer 1 Spacecraft
			AcBc	2 of 3 - Explorer 1 Spacecraft
			AtBt	3 of 3 - Explorer 1 Spacecraft
1-22-63	P-2352AB	1 of 3 - Explorer 1 Spacecraft
			AcBc	2 of 3 - Explorer 1 Spacecraft
			AtBt	3 of 3 - Explorer 1 Spacecraft
1-22-63	P-2353AB	1 of 3 - Explorer 3 Spacecraft
			AcBc	2 of 3 - Explorer 3 Spacecraft
			AtBt	3 of 3 - Explorer 3 Spacecraft
1-23-63	P-2354AB	Demonstration - 204B Bell, Turbo-Jet 1100 H.P. 
1-23-63	P-2355AB	Demonstration - 204B Bell, Turbo-Jet 1100 H.P.
1-23-63	P-2356		Reed Harker, portrait
1-23-63	P-2357AB	J. Lonberg, portrait
1-24-63	P-2358AcBc	Mariner 2 mission, artist's drawing
1-24-63	P-2359AcBc	Mariner 2 mission, artist's drawing
1-24-63	P-2360AcBc	Mariner 2 mission, artist's drawing
1-24-63	P-2361AcBc	Mariner 2 mission, artist's drawing
1-24-63	P-2362AcBc	Mariner 2 mission, artist's drawing
1-24-63	P-2363AcBc	Mariner 2 mission, artist's drawing
1-24-63	P-2364	AcBc	Mariner 2 mission, artist's drawing
1-25-63	P-2365AB	210-ft. antenna model
1-25-63	P-2366AB	Electronics stores, bldg. 184
1-25-63	P-2367AB	Electronics stores, bldg. 184
1-25-63	P-2368AB	Electronics stores, bldg. 184
1-25-63	P-2369AB	Electronics stores, bldg. 184


1-29-63	P-2370AB	Relay satellite telephone call, Jack James
1-29-63	P-2371		Relay satellite telephone call, Jack James
1-29-63	P-2372		Ed Jahelka, passport photo
1-29-63	P-2373		Ed Sicol, passport photo
1-30-63	P-2374AB	Dr. Gregg Manikumian, portrait
1-31-63	P-2375AB	Robert Titsworth, portrait
1-31-63	P-2376		Mariner midcourse maneuver (air-brushed)
1-31-63	P-2377		Lift off and spacecraft drawing, Atlas-Agena B separation
1-31-63	P-2378		Cliff Cummings, portrait
1-31-63	P-2379AB	Cake cutting ceremony, 5th anniversary of Explorer 1
1-31-63	P-2380AB	Cake cutting ceremony, 5th anniversary of Explorer 1
1-31-63	P-2381AB	Cake cutting ceremony, 5th anniversary of Explorer 1
1-31-63	P-2382AB	Ben Waitman, portrait
2-1-63		P-2383		Phil Potter, portrait
2-5-63		P-2384		Walt Baumgartner, portrait
2-7-63		P-2385		Fred Felberg, portrait
2-6-63		P-2386AcBc	1-2, Dr. William Pickering, Grand Marshal, of Rose Parade
				At - Dr. William Pickering, Grand Marshal, of Rose Parade
2-14-63	P-2387AB	Willard Pierce, retirement
2-14-63	P-2388		Willard Pierce, retirement
2-15-63	P-2389AcBc	200-ft. advanced antenna system
2-15-63	P-2390AcBc	200-ft. advanced antenna system
2-15-63	P-2391AcBc	200-ft. advanced antenna system
2-19-63	P-2392AB	Howard Hagland, portrait
2-20-63	P-2393		John Martin, portrait
2-21-63	P-2394		Telescopic view of Venus at Mariner 2 encounter
2-22-63	P-2395AB	Dr. William Pickering, biography photos
2-22-63	P-2396AB	Dr. William Pickering, biography photos
2-23-63	P-2397		Aiming zone for Mariner 2
2-23-63	P-2398		Mariner 2 tracking pattern
2-23-63	P-2399		Tracking data available for the analysis of the Mariner 2 Orbit


2-23-63	P-2400		Effect of physical constant uncertainty on Mariner 2 trajectory
2-22-63	P-2401AB	1 of 2 - Dr. William Pickering's Engineer of the Year award
			AcBc	2 of 2 - Dr. William Pickering's Engineer of the Year award
2-28-63	P-2402		Dr. Meghreblian, portrait
3-1-63		P-2403AB	IEEE student branch tour
3-1-63		P-2404AB	IEEE student branch tour
3-1-63		P-2405AB	IEEE student branch tour
3-1-63		P-2406AB	IEEE student branch tour
3-1-63		P-2407AB	IEEE student branch tour
3-4-63		P-2408AB	A.R.C.S. Foundation tour
3-4-63		P-2409AB	A.R.C.S. Foundation tour
3-4-63		P-2410AB	A.R.C.S. Foundation tour
3-4-63		P-2411AB	A.R.C.S. Foundation tour
3-4-63		P-2412AB	A.R.C.S. Foundation tour
3-4-63		P-2413AB	A.R.C.S. Foundation tour
3-4-63		P-2414AB	A.R.C.S. Foundation tour
3-4-63		P-2415AB	A.R.C.S. Foundation tour
3-4-63		P-2416AB	A.R.C.S. Foundation tour
3-4-63		P-2417AB	A.R.C.S. Foundation tour
3-4-63		P-2418		A.R.C.S. Foundation tour
3-5-63		P-2419AB	Dr. W. Rusch, portrait
3-6-63		P-2420		Mariner C (Mariner 3) solar panel peel test
3-8-63		P-2421AB	Business-Industry-Education Day tour
3-8-63		P-2422AB	Business-Industry-Education Day tour
3-8-63		P-2423AB	Business-Industry-Education Day tour
3-8-63		P-2424AB	Business-Industry-Education Day tour
3-8-63		P-2425AB	Business-Industry-Education Day tour
3-8-63		P-2426AB	Business-Industry-Education Day tour
3-8-63		P-2427AB	Business-Industry-Education Day tour
3-8-63		P-2428AB	Business-Industry-Education Day tour
3-8-63		P-2429AB	Business-Industry-Education Day tour


3-12-63	P-2430AB	Dr. William Pickering and President Kennedy
3-12-63	P-2431AB	Lunar photos, Lick Observatory
3-12-63	P-2432		Candid photo of Dr. William Pickering, 2/21/63
3-12-63	P-2433AB	Yolan Goodrich, portrait
3-15-63	P-2434AB	Photo of director of audio-visual aids, Scottsdale, Arizona schools
3-15-63	P-2435AB	Photo of director of audio-visual aids, Scottsdale, Arizona schools
3-22-63	P-2436		W.H. Wells, portrait
3-28-63	P-2437AB	1 of 2 - Dr. Eberhardt Rechtin, portrait
			AcBc	2 of 2 - Dr. Eberhardt Rechtin, portrait
3-28-63	P-2438		Mr. Webb's visit to JPL
4-1-63		P-2439AB	Photo of Dr. L. Kaplan
4-3-63		P-2440AB	Douglas B. Nash, portrait
4-10-63	P-2441AB	Jim Edberg, portrait
4-16-63	P-2442AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2443AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2444AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2445AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2446AB	Publicity photos shot for Hixen and Jorgensen (SU)
4-16-63	P-2447AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2448AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2449AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2450AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2451AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2452AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2453AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2454AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2455AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2456AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2457AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2458AB	Publicity photos shot for Hixen and Jorgensen


4-16-63	P-2459AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2460AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2461AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2462AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2463AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2464AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2465AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2466AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2467AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2468AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2469AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2470AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2471AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2472AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2473AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2474AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2475AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2476AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2477AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2478		Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2479AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2480AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2481AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2482AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2483		Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2484		Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2485AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2486AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2487AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2488AB	Publicity photos shot for Hixen and Jorgensen


4-16-63	P-2489AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2490AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2491AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2492AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2493AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2494AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2495AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2496AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2497AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2498AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2499AB	Publicity photos shot for Hixen and Jorgensen
4-16-63	P-2500AB	Publicity photos shot for Hixen and Jorgensen
4-18-63	P-2501AB	Institute of Environmental Science tour
4-18-63	P-2502AB	Institute of Environmental Science tour
4-18-63	P-2503AB	Institute of Environmental Science tour
4-18-63	P-2504AB	Institute of Environmental Science tour
4-18-63	P-2505AB	Institute of Environmental Science tour
4-18-63	P-2506AB	Institute of Environmental Science tour
4-18-63	P-2507AB	Institute of Environmental Science tour
4-18-63	P-2508AB	Institute of Environmental Science tour
4-18-63	P-2509		Institute of Environmental Science tour
4-18-63	P-2510AB	10 and 15-year service awards
4-18-63	P-2511AB	10 and 15-year service awards
4-18-63	P-2512AB	10 and 15-year service awards (SU)
4-18-63	P-2513AB	10 and 15-year service awards
4-18-63	P-2514AB	10 and 15-year service awards
4-24-63	P-2515		1 of 2 - Dr. William Pickering and President Kennedy with spacecraft
				2 of 2 - Dr. William Pickering and President Kennedy with spacecraft (color)
4-23-63	P-2516		M.A. Piroumian, passport photo
4-25-63	P-2517AB	Frank Gray, portrait


4-29-63	P-2518		Martin H. Leipold, portrait
4-29-63	P-2519		Tom H. Nielsen, portrait
4-30-63	P-2520		Rill Rowe, portrait
5-1-63		P-2521AB	W.S. McDonald, portrait
5-1-63		P-2522		Dr. Alan Rembaum, passport photo
5-1-63		P-2523		Dr. Jovan Moacanin, passport photo
5-1-63		P-2524AB	Dr. Jovan Moacanin, passport photo
5-1-63		P-2525AB	Dr. Jovan Moacanin, passport photo
5-1-63		P-2526AB	Dr. Jovan Moacanin, passport photo
4-30-63	P-2527		Dr. Jovan Moacanin, passport photo
5-3-63		P-2528AB	AIAA student chapter tour
5-6-63		P-2529		Balloon launch, Brownwood, Texas
5-3-63		P-2530AB	German film crew at GTS
4-3-63		P-2531AB	German film crew at GTS
5-3-63		P-2532AB	German film crew at GTS
5-3-63		P-2533AB	German film crew at GTS
5-3-63		P-2534AB	Dr. William Pickering and group at GTS
5-3-63		P-2535AB	Dr. William Pickering and group at GTS
5-3-63		P-2536AB	Dr. William Pickering and group at GTS
5-3-63		P-2537AB	Dr. William Pickering and group at GTS
5-3-63		P-2538AB	Dr. William Pickering and group at GTS
5-3-63		P-2539AcBc	Dr. William Pickering and group at GTS
5-3-63		P-2540AcBc	Dr. William Pickering and group at GTS
5-3-63		P-2541AcBc	Dr. William Pickering and group at GTS
5-3-63		P-2542AcBc	Dr. William Pickering and group at GTS
5-8-63		P-2543		Duane Muhleman, passport photo
5-13-63	P-2544		Leroy Oleson, passport photo
5-14-63	P-2545		WK Puelle, passport photo
5-5-63		P-2546		Jerry Stuart hangs biological experiment on flight gondola
5-8-63		P-2547AB	Welcome JPL at Holiday Inn, Brownwood, Texas


5-5-63		P-2548		Brownwood, Texas, neutron biological experiment
				A - Testing biological experiment
				B - Testing biological experiment
5-5-63		P-2549		Brownwood, Texas, neutron biological experiment
				Ac - Pulling gondola from stock tank
				Bc - Balloon inflation
5-5-63		P-2550		Brownwood, Texas, neutron biological experiment
				Ac - Recovery 1 balloon
				Bc - Recovery and inspection
5-5-63		P-2551AB	Brownwood, Texas, neutron biological experiment
				balloon being filled
5-5-63		P-2552		Brownwood, Texas, biological experiment
				A - Recovery and inspection
				B - Dr. Haymes inspects neutron
5-5-63		P-2553		Brownwood, Texas, neutron biological experiment
				A - Recovery of 2 balloons
				B - Tracking airplane at recovery
5-5-63		P-2554		Brownwood, Texas, neutron biological experiment
				A - Field engineering check equipment
				B - Bauen engineering 1plot balloon flight [Leave Bolded]
5-5-63		P-2555		Brownwood, Texas, neutron biological experiment
				A - Dr. Hatches stacks up tape
				B - JPL engineering tests, neutron
5-5-63		P-2556AB	Flight package just before launch, Brownwood, Texas
5-5-63		P-2557		Brownwood, Texas, neutron biological experiment
				A - Field engineers at work in telemetry trailer
				B - Group shot of JPL personnel
5-5-63		P-2558AB	Brownwood, Texas, neutron biological experiment
				A - Balloon in flight
				B - Just before flight
5-5-63		P-2559AB	Brownwood, Texas, neutron biological experiment filling balloon
5-5-63		P-2560AB	Brownwood, Texas, neutron biological experiment, Dr.
Robert Haymes, Dr. Gerald Soffen, mounting neutron detector
5-5-63		P-2561AB	Brownwood, Texas, neutron biological experiment balloon filling
5-5-63		P-2562		Brownwood, Texas, neutron biological experiment
				A - Dr. Haymes, Raven VIP by balloon
B - Dr. Haymes, Raven VIP by balloon
5-5-63		P-2563		Brownwood, Texas, neutron biological experiment
				A - Dr. Haymes and Soffen Data
				B - Dr. R. Hayes, Jerry Stuart and Raven Personnel Total Payload


5-5-63		P-2564AB	Brownwood, Texas, neutron biological experiment , Robert Haymes
and Dr. Gerald Soffen, mounting bio probe
5-5-63		P-2565		Brownwood, Texas, neutron biological experiment
				A - Dr. Haymes inspects gondola
				B - Dr. Soffen places back package on gondola
5-16-63	P-2566		Gerald Levy, portrait
5-15-63	P-2567		Douglas Mudgway, portrait
5-16-63	P-2568		J. Jodele, portrait
5-17-63	P-2569		Joe Koukol, passport photo
5-21-63	P-2570		Russian 1961 Venus probe spacecraft
5-21-63	P-2571		Atlas, Agena with Ranger 1 through 9
5-20-63	P-2572AB	Gerald Levy, portrait
5-17-63	P-2573		P. Arana, portrait
5-17-63	P-2574		R.A. Horn, portrait
5-17-63	P-2575		P. Rampas, portrait
5-17-63	P-2576		Setrak M. Daerian, portrait
5-21-63	P-2577		Manned vehicle for Mars landing
5-28-63	P-2578		Read out of Mariner 2
5-28-63	P-2579AB	Neutron and biological experiment balloon airborne, moments after launch,
Brownwood, Texas
5-28-63	P-2580		Balloon launch in Brownwood, Texas
				A - Balloon inflation from behind launch truck
				B - Balloon inflation
5-29-63	P-2581		George Emmerson, portrait
6-6-63		P-2582AB	H. Spinrad, DA Lewis, and D. Kaplin, portraits
6-6-63		P-2583AB	Dr. Kaplin, portrait
6-6-63		P-2584AB	Dr. Spinrad, portrait
6-6-63		P-2585AB	Cliff Heindl, portrait
6-6-63		P-2586AB	Dr. Orr Reynolds visit to JPL
