Section P
September 1951 - July 1969
P-1 through P-____?

Public release photos of JPL projects, visitors to JPL, portraits and group photos of employees, social events, club activities, early facilities photos,  ...

There are 17 P-numbered photo albums ... when visiting the Archives to view photos, please request specific photo album numbers, such as photo album P1, or P17.

Dates seen in the index are the dates the photographs were entered into the Photo Lab index and filed.  This is not necessarily the date the photo was actually taken.

(U) - Unclassified


Photo Album P1  (Contains photograph numbers P-1 through P-____)

Date
Entered	Photo #	Description				
12-18-52	P-140		Inspection room
12-20-52	P-141ABCD	Children's Christmas Party
12-20-52	P-142ABCD	Children's Christmas Party
12-20-52	P-143ABCD	Children's Christmas Party
12-20-52	P-144ABCD	Children's Christmas Party
12-20-52	P-145ABCD	Children's Christmas Party
12-12-52	P-146		Christmas Dance
12-12-52	P-147		Christmas Dance
12-12-52	P-148		Christmas Dance


12-12-52	P-149		Christmas Dance
12-12-52	P-150		Christmas Dance
12-12-52	P-151		Christmas Dance
12-12-52	P-152		Christmas Dance
12-12-52	P-153		Christmas Dance
12-24-52	P-154ABCD	Model airplanes
12-30-52	P-155AB	Fabrication personnel machine shop and sheet metal shop
1-2-53		P-156ABCD	Pit A bldgs.
1-5-53		P-157AB	Blueprint control, Mr. Strickler's office
1-7-53		P-158ABCD	Dr. Dunn and section chiefs
1-8-53		P-159A-F	Dr. Dunn and section chiefs
1-15-53	P-160		Rose Bowl
1-20-53	P-161		Red Cross certificate of appreciation
1-29-53	P-162AB	Recreation Club Council
1-29-53	P-163AB	Computing Section personnel
1-30-53	P-164		CRS during recording
2-2-53		P-165		3 hunters and deer
2-20-53	P-166AB	Ed Moulton, bowling group
2-25-53	P-167		Group at Muroc
2-26-53	P-168ABCD	Motor sports dinner
2-26-53	P-169		Photo Lab crew
3-3-53		P-170		Group from liquid test cells
3-5-53		P-171AB	Bowling trophy presentation
3-6-53		P-172		Frank Goddard
3-9-53		P-173		Bldg. 97 exterior view
3-9-53		P-174		Control panel for stand bomb, bldg. 97
3-9-53		P-175		Rubber mill, room 12, bldg. 97
3-9-53		P-176		Curing baths, room 10, bldg. 97
3-9-53		P-177		Cold box, bldg. 89A
3-9-53		P-178		Mixing bldg.
3-9-53		P-179		Room 9, bldg. 65


3-9-53		P-180		Metallograph, bldg. 65
3-9-53		P-181		X-ray room, bldg. 65
3-9-53		P-182		Low pressure flame, bldg. 65
3-9-53		P-183		Radiation apparatus, bldg. 84
3-11-53	P-184		Field trip electronics and design
3-13-53	P-185AB	Hopmobile and owner
3-24-53	P-186		Reports Group photo, Section 25
3-2-53		P-187		Mrs. and Mr. John Porter and baby
3-27-53	P-188		JPL nurse
3-27-53	P-189		JPL Athletic Club officers
4-7-53		P-190ABC	Darrell Brewer Orchestra, Brewer and vocalist
4-8-53		P-191		Chart for Motor Sports Club
4-24-53	P-192ABCD	Miss Guided Missile contest
4-24-53	P-193ABCD	Miss Guided Missile contest
5-1-53		P-194ABC	Winning bowling teams
5-4-53		P-195		Bowling Club officers
5-4-53		P-196AB	Mechanics Section
5-12-53	P-197ABCD	General Cummings, JPL visit
5-12-53	P-198		General Cummings, JPL visit
5-22-53	P-199ABCD	Dance
5-22-53	P-200ABCD	Dance
5-22-53	P-201ABCD	Dance
5-22-53	P-202ABCD	Dance
5-22-53	P-203ABCD	Dance
5-22-53	P-204ABCD	Dance
5-22-53	P-205ABC	Dance
5-25-53	P-206ABCD	Dance
5-22-53	P-207ABCD	Dance
5-29-53	P-208		Dr. Froelich
5-29-53	P-209ABC	Meeks and Froelich
6-1-53		P-210AB	Accounting Group
6-1-53		P-211AB	Winter bowling winners


6-22-53	P-212AB	Maintenance Section 55
6-25-53	P-213		Fire crew
6-29-53	P-214AB	First picnic ticket sold, V. Larsen and R. Terbeck
6-29-53	P-215		New warehouse
7-7-53		P-216		Man with trophy for paper
7-15-53	P-217ABC	Mr. Frisbee, Mr. Larsen, Mr. Pierce
7-24-53	P-218ABC	Firearms display
7-24-53	P-219AB	Firearms display
7-30-53	P-220AB	Visiting chest x-ray trailer and employees
7-30-53	P-221		Purchasing Section 50
7-31-53	P-222AB	Lab-Oratory reporting staff
8-3-53		P-223		Golf winners
8-20-53	P-224		Chris Woerz
9-1-53		P-225AB	Bowling Cup winners
9-2-53		P-226		Cartoon, "Test run at H pit"
9-2-53		P-227		Austin Healy
9-3-53		P-228AB	Shipping and receiving department
9-8-53		P-229		New Credit Union office
9-15-53	P-230		Winning bowling team
9-24-53	P-231AB	Property Section
9-30-53	P-232ABCD	Blood bank
9-30-53	P-233ABC	Blood bank
10-2-53	P-234AB	Peckerwoods bowling team
10-7-53	P-235AB	Motor Sports Club show
10-8-53	P-236		Corporal illustration used in brochure
10-8-53	P-237		Community Chest publicity shots
10-9-53	P-238		Community Chest
10-16-53	P-239		Publicity pictures for Christmas Dance, 1953
10-28-53	P-240		New JPL nurse
10-28-53	P-241		Deer shot by Fred Guenther
10-29-53	P-242ABC	Golf Club trophy winners


10-29-53	P-243ABCD	Telephone operators, PBX room
11-5-53	P-244		Ten-year pins
AB - Aron Dare
CD - Chet Hissong
11-5-53	P-245		Ten-year pins
A - Mrs. Roberts, B - Al Richardson
C - Mrs. Johnson, D - Bill Cashman
11-5-53	P-246		Ten-year pins
AB - Frank Wachtel, Andy Schmidt
C - Al Martin
				D - Bill Stevenson
11-5-53	P-247		Ten-year pins
AB - Earl Gorton
CD - Nick Bokarica, Harry Stuart
11-5-53	P-248		Ten-year pins
A - Bill Gorton
BC - Gorge Emerson
DE - Mary Ethel Thomas, G. Errorson
11-5-53	P-249		Ten-year pins
AB - Les Gaul, Ed. Huff
C - Sally Crane
D - Bob Imus
11-5-53	P-250		Ten-year pins
A - George McFarland
B - Art Richardson
C - W. Powell, C. Foster
D - Ed Moulton, Charles Thore, and Jack Brimhall
