                                                                     TABLE 1
                                          AGGREGATE RESERVES OF DEPOSITORY INSTITUTIONS AND THE MONETARY BASE
                                          ADJUSTED FOR CHANGES IN RESERVE REQUIREMENTS, MILLIONS OF DOLLARS                   February  5, 2009
               ----------------------SEASONALLY ADJUSTED----------------------  --------------------NOT SEASONALLY ADJUSTED--------------------
                                            NON-                                                             NON-
                               NON-       BORROWED                                              NON-       BORROWED
                  TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY       TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY
     DATE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE
 -----------   -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------
      July        34657        33916        34294        33784       213406        34814        34073        34451        33941       215256  
      Aug.        35191        34319        34784        34451       215273        35040        34168        34633        34300       215922  
      Sep.        35621        34613        35183        34932       216763        35556        34548        35118        34866       216432  
      Oct.        36262        35420        35917        35545       218635        35952        35110        35608        35235       217626  
      Nov.        37270        36519        36937        36369       220714        37351        36599        37017        36449       221169  
      Dec.        38840        38014        38317        37667       223416        39833        39007        39309        38660       226782  
 1987-Jan.        39244        38664        38889        38173       225346        40559        39979        40204        39489       226283  
      Feb.        39006        38450        38733        37813       226567        38259        37703        37986        37066       223929  
      Mar.        38827        38300        38564        37907       227083        38240        37712        37976        37319       225038  
      Apr.        39533        38540        38811        38677       228964        40184        39192        39462        39328       228797  
      May         39812        38776        39064        38744       230521        39286        38251        38539        38219       229805  
      June        39462        38685        38958        38228       231302        39430        38654        38927        38197       232107  
      July        39080        38408        38602        38221       231973        39347        38675        38869        38488       234064  
      Aug.        39208        38561        38693        38157       233529        39059        38412        38543        38008       234226  
      Sep.        39118        38178        38586        38333       234708        39074        38134        38542        38289       234217  
      Oct.        39826        38883        39333        38737       237110        39502        38559        39008        38412       235786  
      Nov.        39334        38709        39103        38394       238807        39442        38818        39212        38503       239191  
      Dec.        38913        38135        38618        37893       239829        39931        39154        39637        38912       243220  
 1988-Jan.        39464        38383        38754        38213       241825        40741        39659        40031        39489       242840  
      Feb.        39406        39010        39215        38268       242804        38627        38231        38436        37489       240139  
      Mar.        39266        37514        38993        38321       243750        38663        36911        38390        37718       241729  
      Apr.        39622        36628        39252        38737       245760        40368        37375        39999        39484       245610  
      May         39958        37380        39487        38911       247434        39260        36682        38789        38213       246688  
      June        40277        37195        39748        39382       249160        40253        37170        39724        39357       250259  
      July        40514        37075        39613        39623       251001        40787        37347        39886        39896       253004  
      Aug.        40470        37229        39882        39500       252064        40232        36991        39644        39262       252641  
      Sep.        40343        37503        39562        39326       253358        40237        37397        39456        39220       252396  
      Oct.        40422        38123        39904        39370       254579        40049        37750        39531        38996       253133  
      Nov.        40548        37687        40009        39374       255675        40639        37778        40101        39466       256197  
      Dec.        40453        38738        39982        39392       256897        41648        39932        41176        40586       260368  
 1989-Jan.        40422        38773        39811        39278       257914        41585        39936        40974        40442       258786  
      Feb.        40339        38852        39901        39184       258307        39531        38044        39094        38377       255702  
      Mar.        39844        38032        39366        38926       259146        39252        37439        38773        38333       257160  
      Apr.        39533        37244        38950        38719       259565        40301        38011        39718        39487       259661  
      May         39301        37580        38778        38258       260259        38487        36767        37964        37444       259577  
      June        39085        37595        38512        38177       261103        39080        37590        38507        38172       262114  
      July        39438        38744        38850        38455       262235        39584        38891        38997        38602       264036  
      Aug.        39397        38722        38764        38505       262850        39071        38396        38437        38179       263171  
      Sep.        39673        38980        39002        38728       263759        39509        38816        38838        38564       262677  
      Oct.        40163        39607        39629        39123       264891        39759        39204        39225        38719       263357  
      Nov.        40170        39820        39841        39221       265629        40276        39927        39948        39327       266070  
      Dec.        40486        40221        40241        39545       267766        41729        41464        41484        40788       271140  
 1990-Jan.        40731        40291        40317        39688       269561        41772        41332        41358        40729       270480  
      Feb.        40743        39295        39830        39743       271139        39945        38497        39032        38945       268716  
      Mar.        40650        38526        40477        39769       273074        40072        37949        39899        39191       271156  
      Apr.        40845        39236        40621        39974       275225        41652        40044        41428        40781       275435  
      May         40750        39419        40291        39796       276750        39907        38575        39448        38953       276156  
      June        40666        39785        40131        39879       278971        40671        39790        40135        39884       279941  
      July        40575        39818        40098        39707       280997        40620        39863        40143        39752       282577  
      Aug.        40873        39946        40074        39997       284088        40464        39537        39665        39589       284231  
      Sep.        41090        40466        40472        40177       287280        40868        40244        40250        39955       286193  
      Oct.        40808        40398        40416        39968       289190        40381        39971        39989        39541       287715  
      Nov.        40970        40740        40765        40043       291114        41131        40901        40926        40204       291406  
      Dec.        41766        41440        41463        40101       293287        43062        42737        42759        41397       296626  
 1991-Jan.        42293        41759        41786        40153       297771        43227        42692        42719        41086       298579  
      Feb.        42071        41819        41853        40267       300910        41322        41070        41104        39517       298626  
      Mar.        41804        41563        41616        40623       302759        41255        41014        41067        40073       300977  
      Apr.        41862        41630        41716        40833       303027        42675        42444        42530        41646       303326  
      May         42411        42108        42196        41376       304193        41621        41318        41405        40586       303692  
      June        42712        42372        42379        41716       305507        42736        42396        42404        41740       306498  
      July        42984        42377        42423        42080       307230        42926        42320        42365        42022       308589  
      Aug.        43392        42628        42928        42308       309315        42880        42116        42416        41795       309166  
      Sep.        43558        42912        43214        42625       310667        43280        42635        42936        42347       309664  
      Oct.        44007        43746        43758        42950       312687        43646        43385        43397        42589       311463  
      Nov.        44614        44506        44508        43722       314951        44858        44750        44751        43965       315126  
      Dec.        45516        45324        45325        44526       317546        46988        46796        46797        45999       321047  
 1992-Jan.        46373        46140        46141        45381       319633        47332        47099        47100        46340       320394  
      Feb.        47602        47524        47526        46557       322582        46811        46733        46735        45766       320328  
      Mar.        48274        48183        48185        47249       324379        47660        47569        47571        46635       322669  
      Apr.        49041        48951        48953        47908       326698        49989        49899        49901        48855       327418  
      May         49336        49182        49182        48333       328781        48619        48464        48464        47615       328369  
      June        49270        49041        49041        48346       330181        49235        49006        49006        48311       330932  
      July        49755        49471        49471        48780       333236        49498        49214        49214        48523       334072  
      Aug.        50479        50228        50228        49540       336920        49773        49523        49523        48834       336564  
      Sep.        51394        51107        51107        50380       340751        51095        50808        50808        50080       340093  
      Oct.        52767        52624        52624        51704       344576        52618        52475        52475        51555       343619  
      Nov.        53750        53646        53646        52707       347635        54104        53999        53999        53061       347899  
      Dec.        54421        54298        54298        53267       350912        56094        55970        55971        54940       354565  
 1993-Jan.        54970        54805        54806        53708       353716        55986        55821        55822        54724       354420  
      Feb.        54686        54641        54641        53593       355374        53797        53752        53752        52704       353166  
      Mar.        54970        54879        54879        53737       357874        54171        54080        54080        52939       355996  
      Apr.        55358        55285        55285        54255       360883        56339        56266        56266        55236       361621  
      May         56655        56533        56533        55656       364937        55841        55719        55720        54842       364049  
      June        57086        56905        56905        56191       367901        56915        56733        56733        56020       368700  
      July        57729        57485        57485        56662       371478        57344        57100        57100        56277       371957  
      Aug.        58183        57831        57831        57231       374556        57334        56982        56982        56382       374075  
      Sep.        58871        58443        58443        57784       378256        58645        58217        58217        57558       377726  
      Oct.        59594        59309        59309        58517       381565        59453        59167        59167        58375       380801  
      Nov.        60304        60214        60214        59184       384058        60671        60582        60582        59551       384272  
      Dec.        60566        60484        60484        59497       386600        62356        62274        62274        61287       390562  
 1994-Jan.        60895        60822        60822        59436       390214        62014        61941        61941        60555       390987  
      Feb.        60515        60445        60445        59367       393224        59544        59474        59474        58395       390869  
      Mar.        60299        60244        60244        59315       396075        59537        59482        59482        58553       394183  
      Apr.        60503        60379        60379        59361       398923        61523        61399        61399        60381       399850  
      May         59972        59772        59772        59103       401451        59110        58910        58910        58241       400363  
      June        60048        59715        59715        58931       404414        59792        59458        59458        58675       404896  
      July        60321        59863        59863        59205       407849        59933        59475        59475        58817       408374  
      Aug.        59959        59490        59490        58949       409581        59152        58683        58683        58142       409221  
      Sep.        59800        59313        59313        58751       411778        59739        59252        59252        58691       411375  
      Oct.        59374        58993        58993        58576       414007        59239        58859        58859        58442       413128  
      Nov.        59412        59163        59163        58415       416771        59738        59489        59489        58741       417062  
      Dec.        59466        59257        59257        58295       418345        61151        60942        60942        59980       422518  
 1995-Jan.        59404        59268        59272        58071       421064        60507        60372        60375        59175       421815  
      Feb.        58652        58593        58593        57683       421597        57710        57651        57651        56741       419228  
      Mar.        58209        58140        58140        57386       424712        57623        57554        57554        56799       423227  
      Apr.        57973        57862        57862        57216       427889        58921        58811        58811        58164       428721  
      May         57641        57491        57491        56768       430536        56819        56669        56669        55946       429277  
      June        57376        57104        57104        56393       430147        57124        56851        56851        56140       430247  
      July        57817        57446        57446        56711       430753        57477        57106        57106        56371       431270  
      Aug.        57538        57256        57256        56532       431261        56939        56657        56657        55933       431073  
      Sep.        57310        57032        57032        56338       431936        57309        57031        57031        56337       431624  
      Oct.        56719        56474        56474        55640       432641        56551        56306        56306        55472       431583  
      Nov.        56305        56101        56101        55360       432953        56570        56366        56366        55624       433205  
      Dec.        56483        56226        56226        55193       434586        58016        57759        57759        56726       439027  
 1996-Jan.        55884        55846        55846        54417       434897        56920        56882        56882        55452       436034  
      Feb.        54622        54587        54587        53761       432542        53799        53765        53765        52938       430361  
      Mar.        55294        55273        55273        54153       435926        54950        54929        54929        53809       434896  
      Apr.        55178        55088        55088        54052       436909        55956        55865        55865        54830       437142  
      May         54041        53913        53913        53130       437442        53304        53177        53177        52393       436154  
      June        54145        53758        53758        53031       440022        53890        53504        53504        52776       439878  
      July        53377        53009        53009        52356       442587        53049        52682        52682        52028       443189  
      Aug.        52162        51828        51828        51201       444682        51882        51548        51548        50921       444653  
      Sep.        51312        50945        50945        50262       446045        51255        50888        50888        50205       445531  
      Oct.        50037        49750        49750        49030       446881        49790        49503        49503        48783       445399  
      Nov.        49779        49565        49565        48724       448860        49974        49760        49760        48918       449159  
      Dec.        50185        50030        50030        48766       452032        51455        51301        51301        50037       456632  
 1997-Jan.        49683        49639        49639        48456       453634        50611        50566        50566        49384       455477  
      Feb.        48715        48673        48673        47681       454497        48064        48022        48022        47029       452469  
      Mar.        47850        47694        47694        46681       456235        47579        47423        47423        46411       455084  
      Apr.        47353        47093        47093        46339       457822        47927        47666        47666        46912       457985  
      May         46657        46414        46414        45374       459475        46059        45816        45816        44776       458146  
      June        46937        46570        46570        45593       462091        46685        46318        46318        45342       461631  
      July        46755        46346        46346        45518       464698        46462        46053        46053        45225       465308  
      Aug.        46913        46315        46315        45653       467024        46719        46122        46122        45460       466943  
      Sep.        46247        45809        45809        44950       469240        46127        45689        45689        44830       468312  
      Oct.        45959        45690        45690        44544       471864        45711        45441        45441        44295       470350  
      Nov.        46411        46258        46258        44742       476023        46575        46422        46422        44907       476558  
      Dec.        46875        46551        46551        45189       479909        48013        47689        47689        46326       484986  
 1998-Jan.        46658        46448        46448        44894       482214        47525        47315        47315        45761       484346  
      Feb.        45742        45684        45684        44208       483217        45183        45125        45125        43648       481371  
      Mar.        45854        45812        45812        44503       484907        45615        45574        45574        44265       483946  
      Apr.        46130        46058        46058        44739       486784        46630        46558        46558        45239       486754  
      May         45531        45379        45379        44241       488789        45004        44852        44852        43714       487891  
      June        45417        45166        45166        43798       491763        45149        44898        44898        43530       491117  
      July        44893        44635        44635        43519       494620        44660        44402        44402        43286       495254  
      Aug.        44956        44685        44685        43423       497897        44785        44514        44514        43252       497500  
      Sep.        44850        44599        44599        43152       502700        44278        44027        44027        42581       501008  
      Oct.        44887        44714        44714        43312       506951        44207        44034        44034        42632       504895  
      Nov.        44815        44732        44732        43205       510413        44241        44157        44157        42630       510301  
      Dec.        45170        45053        45053        43658       513887        45308        45191        45191        43795       518273  
 1999-Jan.        44988        44782        44782        43499       516894        46751        46545        46545        45262       519979  
      Feb.        44872        44756        44756        43678       520752        45535        45420        45420        44342       519908  
      Mar.        44472        44407        44407        43204       525005        43275        43210        43210        42007       523573  
      Apr.        43710        43544        43544        42556       528434        43687        43521        43521        42532       527819  
      May         43987        43860        43860        42766       533280        44924        44797        44797        43703       533119  
      June        42963        42818        42818        41666       536777        42448        42303        42303        41151       535964  
      July        41923        41614        41614        40959       540188        41739        41430        41430        40775       540920  
      Aug.        42310        41967        41967        41149       544889        41863        41519        41519        40702       543906  
      Sep.        41982        41644        41644        40769       550177        41500        41162        41162        40287       548489  
      Oct.        41611        41330        41330        40463       557610        40932        40651        40651        39784       555754  
      Nov.        41812        41576        41576        40483       571386        41194        40958        40958        39866       572038  
      Dec.        42183        41862        41862        40889       593842        41885        41565        41565        40591       600717  
 2000-Jan.        42497        42124        42124        40484       591123        44228        43854        43854        42215       597382  
      Feb.        41399        41291        41291        40286       573000        42112        42004        42004        40999       571991  
      Mar.        40726        40547        40547        39518       571659        39775        39596        39596        38567       570426  
      Apr.        40525        40221        40221        39358       572228        40640        40336        40336        39474       571667  
      May         40653        40291        40291        39683       573612        41616        41254        41254        40646       573394  
      June        40050        39571        39571        38936       575564        39402        38923        38923        38287       574809  
      July        40029        39459        39459        38886       576939        39929        39360        39360        38786       577492  
      Aug.        39821        39243        39243        38768       577873        39541        38963        38963        38488       576693  
      Sep.        39561        39084        39084        38415       578394        39244        38767        38767        38099       576827  
      Oct.        39394        38975        38975        38246       580379        38829        38410        38410        37681       578215  
      Nov.        39404        39121        39121        38202       582062        38739        38456        38456        37536       582258  
      Dec.        38717        38507        38507        37391       584929        38426        38217        38217        37101       589954  
 2001-Jan.        37862        37789        37789        36599       588002        39591        39518        39518        38327       591330  
      Feb.        38561        38510        38510        37216       589716        39163        39112        39112        37818       588800  
      Mar.        38410        38352        38352        37160       592297        37605        37547        37547        36354       591209  
      Apr.        38414        38363        38363        37156       595485        38612        38561        38561        37354       594895  
      May         38563        38350        38350        37545       598723        39429        39216        39216        38410       598559  
      June        38697        38468        38468        37449       601780        38170        37941        37941        36921       601554  
      July        39399        39116        39116        37997       607804        39411        39128        39128        38009       608228  
      Aug.        39953        39770        39770        38750       615521        39754        39571        39571        38551       614545  
      Sep.        57892        54507        54507        38878       639616        57676        54292        54292        38662       637967  
      Oct.        45456        45329        45329        44130       630212        44760        44632        44632        43434       627787  
      Nov.        40972        40888        40888        39533       629774        40188        40104        40104        38749       629658  
      Dec.        41442        41376        41376        39799       635559        41169        41102        41102        39526       639899  
 2002-Jan.        41692        41643        41643        40287       641338        43709        43659        43659        42303       644265  
      Feb.        41841        41812        41812        40469       646258        42474        42445        42445        41102       645684  
      Mar.        41121        41042        41042        39718       649945        40286        40207        40207        38883       649187  
      Apr.        40656        40585        40585        39451       653850        40888        40817        40817        39683       653261  
      May         39488        39376        39376        38229       657743        40223        40111        40111        38965       657977  
      June        39039        38896        38896        37801       662801        38540        38397        38397        37302       662819  
      July        39264        39073        39073        37888       668516        39321        39129        39129        37945       668677  
      Aug.        39918        39585        39585        38312       670403        39723        39390        39390        38117       669243  
      Sep.        38898        38669        38669        37415       671479        38737        38508        38508        37254       669644  
      Oct.        39170        39028        39028        37638       673920        38528        38386        38386        36996       671429  
      Nov.        39863        39591        39591        38226       676970        39053        38781        38781        37416       676720  
      Dec.        40400        40320        40320        38392       681631        40125        40046        40046        38117       686225  
 2003-Jan.        40807        40780        10376        39099       685237        42832        42805        10637        41124       688320  
      Feb.        41309        41284           NA        39344       690540        41872        41847           NA        39907       690212  
      Mar.        41310        41288           NA        39680       694742        40487        40465           NA        38857       693840  
      Apr.        40763        40734           NA        39224       698134        41016        40987           NA        39477       697740  
      May         40932        40877           NA        39314       701224        41562        41507           NA        39945       701458  
      June        42216        42054           NA        40175       703523        41759        41598           NA        39719       703351  
      July        43130        42999           NA        41195       705558        43268        43138           NA        41333       705643  
      Aug.        45898        45570           NA        42134       709913        45709        45380           NA        41944       709008  
      Sep.        44209        44028           NA        42700       711298        43981        43800           NA        42472       708979  
      Oct.        43511        43403           NA        42043       715143        42607        42499           NA        41140       712574  
      Nov.        43021        42953           NA        41539       717802        42077        42009           NA        40595       717138  
      Dec.        42757        42711           NA        41710       720402        42459        42413           NA        41412       725210  
 2004-Jan.        43172        43066           NA        42285       721913        45405        45299           NA        44517       725154  
      Feb.        43133        43091           NA        41941       723750        43823        43781           NA        42631       723958  
      Mar.        45095        45044           NA        43287       726467        44109        44058           NA        42301       725657  
      Apr.        45812        45726           NA        44006       730076        45947        45861           NA        44141       729951  
      May         45432        45320           NA        43748       733322        46174        46063           NA        44490       733500  
      June        45584        45403           NA        43652       738246        45530        45350           NA        43598       738973  
      July        45884        45639           NA        44162       746077        46538        46294           NA        44817       746526  
      Aug.        45404        45152           NA        43822       747807        45559        45307           NA        43977       746652  
      Sep.        46309        45974           NA        44655       752501        46189        45853           NA        44535       750546  
      Oct.        46180        46000           NA        44424       755039        45321        45142           NA        43565       752756  
      Nov.        46013        45830           NA        44228       758969        45237        45054           NA        43452       758337  
      Dec.        46552        46489           NA        44643       759072        46520        46458           NA        44612       764657  
 2005-Jan.        47706        47644           NA        45967       760547        50369        50307           NA        48630       763776  
      Feb.        46141        46100           NA        44652       763108        46594        46552           NA        45104       763187  
      Mar.        47099        47050           NA        45317       765491        45888        45839           NA        44106       764669  
      Apr.        46381        46249           NA        44716       766342        46465        46334           NA        44801       766244  
      May         45441        45302           NA        43915       766814        46212        46073           NA        44686       766797  
      June        45757        45509           NA        44018       770319        45838        45590           NA        44099       770803  
      July        46137        45712           NA        44345       773322        46922        46497           NA        45130       774300  
      Aug.        45190        44828           NA        43570       775822        45291        44929           NA        43671       774303  
      Sep.        46229        45896           NA        44234       779789        45910        45578           NA        43915       777509  
      Oct.        45400        45116           NA        43516       781391        44513        44229           NA        42629       778268  
      Nov.        45155        45029           NA        43374       783793        44383        44257           NA        42602       783957  
      Dec.        45139        44970           NA        43238       786976        45141        44972           NA        43240       793376  
 2006-Jan.        44606        44496           NA        43030       791587        47085        46974           NA        45509       795221  
      Feb.        44350        44298           NA        42800       796148        44642        44590           NA        43092       796176  
      Mar.        44138        43969           NA        42631       798581        42771        42602           NA        41264       798237  
      Apr.        44764        44517           NA        42939       801326        44796        44548           NA        42971       800949  
      May         44783        44609           NA        42985       805227        45583        45408           NA        43785       804821  
      June        45007        44754           NA        43224       804850        45213        44960           NA        43430       805020  
      July        44182        43832           NA        42629       803911        45035        44685           NA        43482       804752  
      Aug.        42964        42595           NA        41443       804921        42829        42460           NA        41309       802778  
      Sep.        43105        42701           NA        41344       805797        42762        42359           NA        41001       803220  
      Oct.        42737        42508           NA        41044       805955        41842        41613           NA        40149       802332  
      Nov.        43035        42875           NA        41346       807981        42286        42127           NA        40597       808514  
      Dec.        43338        43147           NA        41475       811126        43363        43172           NA        41500       818400  
 2007-Jan.        42309        42098           NA        40764       812903        44591        44380           NA        43046       816772  
      Feb.        42454        42425           NA        41001       812618        42598        42568           NA        41145       812799  
      Mar.        42290        42236           NA        40673       814101        40695        40641           NA        39078       813846  
      Apr.        42576        42497           NA        40989       817123        42521        42442           NA        40934       815885  
      May         43188        43084           NA        41734       819087        44020        43916           NA        42566       818491  
      June        43374        43187           NA        41623       819842        43698        43511           NA        41947       820005  
      July        41821        41559           NA        40183       821019        42643        42381           NA        41005       821882  
      Aug.        45022        44047           NA        40196       825296        44615        43640           NA        39790       822995  
      Sep.        42667        41101           NA        40934       823289        42288        40722           NA        40555       819967  
      Oct.        42436        42181           NA        40977       825915        41553        41299           NA        40094       821843  
      Nov.        42623        42258           NA        40928       825405        41901        41535           NA        40205       826597  
      Dec.        42674        27244           NA        40905       822357        42716        27286           NA        40947       829843  
 2008-Jan.        42150        -3510           NA        40509       820174        44038        -1621           NA        42398       824416  
      Feb.        42826       -17331           NA        41100       821355        42796       -17361           NA        41070       821917  
      Mar.        44299       -50224           NA        41321       825910        42709       -51814           NA        39731       825559  
      Apr.        43561       -91848           NA        41716       824631        43487       -91922           NA        41642       823379  
      May         44128      -111652           NA        42115       827170        45075      -110705           NA        43062       826882  
      June        43364      -127914           NA        41089       832490        43890      -127388           NA        41616       831974  
      July        43330      -122334           NA        41353       838062        44059      -121605           NA        42083       839215  
      Aug.        44559      -123520           NA        42568       842815        44046      -124032           NA        42055       840149  
      Sep.       102784      -187321           NA        42733       905174       102507      -187598           NA        42456       900649  
      Oct.       315516      -332803           NA        47612      1130304       314834      -333485           NA        46930      1125965  
      Nov.       609937       -88849           NA        50883      1433490       609416       -89369           NA        50363      1435217  
      Dec.       820942       167377           NA        53530      1651203       821136       167570           NA        53723      1659248  
