                                                                     TABLE 1
                                          AGGREGATE RESERVES OF DEPOSITORY INSTITUTIONS AND THE MONETARY BASE
                                          ADJUSTED FOR CHANGES IN RESERVE REQUIREMENTS, MILLIONS OF DOLLARS                   February  5, 2009
               ----------------------SEASONALLY ADJUSTED----------------------  --------------------NOT SEASONALLY ADJUSTED--------------------
                                            NON-                                                             NON-
                               NON-       BORROWED                                              NON-       BORROWED
                  TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY       TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY
     DATE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE
 -----------   -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------
      June        12005        11467        11467        11643        48061        12058        11521        11521        11696        47940  
      July        12073        11544        11544        11720        48281        12125        11597        11597        11773        48499  
      Aug.        12079        11531        11531        11682        48453        11901        11354        11354        11505        48351  
      Sep.        12071        11517        11517        11662        48712        12002        11448        11448        11592        48655  
      Oct.        12118        11630        11630        11759        49029        12096        11608        11608        11737        49084  
      Nov.        12087        11655        11655        11735        49234        12046        11614        11614        11694        49552  
      Dec.        12316        11872        11872        11892        49620        12563        12120        12120        12140        50714  
 1966-Jan.        12295        11875        11875        11916        49850        12566        12146        12146        12187        50130  
      Feb.        12193        11711        11711        11846        50054        12141        11660        11660        11794        49519  
      Mar.        12164        11604        11604        11822        50171        12095        11535        11535        11754        49675  
      Apr.        12258        11621        11621        11903        50439        12289        11653        11653        11934        50101  
      May         12263        11575        11575        11922        50591        12203        11516        11516        11862        50203  
      June        12256        11549        11549        11901        50754        12272        11565        11565        11916        50639  
      July        12371        11629        11629        11993        51019        12418        11677        11677        12040        51244  
      Aug.        12165        11430        11430        11798        50989        11988        11252        11252        11620        50867  
      Sep.        12229        11460        11460        11858        51154        12142        11373        11373        11771        51102  
      Oct.        12199        11465        11465        11867        51200        12200        11466        11466        11868        51251  
      Nov.        12205        11598        11598        11820        51422        12161        11553        11553        11776        51747  
      Dec.        12223        11690        11690        11884        51565        12497        11965        11965        12158        52706  
 1967-Jan.        12334        11924        11924        11931        51876        12610        12200        12200        12207        52162  
      Feb.        12280        11916        11916        11911        52173        12234        11871        11871        11866        51614  
      Mar.        12438        12237        12237        12024        52494        12374        12174        12174        11960        51987  
      Apr.        12488        12342        12342        12138        52517        12473        12327        12327        12123        52154  
      May         12418        12329        12329        12053        52682        12342        12252        12252        11977        52270  
      June        12457        12351        12351        12104        52867        12406        12300        12300        12054        52770  
      July        12722        12607        12607        12304        53165        12722        12607        12607        12304        53380  
      Aug.        12678        12598        12598        12313        53347        12492        12412        12412        12127        53241  
      Sep.        12846        12758        12758        12504        53670        12746        12657        12657        12404        53599  
      Oct.        13088        12959        12959        12752        54044        13053        12925        12925        12718        54090  
      Nov.        13131        12999        12999        12773        54241        13041        12910        12910        12683        54613  
      Dec.        13180        12952        12952        12805        54579        13440        13212        13212        13065        55762  
 1968-Jan.        13239        12993        12993        12852        54892        13540        13294        13294        13153        55193  
      Feb.        13188        12815        12815        12801        55171        13186        12814        12814        12800        54607  
      Mar.        13186        12527        12527        12849        55436        13117        12457        12457        12779        54883  
      Apr.        13117        12432        12432        12782        55692        13164        12479        12479        12828        55296  
      May         13130        12389        12389        12771        55872        13044        12303        12303        12684        55488  
      June        13251        12557        12557        12923        56323        13201        12507        12507        12873        56193  
      July        13455        12928        12928        13105        56626        13387        12860        12860        13036        56836  
      Aug.        13440        12875        12875        13110        56976        13250        12685        12685        12920        56920  
      Sep.        13435        12931        12931        13074        57160        13245        12742        12742        12884        57034  
      Oct.        13529        13086        13086        13283        57477        13546        13103        13103        13301        57535  
      Nov.        13649        13104        13104        13340        57887        13582        13037        13037        13274        58337  
      Dec.        13767        13021        13021        13341        58357        13845        13099        13099        13419        59578  
 1969-Jan.        13629        12893        12893        13383        58597        14366        13630        13630        14120        58927  
      Feb.        13714        12879        12879        13460        58917        13913        13077        13077        13659        58366  
      Mar.        13653        12751        12751        13434        58999        13548        12646        12646        13329        58359  
      Apr.        13471        12468        12468        13304        59062        13565        12561        12561        13398        58635  
      May         13844        12470        12470        13589        59552        13895        12520        12520        13639        59191  
      June        13795        12410        12410        13491        59794        13570        12185        12185        13266        59601  
      July        13491        12239        12239        13266        59713        13508        12256        12256        13284        59942  
      Aug.        13784        12565        12565        13547        60137        13557        12339        12339        13320        60113  
      Sep.        13822        12743        12743        13549        60357        13621        12542        12542        13348        60186  
      Oct.        13904        12754        12754        13741        60633        13822        12672        12672        13658        60694  
      Nov.        14172        12969        12969        13943        61229        14092        12890        12890        13863        61730  
      Dec.        14168        13049        13049        13882        61569        14330        13212        13212        14044        62832  
 1970-Jan.        14087        13128        13128        13914        61792        14807        13847        13847        14633        62138  
      Feb.        14099        13019        13019        13891        61931        14245        13165        13165        14037        61377  
      Mar.        14071        13173        13173        13908        62205        13934        13037        13037        13772        61504  
      Apr.        14209        13364        13364        14057        62653        14236        13390        13390        14084        62214  
      May         14007        13040        13040        13850        62977        14024        13057        13057        13867        62602  
      June        14078        13197        13197        13888        63189        13818        12937        12937        13628        62956  
      July        14159        12799        12799        13993        63444        14098        12738        12738        13932        63710  
      Aug.        14282        13445        13445        14108        63725        14041        13204        13204        13867        63693  
      Sep.        14447        13847        13847        14203        64087        14201        13601        13601        13957        63885  
      Oct.        14480        14017        14017        14274        64303        14334        13871        13871        14129        64391  
      Nov.        14470        14055        14055        14236        64574        14336        13921        13921        14102        65093  
      Dec.        14558        14225        14225        14309        65013        14663        14330        14330        14414        66320  
 1971-Jan.        14604        14240        14240        14371        65545        15333        14969        14969        15099        65938  
      Feb.        14819        14488        14488        14565        66037        14898        14566        14566        14643        65438  
      Mar.        14798        14479        14479        14603        66378        14628        14310        14310        14433        65607  
      Apr.        14759        14606        14606        14591        66731        14702        14549        14549        14535        66295  
      May         14982        14698        14698        14763        67315        14972        14688        14688        14752        66903  
      June        15057        14564        14564        14855        67678        14753        14261        14261        14552        67398  
      July        15125        14302        14302        14941        68155        15025        14202        14202        14840        68479  
      Aug.        15190        14380        14380        14994        68413        14904        14094        14094        14708        68361  
      Sep.        15423        14928        14928        15234        68751        15069        14574        14574        14879        68538  
      Oct.        15211        14854        14854        15049        68603        15008        14651        14651        14846        68706  
      Nov.        15247        14864        14864        15010        68894        15064        14680        14680        14827        69440  
      Dec.        15230        15104        15104        15049        69108        15255        15129        15129        15073        70497  
 1972-Jan.        15369        15347        15347        15163        69853        16164        16143        16143        15958        70342  
      Feb.        15363        15331        15331        15211        70368        15472        15439        15439        15320        69556  
      Mar.        15480        15382        15382        15291        70820        15382        15284        15284        15193        70015  
      Apr.        15651        15534        15534        15495        71031        15806        15688        15688        15650        70866  
      May         15739        15628        15628        15600        71525        15890        15778        15778        15750        71401  
      June        15909        15809        15809        15706        71817        15645        15545        15545        15442        71765  
      July        15835        15597        15597        15642        72173        15956        15718        15718        15762        72676  
      Aug.        16010        15623        15623        15822        72623        15862        15474        15474        15673        72660  
      Sep.        16000        15459        15459        15788        72984        15744        15202        15202        15532        72671  
      Oct.        16193        15637        15637        15981        73644        16155        15600        15600        15944        73523  
      Nov.        16441        15833        15833        16088        74370        16384        15776        15776        16030        74822  
      Dec.        16645        15595        15595        16361        75167        16843        15793        15793        16559        76466  
 1973-Jan.        16708        15548        15548        16450        75925        17794        16634        16634        17536        76398  
      Feb.        16714        15120        15120        16516        76160        16828        15234        15234        16630        75279  
      Mar.        16923        15099        15099        16714        76663        16718        14894        14894        16509        75784  
      Apr.        16731        15020        15020        16508        76962        16838        15127        15127        16615        76783  
      May         16672        14829        14830        16533        77393        16745        14903        14904        16607        77270  
      June        16746        14895        14903        16528        77842        16454        14603        14612        16237        77767  
      July        16988        15035        15067        16705        78531        17092        15139        15170        16808        79085  
      Aug.        16796        14631        14657        16624        78781        16542        14377        14403        16370        78837  
      Sep.        16735        14883        14909        16505        79316        16449        14597        14624        16219        78953  
      Oct.        16924        15448        15464        16672        80173        16858        15382        15398        16606        80051  
      Nov.        16978        15585        15585        16753        80479        16836        15443        15443        16611        80963  
