        CERES Azimuth Position File

 Terra Satellite Orbit Inclination:  98.140
    GERB longitude:   -6.6  (if different - recompile!!)
    * DOY 2006001 = 01 January 2006

------------------------------------------------------------
--DOY*------ hhmmss ---orbit -- XT_Azimuth     (lat  lon)
------------------------------------------------------------
2006187     080106     34833      155.08       17.92  39.75
2006187     080152     34833      157.28       15.13  39.12
2006187     080239     34833      159.65       12.34  38.50
2006187     080318     34833      161.79        9.95  37.98
2006187     080358     34833      164.05        7.55  37.46
2006187     080437     34833      166.42        5.16  36.95
2006187     080517     34833      168.89        2.77  36.44
2006187     080550     34833      171.02        0.77  36.01
2006187     080623     34833      173.21       -1.22  35.59
2006187     080656     34833      175.44       -3.22  35.16
2006187     080729     34833      177.72       -5.21  34.74
2006187     080802     34833      180.03       -7.20  34.31
2006187     080835     34833      182.36       -9.19  33.88
2006187     080908     34833      184.70      -11.19  33.45
2006187     080941     34833      187.04      -13.18  33.01
2006187     081014     34833      189.37      -15.17  32.57
2006187     081047     34833      191.68      -17.16  32.12
2006187     081120     34833      193.96      -19.15  31.67
2006187     081153     34833      196.19      -21.13  31.21
2006187     081226     34833      198.38      -23.12  30.73
2006187     081259     34833      200.51      -25.10  30.26
2006187     081339     34833      202.99      -27.48  29.66
2006187     081418     34833      205.37      -29.86  29.05
2006187     081458     34833      207.64      -32.23  28.42
2006187     081537     34833      209.80      -34.60  27.76
2006187     081624     34833      212.19      -37.36  26.96
2006187     081710     34833      214.42      -40.12  26.11
2006187     081803     34833      216.79      -43.26  25.08
2006187     081855     34833      218.96      -46.39  23.96
2006187     081855     34833      180.00      -46.39  23.96

2006187     093200     34834      116.21       46.69  23.13
2006187     093358     34834      118.39       39.61  20.69
2006187     093524     34834      120.58       34.47  19.17
2006187     093630     34834      122.71       30.51  18.09
2006187     093730     34834      125.06       26.94  17.17
2006187     093816     34834      127.25       24.15  16.49
2006187     093855     34834      129.41       21.77  15.91
2006187     093935     34834      131.92       19.38  15.36
2006187     094008     34834      134.29       17.39  14.90
2006187     094034     34834      136.40       15.79  14.55
2006187     094101     34834      138.73       14.20  14.19
2006187     094127     34834      141.30       12.61  13.84
2006187     094154     34834      144.13       11.01  13.49
2006187     094213     34834      146.43        9.82  13.23
2006187     094233     34834      148.91        8.62  12.97
2006187     094253     34834      151.55        7.42  12.71
2006187     094313     34834      154.38        6.23  12.45
2006187     094333     34834      157.38        5.03  12.20
2006187     094346     34834      159.49        4.23  12.03
2006187     094359     34834      161.67        3.43  11.86
2006187     094412     34834      163.92        2.64  11.69
2006187     094425     34834      166.25        1.84  11.52
2006187     094439     34834      168.65        1.04  11.35
2006187     094452     34834      171.10        0.24  11.18
2006187     094505     34834      173.60       -0.55  11.01
2006187     094518     34834      176.15       -1.35  10.84
2006187     094531     34834      178.73       -2.15  10.67
2006187     094545     34834      181.33       -2.95  10.50
2006187     094558     34834      183.95       -3.74  10.33
2006187     094611     34834      186.57       -4.54  10.16
2006187     094624     34834      189.17       -5.34   9.99
2006187     094637     34834      191.75       -6.14   9.82
2006187     094651     34834      194.30       -6.93   9.65
2006187     094704     34834      196.81       -7.73   9.48
2006187     094717     34834      199.26       -8.53   9.30
2006187     094730     34834      201.66       -9.32   9.13
2006187     094743     34834      203.99      -10.12   8.96
2006187     094757     34834      206.25      -10.92   8.79
2006187     094810     34834      208.44      -11.71   8.61
2006187     094823     34834      210.55      -12.51   8.44
2006187     094843     34834      213.56      -13.71   8.17
2006187     094903     34834      216.39      -14.90   7.91
2006187     094922     34834      219.05      -16.09   7.64
2006187     094942     34834      221.54      -17.29   7.37
2006187     095002     34834      223.86      -18.48   7.10
2006187     095022     34834      226.02      -19.67   6.82
2006187     095048     34834      228.67      -21.26   6.45
2006187     095115     34834      231.08      -22.85   6.08
2006187     095141     34834      233.28      -24.44   5.69
2006187     095214     34834      235.74      -26.42   5.20
2006187     095247     34834      237.94      -28.40   4.71
2006187     095327     34834      240.27      -30.78   4.09
2006187     095413     34834      242.63      -33.54   3.34
2006187     095506     34834      244.93      -36.70   2.44
2006187     095605     34834      247.11      -40.24   1.35
2006187     095718     34834      249.33      -44.56  -0.11
2006187     095850     34834      251.56      -50.03  -2.22
2006187     095956     34834      180.00      -53.92  -3.99

2006187     110900     34835      266.02       53.38   1.26
2006187     111224     34835      263.85       41.24  -3.50
2006187     111430     34835      261.72       33.73  -5.76
2006187     111555     34835      259.60       28.58  -7.14
2006187     111701     34835      257.38       24.60  -8.13
2006187     111754     34835      255.01       21.42  -8.89
2006187     111834     34835      252.73       19.03  -9.44
2006187     111907     34835      250.36       17.04  -9.90
2006187     111933     34835      248.07       15.45 -10.25
2006187     112000     34835      245.29       13.85 -10.61
2006187     112019     34835      242.83       12.66 -10.87
2006187     112039     34835      239.93       11.46 -11.14
2006187     112052     34835      237.72       10.66 -11.31
2006187     112106     34835      235.24        9.87 -11.48
2006187     112119     34835      232.45        9.07 -11.66
2006187     112132     34835      229.32        8.27 -11.83
2006187     112145     34835      225.78        7.47 -12.00
2006187     112158     34835      221.80        6.68 -12.17
2006187     112205     34835      219.63        6.28 -12.26
2006187     112212     34835      217.34        5.88 -12.34
2006187     112218     34835      214.92        5.48 -12.43
2006187     112225     34835      212.36        5.08 -12.51
2006187     112231     34835      209.67        4.68 -12.60
2006187     112238     34835      206.86        4.28 -12.68
2006187     112245     34835      203.92        3.88 -12.77
2006187     112251     34835      200.86        3.49 -12.85
2006187     112258     34835      197.70        3.09 -12.94
2006187     112304     34835      194.46        2.69 -13.02
2006187     112311     34835      191.14        2.29 -13.11
2006187     112318     34835      187.78        1.89 -13.19
2006187     112324     34835      184.39        1.49 -13.28
2006187     112331     34835      180.99        1.09 -13.36
2006187     112337     34835      177.61        0.69 -13.45
2006187     112344     34835      174.28        0.29 -13.53
2006187     112351     34835      171.01       -0.10 -13.62
2006187     112357     34835      167.83       -0.50 -13.70
2006187     112404     34835      164.74       -0.90 -13.79
2006187     112410     34835      161.77       -1.30 -13.87
2006187     112417     34835      158.92       -1.70 -13.96
2006187     112424     34835      156.20       -2.10 -14.04
2006187     112430     34835      153.60       -2.50 -14.13
2006187     112437     34835      151.14       -2.90 -14.21
2006187     112443     34835      148.81       -3.29 -14.30
2006187     112450     34835      146.60       -3.69 -14.38
2006187     112503     34835      142.56       -4.49 -14.55
2006187     112516     34835      138.97       -5.29 -14.72
2006187     112530     34835      135.78       -6.09 -14.89
2006187     112543     34835      132.95       -6.88 -15.06
2006187     112556     34835      130.44       -7.68 -15.24
2006187     112609     34835      128.19       -8.48 -15.41
2006187     112629     34835      125.27       -9.67 -15.67
2006187     112649     34835      122.76      -10.87 -15.93
2006187     112709     34835      120.62      -12.06 -16.19
2006187     112735     34835      118.20      -13.66 -16.54
2006187     112808     34835      115.73      -15.65 -16.98
2006187     112848     34835      113.37      -18.03 -17.52
2006187     112934     34835      111.22      -20.81 -18.17
2006187     113033     34835      109.12      -24.39 -19.02
2006187     113159     34835      106.95      -29.54 -20.31
2006187     113411     34835      104.84      -37.44 -22.51
2006187     113755     34835      180.00      -50.76 -27.25

2006187     124800     34836      235.37       52.97 -23.66
2006187     124912     34836      233.08       48.68 -25.53
2006187     125012     34836      230.89       45.15 -26.88
2006187     125104     34836      228.69       42.00 -27.98
2006187     125151     34836      226.56       39.24 -28.86
2006187     125237     34836      224.21       36.47 -29.69
2006187     125316     34836      222.00       34.10 -30.37
2006187     125356     34836      219.59       31.72 -31.03
2006187     125429     34836      217.45       29.74 -31.55
2006187     125502     34836      215.15       27.76 -32.06
2006187     125535     34836      212.72       25.77 -32.56
2006187     125608     34836      210.13       23.78 -33.04
2006187     125634     34836      207.96       22.19 -33.42
2006187     125701     34836      205.70       20.60 -33.80
2006187     125727     34836      203.35       19.01 -34.17
2006187     125754     34836      200.91       17.41 -34.53
2006187     125820     34836      198.40       15.82 -34.89
2006187     125846     34836      195.82       14.23 -35.25
2006187     125913     34836      193.19       12.63 -35.60
2006187     125939     34836      190.51       11.04 -35.95
2006187     130006     34836      187.80        9.44 -36.30
2006187     130032     34836      185.07        7.85 -36.64
2006187     130058     34836      182.33        6.25 -36.98
2006187     130125     34836      179.61        4.66 -37.32
2006187     130151     34836      176.92        3.06 -37.67
2006187     130218     34836      174.26        1.47 -38.00
2006187     130244     34836      171.65       -0.13 -38.34
2006187     130310     34836      169.11       -1.72 -38.68
2006187     130337     34836      166.64       -3.32 -39.02
2006187     130403     34836      164.25       -4.91 -39.36
2006187     130430     34836      161.94       -6.51 -39.71
2006187     130456     34836      159.73       -8.10 -40.05
2006187     130522     34836      157.61       -9.70 -40.39
2006187     130555     34836      155.10      -11.69 -40.83
2006187     130628     34836      152.74      -13.68 -41.27
2006187     130701     34836      150.52      -15.67 -41.71
2006187     130741     34836      148.06      -18.06 -42.25
2006187     130821     34836      145.80      -20.44 -42.80
2006187     130907     34836      143.39      -23.22 -43.46
2006187     130953     34836      141.22      -26.00 -44.13
2006187     131046     34836      139.02      -29.17 -44.93
2006187     131145     34836      136.84      -32.73 -45.88
2006187     131251     34836      180.00      -36.68 -47.00

2006188     083900     34848      134.37       37.32  33.90
2006188     084012     34848      136.63       32.97  32.66
2006188     084112     34848      138.79       29.40  31.71
2006188     084204     34848      140.98       26.22  30.90
2006188     084251     34848      143.14       23.44  30.22
2006188     084337     34848      145.53       20.65  29.56
2006188     084416     34848      147.79       18.27  29.01
2006188     084456     34848      150.24       15.88  28.47
2006188     084529     34848      152.45       13.88  28.02
2006188     084602     34848      154.80       11.89  27.58
2006188     084635     34848      157.31        9.90  27.15
2006188     084701     34848      159.42        8.30  26.80
2006188     084728     34848      161.63        6.71  26.46
2006188     084754     34848      163.93        5.11  26.12
2006188     084821     34848      166.32        3.52  25.78
2006188     084847     34848      168.79        1.92  25.44
2006188     084913     34848      171.33        0.33  25.10
2006188     084940     34848      173.94       -1.27  24.76
2006188     085006     34848      176.60       -2.87  24.42
2006188     085033     34848      179.30       -4.46  24.08
2006188     085059     34848      182.03       -6.05  23.74
2006188     085125     34848      184.77       -7.65  23.40
2006188     085152     34848      187.51       -9.24  23.05
2006188     085218     34848      190.23      -10.84  22.71
2006188     085245     34848      192.92      -12.43  22.36
2006188     085311     34848      195.56      -14.02  22.01
2006188     085337     34848      198.15      -15.61  21.65
2006188     085404     34848      200.67      -17.21  21.29
2006188     085430     34848      203.12      -18.80  20.93
2006188     085457     34848      205.48      -20.39  20.56
2006188     085523     34848      207.76      -21.97  20.19
2006188     085549     34848      209.94      -23.56  19.81
2006188     085622     34848      212.55      -25.55  19.33
2006188     085655     34848      214.99      -27.53  18.84
2006188     085728     34848      217.30      -29.51  18.32
2006188     085801     34848      219.46      -31.49  17.81
2006188     085841     34848      221.88      -33.86  17.15
2006188     085921     34848      224.10      -36.23  16.48
2006188     090007     34848      226.47      -38.98  15.65
2006188     090053     34848      228.61      -41.74  14.78
2006188     090146     34848      230.82      -44.87  13.69
2006188     090245     34848      233.02      -48.39  12.36
2006188     090351     34848      235.14      -52.28  10.69
2006188     090351     34848      180.00      -52.28  10.69

2006188     101400     34849      102.87       51.20  14.15
2006188     101817     34849      105.05       35.86   8.75
2006188     102022     34849      107.24       28.33   6.71
2006188     102142     34849      109.38       23.56   5.53
2006188     102241     34849      111.61       19.98   4.68
2006188     102327     34849      113.92       17.20   4.05
2006188     102407     34849      116.48       14.80   3.51
2006188     102433     34849      118.59       13.21   3.15
2006188     102500     34849      121.12       11.62   2.80
2006188     102519     34849      123.39       10.42   2.54
2006188     102539     34849      126.03        9.22   2.28
2006188     102559     34849      129.14        8.03   2.02
2006188     102612     34849      131.53        7.23   1.85
2006188     102625     34849      134.22        6.43   1.68
2006188     102639     34849      137.25        5.63   1.51
2006188     102652     34849      140.67        4.84   1.34
2006188     102705     34849      144.53        4.04   1.17
2006188     102712     34849      146.64        3.64   1.08
2006188     102718     34849      148.88        3.24   1.00
2006188     102725     34849      151.25        2.84   0.91
2006188     102731     34849      153.75        2.44   0.83
2006188     102738     34849      156.38        2.04   0.74
2006188     102745     34849      159.15        1.65   0.66
2006188     102751     34849      162.05        1.25   0.57
2006188     102758     34849      165.07        0.85   0.49
2006188     102804     34849      168.21        0.45   0.40
2006188     102811     34849      171.44        0.05   0.32
2006188     102818     34849      174.76       -0.35   0.24
2006188     102824     34849      178.15       -0.75   0.15
2006188     102831     34849      181.57       -1.15   0.07
2006188     102837     34849      185.01       -1.54  -0.02
2006188     102844     34849      188.44       -1.94  -0.10
2006188     102851     34849      191.84       -2.34  -0.19
2006188     102857     34849      195.19       -2.74  -0.27
2006188     102904     34849      198.45       -3.14  -0.36
2006188     102910     34849      201.62       -3.54  -0.44
2006188     102917     34849      204.69       -3.94  -0.53
2006188     102924     34849      207.63       -4.34  -0.61
2006188     102930     34849      210.44       -4.73  -0.70
2006188     102937     34849      213.12       -5.13  -0.78
2006188     102943     34849      215.67       -5.53  -0.87
2006188     102950     34849      218.08       -5.93  -0.95
2006188     102957     34849      220.36       -6.33  -1.04
2006188     103003     34849      222.52       -6.73  -1.13
2006188     103016     34849      226.46       -7.52  -1.30
2006188     103030     34849      229.96       -8.32  -1.47
2006188     103043     34849      233.06       -9.12  -1.64
2006188     103056     34849      235.80       -9.92  -1.81
2006188     103109     34849      238.25      -10.71  -1.99
2006188     103122     34849      240.44      -11.51  -2.16
2006188     103142     34849      243.29      -12.70  -2.42
2006188     103202     34849      245.72      -13.90  -2.69
2006188     103228     34849      248.45      -15.49  -3.04
2006188     103255     34849      250.70      -17.08  -3.40
2006188     103328     34849      253.04      -19.07  -3.86
2006188     103407     34849      255.28      -21.45  -4.41
2006188     103500     34849      257.61      -24.63  -5.17
2006188     103606     34849      259.80      -28.59  -6.16
2006188     103739     34849      262.01      -34.13  -7.64
2006188     103951     34849      264.14      -42.01 -10.04
2006188     104255     34849      180.00      -52.94 -14.33

2006188     115200     34850      252.88       54.33  -9.09
2006188     115345     34850      250.71       48.08 -11.86
2006188     115511     34850      248.43       42.98 -13.74
2006188     115617     34850      246.28       39.04 -15.02
2006188     115716     34850      243.94       35.48 -16.08
2006188     115803     34850      241.79       32.71 -16.86
2006188     115849     34850      239.31       29.93 -17.60
2006188     115928     34850      236.86       27.55 -18.21
2006188     120001     34850      234.54       25.56 -18.71
2006188     120034     34850      231.94       23.58 -19.19
2006188     120101     34850      229.62       21.99 -19.57
2006188     120127     34850      227.07       20.39 -19.94
2006188     120154     34850      224.27       18.80 -20.31
2006188     120213     34850      222.00       17.61 -20.58
2006188     120233     34850      219.55       16.41 -20.85
2006188     120253     34850      216.94       15.22 -21.12
2006188     120313     34850      214.15       14.02 -21.39
2006188     120333     34850      211.19       12.83 -21.65
2006188     120352     34850      208.04       11.63 -21.92
2006188     120406     34850      205.85       10.83 -22.09
2006188     120419     34850      203.59       10.03 -22.26
2006188     120432     34850      201.26        9.24 -22.44
2006188     120445     34850      198.86        8.44 -22.61
2006188     120458     34850      196.41        7.64 -22.78
2006188     120512     34850      193.91        6.84 -22.95
2006188     120525     34850      191.36        6.05 -23.12
2006188     120538     34850      188.79        5.25 -23.29
2006188     120551     34850      186.20        4.45 -23.46
2006188     120604     34850      183.59        3.65 -23.63
2006188     120618     34850      180.99        2.86 -23.80
2006188     120631     34850      178.40        2.06 -23.97
2006188     120644     34850      175.84        1.26 -24.14
2006188     120657     34850      173.31        0.46 -24.31
2006188     120710     34850      170.82       -0.34 -24.48
2006188     120724     34850      168.39       -1.13 -24.65
2006188     120737     34850      166.01       -1.93 -24.82
2006188     120750     34850      163.70       -2.73 -24.99
2006188     120803     34850      161.47       -3.53 -25.16
2006188     120816     34850      159.30       -4.32 -25.33
2006188     120836     34850      156.20       -5.52 -25.59
2006188     120856     34850      153.28       -6.72 -25.84
2006188     120916     34850      150.54       -7.91 -26.10
