  Tick      DoY      hits
   66693  108.70730   2
   66694  108.70750   6
   66695  108.70760   3
   66696  108.70780   5
   66697  108.70790   9
   66698  108.70810   4
   66699  108.70820   7
   66700  108.70840   3
   66701  108.70850   2
   66702  108.70870   2
   66703  108.70880   2
   66704  108.70900   1
   66705  108.70910   3
   66706  108.70930   3
   66707  108.70940   4
   66709  108.70970   2
   66710  108.70990   1
   66712  108.71020   1
   66760  108.71750   1
   67538  108.83540   1
   67574  108.84090   1
   67889  108.88870   1
   67992  108.90430   1
   68044  108.91220   1
   68110  108.92220   1
   68743  109.01820   1
   68878  109.03870   1
   68903  109.04240   1
   68912  109.04380   1
   69177  109.08400   1
   69353  109.11070   1
   69671  109.15890   1
   69685  109.16100   1
   69693  109.16220   1
   69717  109.16590   1
   69745  109.17010   1
   70176  109.23550   1
   70447  109.27660   1
   70562  109.29400   1
   70602  109.30010   1
   70615  109.30200   1
   70621  109.30300   1
   70801  109.33030   1
   70983  109.35780   1
   71028  109.36470   1
   71079  109.37240   1
   71087  109.37360   1
   71868  109.49210   1
   71880  109.49390   1
   71890  109.49540   1
   72268  109.55270   1
   73503  109.74000   1
   73590  109.75320   1
   73594  109.75380   1
   73598  109.75440   1
   73626  109.75860   1
   73759  109.77880   1
   73775  109.78120   1
   73918  109.80290   1
   74076  109.82690   1
   74100  109.83050   1
   74423  109.87950   1
   74459  109.88490   1
   74540  109.89720   1
   74949  109.95930   1
   75306  110.01340   1
   75781  110.08540   1
   76626  110.21360   1
   76670  110.22020   1
   77028  110.27450   1
   77135  110.29070   1
   77243  110.30710   1
   77536  110.35150   1
   77783  110.38900   1
   77935  110.41200   1
   78384  110.48010   1
   79164  110.59840   1
   79627  110.66860   1
   80032  110.73000   1
   80152  110.74820   1
   80669  110.82660   1
   80960  110.87080   1
   81710  110.98450   1
   81808  110.99930   1
   81810  110.99960   1
   82687  111.13260   1
   83379  111.23760   1
   83515  111.25820   1
   83964  111.32630   1
   84371  111.38800   1
   84377  111.38890   1
   84425  111.39620   1
   84475  111.40380   1
   86102  111.65050   1
   86184  111.66290   1
   86239  111.67130   1
   86366  111.69050   1
   86413  111.69760   1
   87358  111.84090   1
   87564  111.87220   1
   87847  111.91510   1
   89298  112.13510   1
   89422  112.15390   1
   89552  112.17360   1
   89896  112.22580   1
   90030  112.24610   1
   90049  112.24900   1
   90784  112.36050   1
   91237  112.42920   1
   91688  112.49750   1
   93059  112.70540   1
   93398  112.75680   1
   94113  112.86530   1
   95692  113.10470   1
   96457  113.22070   1
   97299  113.34840   1
   97743  113.41570   1
   97769  113.41970   1
   98166  113.47990   1
   99203  113.63710   1
   99843  113.73420   1
   99908  113.74400   1
  100816  113.88170   1
  102463  114.13150   1
  102531  114.14180   1
  104272  114.40580   1
  104522  114.44370   1
  105566  114.60200   1
  105844  114.64410   1
  105947  114.65980   1
  105948  114.65990   4
  105949  114.66010   1
  105951  114.66040   1
  106012  114.66960   1
  106271  114.70890   1
  106315  114.71560   1
  106768  114.78430   1
  106814  114.79120   1
  107679  114.92240   1
  107961  114.96520   1
  108233  115.00640   1
  110296  115.31920   1
  110316  115.32230   1
  110916  115.41330   1
  111779  115.54410   1
  112234  115.61310   1
  113119  115.74730   1
  113121  115.74760   1
  113659  115.82920   1
  114069  115.89140   1
  114444  115.94820   1
  114899  116.01720   1
  114963  116.02690   1
  114976  116.02890   1
  115744  116.14540   1
  117993  116.48640   1
  118379  116.54500   1
  118685  116.59140   1
  120480  116.86350   1
  120560  116.87570   1
  121020  116.94540   1
  121872  117.07460   1
  123074  117.25690   1
  123257  117.28460   1
  124034  117.40250   1
  124250  117.43520   1
  124409  117.45930   1
  124844  117.52530   1
  127753  117.96640   1
  128170  118.02960   1
  128362  118.05880   1
  128404  118.06510   1
  128587  118.09290   1
  129039  118.16140   1
  129153  118.17870   1
  129597  118.24600   1
  129765  118.27150   1
  129947  118.29910   1
  130897  118.44320   1
  131254  118.49730   1
  131738  118.57070   1
  131769  118.57540   1
  133398  118.82240   1
  133704  118.86880   1
  133833  118.88840   1
  133910  118.90010   1
  134340  118.96530   1
  135461  119.13530   1
  136384  119.27520   1
  138515  119.59840   1
  138640  119.61730   1
  140407  119.88530   1
  140581  119.91160   1
  140699  119.92950   1
  142124  120.14560   1
  142558  120.21140   1
  143315  120.32620   1
  143380  120.33610   1
  144141  120.45150   1
  145032  120.58660   1
  147152  120.90810   1
  147372  120.94140   1
  149872  121.32050   1
  150691  121.44470   1
  151997  121.64280   1
  152339  121.69460   1
  152739  121.75530   1
  153789  121.91450   1
  153889  121.92970   1
  154118  121.96440   1
  154952  122.09090   1
  154974  122.09420   1
  155886  122.23250   1
  156023  122.25330   1
  157669  122.50290   1
  159744  122.81750   1
  160498  122.93180   1
  161792  123.12810   1
  162330  123.20960   1
  162973  123.30720   1
  163096  123.32580   1
  163103  123.32690   1
  163935  123.45300   1
  165256  123.65330   1
  165335  123.66530   1
  166228  123.80070   1
  167042  123.92420   1
  167676  124.02030   1
  169348  124.27390   1
  170701  124.47900   1
  173429  124.89270   1
  175674  125.23310   1
  177206  125.46540   1
  178453  125.65450   1
  181348  126.09350   1
  186141  126.82030   1
  186873  126.93130   1
  188081  127.11450   1
  189566  127.33970   1
  192826  127.83400   1
  193957  128.00560   1
  194938  128.15430   1
  196054  128.32350   1
  197325  128.51630   1
  197352  128.52040   1
  199717  128.87900   1
  199808  128.89280   1
  200467  128.99270   1
  201519  129.15230   1
  201735  129.18500   1
  202858  129.35530   1
  203908  129.51450   1
  206595  129.92200   1
  208460  130.20480   1
  212374  130.79830   1
  212437  130.80780   1
  214946  131.18830   1
  215682  131.29990   1
  219454  131.87190   1
  220902  132.09150   1
  224709  132.66880   1
  227473  133.08790   1
  227741  133.12850   1
  228582  133.25610   1
  231307  133.66930   1
  234400  134.13830   1
  235607  134.32130   1
  236033  134.38590   1
  236463  134.45110   1
  236891  134.51600   1
  236902  134.51770   1
  237751  134.64640   1
  237752  134.64660   1
  239874  134.96840   1
  241246  135.17640   1
  242058  135.29950   1
  242919  135.43010   1
  242920  135.43030   1
  242921  135.43040   1
  244208  135.62560   1
  244375  135.65090   1
  244494  135.66890   1
  244777  135.71190   1
  245497  135.82100   1
  246365  135.95270   1
  247278  136.09110   1
  247656  136.14840   1
  248085  136.21350   1
  249376  136.40930   1
  249584  136.44080   1
  249658  136.45200   1
  249809  136.47490   1
  250113  136.52100   1
  250144  136.52570   1
  250541  136.58590   1
  250662  136.60430   1
  251091  136.66930   1
  251095  136.66990   1
  252282  136.84990   1
  252816  136.93090   1
  253562  137.04400   1
  254043  137.11690   1
  254539  137.19220   1
  255363  137.31710   1
  255400  137.32270   1
  255802  137.38370   1
  255826  137.38730   1
  256135  137.43420   1
  257486  137.63900   1
  258305  137.76320   1
  258628  137.81220   1
  258689  137.82150   1
  258834  137.84350   3
  258836  137.84380   2
  258994  137.86770   1
  259261  137.90820   1
  259262  137.90840   3
  259263  137.90850   1
  259264  137.90870   4
  259267  137.90910   2
  259268  137.90930   1
  259272  137.90990   1
  259696  137.97420   1
  259705  137.97550   1
  260564  138.10580   1
  261425  138.23640   1
  262543  138.40590   1
  263135  138.49570   1
  263994  138.62590   1
  263995  138.62610   1
  263997  138.62640   1
  264431  138.69220   1
  264439  138.69340   1
  264644  138.72450   1
  264788  138.74630   1
  264860  138.75720   1
  265290  138.82240   1
  265422  138.84250   1
  265636  138.87490   1
  266148  138.95250   1
  266580  139.01810   1
  267343  139.13380   1
  267879  139.21500   1
  268169  139.25900   1
  268302  139.27920   1
  268304  139.27950   1
  268316  139.28130   1
  268317  139.28140   1
  268516  139.31160   1
  268724  139.34320   1
  268728  139.34380   1
  270457  139.60600   1
  270892  139.67190   1
  271740  139.80050   1
  271741  139.80070   2
  271761  139.80370   1
  272174  139.86630   1
  272189  139.86860   1
  272604  139.93150   1
  273034  139.99670   1
  273035  139.99690   1
  273464  140.06190   1
  273469  140.06270   1
  273894  140.12710   1
  273910  140.12960   1
  274315  140.19100   1
  274324  140.19240   1
  274331  140.19340   1
  274768  140.25970   1
  275185  140.32290   1
  275633  140.39080   1
  276047  140.45360   1
  276475  140.51850   1
  276476  140.51870   2
  277338  140.64940   1
  277342  140.65000   1
  277596  140.68850   1
  278200  140.78010   1
  278633  140.84580   1
  278773  140.86700   1
  278774  140.86710   1
  279056  140.90990   1
  279064  140.91110   1
  279277  140.94340   1
  279491  140.97590   1
  279494  140.97630   1
  279914  141.04000   1
  279920  141.04090   1
  280352  141.10640   1
  280774  141.17040   1
  281211  141.23670   1
  281216  141.23740   1
  281641  141.30190   1
  281643  141.30220   1
  281654  141.30390   1
  282072  141.36720   1
  282077  141.36800   1
  282078  141.36820   1
  282930  141.49740   1
  283379  141.56540   1
  284223  141.69340   1
  284226  141.69390   1
  284230  141.69450   1
  284243  141.69650   1
  284650  141.75820   1
  284654  141.75880   1
  285083  141.82380   1
  285084  141.82400   2
  285519  141.89000   1
  285533  141.89210   1
  285943  141.95420   1
  286380  142.02050   1
  286389  142.02190   1
  286393  142.02250   1
  286803  142.08470   1
  286807  142.08530   1
  287238  142.15060   1
  288535  142.34730   1
  289823  142.54260   1
  290681  142.67270   1
  291113  142.73820   1
  291974  142.86880   1
  292404  142.93400   1
  293267  143.06480   1
  294126  143.19510   1
  294556  143.26030   2
  294604  143.26760   1
  294705  143.28290   1
  294984  143.32520   1
  294997  143.32720   1
  297496  143.70610   1
  298427  143.84730   1
  298429  143.84760   1
  298430  143.84780   1
  298440  143.84930   1
  298874  143.91510   1
  299725  144.04410   1
  300151  144.10870   1
  300153  144.10900   1
  301117  144.25520   1
  301872  144.36970   2
  302304  144.43520   1
  302305  144.43540   1
  302612  144.48190   1
  302613  144.48210   1
  302733  144.50030   1
  303033  144.54580   1
  303034  144.54590   1
  303036  144.54620   1
  303037  144.54640   1
  303038  144.54650   1
  303042  144.54710   1
  303043  144.54730   1
  303045  144.54760   1
  303164  144.56560   1
  303248  144.57840   1
  303254  144.57930   1
  303460  144.61050   1
  303465  144.61130   1
  303641  144.63800   1
  304544  144.77490   1
  305334  144.89470   1
  305619  144.93790   1
  305744  144.95690   1
  305748  144.95750   1
  306181  145.02310   1
  306188  145.02420   1
  306610  145.08820   1
  306613  145.08860   1
  307040  145.15340   1
  307487  145.22120   1
  307899  145.28360   1
  307912  145.28560   1
  307918  145.28650   1
  308333  145.34950   1
  309486  145.52430   1
  309491  145.52510   1
  309686  145.55460   1
  309775  145.56810   1
  310048  145.60950   1
  310483  145.67550   1
  311344  145.80600   1
  312203  145.93630   1
  312404  145.96680   1
  312636  146.00200   1
  312643  146.00300   1
  313087  146.07030   1
  313496  146.13240   1
  314095  146.22320   1
  316079  146.52400   1
  316089  146.52560   1
  317799  146.78490   1
  318230  146.85020   1
  318655  146.91470   1
  319541  147.04900   1
  320851  147.24770   1
  321241  147.30680   1
  321748  147.38370   1
  322268  147.46250   1
  323505  147.65010   1
  325422  147.94080   1
  325480  147.94960   1
  325488  147.95080   1
  325552  147.96050   1
  325689  147.98130   1
  325690  147.98150   1
  325691  147.98160   1
