CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
224,PROJECT,DATA ARCHAEOLOGY AND RESCUE,,,,,,,,
1037,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,,,,,,,,,
1037,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
1037,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,NUMBER,,,,,,,,,

STATION,5130,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,1,18,1975

HEADERS,,, , , ,,,,,
,,,,1,1,1,METRIDIA LONGA   Cop 4
,,,,3,11,6,METRIDIA LONGA   Cop 3
,,,,10,4,2,METRIDIA LONGA   Cop 2
,,,,0,2,0,METRIDIA LONGA   Cop 1
,,,,0,2,1,MICROSETELLA NORVEGICA   Cop 
,,,,0,1,0,OICOPLEURA VANHOFFENIS
,,,,0,7,0,OITHONA SIMILIS   Female  Cop 6
,,,,1,0,0,OITHONA SIMILIS   Male  Cop 6
,,,,150,100,0,OITHONA SIMILIS   Cop 
,,,,10,0,0,OITHONA SIMILIS   Juv 
,,,,50,27,16,ONCAEA BOREALIS   Female  Cop 6
,,,,20,13,0,ONCAEA BOREALIS   Male  Cop 6
,,,,10,7,3,ONCAEA BOREALIS   Cop 
,,,,0,1,0,POLYCHAETA Larvae
,,,,20,13,16,PSEUDOCALANUS MINUTUS   Female  Cop 6,,,
,,,,0,13,1,PSEUDOCALANUS MINUTUS   Male  Cop 6,,,
,,,,50,67,16,PSEUDOCALANUS MINUTUS   Cop 5,,,
,,,,100,13,16,PSEUDOCALANUS MINUTUS   Cop 4,,,
,,,,100,13,0,PSEUDOCALANUS MINUTUS   Cop 3,,,
,,,,20,7,0,PSEUDOCALANUS MINUTUS   Cop 2,,,
,,,,0,0,1,PSEUDOCALANUS MINUTUS   Naup ,,,
,,,,0,0,1,SAGITTA ELEGANS,,,
STATION,5195,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,3,24,1975

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,
MESH SIZE,0.168,MM,,,,,
MOUTH AREA,0.1,M2,,,,,
MOUTH DIAM,0.36,M,,,,,
PRESERVATIVE,FORMALIN,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,-0.6,20.4,1,2,0,ACARTIA LONGIREMIS   Female  Cop 6
,5,-0.4,27.9,0,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,10,-0.2,28.2,1,3,0,ACARTIA LONGIREMIS   Cop 
,15,-0.2,28.8,0,3,0,ACARTIA LONGIREMIS   Juv 
,25,-0.1,29.4,0,0,0,ACARTIA LONGIREMIS   Naup 
,50,-0.2,29.5,0,1,0,AGLANTHA DIGITALE
,65,-0.2,28.8,0,0,0,ASCIDIA Larvae
,,,,10,3,0,CALANUS GLACIALIS   Male  Cop 6
,,,,0,0,1,CALANUS GLACIALIS   Cop 4
,,,,1,0,0,CALANUS GLACIALIS   Cop 2
,,,,0,0,1,ECHINODERMATA Larvae
,,,,1,1,0,FRITILLARIA BOREALIS
,,,,25,7,1,GASTROPODA Larvae
,,,,0,3,3,METRIDIA LONGA   Female  Cop 6
,,,,4,3,5,METRIDIA LONGA   Male  Cop 6
,,,,0,1,1,METRIDIA LONGA   Cop 5
,,,,2,5,3,METRIDIA LONGA   Cop 4
,,,,3,20,9,METRIDIA LONGA   Cop 3
,,,,6,23,8,METRIDIA LONGA   Cop 2
,,,,5,0,0,METRIDIA LONGA   Cop 1
,,,,1,1,1,MICROSETELLA NORVEGICA   Cop 
,,,,50,13,0,OITHONA SIMILIS   Female  Cop 6
,,,,25,0,0,OITHONA SIMILIS   Male  Cop 6
,,,,400,34,6,OITHONA SIMILIS   Cop 
,,,,5,0,0,OITHONA SIMILIS   Juv 
,,,,100,100,7,ONCAEA BOREALIS   Female  Cop 6
,,,,10,17,3,ONCAEA BOREALIS   Male  Cop 6
,,,,20,7,7,ONCAEA BOREALIS   Cop 
,,,,0,0,1,PARAFAVELLA DENTICULATA
,,,,0,0,1,POLYCHAETA Larvae
,,,,150,17,29,PSEUDOCALANUS MINUTUS   Female  Cop 6
,,,,5,2,1,PSEUDOCALANUS MINUTUS   Male  Cop 6
,,,,25,0,0,PSEUDOCALANUS MINUTUS   Cop 5
,,,,75,17,0,PSEUDOCALANUS MINUTUS   Cop 4
,,,,0,34,7,PSEUDOCALANUS MINUTUS   Cop 3
,,,,10,0,1,PSEUDOCALANUS MINUTUS   Cop 1
,,,,0,0,1,PSEUDOCALANUS MINUTUS   Naup 
,,,,5,0,1,SAGITTA ELEGANS
STATION,5217,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,4,15,1975

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,,,,
MESH SIZE,0.168,MM,,,,,,,,
MOUTH AREA,0.1,M2,,,,,,,,
MOUTH DIAM,0.36,M,,,,,,,,
PRESERVATIVE,FORMALIN,,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME,,,
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,-0.5,23.8,3,0,0,ACARTIA LONGIREMIS   Female  Cop 6
,5,-0.6,27.9,0,0,1,ACARTIA LONGIREMIS   Male  Cop 6
,10,-0.6,28.3,3,0,0,ACARTIA LONGIREMIS   Cop 
,15,-0.5,28.4,0,0,0,ACARTIA LONGIREMIS   Juv 
,25,-0.4,28.4,0,0,0,ACARTIA LONGIREMIS   Naup 
,50,-0.3,29.7,0,0,0,AGLANTHA DIGITALE
,65,-0.2,28.5,0,0,0,ASCIDIA Larvae
,,,,3,1,0,CALANUS GLACIALIS   Male  Cop 6
,,,,2,1,0,CALANUS GLACIALIS   Cop 4
,,,,50,34,0,CIRRIPEDIA  Naup 
,,,,3,1,0,FRITILLARIA BOREALIS
,,,,25,34,1,GASTROPODA Larvae
,,,,1,2,1,METRIDIA LONGA   Female  Cop 6
,,,,1,5,3,METRIDIA LONGA   Male  Cop 6
,,,,0,0,2,METRIDIA LONGA   Cop 5
,,,,2,9,7,METRIDIA LONGA   Cop 4
,,,,3,67,44,METRIDIA LONGA   Cop 3
,,,,4,34,0,METRIDIA LONGA   Cop 2
,,,,0,1,0,METRIDIA LONGA   Cop 1
,,,,0,0,1,MICROSETELLA NORVEGICA   Cop 
,,,,1,0,0,OICOPLEURA VANHOFFENIS
,,,,325,570,29,OITHONA SIMILIS   Cop 
,,,,10,34,0,OITHONA SIMILIS   Juv 
,,,,25,0,44,ONCAEA BOREALIS   Female  Cop 6
,,,,10,0,3,ONCAEA BOREALIS   Male  Cop 6
,,,,10,0,0,ONCAEA BOREALIS   Cop 
,,,,25,34,1,POLYCHAETA Larvae
,,,,175,100,15,PSEUDOCALANUS MINUTUS   Female  Cop 6
,,,,25,67,6,PSEUDOCALANUS MINUTUS   Male  Cop 6
,,,,125,134,0,PSEUDOCALANUS MINUTUS   Cop 5
,,,,0,34,3,PSEUDOCALANUS MINUTUS   Cop 4,,,
,,,,25,134,3,PSEUDOCALANUS MINUTUS   Cop 3,,,
,,,,20,0,0,PSEUDOCALANUS MINUTUS   Cop 2,,,
,,,,900,134,44,PSEUDOCALANUS MINUTUS   Naup ,,,
,,,,1,0,0,SAGITTA ELEGANS,,,
STATION,5247,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,5,15,1975

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,,,,
MESH SIZE,0.168,MM,,,,,,,,
MOUTH AREA,0.1,M2,,,,,,,,
MOUTH DIAM,0.36,M,,,,,
PRESERVATIVE,FORMALIN,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,4.4,23.7,10,2,0,ACARTIA LONGIREMIS   Female  Cop 6
,5,3.2,27.3,10,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,10,0.6,27.9,0,0,1,ACARTIA LONGIREMIS   Cop 
,15,0.2,28.2,3,0,0,ACARTIA LONGIREMIS   Juv 
,25,-0.2,28.5,3,2,1,ACARTIA LONGIREMIS   Naup 
,50,-0.2,28.8,0,1,0,AGLANTHA DIGITALE
,65,-0.2,28.8,0,0,0,ASCIDIA Larvae
,,,,3,0,1,CALANUS GLACIALIS   Male  Cop 6
,,,,1,0,0,CALANUS GLACIALIS   Cop 5
,,,,0,0,1,CALANUS GLACIALIS   Cop 4
,,,,50,14,0,CALANUS GLACIALIS   Naup 
,,,,10,7,1,CIRRIPEDIA  Naup 
,,,,0,0,1,ECHINODERMATA Larvae
,,,,5,1,1,EVADNE NORDMANNI
,,,,5,0,1,FRITILLARIA BOREALIS
,,,,20,7,1,GASTROPODA Larvae
,,,,0,0,19,METRIDIA LONGA   Female  Cop 6
,,,,0,0,8,METRIDIA LONGA   Male  Cop 6
,,,,0,0,8,METRIDIA LONGA   Cop 5
,,,,1,1,20,METRIDIA LONGA   Cop 4
,,,,0,1,27,METRIDIA LONGA   Cop 3
,,,,0,0,6,METRIDIA LONGA   Cop 2
,,,,5,107,1,METRIDIA LONGA   Naup 
,,,,3,2,1,MICROSETELLA NORVEGICA   Cop 
,,,,250,36,14,OITHONA SIMILIS   Female  Cop 6
,,,,50,36,3,OITHONA SIMILIS   Male  Cop 6
,,,,150,36,54,OITHONA SIMILIS   Cop 
,,,,100,817,230,ONCAEA BOREALIS   Female  Cop 6
,,,,50,21,41,ONCAEA BOREALIS   Male  Cop 6
,,,,150,71,0,ONCAEA BOREALIS   Cop 
,,,,50,21,5,POLYCHAETA Larvae
,,,,20,71,189,PSEUDOCALANUS MINUTUS   Female  Cop 6
,,,,5,0,5,PSEUDOCALANUS MINUTUS   Male  Cop 6
,,,,0,178,54,PSEUDOCALANUS MINUTUS   Cop 5
,,,,50,71,68,PSEUDOCALANUS MINUTUS   Cop 4
,,,,200,249,68,PSEUDOCALANUS MINUTUS   Cop 3
,,,,50,213,27,PSEUDOCALANUS MINUTUS   Cop 2
,,,,50,71,68,PSEUDOCALANUS MINUTUS   Cop 1
,,,,150,107,68,PSEUDOCALANUS MINUTUS   Naup 
,,,,15,2,1,SAGITTA ELEGANS
,,,,0,0,1,TEMORA LONGICORNIS   Naup 
STATION,5264,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,1,1975

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,,,,
MESH SIZE,0.168,MM,,,,,,,,
MOUTH AREA,0.1,M2,,,,,,,,
MOUTH DIAM,0.36,M,,,,,,,,
PRESERVATIVE,FORMALIN,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME,,,
units,m,C,psu,#/M3,#/M3,#/M3,,,,
decimal places,0,1,1,0,0,0,Name,,,
,0,6.5,25.9,20,1,0,ACARTIA LONGIREMIS   Female  Cop 6
,5,6.6,25.9,10,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,10,5.5,25.9,50,1,0,ACARTIA LONGIREMIS   Cop 
,15,3,27.1,250,2,0,ACARTIA LONGIREMIS   Juv 
,25,0.6,28.3,100,0,1,ACARTIA LONGIREMIS   Naup 
,50,-0.2,28.8,2,8,0,AGLANTHA DIGITALE
,65,-0.2,28.6,0,0,0,ASCIDIA Larvae
,,,,30,2,0,BIVALVIA larvae
,,,,0,1,1,CALANUS GLACIALIS   Male  Cop 6
,,,,0,1,3,CALANUS GLACIALIS   Cop 5
,,,,50,34,0,CALANUS GLACIALIS   Cop 3
,,,,250,200,0,CALANUS GLACIALIS   Cop 2
,,,,150,167,1,CALANUS GLACIALIS   Cop 1
,,,,600,200,1,CALANUS GLACIALIS   Naup 
,,,,3,1,0,CIRRIPEDIA  Naup 
,,,,5,2,0,ECHINODERMATA Larvae
,,,,4,0,0,EVADNE NORDMANNI
,,,,150,134,1,FRITILLARIA BOREALIS
,,,,50,20,3,GASTROPODA Larvae
,,,,0,2,8,METRIDIA LONGA   Female  Cop 6
,,,,0,0,2,METRIDIA LONGA   Male  Cop 6
,,,,0,0,3,METRIDIA LONGA   Cop 5
,,,,0,1,8,METRIDIA LONGA   Cop 4
,,,,1,1,5,METRIDIA LONGA   Cop 3
,,,,0,0,2,METRIDIA LONGA   Cop 2
,,,,0,0,1,METRIDIA LONGA   Cop 1
,,,,20,134,13,METRIDIA LONGA   Naup 
,,,,100,3,1,MICROSETELLA NORVEGICA
,,,,50,3,1,MICROSETELLA NORVEGICA   Cop 
,,,,0,2,0,OICOPLEURA VANHOFFENIS
,,,,1450,838,26,OITHONA SIMILIS   Female  Cop 6
,,,,400,167,13,OITHONA SIMILIS   Male  Cop 6
,,,,650,100,5,OITHONA SIMILIS   Cop 
,,,,0,67,0,OITHONA SIMILIS   Juv 
,,,,50,500,299,ONCAEA BOREALIS   Female  Cop 6
,,,,10,20,13,ONCAEA BOREALIS   Male  Cop 6
,,,,100,134,0,ONCAEA BOREALIS   Cop 
,,,,100,13,3,PARAFAVELLA DENTICULATA
,,,,5,0,0,PODON LEUCKARTI
,,,,10,7,3,POLYCHAETA Larvae
,,,,3,100,325,PSEUDOCALANUS MINUTUS   Female  Cop 6
,,,,0,0,5,PSEUDOCALANUS MINUTUS   Male  Cop 6
,,,,20,369,169,PSEUDOCALANUS MINUTUS   Cop 5
,,,,250,167,91,PSEUDOCALANUS MINUTUS   Cop 4
,,,,950,600,26,PSEUDOCALANUS MINUTUS   Cop 3
,,,,600,369,117,PSEUDOCALANUS MINUTUS   Cop 2
,,,,900,335,26,PSEUDOCALANUS MINUTUS   Cop 1
,,,,1600,600,26,PSEUDOCALANUS MINUTUS   Naup 
,,,,150,38,3,SAGITTA ELEGANS,,,
,,,,6,0,0,TEMORA LONGICORNIS   Naup ,,,
STATION,5275,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,12,1975

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,,,,
MESH SIZE,0.168,MM,,,,,,,,
MOUTH AREA,0.1,M2,,,,,,,,
MOUTH DIAM,0.36,M,,,,,,,,
PRESERVATIVE,FORMALIN,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,7.5,26.5,100,2,0,ACARTIA LONGIREMIS   Female  Cop 6
,5,6.5,26.5,400,2,1,ACARTIA LONGIREMIS   Male  Cop 6
,10,5.7,26.5,200,3,0,ACARTIA LONGIREMIS   Cop 
,15,4.1,27.2,1300,7,0,ACARTIA LONGIREMIS   Juv 
,25,2.5,27.9,0,1,1,ACARTIA LONGIREMIS   Naup 
