Dataset:              EMAP Stream Physical Habitat Assessment
File Name:            habbest
Date Created:         02/22/99
# Variables:          71
# Header Records:     81
# Data Records:       251
Missing Value Symbol: .

Variables:    DATE_COL         Date stream visited
              LAT_DD           Sample Site Latitude (decimal degrees)
              LON_DD           Sample Site Longitude (decimal degrees)
              LSUB_DMM         Log10 est substrate geom mean diam (mm)
              PCAN_C           Riparian Canopy Coniferous (Prop reach)
              PCT_BDRK         Substrate Bedrock (%)
              PCT_BIGR         Substrate >= Coarse Gravel >16 mm (%)
              PCT_DRS          Dry Channel or Subsurf Flow (%)
              PCT_FA           Falls (% of reach)
              PCT_FAST         Fast Wtr Hab (% riffle & faster)
              PCT_FN           Substrate Fines -- Silt/Clay/Muck (%)
              PCT_HP           Substrate Hardpan -- (%)
              PCT_ORG          Substrate Wood or Detritus -- (%)
              PCT_POOL         Pools -- All Types (% of reach)
              PCT_RC           Substrate Concrete (%)
              PCT_SA           Substrate Sand -- .06-2 mm (%)
              PCT_SAFN         Substrate Sand & Fines -- <2 mm (%)
              PCT_SFGF         Substrate <= Fine Gravel <16 mm (%)
              PCT_SLOW         Slow Wtr Hab (% Glide & Pool)
              RP100            Residual Mean Depth (cm or m2/100m)
              RPGT75           number of nonmissing values, MAXDEP
              RPMDEP           the largest value, MAXDEP
              RPXAREA          the mean, POOLAR
              SAMPLED          Site Sampled Code
              SDDEPTH          Std Dev of Thalweg Depth (cm)
              SDWXD            Std Dev of Width*Depth Product (m2)
              SINU             Channel Sinuosity (m/m)
              STRMNAME         Stream Name from 7.5 map
              STRM_ID          individual site identification
              V1W_MSQ          ave. v1w per square meter stream
              V4W_MSQ          ave. v4w per square meter stream
              VISIT_NO         visit number-within year
              W1H_LOG          Rip Dist--Logging Activity (ProxWt Pres)
              W1H_PIPE         Rip Dist--Pipes infl/effl (ProxWt Pres)
              W1H_WALL         Rip Dist--Wall/Bank Revet. (ProxWt Pres)
              W1_HAG           Rip Dist--Sum Agric Types (ProxWt Pres)
              W1_HALL          Rip Dist--Sum All Types (ProxWt Pres)
              W1_HNOAG         Rip Dist--Sum NonAg Types (ProxWt Pres)
              WD_RAT           Mean Width/Depth Ratio (m/m)
              XBKF_H           mean BANKHT 93 see data documentation
              XBKF_W           mean BANKWD. 93 see data documentation
              XBK_A            the mean, ANGLE
              XC               Riparian Veg Canopy Cover
              XCDENBK          Mean Bankside Canopy Density (%)
              XCDENMID         Mean MidChannel Canopy Density (%)
              XCL              Riparian Canopy >.3m DBH (Cover)
              XCMGW            Rip Veg Canopy+Mid+Ground Woody Cover
              XCMW             Rip Veg Canopy+Mid Layer Woody Cover
              XDEPTH           Thalweg Mean Depth (cm)
              XEMBED           Mean Embeddedness--Channel+Margin (%)
              XFC_ALG          Filamentous Algae Cover (Areal Prop.)
              XFC_ALL          Fish Cvr--All Types (Sum Areal Prop)
              XFC_AQM          Aq. Macrophytes Cover (Areal Prop.)
              XFC_BIG          Fish Cvr--LWD,Bldr,OHBk,Struct (Areal P)
              XFC_BRS          Brush & Small Debris Cvr (Areal Prop.)
              XFC_HUM          Fish Cvr--Artif. Structs. (Areal Prop)
              XFC_LWD          Lg. Woody Debris Cover (Areal Prop.)
              XFC_NAT          Fish Cvr--Natural Types (Sum Areal Prop)
              XFC_OHV          Overhang. Veg. Cover (Areal Prop.)
              XFC_RCK          Fish Cover--Boulders (Areal Prop.)
              XFC_UCB          Undercut Bank Cover (Areal Prop.)
              XG               Riparian Veg Ground Layer Cover
              XGB              Rip Ground Layer Barren (Cover)
              XINC_H           mean incis ht 93 see data documentation
              XPCM             Rip Can & MidLayer Present (Prop reach)
              XPCMG            Riparian 3-Layers Present (Prop reach)
              XSLOPE           Channel Slope -- reach mean (%)
              XUN              the mean, UNDERCUT
              XWIDTH           Wetted Width -- Mean (m)
              XWXD             Mean Width*Depth Product (m2)
              YEAR             Sample Year

"DATE_COL","LAT_DD","LON_DD","LSUB_DMM","PCAN_C","PCT_BDRK","PCT_BIGR","PCT_DRS","PCT_FA","PCT_FAST","PCT_FN","PCT_HP","PCT_ORG","PCT_POOL","PCT_RC","PCT_SA","PCT_SAFN","PCT_SFGF","PCT_SLOW","RP100","RPGT75","RPMDEP","RPXAREA","SAMPLED","SDDEPTH","SDWXD","SINU","STRMNAME","STRM_ID","V1W_MSQ","V4W_MSQ","VISIT_NO","W1H_LOG","W1H_PIPE","W1H_WALL","W1_HAG","W1_HALL","W1_HNOAG","WD_RAT","XBKF_H","XBKF_W","XBK_A","XC","XCDENBK","XCDENMID","XCL","XCMGW","XCMW","XDEPTH","XEMBED","XFC_ALG","XFC_ALL","XFC_AQM","XFC_BIG","XFC_BRS","XFC_HUM","XFC_LWD","XFC_NAT","XFC_OHV","XFC_RCK","XFC_UCB","XG","XGB","XINC_H","XPCM","XPCMG","XSLOPE","XUN","XWIDTH","XWXD","YEAR" 
06/01/1994,39.57167,-77.75444,-0.817632692,0,0,16.363636364,0,0,6,70.909090909,0,5.4545454545,0,0,1.8181818182,72.727272727,78.181818182,94,12.080545079,0,53,2.6145751135,"Yes",9.1303191222,0.2342142367,1.0069473279,"ST. JAMES RUN","MDR04S",0.0054798261,0,1,0,0,0,1,1,0,9.4073372496,1.2272727273,5.9909090909,50.318181818,0.2863636364,98.930481283,98.262032086,0.0920454545,0.4068181818,0.35,32.47,90.576923077,0,0.0454545455,0,0.0045454545,0.0227272727,0,0,0.0454545455,0.0181818182,0.0045454545,0,0.4306818182,0.1920454545,1.2272727273,1,1,0.38,0.25,2.73,0.87112,1994 
05/13/1994,39.58194,-78.71861,1.037628213,0,0,60,1,0,55,18.181818182,0,1.8181818182,17,0,5.4545454545,23.636363636,38.181818182,44,19.842087537,1,78,5.0101271031,"Yes",12.666168252,0.7754831039,1.2439276805,"COLLIER RUN","MDR05S",0.0043479471,0,1,0,0,0,0.33335,1.4470272727,1.1136772727,15.129819171,0.5454545455,6.3090909091,40.428571429,0.5079545455,95.989304813,94.117647059,0.2897727273,1.0068181818,0.9090909091,31.85,38.240740741,0.0954545455,0.2,0.0272727273,0.0454545455,0.0727272727,0,0,0.2,0.0818181818,0.0227272727,0.0227272727,0.6022727273,0.325,0.5454545455,0.7727272727,0.7727272727,0.23,0.098,4.43,1.4504,1994 
05/13/1995,40.90883,-75.46015,-0.130579137,0.0909090909,0,32.727272727,0,0,24,47.272727273,0,1.8181818182,0,0,7.2727272727,54.545454545,60,76,11.002385043,0,73,1.9755393588,"Yes",11.188305583,0.4451116241,1.4856686512,"NNT POHOPOCO CREEK","PA003S",0.0150309119,0,1,0,0,0,0.5757590909,2.1515954545,1.5758363636,13.190858641,0.6909090909,4.2909090909,39.363636364,0.6375,93.582887701,94.786096257,0.3113636364,1.3261363636,1.0897727273,28.56,83.425925926,0.0136363636,0.1409090909,0.0363636364,0.0227272727,0.0954545455,0,0.0090909091,0.1409090909,0.0227272727,0,0.0136363636,0.5204545455,0.4613636364,1.6727272727,0.9090909091,0.9090909091,0.35,0.0068181818,3.235,0.9334,1995 
06/24/1995,40.90883,-75.46015,-0.380921358,0,0,29.090909091,0,0,36.363636364,52.727272727,0,3.6363636364,15.151515152,0,7.2727272727,60,67.272727273,63.636363636,12.655799594,0,70,2.3966920482,"Yes",11.399144926,0.4619214333,1.3124886868,"NNT POHOPOCO CREEK","PA003S",0.009822899,0,2,0,0,0.0303045455,0.5227272727,0.8863818182,0.3636545455,15.086909453,0.3181818182,4.0272727273,40.909090909,0.6806818182,96.256684492,96.122994652,0.4863636364,1.1590909091,0.9261363636,23.33,79.056603774,0,0.3409090909,0.0045454545,0.15,0.0545454545,0,0.0590909091,0.3409090909,0.1363636364,0,0.0909090909,0.5306818182,0.3522727273,1.2227272727,0.7272727273,0.7272727273,0.425,0.0272727273,2.955,0.7364,1995 
06/05/1996,40.90883,-75.46015,-0.932050348,0,0,5.4545454545,0,0,28.947368421,38.181818182,0,12.727272727,0,0,30.909090909,69.090909091,78.181818182,71.052631579,14.680741,0,68,2.7526389375,"Yes",12.279076364,0.4843007004,1.6524577806,"NNT POHOPOCO CREEK","PA003S",0.001940249,0,1,0,0,0,0.5909090909,3.1288909091,2.5379818182,12.829355389,1.5,5.7,42.523809524,0.4976190476,92.513368984,89.572192513,0.3083333333,1.1202380952,0.9214285714,31.141414141,83.723404255,0,0.1863636364,0.0272727273,0.0318181818,0.0681818182,0,0.0045454545,0.1863636364,0.0863636364,0,0.0272727273,0.725,0.1130952381,1.5,0.9523809524,0.9523809524,0.1888888889,0.0636363636,3.4428571429,1.0783,1996 
09/12/1996,40.90883,-75.46015,-0.279646148,0.0909090909,0,29.090909091,0,0,21,52.727272727,0,1.8181818182,19,0,1.8181818182,54.545454545,69.090909091,79,10.439292155,0,60,1.3179606346,"Yes",10.424693877,0.5926737897,1.5078774771,"NNT POHOPOCO CREEK","PA003S",0.015230365,0,2,0,0,0,0.5454545455,2.5455545455,2.0001,14.499577084,0.5545454545,4.2090909091,41.136363636,0.4375,94.919786096,93.582887701,0.2681818182,0.9784090909,0.75,25.55,79.074074074,0.0045454545,0.2409090909,0.0454545455,0.0772727273,0.1045454545,0,0.0318181818,0.2409090909,0.0590909091,0.0181818182,0.0272727273,0.5784090909,0.2920454545,1.0818181818,0.9545454545,0.9545454545,0.4625,0.0022727273,3.2619047619,0.9097,1996 
05/16/1995,40.17827,-78.89293,1.2318178625,0,0,44,0,0.7352941176,94.117647059,8,0,16,1.4705882353,0,4,12,36,5.8823529412,1.9726219882,0,25,0.0842847577,"Yes",3.6547003341,0.1019616371,1.1049948249,"NNT STONYCREEK RIVER","PA010S",0.0557785094,0.0101159579,1,0,0,0,0,0,0,28.242945326,0.26,2.29,60.5,0.6522727273,99.732620321,99.732620321,0.3375,1.1204545455,0.9522727273,8.1,52.380952381,0,0.77,0.025,0.585,0.15,0,0.025,0.77,0.035,0.475,0.085,0.5613636364,0.3988636364,1.34,1,1,2.7,0.05,1.9184210526,0.1657894737,1995 
06/25/1995,40.17827,-78.89293,1.060662898,0,0,46,13.793103448,0,86.206896552,10,0,2,0,0,16,26,52,0,0.3784931507,0,22,0.0204666667,"Yes",2.7844326413,0.0494690493,1.1871467399,"NNT STONYCREEK RIVER","PA010S",0.0085324385,0,2,0,0,0,0,0,0,76.559027778,0.145,2.11,57.75,0.8522727273,100,99.86631016,0.4977272727,1.0920454545,1.0238636364,3.0620689655,60.625,0,0.3725,0,0.21,0.1125,0,0.02,0.3725,0.05,0.15,0.04,0.2556818182,0.5681818182,0.475,1,1,6.5,0.025,1.49,0.05085,1995 
06/12/1996,40.17827,-78.89293,1.4797762708,0,8,64,0,0,87.596899225,4,0,0,7.7519379845,0,26,30,32,12.403100775,1.5559121622,0,27,0.0767583333,"Yes",5.069684935,0.0966840955,1.2554374163,"NNT STONYCREEK RIVER","PA010S",0.0046033848,0,1,.,0,0,.,.,.,39.854586386,0.4272727273,3.3545454545,41.45,0.7295454545,94.919786096,93.983957219,0.1147727273,1.0545454545,1.0340909091,5.0612244898,41.224489796,0,0.2727272727,0,0.1681818182,0.0318181818,0,0,0.2727272727,0.0727272727,0.1590909091,0.0090909091,0.4477272727,0.3022727273,0.4272727273,1,1,5.45,0.0157894737,1.1325,0.0727105263,1996 
09/14/1996,40.17827,-78.89293,1.03265127,0,0,50,8,0,82,18,0,0,2,0,10,28,50,10,1.5517045111,0,38,0.1119443969,"Yes",5.7236352085,0.1397513864,1.1369224143,"NNT STONYCREEK RIVER","PA010S",0.0149023438,0,2,0,0,0,0,0,0,28.515983245,0.14,2.84,55,0.5477272727,98.930481283,99.598930481,0.2715909091,0.9965909091,0.8920454545,10.26,56.4,0.0045454545,0.5204545455,0.0545454545,0.4431818182,0.0409090909,0,0.0136363636,0.5204545455,0.0363636364,0.375,0.0545454545,0.4977272727,0.4840909091,0.55,0.9545454545,0.9545454545,5.525,0.0204545455,2.4380952381,0.24085,1996 
