Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	211
Date	2004JUL29
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	18.99984	[UTC]
Stop_time	19.28262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.69733	[p_s^-1]
ForeOptic_temperature	39.87	[ns]
Front_temperature	39.87	[ns]
Back_temperature	23.06	[ns]
Inside_temperature	22.71	[ns]
Shelter_temperature	17.59	[ns]
PSUnit_temperature	21.55	[ns]
AirCond_temperature	26.35	[ns]
Outside_temperature	24.55	[ns]
Comments	none
Formatted_file	2004211f14.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.010	-0.00108	0.1198	0.0000
290.110	0.00047	0.1818	-0.0000
290.210	-0.00108	0.1198	-0.0000
290.310	-0.00108	0.1198	-0.0000
290.410	0.00202	0.0876	-0.0000
290.510	0.00357	0.0659	-0.0000
290.610	-0.00108	0.1198	-0.0000
290.710	0.00047	0.1818	-0.0000
290.810	0.00201	0.0876	-0.0000
290.910	0.00047	0.1818	-0.0000
291.010	0.00356	0.0659	-0.0000
291.110	0.00355	0.0659	0.0000
291.210	0.00664	0.0482	0.0000
291.310	0.00509	0.0550	0.0000
291.410	0.00509	0.0550	0.0000
291.510	0.00662	0.0482	0.0000
291.610	0.00662	0.0482	0.0000
291.710	0.01276	0.0347	0.0000
291.810	0.00968	0.0398	0.0000
291.910	0.00968	0.0398	0.0000
292.010	0.00967	0.0398	0.0000
292.110	0.01580	0.0312	-0.0000
292.210	0.01426	0.0328	-0.0000
292.310	0.01119	0.0370	-0.0000
292.410	0.01118	0.0370	-0.0000
292.510	0.01576	0.0312	-0.0000
292.610	0.01575	0.0312	-0.0000
292.710	0.01880	0.0285	-0.0000
292.810	0.01268	0.0347	-0.0000
292.910	0.02030	0.0274	-0.0000
293.010	0.03707	0.0203	-0.0000
293.110	0.03857	0.0199	0.0000
293.210	0.05836	0.0162	0.0000
293.310	0.04462	0.0185	0.0000
293.410	0.06286	0.0156	0.0000
293.510	0.09172	0.0129	0.0000
293.610	0.05822	0.0162	0.0000
293.710	0.04452	0.0185	0.0000
293.810	0.08701	0.0132	0.0000
293.910	0.08089	0.0137	0.0000
294.010	0.11118	0.0117	0.0000
294.110	0.08232	0.0136	-0.0000
294.210	0.11864	0.0113	-0.0000
294.310	0.14584	0.0102	-0.0000
294.410	0.12457	0.0110	-0.0000
294.510	0.14417	0.0102	-0.0000
294.610	0.21667	0.0084	-0.0000
294.710	0.14100	0.0104	-0.0000
294.810	0.09562	0.0126	-0.0000
294.910	0.14086	0.0104	-0.0000
295.010	0.24943	0.0078	-0.0000
295.110	0.31718	0.0069	0.0000
295.210	0.40747	0.0061	0.0000
295.310	0.41179	0.0060	0.0000
295.410	0.25648	0.0077	0.0000
295.510	0.55591	0.0052	0.0000
295.610	0.51803	0.0054	0.0000
295.710	0.40349	0.0061	0.0000
295.810	0.67989	0.0047	0.0000
295.910	0.69310	0.0047	0.0000
296.010	0.63271	0.0049	0.0000
296.110	0.73750	0.0045	-0.0000
296.210	1.06277	0.0038	-0.0000
