                                                       29 Apr 2008 15:49:13
Satellite-CALIPSO-Sensor-LIDAR_3deg


       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
30 Apr 2008 10:22:00.800           26.4228            46.4621    706.363302
30 Apr 2008 10:22:01.000           26.4349            46.4591    706.364755
30 Apr 2008 10:22:02.000           26.4951            46.4441    706.372026
30 Apr 2008 10:22:03.000           26.5553            46.4290    706.379326
30 Apr 2008 10:22:04.000           26.6155            46.4140    706.386654
30 Apr 2008 10:22:05.000           26.6756            46.3990    706.394011
30 Apr 2008 10:22:06.000           26.7358            46.3840    706.401396
30 Apr 2008 10:22:07.000           26.7960            46.3689    706.408810
30 Apr 2008 10:22:08.000           26.8562            46.3538    706.416252
30 Apr 2008 10:22:09.000           26.9164            46.3388    706.423722
30 Apr 2008 10:22:10.000           26.9766            46.3237    706.431221
30 Apr 2008 10:22:11.000           27.0367            46.3086    706.438748
30 Apr 2008 10:22:12.000           27.0969            46.2935    706.446303
30 Apr 2008 10:22:13.000           27.1571            46.2783    706.453886
30 Apr 2008 10:22:14.000           27.2173            46.2632    706.461497
30 Apr 2008 10:22:15.000           27.2774            46.2480    706.469136
30 Apr 2008 10:22:16.000           27.3376            46.2329    706.476803
30 Apr 2008 10:22:17.000           27.3978            46.2177    706.484497
30 Apr 2008 10:22:18.000           27.4580            46.2025    706.492220
30 Apr 2008 10:22:19.000           27.5181            46.1873    706.499970
30 Apr 2008 10:22:20.000           27.5783            46.1721    706.507748
30 Apr 2008 10:22:21.000           27.6385            46.1569    706.515553
30 Apr 2008 10:22:22.000           27.6986            46.1417    706.523386
30 Apr 2008 10:22:23.000           27.7588            46.1264    706.531247
30 Apr 2008 10:22:24.000           27.8190            46.1112    706.539135
30 Apr 2008 10:22:25.000           27.8791            46.0959    706.547050
30 Apr 2008 10:22:26.000           27.9393            46.0806    706.554992
30 Apr 2008 10:22:27.000           27.9994            46.0653    706.562962
30 Apr 2008 10:22:28.000           28.0596            46.0500    706.570959
30 Apr 2008 10:22:29.000           28.1197            46.0347    706.578982
30 Apr 2008 10:22:30.000           28.1799            46.0194    706.587033
30 Apr 2008 10:22:31.000           28.2401            46.0040    706.595111
30 Apr 2008 10:22:32.000           28.3002            45.9887    706.603216
30 Apr 2008 10:22:33.000           28.3604            45.9733    706.611347
30 Apr 2008 10:22:34.000           28.4205            45.9579    706.619506
30 Apr 2008 10:22:35.000           28.4807            45.9426    706.627691
30 Apr 2008 10:22:36.000           28.5408            45.9272    706.635902
30 Apr 2008 10:22:37.000           28.6009            45.9117    706.644141
30 Apr 2008 10:22:38.000           28.6611            45.8963    706.652405
30 Apr 2008 10:22:39.000           28.7212            45.8809    706.660696
30 Apr 2008 10:22:40.000           28.7814            45.8654    706.669014
30 Apr 2008 10:22:41.000           28.8415            45.8499    706.677358
30 Apr 2008 10:22:42.000           28.9016            45.8345    706.685728
30 Apr 2008 10:22:43.000           28.9618            45.8190    706.694124
30 Apr 2008 10:22:44.000           29.0219            45.8035    706.702547
30 Apr 2008 10:22:45.000           29.0820            45.7879    706.710995
30 Apr 2008 10:22:46.000           29.1422            45.7724    706.719470
30 Apr 2008 10:22:47.000           29.2023            45.7568    706.727970
30 Apr 2008 10:22:48.000           29.2624            45.7413    706.736496
30 Apr 2008 10:22:49.000           29.3226            45.7257    706.745048
30 Apr 2008 10:22:50.000           29.3827            45.7101    706.753626
30 Apr 2008 10:22:51.000           29.4428            45.6945    706.762230
30 Apr 2008 10:22:52.000           29.5029            45.6789    706.770859
30 Apr 2008 10:22:53.000           29.5630            45.6633    706.779513
30 Apr 2008 10:22:54.000           29.6232            45.6476    706.788193
30 Apr 2008 10:22:55.000           29.6833            45.6320    706.796899
30 Apr 2008 10:22:56.000           29.7434            45.6163    706.805630
30 Apr 2008 10:22:57.000           29.8035            45.6006    706.814386
30 Apr 2008 10:22:58.000           29.8636            45.5849    706.823167
30 Apr 2008 10:22:59.000           29.9237            45.5692    706.831973
30 Apr 2008 10:23:00.000           29.9838            45.5535    706.840805
30 Apr 2008 10:23:01.000           30.0440            45.5378    706.849662
30 Apr 2008 10:23:02.000           30.1041            45.5220    706.858543
30 Apr 2008 10:23:03.000           30.1642            45.5063    706.867449
30 Apr 2008 10:23:04.000           30.2243            45.4905    706.876380
30 Apr 2008 10:23:05.000           30.2844            45.4747    706.885336
30 Apr 2008 10:23:06.000           30.3445            45.4589    706.894317
30 Apr 2008 10:23:07.000           30.4046            45.4430    706.903322
30 Apr 2008 10:23:08.000           30.4647            45.4272    706.912352
30 Apr 2008 10:23:09.000           30.5248            45.4114    706.921406
30 Apr 2008 10:23:10.000           30.5849            45.3955    706.930485
30 Apr 2008 10:23:11.000           30.6449            45.3796    706.939588
30 Apr 2008 10:23:12.000           30.7050            45.3637    706.948715
30 Apr 2008 10:23:13.000           30.7651            45.3478    706.957866
30 Apr 2008 10:23:14.000           30.8252            45.3319    706.967042
30 Apr 2008 10:23:15.000           30.8853            45.3160    706.976241
30 Apr 2008 10:23:16.000           30.9454            45.3000    706.985465
30 Apr 2008 10:23:17.000           31.0055            45.2840    706.994712
30 Apr 2008 10:23:18.000           31.0655            45.2681    707.003984
30 Apr 2008 10:23:19.000           31.1256            45.2521    707.013279
30 Apr 2008 10:23:20.000           31.1857            45.2360    707.022598
30 Apr 2008 10:23:21.000           31.2458            45.2200    707.031941
