 476597.37 2835809.12   -0.24 AB07C11300 20020509Y
 476182.30 2835812.28   -0.11 AB07C11300 20020509Y
 475814.39 2835801.73    0.08 AB07C11300 20020509Y
 475456.65 2835809.08    0.17 AB07C11300 20020509Y
 475033.51 2835804.73    0.18 AB07C11300 20020509Y
 474646.42 2835798.27    0.19 AB07C11300 20020509Y
 486980.14 2836202.21    0.20 AB09B11300 20020509Y
 486622.37 2836198.57   -0.14 AB09B11300 20020509Y
 486231.30 2836206.08    0.15 AB09B11300 20020509Y
 485802.30 2836202.72    0.14 AB09B11300 20020509Y
 485430.86 2836200.95   -0.21 AB09B11300 20020509Y
 484468.22 2836201.21   -0.08 AB09B11300 20020509Y
 484204.59 2836207.75    0.13 AB09B11300 20020509Y
 483883.87 2836198.79   -0.12 AB09B11300 20020509Y
 483269.39 2836199.51    0.02 AB09B11300 20020509Y
 483006.72 2836202.98   -0.53 AB09B11300 20020509Y
 482614.81 2836203.82   -0.20 AB09B11300 20020509Y
 482199.30 2836210.47   -0.45 AB09B11300 20020509Y
 481800.79 2836200.79   -0.28 AB09B11300 20020509Y
 481420.05 2836205.43   -0.61 AB09B11300 20020509Y
 481014.09 2836193.14   -0.28 AB09B11300 20020509Y
 480607.66 2836204.46   -0.22 AB09B11300 20020509Y
 480203.81 2836203.29   -0.50 AB09B11300 20020509Y
 479782.31 2836207.57   -0.74 AB09B11300 20020509Y
 479426.44 2836196.26   -0.31 AB09B11300 20020509Y
 479024.20 2836196.92   -0.13 AB09B11300 20020509Y
 478630.84 2836200.93   -0.47 AB09B11300 20020509Y
 478214.45 2836195.48   -0.19 AB09B11300 20020509Y
 477810.39 2836195.04   -0.31 AB09B11300 20020509Y
 477412.77 2836205.78   -0.42 AB09B11300 20020509Y
 476997.65 2836201.80   -0.40 AB09B11300 20020509Y
 476570.96 2836204.96   -0.57 AB09B11300 20020509Y
 476193.03 2836201.77   -0.14 AB09B11300 20020509Y
 475802.94 2836196.54    0.24 AB09B11300 20020509Y
 475421.22 2836191.32    0.16 AB09B11300 20020509Y
 475030.70 2836189.58    0.12 AB09B11300 20020509Y
 487027.33 2836586.60    0.06 AB11A11300 20020509Y
 486598.74 2836592.85   -0.23 AB11A11300 20020509Y
 486213.47 2836588.57   -0.06 AB11A11300 20020509Y
