s o g   pedestal     gain      rms      dped     dgain     drms
1 1 1 1834.889648 12.050889 1.442538 0.977539 -0.056387 0.037705
1 1 2 1815.375488 11.968944 1.613980 0.108765 -0.192461 0.100932
1 1 3 1818.766479 11.780052 1.820873 -0.720947 -0.093328 0.136873
1 2 1 1802.718872 11.363424 2.193452 0.491577 -0.150145 0.283968
1 2 2 1806.933228 11.266906 2.089852 -0.218750 -0.146249 0.337104
1 2 3 1779.749146 11.316530 2.380267 -0.182251 -0.201977 0.413046
1 3 1 1789.955688 12.426935 2.704377 0.030151 -0.001699 0.326586
1 3 2 1810.556274 12.387228 4.315131 -0.272339 -0.162838 0.779331
1 3 3 1801.858276 11.346120 2.633646 0.032593 -0.070192 0.375735
1 4 1 1821.883423 12.040497 2.908205 0.070923 -0.143745 0.614746
1 4 2 1814.862183 12.009651 1.968415 0.379517 -0.110629 0.267659
1 4 3 1797.302734 12.364440 2.649270 -0.440796 -0.098736 0.500971
1 5 1 1802.897583 12.576217 2.428216 -0.449463 0.102765 0.388347
1 5 2 1797.693237 12.985863 2.158602 -0.363525 0.071680 0.264581
1 5 3 1804.748413 12.730664 2.728194 -0.294312 0.122499 0.471476
1 6 1 1792.534180 12.159434 1.548705 0.623169 0.024784 0.065387
1 6 2 1820.151001 12.553660 1.702144 -0.194946 0.002047 0.033989
1 6 3 1820.126343 12.562782 3.018574 -0.076172 0.005192 0.244206
1 7 1 1814.809204 12.118228 1.441630 0.020996 0.021759 0.046599
1 7 2 1798.523560 12.398282 1.412969 0.004639 0.011360 0.015922
1 7 3 1789.483643 12.292988 1.486943 0.012817 0.024207 0.031891
1 8 1 1812.422607 12.816031 1.938310 -0.053467 0.032463 0.061931
1 8 2 1783.605591 12.862761 1.758446 -0.284424 0.003699 0.096300
1 8 3 1814.654785 12.332619 2.334727 -0.380493 0.006930 0.191887
2 1 1 1792.029663 14.047626 1.823526 0.225220 -0.001907 -0.352188
2 1 2 1794.077759 13.168890 1.671710 0.197510 -0.040635 -0.314518
2 1 3 1766.758667 13.385989 1.594743 -0.159912 -0.004624 -0.290373
2 2 1 1804.586670 13.855597 1.900038 -0.191040 0.007044 -0.234080
2 2 2 1794.664429 13.373981 1.843594 -0.526611 0.016751 -0.225995
2 2 3 1800.482788 13.891854 1.716084 -0.187134 -0.000812 -0.209458
2 3 1 1780.722046 10.874998 1.795997 0.057251 -0.019618 0.006512
2 3 2 1788.846802 13.640433 1.844149 0.242188 -0.004359 -0.033759
2 3 3 1783.537598 13.590067 1.722445 0.004761 -0.040451 -0.010026
2 4 1 1779.697021 14.556984 2.336854 -0.224365 -0.005005 0.002376
2 4 2 1805.513916 13.104153 2.326555 -0.200806 0.020407 -0.054512
2 4 3 1785.453491 14.265340 2.207094 -0.194824 0.010327 -0.068935
2 5 1 1795.759399 15.099163 2.233480 -0.090210 0.029179 0.054210
2 5 2 1788.777588 14.084898 2.177749 0.217529 0.011715 0.053779
2 5 3 1790.360962 13.952895 1.998940 0.051392 -0.000401 0.056920
2 6 1 1798.568237 14.112910 2.565445 -0.640015 0.010509 0.199600
2 6 2 1795.109253 13.062199 2.366223 -0.071777 0.025936 0.121060
2 6 3 1799.556885 13.669385 2.268573 -0.322266 0.053824 0.153656
2 7 1 1818.945435 14.073515 2.287407 -0.268066 0.029501 0.007159
2 7 2 1813.592407 13.351120 2.339253 -0.204224 0.026845 -0.007878
2 7 3 1806.159546 13.875883 2.238189 -0.034790 0.087232 0.008239
2 8 1 1824.536865 14.384448 1.931167 0.628296 -0.015606 0.037611
2 8 2 1807.301636 13.694650 1.741665 -0.571411 0.011870 -0.165910
2 8 3 1839.108887 14.382661 1.585885 -0.119507 0.009494 0.063164
3 1 1 1836.606689 17.637234 2.110002 0.060547 0.009218 0.096334
3 1 2 1817.466675 17.120092 2.372153 0.019897 0.025084 0.078631
3 2 1 1789.083740 17.838310 1.644284 -0.225098 0.005907 0.016237
3 2 2 1820.504883 17.421467 1.771278 -0.122559 -0.015814 0.060416
3 3 1 1785.519409 18.152586 2.604857 0.159912 0.053410 0.138760
3 3 2 1810.557617 17.894718 3.118968 -0.520386 0.017321 0.153840
3 4 1 1776.176636 16.952942 1.886511 0.733643 -0.004053 0.039743
3 4 2 1769.423950 16.881788 2.358019 0.142334 -0.025826 0.063871
3 5 1 1813.044556 16.291754 1.839974 0.446655 -0.062752 0.015116
3 5 2 1789.325073 16.462177 2.174714 -0.309204 -0.008726 0.024417
3 6 1 1821.099854 17.941463 2.502110 -0.325439 0.036175 0.719822
3 6 2 1817.786865 18.161127 2.428782 -0.040161 -0.022308 0.710664
3 7 1 1810.027588 18.002270 1.877166 -0.140991 -0.005117 0.131349
3 7 2 1788.708008 17.435677 1.993382 0.183228 0.002773 0.167687
3 8 1 1782.264160 17.453754 1.628522 -0.005737 0.005146 0.094831
3 8 2 1810.841675 17.627476 1.794884 0.559082 0.015949 0.097580
