SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,22,025,Louisiana,Catahoula Parish,0,0,02,2983,2983,2974,2988,2958,2940,2942
050,22,025,Louisiana,Catahoula Parish,0,0,03,69,69,41,55,52,54,53
050,22,025,Louisiana,Catahoula Parish,0,0,04,24,24,19,19,19,22,19
050,22,025,Louisiana,Catahoula Parish,0,0,05,7,7,4,4,4,6,4
050,22,027,Louisiana,Claiborne Parish,0,0,01,8795,8795,8756,8657,8586,8535,8418
050,22,027,Louisiana,Claiborne Parish,0,0,02,8023,8023,7986,7965,8000,8019,8011
050,22,027,Louisiana,Claiborne Parish,0,0,03,67,67,32,29,30,33,31
050,22,027,Louisiana,Claiborne Parish,0,0,04,40,40,15,15,22,20,26
050,22,027,Louisiana,Claiborne Parish,0,0,05,15,15,11,7,10,7,12
050,22,029,Louisiana,Concordia Parish,0,0,01,12468,12468,12452,12384,12319,12209,12095
050,22,029,Louisiana,Concordia Parish,0,0,02,7734,7734,7715,7636,7575,7530,7571
050,22,029,Louisiana,Concordia Parish,0,0,03,73,73,57,58,58,57,55
050,22,029,Louisiana,Concordia Parish,0,0,04,73,73,53,56,51,56,59
050,22,029,Louisiana,Concordia Parish,0,0,05,13,13,2,0,0,2,0
050,22,031,Louisiana,De Soto Parish,0,0,01,14533,14531,14537,14696,14911,15182,15421
050,22,031,Louisiana,De Soto Parish,0,0,02,10823,10823,10821,10703,10722,10629,10651
050,22,031,Louisiana,De Soto Parish,0,0,03,238,238,223,212,211,210,202
050,22,031,Louisiana,De Soto Parish,0,0,04,40,40,32,31,32,37,38
050,22,031,Louisiana,De Soto Parish,0,0,05,23,23,21,18,17,12,31
050,22,033,Louisiana,East Baton Rouge Parish,0,0,01,236669,236669,236206,232839,230104,227890,225594
050,22,033,Louisiana,East Baton Rouge Parish,0,0,02,167204,167204,167514,168958,171045,174149,177418
050,22,033,Louisiana,East Baton Rouge Parish,0,0,03,1971,1971,2087,2132,2079,2071,2018
050,22,033,Louisiana,East Baton Rouge Parish,0,0,04,9576,9576,9813,9815,10015,10199,10622
050,22,033,Louisiana,East Baton Rouge Parish,0,0,05,281,281,413,417,410,403,401
050,22,035,Louisiana,East Carroll Parish,0,0,01,3030,3030,3013,2984,2917,2835,2826
050,22,035,Louisiana,East Carroll Parish,0,0,02,6353,6353,6338,6193,6136,6134,6079
050,22,035,Louisiana,East Carroll Parish,0,0,03,25,25,17,18,18,18,18
050,22,035,Louisiana,East Carroll Parish,0,0,04,40,40,32,32,31,30,31
050,22,035,Louisiana,East Carroll Parish,0,0,05,0,0,0,0,0,0,0
050,22,037,Louisiana,East Feliciana Parish,0,0,01,11185,11185,11188,11162,11120,11259,11278
050,22,037,Louisiana,East Feliciana Parish,0,0,02,10118,10118,10120,10012,9920,9725,9597
050,22,037,Louisiana,East Feliciana Parish,0,0,03,81,81,57,58,57,64,62
050,22,037,Louisiana,East Feliciana Parish,0,0,04,81,81,55,64,65,64,65
050,22,037,Louisiana,East Feliciana Parish,0,0,05,9,9,2,2,4,4,1
050,22,039,Louisiana,Evangeline Parish,0,0,01,25124,25124,25087,25034,25008,24815,24969
050,22,039,Louisiana,Evangeline Parish,0,0,02,10208,10208,10207,10207,10241,10287,10353
050,22,039,Louisiana,Evangeline Parish,0,0,03,141,141,94,109,102,104,102
050,22,039,Louisiana,Evangeline Parish,0,0,04,86,86,64,72,89,97,91
050,22,039,Louisiana,Evangeline Parish,0,0,05,13,13,9,7,6,7,5
050,22,041,Louisiana,Franklin Parish,0,0,01,14407,14407,14425,14226,14125,14119,14109
050,22,041,Louisiana,Franklin Parish,0,0,02,6766,6766,6749,6736,6688,6685,6607
050,22,041,Louisiana,Franklin Parish,0,0,03,135,135,106,113,108,109,114
050,22,041,Louisiana,Franklin Parish,0,0,04,60,60,46,48,48,49,50
050,22,041,Louisiana,Franklin Parish,0,0,05,13,13,1,5,5,5,3
050,22,043,Louisiana,Grant Parish,0,0,01,16257,16257,16268,16331,16350,16512,16713
050,22,043,Louisiana,Grant Parish,0,0,02,2269,2269,2267,2198,2212,2176,2245
050,22,043,Louisiana,Grant Parish,0,0,03,320,320,329,355,327,323,324
050,22,043,Louisiana,Grant Parish,0,0,04,59,59,58,61,76,70,82
050,22,043,Louisiana,Grant Parish,0,0,05,11,11,6,8,7,8,6
050,22,045,Louisiana,Iberia Parish,0,0,01,48720,48720,48695,48810,48782,48937,48940
050,22,045,Louisiana,Iberia Parish,0,0,02,23019,23019,23094,23171,23412,23545,23862
050,22,045,Louisiana,Iberia Parish,0,0,03,530,530,564,579,565,561,578
050,22,045,Louisiana,Iberia Parish,0,0,04,1617,1617,1593,1630,1671,1719,1826
050,22,045,Louisiana,Iberia Parish,0,0,05,57,57,5,6,7,2,7
050,22,047,Louisiana,Iberville Parish,0,0,01,16552,16552,16548,16580,16390,16152,16105
050,22,047,Louisiana,Iberville Parish,0,0,02,16649,16649,16629,16577,16552,16504,16258
050,22,047,Louisiana,Iberville Parish,0,0,03,123,123,87,91,88,84,101
050,22,047,Louisiana,Iberville Parish,0,0,04,113,113,98,91,93,89,90
050,22,047,Louisiana,Iberville Parish,0,0,05,7,7,3,4,5,3,2
050,22,049,Louisiana,Jackson Parish,0,0,01,11024,11024,11004,11057,11061,11093,11105
050,22,049,Louisiana,Jackson Parish,0,0,02,4314,4314,4314,4252,4141,4122,4101
050,22,049,Louisiana,Jackson Parish,0,0,03,63,63,44,47,46,47,47
050,22,049,Louisiana,Jackson Parish,0,0,04,44,44,35,38,37,35,37
050,22,049,Louisiana,Jackson Parish,0,0,05,1,1,0,0,0,0,0
050,22,053,Louisiana,Jefferson Davis Parish,0,0,01,25629,25629,25611,25492,25425,25428,25614
050,22,053,Louisiana,Jefferson Davis Parish,0,0,02,5721,5721,5699,5627,5620,5594,5534
050,22,053,Louisiana,Jefferson Davis Parish,0,0,03,196,196,165,148,152,170,167
050,22,053,Louisiana,Jefferson Davis Parish,0,0,04,87,87,71,80,82,80,83
050,22,053,Louisiana,Jefferson Davis Parish,0,0,05,10,10,2,1,3,2,3
050,22,051,Louisiana,Jefferson Parish,0,0,01,333212,333212,332221,327064,323075,319908,316853
050,22,051,Louisiana,Jefferson Parish,0,0,02,106326,106326,106554,109373,112711,115927,120230
050,22,051,Louisiana,Jefferson Parish,0,0,03,3891,3891,4204,4214,4161,4165,4151
050,22,051,Louisiana,Jefferson Parish,0,0,04,15932,15932,16320,16296,16635,16997,17279
050,22,051,Louisiana,Jefferson Parish,0,0,05,389,389,636,632,635,639,637
050,22,059,Louisiana,La Salle Parish,0,0,01,12420,12420,12427,12288,12379,12300,12303
050,22,059,Louisiana,La Salle Parish,0,0,02,1755,1755,1745,1753,1741,1719,1730
050,22,059,Louisiana,La Salle Parish,0,0,03,157,157,136,145,151,150,145
050,22,059,Louisiana,La Salle Parish,0,0,04,36,36,28,28,31,30,30
050,22,059,Louisiana,La Salle Parish,0,0,05,3,3,0,0,1,0,0
050,22,055,Louisiana,Lafayette Parish,0,0,01,142129,142129,142079,141866,142451,143081,143645
050,22,055,Louisiana,Lafayette Parish,0,0,02,46091,46091,46259,46811,47917,48546,49512
050,22,055,Louisiana,Lafayette Parish,0,0,03,1104,1104,1142,1138,1152,1184,1223
050,22,055,Louisiana,Lafayette Parish,0,0,04,2417,2417,2401,2577,2699,2722,2792
050,22,055,Louisiana,Lafayette Parish,0,0,05,128,128,95,116,116,103,119
050,22,057,Louisiana,Lafourche Parish,0,0,01,75809,75809,75808,75802,76125,76507,76957
050,22,057,Louisiana,Lafourche Parish,0,0,02,11563,11563,11570,11739,12044,12210,12315
050,22,057,Louisiana,Lafourche Parish,0,0,03,2635,2635,2639,2649,2713,2796,2953
050,22,057,Louisiana,Lafourche Parish,0,0,04,706,706,708,705,704,735,769
050,22,057,Louisiana,Lafourche Parish,0,0,05,53,53,15,15,10,16,22
050,22,061,Louisiana,Lincoln Parish,0,0,01,24832,24832,24797,24674,24515,24651,24782
050,22,061,Louisiana,Lincoln Parish,0,0,02,17104,17104,17079,16819,16786,16911,17050
050,22,061,Louisiana,Lincoln Parish,0,0,03,179,179,141,147,177,164,186
050,22,061,Louisiana,Lincoln Parish,0,0,04,606,606,591,525,533,545,528
050,22,061,Louisiana,Lincoln Parish,0,0,05,16,16,0,0,3,1,2
050,22,063,Louisiana,Livingston Parish,0,0,01,87402,87402,88149,90929,94037,96890,100289
050,22,063,Louisiana,Livingston Parish,0,0,02,3954,3948,3963,4080,4360,4518,4666
050,22,063,Louisiana,Livingston Parish,0,0,03,705,705,711,741,756,782,811
050,22,063,Louisiana,Livingston Parish,0,0,04,236,236,232,321,359,458,473
050,22,063,Louisiana,Livingston Parish,0,0,05,33,33,12,21,17,30,33
050,22,065,Louisiana,Madison Parish,0,0,01,5299,5299,5308,5116,4953,4855,4828
050,22,065,Louisiana,Madison Parish,0,0,02,8315,8315,8306,8213,8128,7970,8047
050,22,065,Louisiana,Madison Parish,0,0,03,50,50,25,25,23,25,21
050,22,065,Louisiana,Madison Parish,0,0,04,31,31,42,45,47,47,48
050,22,065,Louisiana,Madison Parish,0,0,05,88,88,55,64,70,65,72
050,22,067,Louisiana,Morehouse Parish,0,0,01,17432,17432,17416,17216,17013,16958,16938
050,22,067,Louisiana,Morehouse Parish,0,0,02,13524,13524,13484,13391,13427,13601,13528
050,22,067,Louisiana,Morehouse Parish,0,0,03,108,108,61,60,74,67,64
050,22,067,Louisiana,Morehouse Parish,0,0,04,82,82,66,66,66,69,75
050,22,067,Louisiana,Morehouse Parish,0,0,05,5,5,2,1,1,1,1
050,22,069,Louisiana,Natchitoches Parish,0,0,01,23250,23250,23278,23050,23035,22720,22638
050,22,069,Louisiana,Natchitoches Parish,0,0,02,15302,15302,15258,15191,15346,15371,15539
050,22,069,Louisiana,Natchitoches Parish,0,0,03,618,618,575,582,566,577,570
050,22,069,Louisiana,Natchitoches Parish,0,0,04,224,224,194,198,242,228,241
050,22,069,Louisiana,Natchitoches Parish,0,0,05,21,21,1,1,4,5,4
050,22,071,Louisiana,Orleans Parish,0,0,01,143337,143337,143074,140886,139382,137472,135463
050,22,071,Louisiana,Orleans Parish,0,0,02,330508,330508,329700,326097,322647,320025,316373
050,22,071,Louisiana,Orleans Parish,0,0,03,2651,2651,2985,2926,2843,2779,2770
050,22,071,Louisiana,Orleans Parish,0,0,04,12238,12238,12597,12464,12430,12459,12432
050,22,071,Louisiana,Orleans Parish,0,0,05,311,311,450,433,426,417,400
050,22,073,Louisiana,Ouachita Parish,0,0,01,96202,96202,96085,95434,95694,95375,95277
050,22,073,Louisiana,Ouachita Parish,0,0,02,49880,49880,49959,49865,50275,51153,51760
050,22,073,Louisiana,Ouachita Parish,0,0,03,741,741,774,777,776,782,820
050,22,073,Louisiana,Ouachita Parish,0,0,04,1139,1139,1122,1078,1119,1239,1304
050,22,073,Louisiana,Ouachita Parish,0,0,05,75,75,26,26,27,38,33
050,22,075,Louisiana,Plaquemines Parish,0,0,01,19119,19119,19124,19388,19482,19945,20711
050,22,075,Louisiana,Plaquemines Parish,0,0,02,6358,6358,6335,6399,6414,6560,6771
050,22,075,Louisiana,Plaquemines Parish,0,0,03,750,750,738,719,731,731,711
