sumlev,State,County,Stname,Ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem
050,09,001,Connecticut,Fairfield County,1,882567,426127,456440,64005,32880,31125,117829,60373,57456,44380,22783,21597,61341,31254,30087,678082,321254,356828,656353,310091,346262,366599,180707,185892,205311,98519,106792,117163,47656,69507,15591,4245,11346,37.3,36.1,38.4
050,09,001,Connecticut,Fairfield County,2,882567,426127,456440,64005,32880,31125,117829,60373,57456,44380,22783,21597,61341,31254,30087,678082,321254,356828,656353,310091,346262,366599,180707,185892,205311,98519,106792,117163,47656,69507,15591,4245,11346,37.3,36.1,38.4
050,09,001,Connecticut,Fairfield County,3,884786,427323,457463,63614,32686,30928,117840,60376,57464,44597,22881,21716,61946,31620,30326,680518,322566,357952,658735,311380,347355,367115,181100,186015,207174,99441,107733,117391,47739,69652,15891,4373,11518,37.4,36.2,38.5
050,09,001,Connecticut,Fairfield County,4,890073,430404,459669,62200,31891,30309,118687,60931,57756,45545,23357,22188,63996,32714,31282,685757,325641,360116,663641,314225,349416,365636,180773,184863,214189,102876,111313,117511,47916,69595,16710,4778,11932,37.8,36.6,38.9
050,09,001,Connecticut,Fairfield County,5,894820,433399,461421,60897,31225,29672,119344,61290,58054,46993,23977,23016,65533,33786,31747,690612,328695,361917,667586,316907,350679,363659,180314,183345,221452,106407,115045,117309,47950,69359,17684,5245,12439,38.2,36.9,39.3
050,09,001,Connecticut,Fairfield County,6,899683,436085,463598,60379,30957,29422,118899,61045,57854,48809,24914,23895,66889,34562,32327,695380,331279,364101,671596,319169,352427,361042,179409,181633,229025,110100,118925,117433,47947,69486,18493,5573,12920,38.6,37.2,39.7
050,09,001,Connecticut,Fairfield County,7,903291,438427,464864,60647,31033,29614,118164,60682,57482,51022,26063,24959,69262,35808,33454,697845,333040,364805,673458,320649,352809,358478,178622,179856,234737,113017,121720,117561,48024,69537,19208,5962,13246,38.8,37.4,40.1
050,09,003,Connecticut,Hartford County,1,857183,412276,444907,54783,27980,26803,110156,56410,53746,45893,23455,22438,66955,33680,33275,668807,315844,352963,646351,304431,341920,356127,176287,179840,198663,95255,103408,125628,50297,75331,17455,4876,12579,37.7,36.3,39.0
050,09,003,Connecticut,Hartford County,2,857183,412276,444907,54783,27980,26803,110156,56410,53746,45893,23455,22438,66955,33680,33275,668807,315844,352963,646351,304431,341920,356127,176287,179840,198663,95255,103408,125628,50297,75331,17455,4876,12579,37.7,36.3,39.0
050,09,003,Connecticut,Hartford County,3,858531,413009,445522,54501,27829,26672,110235,56451,53784,46105,23550,22555,67541,34006,33535,670183,316603,353580,647690,305179,342511,356135,176363,179772,200112,95981,104131,125725,50344,75381,17750,5010,12740,37.8,36.4,39.1
