NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/12/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:   1.235 to  1.638 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 343
Relative Std Dev Filter Aerosol[%]: 0.8
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
01.54514  33.33359 126.29900   1.605  831.08  0.1347  0.1216  1.9826  0.1272   1.3191
01.54389  33.33442 126.30403   1.627  828.68  0.1411  0.1223  1.9383  0.1331   1.2891
01.54306  33.33498 126.30739   1.642  827.09  0.1319  0.1213  1.9025  0.1261   1.2648
01.54222  33.33554 126.31074   1.658  825.44  0.1189  0.1199  1.8601  0.1093   1.2778
01.54097  33.33637 126.31578   1.681  823.04  0.1192  0.1199  1.7930  0.1133   1.2988
01.53972  33.33722 126.32082   1.702  820.78  0.1245  0.1205  1.7275  0.1234   1.2982
01.53847  33.33807 126.32584   1.724  818.44  0.1193  0.1199  1.6627  0.1172   1.2657
01.53722  33.33892 126.33086   1.746  816.06  0.1081  0.1187  1.5984  0.1036   1.2055
01.53639  33.33949 126.33420   1.762  814.41  0.1137  0.1193  1.5563  0.1048   1.1897
01.53556  33.34006 126.33752   1.778  812.82  0.1138  0.1193  1.5169  0.1022   1.1753
01.53431  33.34093 126.34252   1.801  810.44  0.1101  0.1189  1.4656  0.1008   1.1335
01.53306  33.34181 126.34750   1.822  808.19  0.1259  0.1206  1.4254  0.1261   1.1422
01.53181  33.34269 126.35248   1.842  806.05  0.1062  0.1184  1.3893  0.1134   1.1301
01.52931  33.34449 126.36243   1.883  801.85  0.0944  0.1171  1.3050  0.0978   1.1322
01.52806  33.34540 126.36739   1.904  799.77  0.0857  0.1160  1.2573  0.0877   1.1467
01.52722  33.34601 126.37070   1.918  798.22  0.0859  0.1160  1.2241  0.0850   1.1663
01.52597  33.34694 126.37564   1.941  795.85  0.0832  0.1157  1.1747  0.0775   1.1518
01.52472  33.34787 126.38057   1.965  793.31  0.0887  0.1164  1.1311  0.0783   1.0851
01.52389  33.34850 126.38384   1.983  791.61  0.0919  0.1168  1.1050  0.0715   1.0796
01.52306  33.34913 126.38710   2.001  789.90  0.0878  0.1163  1.0839  0.0688   1.0874
01.52181  33.35010 126.39196   2.024  787.56  0.0815  0.1155  1.0611  0.0732   1.1047
01.52056  33.35109 126.39683   2.045  785.39  0.0751  0.1147  1.0439  0.0743   1.1241
01.51972  33.35177 126.40006   2.060  783.92  0.0778  0.1150  1.0347  0.0754   1.1399
01.51889  33.35244 126.40329   2.075  782.38  0.0909  0.1166  1.0274  0.0807   1.1600
01.51806  33.35314 126.40651   2.094  780.50  0.0758  0.1147  1.0199  0.0565   1.1838
01.51681  33.35418 126.41132   2.122  777.78  0.0679  0.1137  1.0064  0.0507   1.2076
01.51556  33.35524 126.41612   2.141  775.86  0.0659  0.1134  0.9953  0.0696   1.1799
01.51431  33.35630 126.42093   2.159  774.12  0.0639  0.1131  0.9856  0.0750   1.0563
01.51264  33.35772 126.42735   2.183  771.64  0.0654  0.1134  0.9747  0.0749   0.9424
01.51139  33.35877 126.43219   2.202  769.70  0.0711  0.1141  0.9686  0.0779   0.9182
01.51014  33.35980 126.43703   2.224  767.66  0.0587  0.1124  0.9625  0.0564   0.9066
01.50889  33.36083 126.44188   2.247  765.50  0.0591  0.1125  0.9561  0.0550   0.8958
01.50806  33.36151 126.44513   2.262  763.94  0.0570  0.1122  0.9520  0.0526   0.8784
01.50722  33.36219 126.44839   2.278  762.32  0.0630  0.1130  0.9481  0.0556   0.8622
01.50639  33.36288 126.45166   2.295  760.65  0.0618  0.1128  0.9433  0.0499   0.8488
01.50514  33.36389 126.45657   2.323  757.87  0.0466  0.1106  0.9296  0.0353   0.8215
01.50389  33.36489 126.46148   2.352  755.04  0.0514  0.1113  0.9079  0.0379   0.7854
01.50306  33.36556 126.46475   2.370  753.24  0.0493  0.1110  0.8907  0.0380   0.7543
01.50222  33.36621 126.46803   2.388  751.44  0.0407  0.1097  0.8708  0.0320   0.7342
01.50139  33.36686 126.47131   2.406  749.70  0.0418  0.1099  0.8483  0.0329   0.7404
01.50056  33.36750 126.47460   2.423  747.91  0.0357  0.1089  0.8246  0.0284   0.7787
01.49972  33.36815 126.47790   2.441  746.24  0.0444  0.1103  0.8014  0.0354   0.8433
01.49889  33.36879 126.48119   2.459  744.49  0.0476  0.1108  0.7797  0.0388   0.9063
01.49806  33.36943 126.48450   2.476  742.81  0.0330  0.1084  0.7569  0.0262   0.9255
01.49722  33.37008 126.48780   2.495  741.03  0.0390  0.1094  0.7326  0.0300   0.8770
01.49597  33.37102 126.49277   2.523  738.32  0.0277  0.1074  0.6952  0.0210   0.7367
01.49472  33.37196 126.49774   2.551  735.57  0.0371  0.1091  0.6597  0.0279   0.6050
01.49389  33.37257 126.50106   2.570  733.80  0.0411  0.1097  0.6392  0.0317   0.5252
01.49306  33.37318 126.50438   2.588  732.04  0.0270  0.1073  0.6180  0.0206   0.4522
01.49222  33.37378 126.50770   2.606  730.36  0.0227  0.1065  0.5960  0.0176   0.3875
01.49139  33.37438 126.51103   2.624  728.68  0.0229  0.1065  0.5758  0.0186   0.3392
01.48972  33.37558 126.51774   2.657  725.57  0.0329  0.1084  0.5464  0.0288   0.3011
01.48847  33.37648 126.52282   2.682  723.25  0.0347  0.1087  0.5310  0.0301   0.2630
01.48722  33.37738 126.52792   2.708  720.80  0.0336  0.1085  0.5165  0.0280   0.2333
01.48639  33.37799 126.53136   2.725  719.14  0.0247  0.1069  0.5047  0.0208   0.2253
01.48556  33.37860 126.53481   2.742  717.64  0.0211  0.1062  0.4901  0.0186   0.2264
01.48431  33.37953 126.54005   2.763  715.45  0.0176  0.1054  0.4674  0.0189   0.2480
01.48306  33.38046 126.54533   2.783  713.47  0.0141  0.1047  0.4418  0.0155   0.2857
01.48222  33.38108 126.54886   2.798  712.11  0.0135  0.1045  0.4228  0.0141   0.3166
01.48097  33.38203 126.55418   2.821  709.92  0.0238  0.1067  0.3948  0.0238   0.3503
01.47972  33.38298 126.55953   2.844  707.80  0.0264  0.1072  0.3688  0.0259   0.3049
01.47889  33.38361 126.56312   2.860  706.37  0.0170  0.1053  0.3510  0.0166   0.2529
01.47806  33.38425 126.56672   2.875  704.94  0.0128  0.1044  0.3323  0.0127   0.2073
01.47639  33.38552 126.57398   2.906  702.08  0.0136  0.1045  0.2943  0.0137   0.1345
01.47556  33.38614 126.57763   2.922  700.72  0.0129  0.1044  0.2748  0.0125   0.1074
01.47472  33.38674 126.58130   2.939  699.08  0.0118  0.1041  0.2554  0.0108   0.0914
01.47389  33.38733 126.58498   2.957  697.33  0.0136  0.1045  0.2372  0.0118   0.0870
01.47306  33.38791 126.58867   2.977  695.48  0.0127  0.1043  0.2214  0.0101   0.0864
01.47222  33.38849 126.59235   2.998  693.65  0.0171  0.1053  0.2092  0.0124   0.0863
01.47139  33.38905 126.59604   3.020  691.71  0.0203  0.1060  0.2024  0.0149   0.0861
01.47056  33.38961 126.59972   3.041  689.94  0.0184  0.1056  0.1986  0.0138   0.0858
01.46972  33.39016 126.60342   3.061  688.17  0.0141  0.1046  0.1953  0.0111   0.0854
01.46889  33.39071 126.60712   3.079  686.50  0.0195  0.1058  0.1912  0.0163   0.0850
01.46806  33.39125 126.61083   3.097  684.99  0.0182  0.1055  0.1854  0.0162   0.0846
01.46681  33.39207 126.61639   3.123  682.79  0.0130  0.1044  0.1690  0.0117   0.0840
01.46472  33.39343 126.62566   3.166  679.08  0.0042  0.1020  0.1175  0.0038   0.0831
01.46389  33.39397 126.62938   3.182  677.63  0.0029  0.1015  0.0906  0.0028   0.0828
01.46306  33.39452 126.63310   3.198  676.27  0.0032  0.1017  0.0621  0.0031   0.0826
01.46181  33.39534 126.63868   3.223  674.12  0.0062  0.1026  0.0205  0.0061   0.0823
01.46056  33.39616 126.64427   3.246  672.06  0.0049  0.1022 -0.0159  0.0050   0.0821
01.45972  33.39671 126.64798   3.262  670.69  0.0046  0.1021 -0.0367  0.0046   0.0819
01.45889  33.39726 126.65169   3.278  669.40  0.0156  0.1050 -0.0525  0.0159   0.0817
01.45764  33.39807 126.65725   3.301  667.45  0.0122  0.1042 -0.0679  0.0125   0.0813
01.45639  33.39887 126.66281   3.323  665.49  0.0145  0.1047 -0.0749  0.0149   0.0808
01.45556  33.39940 126.66652   3.339  664.14  0.0119  0.1041 -0.0755  0.0120   0.0804
01.45431  33.40018 126.67207   3.362  662.20  0.0123  0.1042 -0.0713  0.0126   0.0797
01.45181  33.40165 126.68320   3.400  658.97  0.0126  0.1043 -0.0521  0.0157   0.0782
01.45014  33.40254 126.69065   3.423  656.97  0.0150  0.1048 -0.0333  0.0204   0.0768
01.44889  33.40314 126.69627   3.442  655.32  0.0156  0.1050 -0.0145  0.0192   0.0758
01.44764  33.40371 126.70189   3.463  653.55  0.0120  0.1041  0.0078  0.0135   0.0748
01.44639  33.40425 126.70752   3.485  651.58  0.0115  0.1040  0.0327  0.0122   0.0740
01.44556  33.40458 126.71127   3.502  650.15  0.0165  0.1052  0.0519  0.0156   0.0737
01.44472  33.40488 126.71503   3.519  648.71  0.0107  0.1038  0.0714  0.0100   0.0733
01.44389  33.40515 126.71878   3.537  647.24  0.0150  0.1048  0.0913  0.0132   0.0730
01.44306  33.40538 126.72253   3.555  645.68  0.0122  0.1042  0.1106  0.0104   0.0726
01.44181  33.40571 126.72816   3.583  643.45  0.0126  0.1043  0.1354  0.0110   0.0721
01.44056  33.40603 126.73376   3.610  641.13  0.0125  0.1043  0.1554  0.0105   0.0714
01.43972  33.40624 126.73749   3.630  639.55  0.0029  0.1015  0.1651  0.0023   0.0710
01.43889  33.40644 126.74122   3.648  637.97  0.0067  0.1028  0.1724  0.0056   0.0705
01.43806  33.40665 126.74495   3.667  636.47  0.0119  0.1041  0.1792  0.0101   0.0699
01.43722  33.40685 126.74868   3.685  634.97  0.0115  0.1040  0.1856  0.0098   0.0693
01.43639  33.40706 126.75241   3.703  633.51  0.0138  0.1046  0.1908  0.0119   0.0687
01.43556  33.40725 126.75613   3.721  632.03  0.0122  0.1042  0.1938  0.0107   0.0682
01.43472  33.40745 126.75984   3.738  630.67  0.0116  0.1040  0.1934  0.0104   0.0677
01.43306  33.40784 126.76726   3.772  627.87  0.0013  0.1009  0.1792  0.0012   0.0668
01.43222  33.40804 126.77097   3.790  626.48  0.0029  0.1015  0.1659  0.0027   0.0663
01.43139  33.40823 126.77467   3.807  625.07  0.0081  0.1031  0.1502  0.0073   0.0659
01.43056  33.40843 126.77838   3.824  623.71  0.0058  0.1025  0.1325  0.0053   0.0654
01.42972  33.40862 126.78209   3.841  622.32  0.0038  0.1019  0.1133  0.0035   0.0651
01.42889  33.40881 126.78580   3.857  620.96  0.0031  0.1016  0.0928  0.0028   0.0648
01.42764  33.40911 126.79136   3.882  618.93  0.0031  0.1016  0.0612  0.0028   0.0646
01.42639  33.40940 126.79692   3.907  616.91  0.0042  0.1020  0.0313  0.0040   0.0643
01.42556  33.40960 126.80063   3.923  615.67  0.0038  0.1019  0.0128  0.0037   0.0643
01.42472  33.40980 126.80434   3.939  614.43  0.0051  0.1023 -0.0039  0.0050   0.0643
01.42347  33.41010 126.80990   3.961  612.57  0.0042  0.1020 -0.0247  0.0043   0.0645
01.42222  33.41040 126.81546   3.984  610.70  0.0060  0.1025 -0.0412  0.0061   0.0649
01.42139  33.41061 126.81917   3.999  609.49  0.0060  0.1025 -0.0495  0.0061   0.0653
01.42014  33.41092 126.82472   4.023  607.63  0.0079  0.1031 -0.0577  0.0079   0.0662
01.41889  33.41124 126.83028   4.046  605.78  0.0080  0.1031 -0.0611  0.0081   0.0675
01.41806  33.41145 126.83398   4.061  604.56  0.0070  0.1028 -0.0611  0.0070   0.0686
01.41681  33.41178 126.83954   4.084  602.70  0.0055  0.1024 -0.0583  0.0056   0.0702
01.41556  33.41212 126.84509   4.108  600.77  0.0081  0.1031 -0.0518  0.0081   0.0725
01.41472  33.41234 126.84877   4.124  599.53  0.0085  0.1032 -0.0449  0.0079   0.0742
01.41389  33.41257 126.85246   4.140  598.30  0.0084  0.1032 -0.0368  0.0080   0.0760
01.41264  33.41293 126.85798   4.161  596.68  0.0073  0.1029 -0.0252  0.0082   0.0786
01.41097  33.41341 126.86536   4.184  594.73  0.0067  0.1027 -0.0106  0.0088   0.0826
01.40972  33.41378 126.87091   4.202  593.29  0.0066  0.1027  0.0017  0.0086   0.0875
01.40847  33.41417 126.87647   4.221  591.81  0.0114  0.1040  0.0161  0.0139   0.0931
01.40722  33.41457 126.88204   4.241  590.21  0.0102  0.1037  0.0318  0.0119   0.0990
01.40597  33.41498 126.88764   4.261  588.59  0.0068  0.1028  0.0467  0.0078   0.1035
01.40472  33.41541 126.89323   4.282  586.95  0.0067  0.1028  0.0600  0.0078   0.1065
01.40347  33.41584 126.89886   4.303  585.28  0.0076  0.1030  0.0723  0.0084   0.1064
01.40222  33.41627 126.90449   4.325  583.54  0.0062  0.1026  0.0829  0.0067   0.1034
