NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/12/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:   1.235 to  1.638 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 343
Relative Std Dev Filter Aerosol[%]: 0.8
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
01.34681  33.44129 127.16913   5.464  499.55  0.0007  0.1011 -0.0081  0.0054   0.0313
01.34556  33.44219 127.17517   5.487  498.02  0.0007  0.1012 -0.0074  0.0053   0.0310
01.34472  33.44280 127.17918   5.503  496.94  0.0007  0.1011 -0.0067  0.0047   0.0308
01.34389  33.44342 127.18320   5.521  495.74  0.0007  0.1012 -0.0059  0.0047   0.0305
01.34306  33.44405 127.18720   5.539  494.62  0.0008  0.1012 -0.0048  0.0049   0.0301
01.34181  33.44505 127.19316   5.562  492.97  0.0003  0.1006 -0.0032  0.0023   0.0298
01.34014  33.44640 127.20109   5.586  491.63  0.0007  0.1012 -0.0012  0.0066   0.0297
01.33889  33.44742 127.20703   5.604  490.43  0.0010  0.1014  0.0004  0.0091   0.0295
01.33764  33.44843 127.21297   5.623  489.25  0.0010  0.1015  0.0023  0.0087   0.0293
01.33639  33.44943 127.21890   5.645  487.67  0.0009  0.1013  0.0047  0.0062   0.0291
01.33556  33.45010 127.22284   5.662  486.50  0.0008  0.1013  0.0065  0.0054   0.0291
01.33431  33.45109 127.22874   5.683  485.08  0.0008  0.1013  0.0087  0.0061   0.0291
01.33264  33.45241 127.23660   5.700  484.08  0.0010  0.1015  0.0103  0.0130   0.0291
01.33056  33.45407 127.24646   5.730  482.12  0.0001  0.1004  0.0125  0.0014   0.0292
01.29872  33.48093 127.40237   5.744  480.36  0.0003  0.1004  0.0134  0.0781   0.0278
01.31449  33.46733 127.32413   5.768  479.07  0.0005  0.1009  0.0147  0.0485   0.0300
01.30287  33.47726 127.38109   5.784  477.84  0.0002  0.1004  0.0155  0.0165   0.0293
01.29817  33.48136 127.40449   5.796  476.97  0.0005  0.1006  0.0162  0.0132   0.0286
01.28472  33.49281 127.47229   5.819  475.44  0.0014  0.1018  0.0174  0.1173   0.0244
01.28347  33.49388 127.47865   5.841  473.90  0.0015  0.1019  0.0185  0.0113   0.0221
01.28222  33.49495 127.48500   5.864  472.43  0.0000  0.1001  0.0190  0.0001   0.0212
01.28139  33.49566 127.48922   5.879  471.44  0.0001  0.1001  0.0189  0.0001   0.0208
01.28014  33.49674 127.49555   5.900  470.12  0.0000  0.1002  0.0183  0.0004   0.0202
01.27847  33.49817 127.50398   5.926  468.39  0.0000  0.1001  0.0170  0.0002   0.0194
01.27722  33.49925 127.51032   5.946  467.06  0.0000  0.1002  0.0157  0.0004   0.0189
01.27639  33.49997 127.51452   5.961  466.12  0.0001  0.1002  0.0146  0.0007   0.0186
01.27514  33.50104 127.52082   5.984  464.64  0.0000  0.1001  0.0127  0.0001   0.0182
01.27389  33.50211 127.52711   6.007  463.13  0.0001  0.1004  0.0107  0.0010   0.0178
01.27222  33.50353 127.53546   6.038  461.25  0.0000  0.1000  0.0081  0.0000   0.0173
01.27097  33.50459 127.54172   6.060  459.77  0.0000  0.1000  0.0061  0.0000   0.0170
01.26972  33.50563 127.54796   6.082  458.44  0.0000  0.1000  0.0043  0.0000   0.0167
01.26847  33.50666 127.55419   6.103  457.05  0.0002  0.1004  0.0026  0.0016   0.0164
01.26722  33.50768 127.56040   6.125  455.67  0.0001  0.1002  0.0009  0.0006   0.0161
01.26639  33.50835 127.56455   6.140  454.68  0.0001  0.1002 -0.0002  0.0004   0.0159
01.26556  33.50900 127.56868   6.156  453.63  0.0001  0.1002 -0.0014  0.0004   0.0157
01.26431  33.50998 127.57486   6.183  452.05  0.0001  0.1003 -0.0031  0.0008   0.0153
01.26306  33.51093 127.58102   6.211  450.26  0.0006  0.1009 -0.0049  0.0033   0.0150
01.26222  33.51156 127.58510   6.231  449.03  0.0005  0.1009 -0.0061  0.0030   0.0148
01.26139  33.51217 127.58916   6.250  447.78  0.0000  0.1002 -0.0074  0.0003   0.0146
01.26056  33.51278 127.59321   6.269  446.80  0.0000  0.1002 -0.0089  0.0003   0.0144
01.25972  33.51337 127.59724   6.283  445.91  0.0001  0.1003 -0.0101  0.0008   0.0142
01.25847  33.51425 127.60330   6.304  444.76  0.0002  0.1005 -0.0122  0.0018   0.0139
01.25722  33.51508 127.60934   6.324  443.59  0.0003  0.1006 -0.0144  0.0023   0.0136
01.25639  33.51561 127.61336   6.338  442.73  0.0001  0.1003 -0.0160  0.0009   0.0134
01.25514  33.51632 127.61938   6.362  441.32  0.0000  0.1001 -0.0190  0.0001   0.0131
01.25389  33.51693 127.62539   6.387  439.76  0.0003  0.1006 -0.0222  0.0018   0.0128
01.25306  33.51730 127.62938   6.403  438.77  0.0002  0.1005 -0.0243  0.0015   0.0127
01.25181  33.51785 127.63534   6.424  437.46  0.0003  0.1006 -0.0272  0.0021   0.0125
01.24972  33.51874 127.64526   6.457  435.44  0.0005  0.1009 -0.0315  0.0041   0.0124
01.24806  33.51943 127.65316   6.485  433.72  0.0003  0.1006 -0.0350  0.0022   0.0123
01.24722  33.51977 127.65709   6.500  432.79  0.0004  0.1007 -0.0368  0.0026   0.0123
01.24597  33.52028 127.66297   6.523  431.42  0.0003  0.1006 -0.0392  0.0024   0.0124
01.24472  33.52079 127.66884   6.543  430.22  0.0004  0.1008 -0.0409  0.0032   0.0124
01.24347  33.52129 127.67469   6.560  429.07  0.0015  0.1019 -0.0420  0.0139   0.0125
01.24222  33.52179 127.68053   6.581  427.67  0.0012  0.1016 -0.0427  0.0090   0.0125
01.24139  33.52212 127.68442   6.601  426.43  0.0014  0.1018 -0.0431  0.0073   0.0126
01.24056  33.52245 127.68827   6.624  425.36  0.0017  0.1021 -0.0432  0.0076   0.0127
01.23722  33.52374 127.70346   6.666  422.84  0.0013  0.1018 -0.0431  0.0128   0.0133
