,8/9/94,8:35:22,,,,,,1/19/95,8:53,,,,,,9/12/95,17:13,,,,,,3/9/96,13:20,,,,,,8/24/96,12:00,,,,,,2/23/97,14:50:27,,,,,,8/6/97,16:35:17,,,,,,1/5/98,8:49:44,,,,,,7/23/98,12:47:53,,,,,,12/16.98,14:18:04,,,,,,7/27/99,14:20:52,,,,
PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS,PT.#,X (m),Y (m),Z (m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS,PT.#,X (m),Y (m),Z (m),Z(m-LT),Difference relative to 1/19/95 (z-jan),COMMENTS
25,-92.178,-4.769,-0.445,2.044,,SOL.OKHA/lndwd.of.sign,993,-50.852,0.772,0.073,2.562,,RP6/gps2(lndwd.rd.online)med,20,-41.604,-0.488,0.076,2.565,,SOL.OKHA1-1,996,-50.807,1.401,0.093,2.582,0.02,RP6/MBRP.MED,7,-40.107,2.204,0.019,2.508,,SOL.OKHA/SWD.RD,9,-37.33,0.296,-0.091,2.398,,SOL.OKHA/SWD.RD,30,-55.711,-1.645,-0.007,2.482,,LNDWD.ROAD/SOL.OKHA,9,-41.49,-3.131,0.162,2.651,,SOL.OKHA/SWD.EDGE.RD,6,-50.888,-1.014,0.178,2.667,,SOL.OKHA/LDWD.RD,9,-0.152,0.019,-0.647,1.842,,SOL.OKHA,998,0,0,0,2.489,,BRP.MEDIAN (RP2?)
26,-82.185,-4.257,-0.305,2.184,,,996,-49.339,0.696,0.123,2.612,,rp3(lndwd.rd.online)median,21,-41.544,-0.484,0.076,2.565,,SWD.RD,26,-39.492,0.999,0.007,2.496,,SOL.OKHA/SWD.RD,8,-10.16,0.036,-0.948,1.541,,,10,-34.608,0.525,-0.405,2.084,,,29,-40.302,-3.439,0.013,2.502,,SWD.ROAD,10,-35.656,-2.204,-0.186,2.303,,,7,-37.24,-0.087,-0.032,2.457,,SWD.RD,996,0,0,0,2.489,,RP2/BRP.MEDIAN,997,3.117,0,-0.232,2.257,-0.011,FRP.MEDIAN (RP1?)
27,-72.701,-3.404,-0.233,2.256,,,35,-41.591,-0.364,0.079,2.568,,SOL.OKHA/SWD.SHOULDER,22,-32.491,-0.872,-0.356,2.133,,,994,0,0,0,2.489,,RP2/MFRP.MED,9,-4.763,-0.082,-0.293,2.196,,,11,-31.941,0.618,-0.361,2.128,,,28,-31.858,-3.048,-0.539,1.95,,GRASS,11,-26.941,-1.101,-0.716,1.773,,,8,-17.339,-0.606,-0.917,1.572,,,10,3.089,0.13,-0.701,1.788,,AT.FRP,6,3.349,0.142,-0.756,1.733,,SOL.OKHA/AT.FRP
28,-63.022,-2.591,-0.107,2.382,,,36,-36.899,-0.133,-0.096,2.393,,,23,-26.34,-0.725,-0.767,1.722,,,995,3.098,0,-0.226,2.263,-0.005,RP1/FRP.MED,11,-2.519,-0.022,-0.258,2.231,,DC,12,-16.144,0.744,-1.022,1.467,,,27,-19.469,-2.158,-0.93,1.559,,GRASS,12,-11.009,-0.262,-0.919,1.57,,,9,-2.758,-0.242,-0.187,2.302,,DC,997,3.122,0,-0.246,2.243,-0.025,RP1/FRP.MEDIAN,7,8.003,0.637,-1.079,1.41,,
29,-63.022,-2.591,-0.107,2.382,,,37,-34.839,0.022,-0.368,2.121,,,24,-18.705,-0.882,-0.893,1.596,,,27,12.015,-0.932,-1.094,1.395,,,10,-1.624,-0.158,-0.434,2.055,,,13,-5.032,0.39,-0.395,2.094,,,26,-9.536,-1.018,-1.035,1.454,,,13,-8.283,-0.458,-0.878,1.611,,,998,0,0,0,2.489,,RP2/BRP(TREE).MED,11,7.896,0.059,-0.998,1.491,,,8,12.184,1.009,-1.118,1.371,,
30,-52.783,-1.364,0.024,2.513,,,38,-32.067,0.088,-0.314,2.175,,,25,-16.468,-0.848,-0.981,1.508,,,28,21.763,-0.498,-0.978,1.511,,DL,997,0,0,0,2.489,,RP2/BRP.MEDIAN,14,-2.154,0.333,-0.471,2.018,,,25,-3.266,0.024,-0.208,2.281,,DC2,14,-5.196,-0.089,-0.339,2.15,,,10,2.03,0.101,-0.885,1.604,,,12,13.236,0.054,-1.069,1.42,,,9,15.897,0.934,-1.097,1.392,,
996,-49.364,0.699,0.124,2.613,0.001,RP3(ROAD).MED,39,-25.554,-0.295,-0.743,1.746,,,26,-9.761,-0.256,-0.954,1.535,,,29,23.304,-0.65,-1.028,1.461,,VL1,12,2.706,0.02,-0.941,1.548,,,996,0,0,0,2.489,,RP2/BRP.MEDIAN,997,0,0,0,2.489,,RP2/BRP.MEDIAN,15,-3.587,-0.068,-0.189,2.3,,,997,3.107,0,-0.219,2.27,0.002,RP1/FRP(TREE).MED,13,17.112,0.082,-1.047,1.442,,,10,20.588,1.015,-0.885,1.604,,
31,-39.931,-0.716,0.003,2.492,,ROAD2,40,-18.952,-0.683,-0.883,1.606,,,27,-3.577,-0.054,-0.173,2.316,,DC,30,25.933,-0.801,-1.048,1.441,,,998,3.089,0,-0.226,2.263,-0.005,RP1/FRP.MEDIAN,15,2.345,0.49,-0.978,1.511,,,24,0.155,0.084,-0.737,1.752,,AT.BRP,997,0,0,0,2.489,,RP2/BRP(TREE).MED,11,15.595,0.174,-1.081,1.408,,,14,20.119,0.238,-0.834,1.655,,,11,26.937,1.255,-0.649,1.84,,
32,-32.929,-0.279,-0.313,2.176,,,41,-12.662,-0.282,-0.925,1.564,,,28,-0.006,0.153,-0.755,1.734,,,31,28.097,-0.819,-1.133,1.356,,VL2,13,3.152,0.066,-0.762,1.727,,FRONT.BASE.OF.FRP,997,3.114,0,-0.222,2.267,-0.001,RP1/FRP.MEDIAN,998,3.105,0,-0.233,2.256,-0.012,RP1/FRP.MEDIAN,17,0.023,0.048,-0.71,1.779,,AT.BRP,12,26.438,0.115,-0.758,1.731,,,15,24.554,0.204,-0.808,1.681,,,12,30.289,1.264,-0.874,1.615,,
