Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	173
Date	2004JUN21
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	15.49992	[UTC]
Stop_time	15.78186	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.54545	[p_s^-1]
ForeOptic_temperature	16.42	[ns]
Front_temperature	16.42	[ns]
Back_temperature	22.93	[ns]
Inside_temperature	22.47	[ns]
Shelter_temperature	18.62	[ns]
PSUnit_temperature	22.03	[ns]
AirCond_temperature	9.25	[ns]
Outside_temperature	24.42	[ns]
Comments	none
Formatted_file	2004173f08.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
303.811	2.46147	0.0024	0.0000
303.911	4.01636	0.0019	0.0000
304.011	3.85286	0.0020	0.0000
304.111	3.29996	0.0021	0.0000
304.211	2.93378	0.0022	0.0000
304.311	4.67329	0.0018	0.0000
304.411	5.14898	0.0017	0.0000
304.511	5.41306	0.0016	0.0000
304.611	6.34847	0.0015	0.0000
304.711	3.49533	0.0021	0.0000
304.811	3.56268	0.0020	0.0000
304.911	6.69832	0.0015	0.0000
305.011	6.74495	0.0015	0.0000
305.111	6.61682	0.0015	0.0000
305.211	10.41416	0.0012	0.0000
305.311	8.49878	0.0013	0.0000
305.411	6.11517	0.0015	0.0000
305.511	7.38946	0.0014	0.0000
305.611	8.37882	0.0013	0.0000
305.711	4.74166	0.0018	0.0000
305.811	4.00007	0.0019	0.0000
305.911	3.79441	0.0020	0.0000
306.011	6.95813	0.0015	0.0000
306.111	9.23059	0.0013	0.0000
306.211	9.31996	0.0013	0.0000
306.311	8.64890	0.0013	0.0000
306.411	6.44088	0.0015	0.0000
306.511	8.68978	0.0013	0.0000
306.611	8.02764	0.0014	0.0000
306.711	5.70378	0.0016	0.0000
306.811	8.12004	0.0013	0.0000
306.911	11.49344	0.0011	0.0000
307.012	12.45791	0.0011	0.0000
307.112	13.12149	0.0011	0.0000
307.212	10.81242	0.0012	0.0000
307.312	13.04682	0.0011	0.0000
307.412	14.28157	0.0010	0.0000
307.512	10.89940	0.0012	0.0000
307.612	12.47774	0.0011	0.0000
307.712	15.98230	0.0010	0.0000
307.812	11.89979	0.0011	0.0000
307.912	15.79801	0.0010	0.0000
308.012	15.38437	0.0010	0.0000
308.112	13.46435	0.0010	0.0000
308.212	10.34907	0.0012	0.0000
308.312	12.30227	0.0011	0.0000
308.412	16.58006	0.0009	0.0000
308.512	19.83029	0.0009	0.0000
308.612	18.19516	0.0009	0.0000
308.712	14.22056	0.0010	0.0000
308.812	12.58074	0.0011	0.0000
308.912	16.73176	0.0009	0.0000
309.012	14.64988	0.0010	0.0000
309.112	11.05494	0.0012	0.0000
