123005,Crude Oil Supply,Domestic Production (1),4895,5413,-9.6,5111,5419,-5.7
123005,Crude Oil Supply,Net Imports (Incl SPR) (2),10114,10071,0.4,9978,10061,-0.8
123005,Crude Oil Supply,Gross Imports (Excl SPR),10134,10101,0.3,10015,10087,-0.7
123005,Crude Oil Supply,SPR Imports,0,0,--,0,0,--
123005,Crude Oil Supply,Exports,20,30,-33.3,38,27,40.7
123005,Crude Oil Supply,SPR Stocks Withdrawn (+) or Added (-),36,-91,--,-26,-102,--
123005,Crude Oil Supply,Other Stocks Withdrawn (+) or Added (-),-46,81,--,-99,-47,--
123005,Crude Oil Supply,Product Supplied and Losses,0,0,--,0,0,--
123005,Crude Oil Supply,Unaccounted-for Crude Oil (3),120,277,--,238,143,--
123005,Crude Oil Supply,Crude Oil Input to Refineries,15118,15750,-4,15202,15473,-1.8
123005,Other Supply,Natural Gas Liquids Production (4),2132,2110,1,2128,2268,-6.2
123005,Other Supply,Other Liquids New Supply,-5,97,-105.2,49,-37,232.4
123005,Other Supply,Crude Oil Product Supplied,0,0,0,0,0,0
123005,Other Supply,Processing Gain,1001,1160,-13.7,980,1051,-6.8
123005,Other Supply,Net Product Imports (5),2753,1734,58.8,2370,2038,16.3
123005,Other Supply,Gross Product Imports (5),3622,2987,21.3,3480,3058,13.8
123005,Other Supply,Product Exports (5),868,1253,-30.7,1110,1020,8.8
123005,Other Supply,Prod Stocks Withdrawn (+) or Added (-) (6)(7),621,378,--,-59,-64,--
123005,Other Supply,Total Product Supplied for Domestic Use,21619,21229,1.8,20668,20728,-0.3
123005,Products Supplied,Finished Motor Gasoline (4),9300,9206,1,9137,9105,0.4
123005,Products Supplied,Kerosene-Type Jet Fuel,1704,1645,3.6,1620,1630,-0.6
123005,Products Supplied,Distillate Fuel Oil,4346,4176,4.1,4111,4058,1.3
123005,Products Supplied,Residual Fuel Oil,1132,918,23.3,921,864,6.6
123005,Products Supplied,Propane/Propylene,1716,1673,2.6,1223,1274,-4
123005,Products Supplied,Other Oils (8),3422,3611,-5.2,3655,3798,-3.8
123005,Products Supplied,Total Products Supplied,21619,21229,1.8,20668,20728,-0.3
123005,Products Supplied,Total Net Imports,12867,11805,9,12348,12099,2.1
123005,Petroleum Stocks,Crude Oil (Excl SPR) (9),321.58,322.593,285.902,,-0.3,12.5
123005,Petroleum Stocks,Total Motor Gasoline,204.259,202.853,217.217,,0.7,-5.9
123005,Petroleum Stocks,Total Motor Gasoline - Reformulated,21.044,21.698,24.777,,-3.2,-15.3
123005,Petroleum Stocks,Total Motor Gasoline - Conventional,112.928,112.407,118.315,,0.4,-4.6
123005,Petroleum Stocks,Total Motor Gasoline - Blending Components,70.287,68.748,74.125,,2.3,-5.1
123005,Petroleum Stocks,Kerosene-Type Jet Fuel,43.483,43.431,40.139,,0.2,8.5
123005,Petroleum Stocks,Distillate Fuel Oil (11),128.904,126.79,126.074,,1.7,2.2
123005,Petroleum Stocks,Distillate Fuel Oil - 15 ppm sulfur and Under,1.362,1.244,1.289,,16.7,7.7
123005,Petroleum Stocks,Distillate Fuel Oil - >15 ppm to 500 ppm sulfur,73.336,70.841,75.16,,3.5,-2.5
123005,Petroleum Stocks,Distillate Fuel Oil - >500 ppm sulfur,54.206,54.705,49.625,,-0.9,9.3
123005,Petroleum Stocks,Residual Fuel Oil,38.258,36.986,42.363,,3.5,-9.7
123005,Petroleum Stocks,Propane/Propylene,57.584,61.363,55.691,,-6.2,3.4
123005,Petroleum Stocks,Unfinished Oils,86.5,88.416,81.738,,-2.1,5.9
123005,Petroleum Stocks,Other Oils (10),129,129.3,121.001,,-0.2,6.6
123005,Petroleum Stocks,Total Stocks (Excl SPR) (7),1009.568,1011.732,970.124,,-0.2,4.1
123005,Petroleum Stocks,Crude Oil in SPR (11),684.6,685.1,675.417,,-0.1,1.4
123005,Petroleum Stocks,Total Stocks (Incl SPR) (7),1694.168,1696.832,1645.541,,-0.2,3
