sumlev,State,County,Stname,Ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem
050,34,005,New Jersey,Burlington County,6,444941,220102,224839,27137,13850,13287,55725,28299,27426,25799,13314,12485,37933,20804,17129,348930,171138,177792,336280,164639,171641,189534,97863,91671,109659,53300,56359,56214,23351,32863,6418,2025,4393,37.8,36.4,39.2
050,34,005,New Jersey,Burlington County,7,449685,222455,227230,27318,13863,13455,55181,28047,27134,26513,13654,12859,39733,21754,17979,353536,173521,180015,340673,166891,173782,190244,98301,91943,112801,54921,57880,57238,23778,33460,6698,2146,4552,38.0,36.5,39.4
050,34,007,New Jersey,Camden County,1,508932,245577,263355,34411,17675,16736,70985,36502,34483,30752,15791,14961,41155,20662,20493,387959,183417,204542,372784,175609,197175,219386,108340,111046,112468,53542,58926,63769,25413,38356,7543,2044,5499,35.8,34.4,37.1
050,34,007,New Jersey,Camden County,2,508932,245577,263355,34411,17675,16736,70985,36502,34483,30752,15791,14961,41155,20662,20493,387959,183417,204542,372784,175609,197175,219386,108340,111046,112468,53542,58926,63769,25413,38356,7543,2044,5499,35.8,34.4,37.1
050,34,007,New Jersey,Camden County,3,508822,245560,263262,34275,17601,16674,71103,36559,34544,30851,15836,15015,41338,20780,20558,387744,183360,204384,372593,175564,197029,218885,108129,110756,112871,53736,59135,63766,25426,38340,7630,2076,5554,35.8,34.4,37.1
050,34,007,New Jersey,Camden County,4,509581,245971,263610,34045,17426,16619,70507,36214,34293,31173,15982,15191,42636,21571,21065,389133,184096,205037,373856,176349,197507,217394,107516,109878,116244,55360,60884,63447,25349,38098,7799,2157,5642,36.2,34.6,37.5
050,34,007,New Jersey,Camden County,5,512055,247299,264756,34302,17515,16787,69262,35579,33683,31831,16365,15466,44075,22290,21785,392377,185872,206505,376660,177840,198820,216853,107301,109552,120262,57373,62889,63233,25327,37906,8119,2272,5847,36.4,34.9,37.8
050,34,007,New Jersey,Camden County,6,513799,248297,265502,34508,17676,16832,68409,35115,33294,32291,16669,15622,45664,23099,22565,394517,187072,207445,378591,178837,199754,216002,107127,108875,123742,58970,64772,62980,25218,37762,8449,2399,6050,36.6,35.0,38.1
050,34,007,New Jersey,Camden County,7,516282,249752,266530,34888,17897,16991,67334,34579,32755,32986,16950,16036,47397,24134,23263,397263,188680,208583,381074,180326,200748,215781,107192,108589,127002,60606,66396,62718,25116,37602,8719,2504,6215,36.7,35.0,38.2
050,34,009,New Jersey,Cape May County,1,102326,49190,53136,5244,2690,2554,12246,6333,5913,5369,2801,2568,6561,3430,3131,82078,38720,43358,79467,37366,42101,36611,18191,18420,26146,12633,13513,20681,8600,12081,2625,748,1877,42.3,40.7,43.8
050,34,009,New Jersey,Cape May County,2,102326,49190,53136,5244,2690,2554,12246,6333,5913,5369,2801,2568,6561,3430,3131,82078,38720,43358,79467,37366,42101,36611,18191,18420,26146,12633,13513,20681,8600,12081,2625,748,1877,42.3,40.7,43.8
050,34,009,New Jersey,Cape May County,3,102313,49192,53121,5221,2679,2542,12263,6342,5921,5379,2810,2569,6582,3440,3142,82050,38711,43339,79450,37361,42089,36522,18154,18368,26244,12677,13567,20664,8595,12069,2658,760,1898,42.4,40.7,43.9
050,34,009,New Jersey,Cape May County,4,102075,49117,52958,5133,2649,2484,12027,6219,5808,5496,2854,2642,7006,3652,3354,82116,38796,43320,79419,37395,42024,36495,18182,18313,26455,12781,13674,20574,8581,11993,2743,791,1952,42.5,40.9,44.0
050,34,009,New Jersey,Cape May County,5,101793,48989,52804,5098,2633,2465,11638,6022,5616,5613,2897,2716,7363,3867,3496,82211,38884,43327,79444,37437,42007,36298,18113,18185,26718,12877,13841,20586,8599,11987,2843,830,2013,42.7,41.1,44.3
050,34,009,New Jersey,Cape May County,6,101827,49040,52787,5123,2638,2485,11259,5812,5447,5735,2975,2760,7757,4088,3669,82493,39054,43439,79710,37615,42095,36406,18183,18223,26938,13005,13933,20615,8617,11998,2994,906,2088,42.9,41.3,44.4
050,34,009,New Jersey,Cape May County,7,100758,48500,52258,5027,2526,2501,10867,5623,5244,5767,2984,2783,8033,4254,3779,81916,38800,43116,79097,37367,41730,35839,17960,17879,26881,12992,13889,20681,8632,12049,3182,991,2191,43.3,41.5,44.8
050,34,011,New Jersey,Cumberland County,1,146438,74730,71708,9161,4635,4526,19593,10154,9439,8449,4371,4078,12478,6773,5705,113518,57780,55738,109235,55570,53665,64460,35521,28939,32020,15716,16304,19087,7599,11488,2316,698,1618,35.6,34.1,37.4
050,34,011,New Jersey,Cumberland County,2,146438,74730,71708,9161,4635,4526,19593,10154,9439,8449,4371,4078,12478,6773,5705,113518,57780,55738,109235,55570,53665,64460,35521,28939,32020,15716,16304,19087,7599,11488,2316,698,1618,35.6,34.1,37.4
050,34,011,New Jersey,Cumberland County,3,146414,74750,71664,9132,4619,4513,19642,10182,9460,8473,4379,4094,12543,6826,5717,113444,57774,55670,109167,55570,53597,64405,35528,28877,32084,15739,16345,19032,7577,11455,2342,708,1634,35.6,34.1,37.5
050,34,011,New Jersey,Cumberland County,4,146926,75181,71745,9406,4762,4644,19328,10032,9296,8424,4372,4052,13058,7079,5979,113908,58178,55730,109768,56015,53753,64284,35618,28666,32770,16114,16656,18981,7556,11425,2434,735,1699,35.7,34.2,37.7
