,8/10/94,09:30HST,,,,,,1/16/95,15:00,,,,,,9/14/95,12:19:02,,,,,,3/10/96,14:00,,,,,,8/22/96,10:00,,,,,,3/2/97,8:53:31,,,,,,8/6/97,11:59:45,,,,,,12/29/97,13:02:01,,,,,,5/25/98,6:32:06,LOWTIDE,,,,,7/21/98,11:49:27,,,,,,28-Jan-99,11:17:30,,,,,,9-Jul-99,16:18:00,,,,
PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS,PT.#,X(m),Y(m),Z(m),Z(m-LT),Difference relative to 1/16/95,COMMENTS
25,-2.184,-0.069,0.062,6.365,,SOL.OSUN1-1/BASE.FENCE,20,-2.326,0.665,0.066,6.365,,sol.OSUN1.1/BaSe.FENCE,998,0,0,0,6.299,,RP1(RP7/LNDWD.RD).MED,998,0,0,0,6.299,,BRP.MED(RP7),998,0,0,0,6.299,,BRP.AVG(RP7),996,0,0,0,6.299,,BRP.MEDIAN(RP7),36,-1.078,-0.067,-0.017,6.282,,SOL.OSUN/LNDWD.EDGE.RD,998,0,0,0,6.299,,BRP(RP7).MEDIAN,998,0,0,0,6.299,,RP7/BRP(BUS).MEDIAN,3,-0.698,-0.036,0.018,6.317,,SOL.OSUN/LNDWD.RD,10,-2.609,-0.413,-1.693,6.358,,BACK.AT.FENCE,998,0,0,0,6.299,,BRP.MEDIAN
26,-0.667,-0.012,-0.019,6.284,,,995,0,0,0,6.299,,RP7/GPS1.MED,18,0.048,-0.005,-0.002,6.297,,LNDWD.RD,20,11.782,1.34,-0.199,6.1,,SoL.osun/SWD.edge.road,9,10.414,-0.508,-0.116,6.183,,SOL.OSUN/swd.edge.road,9,0.108,0.094,-0.041,6.258,,SOL.OSUN.LNDWD.SIDE.RD,998,0,0,0,6.299,,BRP(RP7/BUS).MED,9,11.224,0.9,-0.121,6.178,,SOL.OSUN/SWD.EDGE.RD,9,10.834,-0.485,-0.142,6.157,,SOL.OSUN/SWD.EDGE.ASPHALT,998,0,0,0,6.299,,BRP(RP7).MED,11,-0.85,-0.385,-1.772,6.279,,LANDWRD.EDGE.RD,9,15.001,0.662,-0.22,6.079,,SOL.OSUN/EB/MAKAI.RD
995,0,0,0,6.303,,RP#4.AVE.(lndwd.Road/Online),21,9.426,0.73,-0.063,6.236,,Seaward.Edge.Rd,17,0.058,-0.005,-0.004,6.295,,SOL.OSUN/LNDWD.RD,21,19.401,0.666,-0.168,6.131,,LNDWD.edge.path,10,19.488,0.569,-0.175,6.124,,LANDWARD.edge.path,10,11.976,1.953,-0.232,6.067,,SWD.SIDE.RD,35,11.412,1.275,-0.157,6.142,,SEAWARD.EDGE.RD,10,14.786,0.939,-0.212,6.087,,PARKING.LOT,10,14.75,-0.213,-0.237,6.062,,,4,11.255,-0.977,-0.188,6.111,,SWD.EDGE.ASPHALT,9,-0.027,-0.008,-1.752,6.299,,SOL.OSUN/ON.BRP,10,22.201,0.025,-0.131,6.168,,
27,0.005,-0.018,-0.003,6.3,,RP4.NAIL,22,17.187,0.434,-0.319,5.98,,EB,26,19.572,0.185,-0.186,6.113,,LNDWD.PATH,22,22.126,0.387,-0.143,6.156,,EB,11,22.018,0.22,-0.129,6.17,,SEAWARD.edge.path,11,17.771,1.8,-0.178,6.121,,BIKE.PATH,34,19.557,1.708,-0.12,6.179,,LANDWARD.EDGE.BIKEPATH,11,19.708,0.938,-0.208,6.091,,LANDWARD.PATH,11,19.597,-0.16,-0.166,6.133,,LNDWD.PATH,5,25.1,-0.055,-0.047,6.252,,,996,0,0,-1.752,6.299,,RP7/BRP.MEDIAN,997,32.317,0,0.396,6.695,-0.017,FRP.MEDIAN
28,0.831,0.012,0.027,6.33,,,23,25.255,0.038,-0.268,6.031,,,27,22.286,0.301,-0.161,6.138,,SWD.PATH,23,27.581,0.267,-0.257,6.042,,,12,22.117,0.236,1.248,7.547,,EB,12,32.327,0.327,-0.113,6.186,,,33,22.197,1.531,-0.09,6.209,,SEAWARD.EDGE.BIKEPATH,12,22.256,0.551,-0.145,6.154,,SEAWARD.EDGE.PATH/EB,12,24.846,-0.277,-0.028,6.271,,S,6,30.695,-0.039,0.161,6.46,,,12,9.373,0.729,-1.816,6.235,,SWRD.EDGE.RD,11,32.372,-0.002,0.083,6.382,,BC
29,9.423,0.072,-0.087,6.216,,RP3.NAIL,998,32.292,0,0.413,6.712,,RP1/PALMon.MED,996,32.378,0,0.409,6.708,-0.004,RP3(RP1/PALM).MED,996,32.263,0,-1.223,5.076,-1.636,FRP.MED(RP1),13,24.4,0.036,-0.213,6.086,,VL/FRP,998,32.349,0,0.415,6.714,0.002,FRP.MEDIAN(RP1),997,32.217,0,0.417,6.716,0.004,FRP(RP1/PALM).MED,13,26.176,0.111,0.045,6.344,,,13,29.894,-0.292,0.174,6.473,,S,997,32.339,0,0.404,6.703,-0.009,FRP(RP1).MED,13,12.99,0.131,-1.995,6.056,,IN.PRKNG.LOT,12,40.204,0.11,-0.527,5.772,,
996,9.43,0.099,-0.089,6.214,,RP#3.AVE.(SWD.Road/Online),24,32.623,0.185,-0.344,5.955,,,28,32.62,-0.104,-0.299,6,,PALM.ON,24,32.407,-0.056,-0.283,6.016,,,14,28.257,-0.122,-0.102,6.197,,,13,36.6,0.859,-0.327,5.972,,AT.FRP/VL,32,32.346,0.056,0.283,6.582,,AT.FRP,14,29.438,0.104,0.16,6.459,,,997,32.312,0,0.41,6.709,-0.003,RP1/FRP(PALM).MEDIAN,7,32.37,0.051,0.158,6.457,,BASE.FRP.TREE,14,15.821,0.449,-1.98,6.071,,SWRD.EDGE.PRKNG,13,49.454,0.488,-2.178,4.121,,
30,13.085,-0.159,-0.271,6.032,,,25,37.33,-0.142,-0.69,5.609,,,29,40.523,-0.194,-1.258,5.041,,,25,38.535,0.133,-0.975,5.324,,,996,32.31,0,0.413,6.712,0,FRP.AVG(RP1),14,40.529,0.461,-1.139,5.16,,DC,31,33.676,2.536,0.383,6.682,,,997,32.328,0,0.409,6.708,-0.004,FRP(RP1).MEDIAN,14,32.371,-0.06,0.116,6.415,,BASE.FRP.TREE,11,37.37,0.148,0.001,6.3,,,15,17.918,0.18,-1.867,6.184,,,14,62.159,1.203,-4.151,2.148,,
31,19.227,-0.787,-0.29,6.013,,EB,26,37.419,-0.13,-0.687,5.612,,,30,50.583,-0.083,-2.697,3.602,,,26,44.257,0.114,-1.776,4.523,,small.BC,15,32.36,-0.075,0.021,6.32,,,15,44.601,0.2,-2,4.299,,,30,37.632,1.97,0.085,6.384,,,15,32.347,0.074,0.208,6.507,,AT.FRP,15,36.239,-0.101,0.082,6.381,,,12,40.908,-0.016,-0.378,5.921,,,16,19.449,0.234,-1.952,6.099,,LNDWRD.EDGE.BIKEPATH,15,75.193,1.955,-4.357,1.942,,
32,23.786,-0.585,-0.263,6.04,,,27,43.87,-0.174,-1.813,4.486,,,31,61.275,-0.303,-3.066,3.233,,,27,50.574,0.32,-2.73,3.569,,,16,34.902,-0.007,-0.064,6.235,,,16,51.234,0.263,-2.288,4.011,,,29,44.035,1.459,-0.877,5.422,,,16,36.427,-0.012,0.171,6.47,,,16,40.248,-0.259,-0.255,6.044,,,13,45.2,0.159,-1.041,5.258,,,17,22.061,0.064,-1.904,6.147,,EB/SWRD.EDGE.PATH,16,83.641,2.14,-5.209,1.09,,HT
33,30.51,-0.132,-0.294,6.009,,,28,53.782,0.041,-3.442,2.857,,,32,69.236,0.619,-3.937,2.362,,WD,28,59.597,0.417,-3.565,2.734,,,17,37.708,-0.137,-0.353,5.946,,,17,59.524,0.112,-2.475,3.824,,,28,51.446,0.481,-1.816,4.483,,,17,43.754,0.004,-0.726,5.573,,,17,43.112,0.087,-0.69,5.609,,,14,50.261,0.444,-1.817,4.482,,,18,25.384,0.085,-1.796,6.255,,S,17,88.217,1.954,-5.444,0.855,,
998,32.278,0,0.41,6.713,0.001,RP#1.AVE.(Palm/Online),29,62.526,-0.11,-4.327,1.972,,,33,72.663,0.956,-4.352,1.947,,,29,65.711,0.618,-3.818,2.481,,,18,41.262,-0.134,-0.762,5.537,,,18,69.328,0.798,-2.901,3.398,,BC,27,58.992,0.068,-2.722,3.577,,,18,50.61,-0.095,-1.563,4.736,,,18,47.045,-0.065,-1.37,4.929,,,15,60.699,0.813,-2.617,3.682,,,19,29.548,0.026,-1.635,6.416,,,18,95.022,3.107,-5.839,0.46,,SL
34,32.547,0.106,-0.309,5.994,,VL/BC1,30,70.595,-0.274,-4.75,1.549,,WD,34,79.977,-0.703,-5.717,0.582,,MS,31,73.327,0.998,-4.011,2.288,,,19,44.91,0.007,-1.142,5.157,,,20,82.501,0.561,-4.709,1.59,,WD,26,67.976,-0.292,-3.862,2.437,,BULLDOZED.SAND,19,55.022,-0.551,-2.266,4.033,,,19,50.236,-0.034,-1.853,4.446,,,16,70.935,0.797,-3.252,3.047,,,997,32.278,0,-1.373,6.678,-0.034,RP1/FRP.MEDIAN,19,102.231,3.961,-6.443,-0.144,,
35,37.724,0.051,-0.669,5.634,,,31,76.141,-0.249,-5.54,0.759,,,35,87.025,-0.66,-6.7,-0.401,,SC,30,73.365,1.036,-4.015,2.284,,BC,20,48.11,-0.135,-1.55,4.749,,,21,88.541,0.767,-5.596,0.703,,MS,25,73.605,-0.114,-4.596,1.703,,DL,20,61.012,-0.579,-3.28,3.019,,WD,20,54.012,0.03,-2.255,4.044,,,17,74.312,1.455,-3.857,2.442,,,20,32.309,0.025,-1.672,6.379,,VL,20,102.405,3.988,-6.493,-0.194,,TT
36,42.23,0.102,-1.335,4.968,,,32,79.423,-0.612,-5.896,0.403,,MS,36,89.143,0.076,-7.249,-0.95,,SB,32,77.536,0.926,-4.703,1.596,,,21,51.368,-0.181,-1.933,4.366,,,22,100.588,0.253,-6.998,-0.699,,SC,24,77.71,-0.176,-4.753,1.546,,,21,69.03,-0.769,-4.039,2.26,,HS,21,57.785,-0.02,-2.522,3.777,,,18,76.754,0.701,-4.267,2.032,,HT,21,34.977,0.013,-1.689,6.362,,BC,21,105.756,1.776,-6.941,-0.642,,BT
37,49.433,-0.014,-2.446,3.857,,,33,87.574,-0.236,-6.783,-0.484,,,37,100.959,-0.315,-8.039,-1.74,,,33,85.231,1.17,-6.179,0.12,,MS,22,54.134,-0.078,-2.256,4.043,,,23,104.516,3.195,-8.076,-1.777,,SB,23,85.589,-0.282,-4.955,1.344,,BC,22,73.704,-1.063,-4.621,1.678,,,22,61.458,-0.033,-2.705,3.594,,,19,79.12,0.955,-4.48,1.819,,,22,38.661,0.177,-1.924,6.127,,,22,108.792,2.727,-7.465,-1.166,,S
