SEQ='MG'     NUCCHG=12                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  43787696.4   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2P6 3S1             (2)0( 0.5)        0.0 
     2          2P6 3P1             (2)1( 2.5)    37302.4 

   LS RESOLVED TERM INDEXING            BWNR=  43832756.5   NTRM= 205
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   114     2    2P6 3P1 5F1         (3)2( 7.0)    78087.4*     0.00E+00
   115     2    2P6 3P1 7S1         (1)1( 1.0)    78233.4*     0.00E+00
   116     2    2P6 3P1 6D1         (1)2( 2.0)    78468.2*     0.00E+00
   117     2    2P6 3P1 3D1         (3)3(10.0)    78478.2*     0.00E+00
   118     2    2P6 3P1 6D1         (3)3(10.0)    78498.9*     0.00E+00
   119     2    2P6 3P1 6D1         (3)2( 7.0)    78519.3*     0.00E+00
   120     2    2P6 3P1 8P1         (1)0( 0.0)    78558.2*     0.00E+00
   121     2    2P6 3P1 6D1         (1)3( 3.0)    78591.3*     0.00E+00
   122     2    2P6 3P1 6D1         (3)1( 4.0)    78593.7*     0.00E+00
   123     2    2P6 3P1 7P1         (1)2( 2.0)    78608.1*     0.00E+00
   124     2    2P6 3P1 6D1         (1)1( 1.0)    78634.2*     0.00E+00
   125     2    2P6 3P1 7P1         (1)1( 1.0)    79060.1*     0.00E+00
   126     2    2P6 3P1 7P1         (3)2( 7.0)    79143.3*     0.00E+00
   127     2    2P6 3P1 7P1         (3)0( 1.0)    79224.6*     0.00E+00
   128     2    2P6 3P1 6F1         (3)3(10.0)    79263.0*     0.00E+00
   129     2    2P6 3P1 6F1         (1)3( 3.0)    79264.0*     0.00E+00
   130     2    2P6 3P1 8S1         (3)1( 4.0)    79290.0*     0.00E+00
   131     2    2P6 3P1 6G1         (1)4( 4.0)    79292.4*     0.00E+00
   132     2    2P6 3P1 6G1         (3)4(13.0)    79292.5*     0.00E+00
   133     2    2P6 3P1 6H1         (1)5( 5.0)    79302.4*     0.00E+00
   134     2    2P6 3P1 6H1         (3)5(16.0)    79302.4*     0.00E+00
   135     2    2P6 3P1 6H1         (3)6(19.0)    79318.8*     0.00E+00
   136     2    2P6 3P1 6H1         (1)6( 6.0)    79318.8*     0.00E+00
   137     2    2P6 3P1 6G1         (3)5(16.0)    79322.0*     0.00E+00
   138     2    2P6 3P1 6H1         (3)4(13.0)    79322.1*     0.00E+00
   139     2    2P6 3P1 6H1         (1)4( 4.0)    79322.1*     0.00E+00
   140     2    2P6 3P1 6G1         (1)5( 5.0)    79322.2*     0.00E+00
   141     2    2P6 3P1 6F1         (1)4( 4.0)    79322.5*     0.00E+00
   142     2    2P6 3P1 6F1         (3)4(13.0)    79324.9*     0.00E+00
   143     2    2P6 3P1 6G1         (3)3(10.0)    79329.6*     0.00E+00
   144     2    2P6 3P1 6G1         (1)3( 3.0)    79329.7*     0.00E+00
   145     2    2P6 3P1 6F1         (1)2( 2.0)    79339.1*     0.00E+00
   146     2    2P6 3P1 6F1         (3)2( 7.0)    79382.8*     0.00E+00
   147     2    2P6 3P1 8S1         (1)1( 1.0)    79461.6*     0.00E+00
   148     2    2P6 3P1 7D1         (1)2( 2.0)    79569.5*     0.00E+00
   149     2    2P6 3P1 7D1         (3)3(10.0)    79584.4*     0.00E+00
   150     2    2P6 3P1 7D1         (3)2( 7.0)    79614.0*     0.00E+00
   151     2    2P6 3P1 8P1         (1)2( 2.0)    79632.0*     0.00E+00
   152     2    2P6 3P1 7D1         (3)1( 4.0)    79661.1*     0.00E+00
   153     2    2P6 3P1 7D1         (1)3( 3.0)    79664.2*     0.00E+00
   154     2    2P6 3P1 7D1         (1)1( 1.0)    79693.1*     0.00E+00
   155     2    2P6 3P1 3D1         (1)2( 2.0)    79925.5*     0.00E+00
   156     2    2P6 3P1 8P1         (1)1( 1.0)    79968.2*     0.00E+00
   157     2    2P6 3P1 8P1         (3)2( 7.0)    80017.8*     0.00E+00
   158     2    2P6 3P1 8P1         (3)0( 1.0)    80067.3*     0.00E+00
   159     2    2P6 3P1 7F1         (3)3(10.0)    80090.6*     0.00E+00
   160     2    2P6 3P1 7F1         (1)3( 3.0)    80091.2*     0.00E+00
   161     2    2P6 3P1 7G1         (1)4( 4.0)    80109.2*     0.00E+00
   162     2    2P6 3P1 7G1         (3)4(13.0)    80109.2*     0.00E+00
   163     2    2P6 3P1 7H1         (1)5( 5.0)    80115.5*     0.00E+00
   164     2    2P6 3P1 7H1         (3)5(16.0)    80115.5*     0.00E+00
   165     2    2P6 3P1 7H1         (3)6(19.0)    80125.8*     0.00E+00
   166     2    2P6 3P1 7H1         (1)6( 6.0)    80125.8*     0.00E+00
   167     2    2P6 3P1 7F1         (1)4( 4.0)    80127.7*     0.00E+00
