s o g   pedestal     gain      rms      dped     dgain     drms
1 1 1 1784.184570 16.818726 1.366822 -0.582642 0.014027 -0.003757
1 1 2 1766.862183 16.731482 1.260990 0.009644 -0.108187 -0.058722
1 1 3 1779.859619 16.643446 1.403942 0.726440 -2.262554 -0.152064
1 2 1 1761.141113 29.406509 1.511574 0.032227 -0.118458 -0.000696
1 2 2 1760.856323 18.005228 1.511037 0.348999 -1.480587 -0.177874
1 2 3 1825.688477 15.791838 1.349601 1.161255 -0.042547 -0.006752
1 3 1 1816.941162 11.252094 2.361392 -0.328613 -0.009672 -0.262774
1 3 2 1797.740356 12.220984 1.331117 -0.131470 -0.008829 -0.091378
1 3 3 1827.387451 27.474190 1.499115 -0.130859 0.106916 -0.062673
1 4 1 1784.552490 11.942314 1.476936 -0.515137 -0.022854 -0.023353
1 4 2 1776.125854 12.177376 1.245416 -0.099731 0.074308 -0.029971
1 4 3 1781.829102 27.320395 1.291372 0.531128 0.290359 0.015465
1 5 1 1809.744263 15.680580 1.393700 -0.003296 0.002590 -0.040900
1 5 2 1821.092407 16.384356 1.192518 -0.033203 -0.001577 -0.049397
1 5 3 1776.666504 16.096899 1.324942 -0.100586 -0.002728 -0.073358
1 6 1 1787.107422 16.840183 1.248529 -0.046021 -0.010281 -0.084786
1 6 2 1774.499023 17.804859 1.406407 0.922607 -0.003450 -0.145975
1 6 3 1800.115112 27.762920 2.041463 0.478027 0.011864 -0.184901
1 7 1 1791.153809 16.905729 1.156069 -0.399658 0.027889 -0.083471
1 7 2 1812.105469 16.919220 1.169715 -0.021240 0.009750 -0.125786
1 7 3 1791.488770 16.459948 1.159590 0.001709 -0.007591 -0.167516
1 8 1 1754.632324 18.532478 1.525625 2.913574 -0.134245 0.019755
1 8 2 1837.194580 28.765429 1.670001 -0.363403 -0.056595 0.024392
1 8 3 1816.237427 16.805666 2.390665 -0.093750 0.008268 -0.051612
2 1 1 1806.821289 8.752800 2.550510 0.045166 0.028010 -0.237632
2 1 2 1778.894531 8.081283 1.506741 -0.798340 -0.003852 -0.052006
2 1 3 1800.876709 8.613305 1.482436 0.143921 0.005387 -0.028832
2 2 1 1815.913696 8.755677 2.078086 0.567383 0.002077 -0.030694
2 2 2 1794.515259 8.465734 1.268221 -1.408569 -0.003852 -0.023944
2 2 3 1789.379517 8.669987 1.252309 -0.371460 -0.023109 -0.026884
2 3 1 1791.798950 8.640235 3.440170 -0.825195 -0.005883 0.004722
2 3 2 1819.295532 8.232859 1.769370 -0.880493 0.007150 0.002971
2 3 3 1805.725464 8.640116 1.779451 -0.081055 0.003211 0.028772
2 4 1 1806.093262 4.715243 2.021969 0.378174 0.004828 0.125577
2 4 2 1802.310303 8.429011 1.787959 0.061890 0.138344 0.056551
2 4 3 1775.800659 8.392920 1.722406 -0.064819 0.011250 0.041263
2 5 1 1793.201660 6.488242 1.984187 -0.674194 0.013776 0.144722
2 5 2 1773.179932 8.234282 1.396427 -0.119995 0.002693 0.056635
2 5 3 1776.388184 8.417142 1.346823 -0.393555 -0.001613 0.043027
2 6 1 1785.945557 8.476908 1.513694 0.009033 0.002603 0.032512
2 6 2 1802.053711 8.337435 1.378270 -0.232178 0.001947 0.007203
2 6 3 1795.260986 8.650344 1.339032 -0.277222 -0.001472 0.014667
2 7 1 1803.106445 8.904404 2.691034 0.566772 -0.010086 0.023304
2 7 2 1801.069092 8.382927 1.414859 0.011963 -0.000081 0.051005
2 7 3 1779.312622 8.604069 1.606567 0.087158 -0.001469 0.067449
2 8 1 1791.047607 8.566624 2.027028 0.485229 -0.011614 0.125919
2 8 2 1812.619751 8.120624 1.305288 0.113037 0.013549 -0.000646
2 8 3 1787.266113 8.776669 1.355490 -0.815918 -0.001164 0.012560
3 1 1 1761.009766 11.068643 1.918589 0.098755 -0.000546 0.009595
3 1 2 1766.852417 10.911536 2.747950 0.003418 0.009099 0.204503
3 2 1 1793.339966 10.901918 1.689874 0.569458 0.000186 -0.013407
3 2 2 1806.033447 10.654221 2.577649 0.207764 0.060557 -0.017416
3 3 1 1778.258301 10.732231 2.201962 -0.056763 0.002338 -0.162099
3 3 2 1798.155762 10.881660 3.154059 0.837524 -0.002536 -0.166077
3 4 1 1795.318237 11.041564 2.038514 0.075806 0.020365 0.099405
3 4 2 1789.570923 11.024826 2.819945 0.115112 -0.002937 0.132308
3 5 1 1808.572998 10.800904 1.890050 -0.024292 0.002286 -0.040592
3 5 2 1769.748169 11.296585 2.863226 -0.209351 0.019574 -0.077571
3 6 1 1779.177490 11.701988 2.049757 0.104858 0.033065 -0.042404
3 6 2 1776.281860 25.175406 2.771756 0.088013 0.425734 -0.001477
3 7 1 1800.394531 11.110779 1.918211 0.207275 0.019471 -0.020861
3 7 2 1802.191406 26.021521 2.311173 0.144653 0.035362 -0.022510
3 8 1 1794.655029 10.568773 1.806741 -0.086182 0.004762 0.035041
3 8 2 1794.451050 10.897452 2.414035 0.279907 -0.002710 -0.124864
