
 Processing inputs for a 50 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "50 MAS Configuration for 06-612 26 Jul 2006  CCVEX"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 03 03 16  0 0.059405 0.0000  0.628  0.648  0.679  0.1000 1576.93
 14 14 16  0 0.003326 0.0000  1.803  1.828  1.852  0.0100  157.40
 30 30 16  1 0.945000 0.0000  3.679  3.750  3.809  0.0010   11.76
 45 45 16  1 0.957000 0.0000 10.807 11.063 11.331  0.0100    0.16

 Record ScanLine -2006207-  INU_Lat    INU_Lon    Roll   Rad_03  Rad_14  Tmp_30  Tmp_45
 000061 00019893 14.512822 +34.76091 -114.00204  -0.264  88.306  3.8282  256.09  250.96
 000062 00019913 14.513714 +34.76074 -113.99535  -0.308  86.149  3.6353  255.09  248.28
 000063 00019933 14.514608 +34.76074 -113.98608  -0.462  81.416  3.3593  257.64  248.84
 000064 00019953 14.515500 +34.76057 -113.97938  -0.374  77.343  3.2196  309.44  255.31
 000065 00019973 14.516395 +34.76057 -113.97269  -0.352  78.301  3.3892  264.06  254.39
 000066 00019993 14.517289 +34.76040 -113.96582  -0.396  79.859  3.6054  264.93  252.02
 000067 00020013 14.518181 +34.76023 -113.95689  -0.396  78.121  3.6253  268.83  256.40
 000068 00020033 14.519073 +34.76023 -113.95020  -0.374  75.725  3.6087  271.51  258.56
 000069 00020053 14.519967 +34.76006 -113.94350  -0.352  64.702  3.0533  278.75  266.06
 000070 00020073 14.520861 +34.76006 -113.93715  -0.352  53.858  2.4745  281.87  268.06
 000071 00020093 14.521752 +34.75988 -113.93046  -0.484  46.729  2.0688  285.07  274.45
 000072 00020113 14.522647 +34.75971 -113.92170  -0.352  42.475  1.8792  284.84  270.85
 000073 00020133 14.523539 +34.75971 -113.91467  -0.308  38.162  1.6098  285.84  275.82
 000074 00020153 14.524433 +34.75954 -113.90814  -0.506  34.747  1.4368  288.30  280.08
 000075 00020173 14.525325 +34.75954 -113.90144  -0.396  31.033  1.2073  288.82  281.35
 000076 00020193 14.526219 +34.75937 -113.89492  -0.462  31.093  1.2073  286.85  279.34
 000077 00020213 14.527114 +34.75937 -113.88617  -0.374  34.268  1.3836  283.25  277.53
 000078 00020233 14.528008 +34.75920 -113.87947  -0.242  34.268  1.3836  314.96  272.43
 000079 00020253 14.528900 +34.75903 -113.87295  -0.506  33.130  1.3404  281.76  273.40
 000080 00020273 14.529792 +34.75903 -113.86660  -0.330  34.627  1.4468  280.16  271.58
 000081 00020293 14.530686 +34.75885 -113.85990  -0.484  37.503  1.6098  277.16  269.12
 000082 00020313 14.531578 +34.75885 -113.85115  -0.418  38.342  1.6597  278.74  270.91
 000083 00020333 14.532470 +34.75868 -113.84428  -0.462  42.655  1.9224  276.15  266.95
 000084 00020353 14.533364 +34.75851 -113.83759  -0.396  43.853  1.9623  276.48  263.50
 000085 00020373 14.534256 +34.75851 -113.83106  -0.396  42.895  1.9590  276.10  264.83
 000086 00020393 14.535150 +34.75834 -113.82231  -0.396  45.171  2.0854  274.34  263.96
 000087 00020413 14.536044 +34.75834 -113.81561  -0.484  43.075  2.0388  279.32  270.81
 000088 00020433 14.536936 +34.75817 -113.80909  -0.528  45.231  2.1985  279.37  269.45
 000089 00020453 14.537827 +34.75800 -113.80257  -0.352  46.669  2.3149  278.49  268.79
 000090 00020473 14.538722 +34.75800 -113.79622  -0.286  46.909  2.2949  279.08  268.19
 000091 00020493 14.539614 +34.75782 -113.78746  -0.440  50.803  2.4845  274.77  261.83
 000092 00020513 14.540508 +34.75782 -113.78094  -0.374  53.918  2.5910  326.27  255.74
 000093 00020533 14.541403 +34.75765 -113.77441  -0.308  59.550  2.7805  254.66  248.85
