Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	126
Date	2004MAY05
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	13.99992	[UTC]
Stop_time	14.28270	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.35923	[p_s^-1]
ForeOptic_temperature	27.30	[ns]
Front_temperature	27.30	[ns]
Back_temperature	25.96	[ns]
Inside_temperature	25.38	[ns]
Shelter_temperature	22.35	[ns]
PSUnit_temperature	26.49	[ns]
AirCond_temperature	21.55	[ns]
Outside_temperature	27.58	[ns]
Comments	none
Formatted_file	2004126f04.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.064	0.00100	0.1249	0.0000
290.164	0.00100	0.1249	-0.0000
290.264	-0.00056	0.1668	-0.0000
290.364	-0.00056	0.1668	-0.0000
290.464	-0.00056	0.1668	-0.0000
290.564	-0.00056	0.1668	-0.0000
290.665	-0.00056	0.1668	-0.0000
290.765	-0.00056	0.1668	-0.0000
290.865	-0.00056	0.1668	-0.0000
290.965	-0.00055	0.1668	-0.0000
291.065	-0.00055	0.1668	-0.0000
291.165	-0.00055	0.1668	0.0000
291.265	-0.00055	0.1668	0.0000
291.365	0.00099	0.1249	0.0000
291.465	-0.00055	0.1668	0.0000
291.565	-0.00055	0.1668	0.0000
291.665	0.00099	0.1249	0.0000
291.766	0.00098	0.1249	0.0000
291.866	-0.00055	0.1668	0.0000
291.966	-0.00055	0.1668	0.0000
292.066	0.00098	0.1249	0.0000
292.166	-0.00055	0.1668	-0.0000
292.266	-0.00055	0.1668	-0.0000
292.366	0.00251	0.0781	-0.0000
292.466	-0.00055	0.1668	-0.0000
292.566	-0.00055	0.1668	-0.0000
292.666	-0.00055	0.1668	-0.0000
292.766	0.00098	0.1249	-0.0000
292.866	-0.00055	0.1668	-0.0000
292.966	0.00098	0.1249	-0.0000
293.067	-0.00055	0.1668	-0.0000
293.167	-0.00055	0.1668	0.0000
293.267	-0.00055	0.1668	0.0000
293.367	-0.00055	0.1668	0.0000
293.467	0.00097	0.1249	0.0000
293.567	-0.00055	0.1668	0.0000
293.667	-0.00055	0.1668	0.0000
293.767	0.00097	0.1249	0.0000
293.867	-0.00055	0.1668	0.0000
293.967	0.00097	0.1249	0.0000
294.067	-0.00054	0.1668	0.0000
294.167	-0.00054	0.1668	-0.0000
294.268	-0.00054	0.1668	-0.0000
294.368	0.00097	0.1249	-0.0000
294.468	-0.00054	0.1668	-0.0000
294.568	-0.00054	0.1668	-0.0000
294.668	-0.00054	0.1668	-0.0000
294.768	0.00097	0.1249	-0.0000
294.868	-0.00054	0.1668	-0.0000
294.968	0.00097	0.1249	-0.0000
295.068	-0.00054	0.1668	-0.0000
295.168	-0.00054	0.1668	0.0000
295.268	0.00097	0.1249	0.0000
295.368	0.00097	0.1249	0.0000
295.469	0.00096	0.1249	0.0000
295.569	0.00096	0.1249	0.0000
295.669	-0.00054	0.1668	0.0000
295.769	0.00247	0.0781	0.0000
295.869	0.00096	0.1249	0.0000
295.969	0.00096	0.1249	0.0000
296.069	0.00096	0.1249	0.0000
296.169	0.00096	0.1249	-0.0000
