Easter Island (Chile)         ID: 644   Lat: -27.12  Lon: -109.37  Alt:    0
ADEOS TOMS V.7 Archive Overpass.  Generated: 20-December-2000                   
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
50419.7 1996 337 60854  36 -27.13 -109.29   8 100 30.44 291.0   8.8   0.70    0
50420.8 1996 338 65235   7 -26.98 -109.59  27 100 14.68 289.7   7.6   0.80   -2
50421.7 1996 339 63625  20 -27.11 -109.57  20 100 20.57 282.3  10.5   1.20    3
50422.7 1996 340 62020  32 -27.24 -109.56  23 100 26.54 280.0   9.7   0.80    0
50423.8 1996 341 66414   2 -27.30 -109.28  22 100 10.51 279.9  27.5   0.40    0
50424.7 1996 342 64798   9 -27.22 -109.14  25 100 16.12 287.0  33.1   0.40    1
50425.7 1996 343 63186  24 -27.18 -109.56  20 100 22.43 293.9  11.7   0.80   -1
50426.7 1996 344 61582  34 -27.21 -109.65  29 100 28.51 280.5  12.2   0.80    0
50427.8 1996 345 65970   3 -27.20 -108.84  53 100 11.85 289.4  13.4  -0.10   -5
50428.7 1996 346 64353  13 -26.97 -109.42  17 100 18.23 284.2  18.1   2.70   -1
50429.7 1996 347 62749  27 -27.33 -109.28  25 100 24.12 287.6  17.1   0.50   -2
50430.7 1996 348 61144  35 -27.34 -109.07  38 100 29.95 290.9  10.5   0.80    0
50431.8 1996 349 65525   5 -26.99 -109.15  26 100 13.96 287.2  10.0   0.70    1
50432.7 1996 350 63915  17 -27.12 -109.46   9 100 20.24 287.1  11.6   1.50   -1
50433.7 1996 351 62304  30 -27.03 -109.18  21 100 26.03 288.4  15.1   0.70    0
50434.7 1996 352 60705  36 -27.35 -108.72  69 100 31.65 285.5  11.4   0.50    0
50435.8 1996 353 65087   8 -27.19 -109.70  34 100 16.45 291.2  13.1   0.70    0
50436.7 1996 354 63470  21 -26.94 -109.32  21 100 22.14 289.1  25.4   0.80    2
50437.7 1996 355 61866  33 -26.97 -109.73  39 100 28.56 275.6  29.3   0.90   -2
50438.8 1996 356 66260   3 -27.11 -110.04  66 100 12.79 277.8  28.4   0.10    3
50439.7 1996 357 64643  11 -27.02 -109.62  27 100 18.41 280.8  16.9   0.80   -4
50440.7 1996 358 63032  25 -27.07 -109.37   6 100 24.25 285.1  28.0   0.30   -6
50441.7 1996 359 61427  34 -27.16 -108.98  39 100 29.97 287.0  18.1   0.50   -4
50442.8 1996 360 65815   4 -27.04 -109.36   9 100 14.25 288.4  18.9   0.50   -2
50443.7 1996 361 64204  14 -27.26 -109.33  16 100 20.27 280.1  14.5   2.00   -1
50444.7 1996 362 62594  28 -27.18 -109.16  22 100 26.17 286.8  11.3   0.80   -2
50445.7 1996 363 60989  36 -26.92 -109.76  45 100 32.78 270.0  17.0   0.70    0
50446.8 1996 364 65377   6 -27.16 -109.43   7 100 16.41 267.7   9.7   0.90    1
50447.7 1996 365 63766  18 -27.24 -109.30  15 100 22.34 256.3  17.0   0.80   -6
50448.7 1996 366 62156  31 -27.06 -109.27  12 100 28.38 263.9  10.1   0.70   -1
50449.8 1997 001 66549   2 -26.90 -109.81  50 100 12.83 271.9  14.4   0.70    0
50450.8 1997 002 64939   8 -27.24 -109.10  30 100 18.24 270.8  10.1   1.10    1
50451.7 1997 003 63328  22 -27.24 -109.23  19 100 24.40 271.8  17.0   0.90    1
50452.7 1997 004 61723  33 -27.28 -109.22  23 100 30.45 275.3  14.8   0.70    1
50453.8 1997 005 66112   3 -27.03 -109.42  11 100 14.64 268.1  12.4   0.60   -6
50454.7 1997 006 64500  12 -27.18 -109.57  21 100 20.79 264.8  12.6   1.50   -1
50455.7 1997 007 62890  26 -27.17 -109.30   9 100 26.60 274.2   8.3   0.80   -1
50456.7 1997 008 61285  35 -27.06 -109.57  21 100 32.90 276.0   9.0   0.80    0
50457.8 1997 009 65673   5 -27.07 -109.78  41 100 17.09 262.7  20.2   0.80   -2
50458.7 1997 010 64063  15 -27.27 -109.21  23 100 22.62 244.3  13.1   2.60    1
50459.7 1997 011 62451  29 -27.12 -109.15  22 100 28.61 253.5   9.5   0.70    3
50460.7 1997 012 60848  36 -26.99 -109.19  23 100 34.72 257.2  13.3   0.70   -1
50461.8 1997 013 65235   7 -27.14 -109.61  24 100 19.11 259.6  35.9   0.00   -3
50462.7 1997 014 63624  20 -27.22 -109.58  24 100 25.10 258.9  15.7   0.40   -1
50463.7 1997 015 62014  32 -26.99 -109.45  16 100 31.03 259.5  34.9   0.80    1
50464.8 1997 016 66408   2 -27.01 -109.24  18 100 15.05 260.1   9.8   0.30    1
50465.7 1997 017 64796   9 -27.25 -109.14  27 100 20.89 259.9  17.9   0.70   -1
50466.7 1997 018 63186  24 -27.21 -109.55  20 100 27.23 259.0  14.7   0.70    0
50467.7 1997 019 61582  34 -27.22 -109.64  29 100 33.35 262.0   8.7   0.70   -1
50468.8 1997 020 65969   3 -27.15 -108.85  52 100 16.93 261.2  13.2   0.30    1
50469.7 1997 021 64358  13 -27.26 -109.50  20 100 23.37 253.1  13.7   2.40   -2
50470.7 1997 022 62747  27 -27.23 -109.25  17 100 29.13 261.0   9.8   0.60   -3
50471.7 1997 023 61143  35 -27.21 -109.02  36 100 34.96 260.2   9.0   0.60   -2
50472.8 1997 024 65531   5 -27.22 -109.21  19 100 19.43 259.8   8.6   0.60   -2
50473.7 1997 025 63913  17 -26.92 -109.42  23 100 25.42 262.6  12.8   1.20   -2
50474.7 1997 026 62309  30 -27.18 -109.22  16 100 31.27 264.6  25.6   0.70    1
50475.7 1997 027 60711  36 -27.49 -108.78  71 100 36.92 261.2  33.2   0.80   -1
50476.8 1997 028 65086   8 -26.89 -109.66  38 100 21.90 257.9  10.9   1.00    0
50477.7 1997 029 63475  21 -26.99 -109.35  15 100 27.55 261.1  10.6   0.70   -2
50478.7 1997 030 61871  33 -27.02 -109.76  40 100 33.89 265.2   9.5   0.60   -3
50479.8 1997 031 66265   3 -27.12 -110.08  70 100 18.85 263.7   9.3   0.60    0
50480.7 1997 032 64648  10 -27.06 -109.10  28 100 23.67 262.3  14.9   1.00   -2
50481.7 1997 033 63038  25 -27.01 -109.38  12 100 29.75 269.1   8.9   0.80   -2
50482.7 1997 034 61439  34 -27.40 -109.10  41 100 35.52 266.9  18.3   0.50    0
50483.8 1997 035 65827   4 -27.28 -109.45  19 100 20.63 266.1  14.8   0.70    0
50484.7 1997 036 64210  14 -27.10 -109.34   4 100 26.08 257.3  11.1   1.70    0
50485.7 1997 037 62599  28 -27.04 -109.15  24 100 31.74 256.8   9.6   0.70    1
50486.7 1997 038 61001  36 -27.16 -109.89  52 100 38.34 254.8  10.1   0.70   -2
50487.8 1997 039 65382   6 -27.03 -109.44  12 100 22.72 261.8   9.9   0.60    1
50488.7 1997 040 63771  18 -27.16 -109.31   7 100 28.28 256.5  10.2   0.90    4
50489.7 1997 041 62161  31 -26.97 -109.28  19 100 34.02 260.4   8.1   0.70    0
50490.8 1997 042 66561   2 -27.20 -109.90  53 100 20.13 259.5  14.6   0.30    1
50491.8 1997 043 64944   8 -27.20 -109.12  26 100 24.75 256.2  10.2   0.80    2
50492.7 1997 044 63333  22 -27.22 -109.26  16 100 30.44 258.4  16.1   0.70    0
50493.7 1997 045 61729  33 -27.31 -109.26  24 100 36.25 263.5  10.1   0.60    0
50494.8 1997 046 66116   3 -27.05 -109.46  12 100 21.95 268.6  21.5   0.20   -2
50495.7 1997 047 64506  12 -27.26 -109.62  29 100 27.38 262.1  12.8   1.30   -1
50496.7 1997 048 62895  26 -27.23 -109.34  13 100 32.72 264.6  23.2   0.70    0
50497.7 1997 049 61291  35 -27.18 -109.64  28 100 38.71 267.5   8.7   0.60    3
50498.8 1997 050 65678   5 -27.17 -109.82  45 100 24.49 272.4  17.7   0.50    0
50499.7 1997 051 64061  15 -27.02 -109.17  23 100 29.15 269.6  12.1   1.10   -3
50500.7 1997 052 62456  29 -27.26 -109.22  22 100 34.83 267.2  13.2   0.60   -6
50501.7 1997 053 60852  36 -27.15 -109.29   9 100 40.59 254.3  68.7   0.30   -2
50502.8 1997 054 65233   7 -26.96 -109.60  29 100 26.43 267.0   8.4   0.50    4
50503.7 1997 055 63623  20 -27.09 -109.57  20 100 31.70 265.9  10.0   0.90    2
50504.7 1997 056 62018  32 -27.22 -109.56  22 100 37.28 271.0  13.0   0.50   -1
50505.8 1997 057 66412   2 -27.26 -109.29  17 100 23.98 276.8  11.4   0.50    3
50506.7 1997 058 64795   9 -27.17 -109.14  23 100 28.45 269.8  10.2   0.70   -1
50507.7 1997 059 63184  24 -27.13 -109.55  18 100 33.92 270.5  16.2   0.80   -2
