Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	130
Date	2004MAY08
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	0.00000	[UTC]
Stop_time	0.28111	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.48014	[p_s^-1]
ForeOptic_temperature	26.77	[ns]
Front_temperature	26.77	[ns]
Back_temperature	29.20	[ns]
Inside_temperature	28.18	[ns]
Shelter_temperature	24.19	[ns]
PSUnit_temperature	26.49	[ns]
AirCond_temperature	23.60	[ns]
Outside_temperature	30.60	[ns]
Comments	none
Formatted_file	2004129f24.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.041	100.48195	0.0004	0.0000
290.141	100.54651	0.0004	-0.0000
290.241	100.40481	0.0004	-0.0000
290.341	100.48695	0.0004	-0.0000
290.440	100.35072	0.0004	-0.0000
290.540	99.92372	0.0004	-0.0000
290.640	99.79327	0.0004	-0.0000
290.740	99.67722	0.0004	-0.0000
290.840	99.39929	0.0004	-0.0000
290.940	99.35838	0.0004	-0.0000
291.040	99.56953	0.0004	-0.0000
291.140	99.73284	0.0004	0.0000
291.240	99.01885	0.0004	0.0000
291.340	99.20759	0.0004	0.0000
291.440	99.41793	0.0004	0.0000
291.540	98.98654	0.0004	0.0000
291.640	99.02821	0.0004	0.0000
291.739	98.83651	0.0004	0.0000
291.839	98.41649	0.0004	0.0000
291.939	98.56533	0.0004	0.0000
292.039	98.49648	0.0004	0.0000
292.139	98.15511	0.0004	-0.0000
292.239	98.01524	0.0004	-0.0000
292.339	97.88661	0.0004	-0.0000
292.439	97.78757	0.0004	-0.0000
292.539	98.04844	0.0004	-0.0000
292.639	97.95470	0.0004	-0.0000
292.739	98.04018	0.0004	-0.0000
292.839	97.85872	0.0004	-0.0000
292.939	97.38943	0.0004	-0.0000
293.039	97.74001	0.0004	-0.0000
293.138	97.23855	0.0004	0.0000
293.238	97.21786	0.0004	0.0000
293.338	97.34525	0.0004	0.0000
293.438	97.14725	0.0004	0.0000
293.538	96.88750	0.0004	0.0000
293.638	97.02966	0.0004	0.0000
293.738	96.89101	0.0004	0.0000
293.838	96.58437	0.0004	0.0000
293.938	96.10697	0.0004	0.0000
294.038	96.41910	0.0004	0.0000
294.138	96.44022	0.0004	-0.0000
294.238	96.37536	0.0004	-0.0000
294.338	96.25492	0.0004	-0.0000
294.438	96.11381	0.0004	-0.0000
294.537	95.69945	0.0004	-0.0000
294.637	95.91330	0.0004	-0.0000
294.737	95.81451	0.0004	-0.0000
294.837	95.90652	0.0004	-0.0000
294.937	95.51276	0.0004	-0.0000
295.037	95.56184	0.0004	-0.0000
295.137	95.61275	0.0004	0.0000
295.237	95.46055	0.0004	0.0000
295.337	95.33749	0.0004	0.0000
295.437	95.16978	0.0004	0.0000
295.537	95.07785	0.0004	0.0000
295.637	95.19854	0.0004	0.0000
295.737	95.08642	0.0004	0.0000
295.837	95.03492	0.0004	0.0000
295.936	95.00489	0.0004	0.0000
296.036	94.48877	0.0004	0.0000
296.136	94.51083	0.0004	-0.0000
296.236	94.58729	0.0004	-0.0000
296.336	94.35214	0.0004	-0.0000
