"State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"NH","ARICD","0.70349","0.88014","0.87561","0.86426","1.64347","2.05224","2.06795","2.15035","2.35619","2.73740","4.00404","5.41025","4.02660","4.25266","4.62347","5.19991","4.86423","3.54414","3.34329","3.17317","3.34412","3.05023","2.78475","3.29920","3.63785","3.78724","3.80416","4.01825","3.69135","3.67964","4.82153","4.87252","5.63336","6.02837","5.76353","6.57375","8.60939"
"NH","ARICV","2.52462","3.59457","4.05179","4.73933","6.18214","5.86509","6.68235","6.18998","7.13669","7.72967","6.72488","12.56828","9.83812","11.04293","29.69159","29.46940","17.84091","18.32862","9.53463","15.62933","26.59550","13.33518","14.60884","7.01033","9.19345","9.18345","15.81609","10.97525","6.57743","7.02353","10.65781","7.53221","15.20113","35.65610","32.57972","45.53715","37.26758"
"NH","ARTCD","0.70349","0.88014","0.87561","0.86426","1.64347","2.05224","2.06795","2.15035","2.35619","2.73740","4.00404","5.41025","4.02660","4.25266","4.62347","5.19991","4.86423","3.54414","3.34329","3.17317","3.34412","3.05023","2.78475","3.29920","3.63785","3.78724","3.80416","4.01825","3.69135","3.67964","4.82153","4.87252","5.63336","6.02837","5.76353","6.57375","8.60939"
"NH","ARTCV","2.52462","3.59457","4.05179","4.73933","6.18214","5.86509","6.68235","6.18998","7.13669","7.72967","6.72488","12.56828","9.83812","11.04293","29.69159","29.46940","17.84091","18.32862","9.53463","15.62933","26.59550","13.33518","14.60884","7.01033","9.19345","9.18345","15.81609","10.97525","6.57743","7.02353","10.65781","7.53221","15.20113","35.65610","32.57972","45.53715","37.26758"
"NH","AVACD","2.16982","2.21236","2.19413","2.35823","3.23346","3.44618","3.58597","3.96870","4.29319","5.73257","9.01902","10.84113","10.91601","10.44176","10.26704","9.99247","8.41165","7.54635","7.41323","8.27853","9.31854","8.71117","8.54477","8.23693","7.96236","8.36173","9.28526","9.38510","8.11212","8.81101","10.86609","11.00753","10.71632","12.42195","15.13431","18.56220","22.31458"
"NH","AVACV","0.41406","0.53653","0.48227","0.51434","0.66742","0.57476","0.54616","0.73567","0.94775","1.17091","1.83865","1.62216","1.39487","1.38800","1.04788","1.20282","1.59777","1.07669","1.39196","1.36954","0.97164","1.14299","0.83243","1.78916","1.32438","0.93768","0.92336","1.07840","0.82342","1.23343","1.32655","3.53615","2.69497","2.72812","4.93862","6.44098","5.19078"
"NH","AVTCD","2.16982","2.21236","2.19413","2.35823","3.23346","3.44618","3.58597","3.96870","4.29319","5.73257","9.01902","10.84113","10.91601","10.44176","10.26704","9.99247","8.41165","7.54635","7.41323","8.27853","9.31854","8.71117","8.54477","8.23693","7.96236","8.36173","9.28526","9.38510","8.11212","8.81101","10.86609","11.00753","10.71632","12.42195","15.13431","18.56220","22.31458"
"NH","AVTCV","0.41406","0.53653","0.48227","0.51434","0.66742","0.57476","0.54616","0.73567","0.94775","1.17091","1.83865","1.62216","1.39487","1.38800","1.04788","1.20282","1.59777","1.07669","1.39196","1.36954","0.97164","1.14299","0.83243","1.78916","1.32438","0.93768","0.92336","1.07840","0.82342","1.23343","1.32655","3.53615","2.69497","2.72812","4.93862","6.44098","5.19078"
"NH","CLACD","0.94875","0.66531","1.11107","1.35129","1.85177","2.64528","1.85386","2.07780","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"NH","CLACV","0.00032","0.00022","0.00013","0.00011","0.00022","0.00006","0.00000","0.00010","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
