Time	Date	StoreData	FitResults1	FitResults2	Integral
12.16665833333332	2/22/2009 17:54:24	0	89.3578906137095	87.972	6692.441	
12.333324999999986	2/22/2009 18:4:24	0	88.4776377867538	87.024	6745.791	
12.499991666666652	2/22/2009 18:14:24	0	87.61243648656622	86.09	6798.618	
12.666658333333318	2/22/2009 18:24:24	0	86.76189496702797	85.17	6850.931	
12.833324999999984	2/22/2009 18:34:24	0	85.92563551897477	84.264	6902.737	
12.99999166666665	2/22/2009 18:44:24	0	85.10329382391144	83.371	6954.046	
13.166658333333316	2/22/2009 18:54:24	0	84.29451834418887	82.49	7004.865	
13.333324999999983	2/22/2009 19:4:24	0	83.49896974720552	81.623	7055.203	
13.499991666666649	2/22/2009 19:14:24	0	82.7163203613855	80.767	7105.068	
13.666658333333315	2/22/2009 19:24:24	0	81.94625366185572	79.924	7154.466	
13.83332499999998	2/22/2009 19:34:24	0	81.18846378390212	79.093	7203.407	
13.999991666666647	2/22/2009 19:44:24	0	80.44265506242844	78.273	7251.896	
14.166658333333313	2/22/2009 19:54:24	0	79.70854159577168	77.464	7299.941	
14.333324999999979	2/22/2009 20:4:24	0	78.98584683234922	76.666	7347.55	
14.499991666666645	2/22/2009 20:14:24	0	78.27430317872295	75.879	7394.728	
14.666658333333311	2/22/2009 20:24:24	0	77.57365162776635	75.103	7441.482	
14.833324999999977	2/22/2009 20:34:24	0	76.88364140571443	74.337	7487.819	
14.999991666666643	2/22/2009 20:44:24	0	76.20402963696117	73.581	7533.746	
15.16665833333331	2/22/2009 20:54:24	0	75.53458102554855	72.835	7579.267	
15.333324999999975	2/22/2009 21:4:24	0	74.87506755236362	72.098	7624.39	
15.499991666666642	2/22/2009 21:14:24	0	74.22526818712653	71.372	7669.12	
15.666658333333308	2/22/2009 21:24:24	0	73.58496861431517	70.654	7713.463	
15.833324999999974	2/22/2009 21:34:24	0	72.95396097222816	69.946	7757.425	
15.99999166666664	2/22/2009 21:44:24	0	72.33204360444147	69.247	7801.011	
16.166658333333306	2/22/2009 21:54:24	0	71.7190208229618	68.556	7844.226	
16.333324999999974	2/22/2009 22:4:24	0	71.11470268242637	67.874	7887.076	
16.49999166666664	2/22/2009 22:14:24	0	70.51890476473895	67.201	7929.566	
16.66665833333331	2/22/2009 22:24:24	0	69.93144797357232	66.536	7971.701	
16.833324999999977	2/22/2009 22:34:24	0	69.35215833820234	65.879	8013.487	
16.999991666666645	2/22/2009 22:44:24	0	68.78086682617253	65.23	8054.926	
17.166658333333313	2/22/2009 22:54:24	0	68.2174091643193	64.589	8096.026	
17.33332499999998	2/22/2009 23:4:24	0	67.66162566771672	63.955	8136.79	
17.49999166666665	2/22/2009 23:14:24	0	67.11336107612618	63.33	8177.222	
17.666658333333316	2/22/2009 23:24:24	0	66.57246439756229	62.711	8217.328	
17.833324999999984	2/22/2009 23:34:24	0	66.03878875860836	62.101	8257.111	
17.999991666666652	2/22/2009 23:44:24	0	65.51219126113808	61.497	8296.577	
18.16665833333332	2/22/2009 23:54:24	0	64.99253284511832	60.9	8335.728	
18.333324999999988	2/23/2009 0:4:24	0	64.479678157189	60.311	8374.57	
18.499991666666656	2/23/2009 0:14:24	0	63.9734954247322	59.728	8413.106	
18.666658333333324	2/23/2009 0:24:24	0	63.473856335159276	59.152	8451.34	
18.83332499999999	2/23/2009 0:34:24	0	62.9806359201611	58.582	8489.276	
18.99999166666666	2/23/2009 0:44:24	0	62.4937124446801	58.02	8526.918	
19.166658333333327	2/23/2009 0:54:24	0	62.01296730037622	57.463	8564.27	
19.333324999999995	2/23/2009 1:4:24	0	61.538284903372656	56.913	8601.336	
19.499991666666663	2/23/2009 1:14:24	0	61.069552596077564	56.369	8638.118	
19.66665833333333	2/23/2009 1:24:24	0	60.60666055289038	55.831	8674.621	
19.833325	2/23/2009 1:34:24	0	60.14950168961077	55.299	8710.848	
