NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/22/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:  23.810 to 24.250 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 333
Relative Std Dev Filter Aerosol[%]: 0.5
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
23.88722  33.84949 137.94736   5.179  534.29  0.0280  0.1066  0.1496  0.0279   0.1939
23.88639  33.84864 137.94220   5.198  533.02  0.0287  0.1067  0.1371  0.0290   0.1907
23.88556  33.84778 137.93703   5.216  531.70  0.0283  0.1066  0.1269  0.0286   0.1927
23.88472  33.84692 137.93185   5.235  530.41  0.0290  0.1068  0.1188  0.0291   0.1986
23.88389  33.84606 137.92668   5.254  529.10  0.0276  0.1065  0.1129  0.0273   0.2075
23.88306  33.84520 137.92151   5.274  527.77  0.0272  0.1065  0.1092  0.0263   0.2194
23.88222  33.84434 137.91632   5.293  526.45  0.0293  0.1068  0.1082  0.0290   0.2339
23.88139  33.84349 137.91113   5.312  525.14  0.0325  0.1073  0.1095  0.0327   0.2480
23.88056  33.84264 137.90593   5.332  523.79  0.0314  0.1071  0.1122  0.0303   0.2577
23.87972  33.84178 137.90073   5.353  522.36  0.0274  0.1065  0.1145  0.0247   0.2590
23.87889  33.84093 137.89552   5.375  520.90  0.0251  0.1061  0.1152  0.0225   0.2530
23.87806  33.84008 137.89031   5.396  519.48  0.0240  0.1059  0.1147  0.0214   0.2421
23.87722  33.83922 137.88510   5.417  518.09  0.0235  0.1058  0.1139  0.0215   0.2277
23.87639  33.83837 137.87990   5.437  516.81  0.0244  0.1060  0.1140  0.0237   0.2129
23.87556  33.83751 137.87468   5.455  515.52  0.0262  0.1063  0.1156  0.0268   0.1997
23.87472  33.83666 137.86948   5.473  514.28  0.0257  0.1062  0.1188  0.0274   0.1890
23.87389  33.83580 137.86426   5.491  513.14  0.0246  0.1060  0.1235  0.0268   0.1812
23.87306  33.83494 137.85904   5.508  511.99  0.0270  0.1064  0.1297  0.0299   0.1759
23.87181  33.83365 137.85119   5.533  510.41  0.0274  0.1065  0.1408  0.0324   0.1773
23.87056  33.83236 137.84332   5.558  508.73  0.0261  0.1063  0.1542  0.0298   0.1870
23.86972  33.83151 137.83807   5.576  507.54  0.0242  0.1059  0.1641  0.0262   0.1943
23.86889  33.83064 137.83283   5.594  506.38  0.0255  0.1062  0.1741  0.0272   0.1984
23.86806  33.82978 137.82756   5.612  505.17  0.0257  0.1062  0.1839  0.0274   0.1994
23.86722  33.82892 137.82230   5.630  503.99  0.0253  0.1061  0.1930  0.0269   0.1992
23.86639  33.82805 137.81703   5.649  502.79  0.0235  0.1058  0.2007  0.0246   0.1992
23.86556  33.82718 137.81177   5.667  501.56  0.0216  0.1055  0.2065  0.0226   0.2008
23.86431  33.82587 137.80385   5.694  499.81  0.0199  0.1052  0.2116  0.0216   0.2050
23.86306  33.82455 137.79591   5.718  498.26  0.0192  0.1050  0.2136  0.0232   0.2084
23.86222  33.82366 137.79060   5.732  497.31  0.0243  0.1059  0.2143  0.0333   0.2102
23.86139  33.82277 137.78529   5.747  496.28  0.0242  0.1059  0.2144  0.0311   0.2124
23.86014  33.82142 137.77728   5.775  494.49  0.0194  0.1051  0.2112  0.0211   0.2159
23.85889  33.82007 137.76926   5.802  492.72  0.0184  0.1049  0.2030  0.0199   0.2193
23.85806  33.81915 137.76390   5.820  491.48  0.0179  0.1048  0.1952  0.0196   0.2208
23.85722  33.81824 137.75855   5.838  490.36  0.0178  0.1048  0.1861  0.0194   0.2212
23.85639  33.81732 137.75316   5.856  489.16  0.0188  0.1050  0.1757  0.0202   0.2206
23.85556  33.81639 137.74777   5.875  488.01  0.0175  0.1047  0.1646  0.0190   0.2191
23.85472  33.81545 137.74237   5.893  486.81  0.0169  0.1046  0.1526  0.0182   0.2172
23.85389  33.81451 137.73697   5.912  485.65  0.0157  0.1044  0.1401  0.0166   0.2155
23.85306  33.81356 137.73157   5.931  484.46  0.0156  0.1044  0.1277  0.0165   0.2138
23.85222  33.81261 137.72614   5.948  483.25  0.0169  0.1046  0.1169  0.0190   0.2124
23.85097  33.81118 137.71801   5.973  481.64  0.0167  0.1046  0.1036  0.0198   0.2105
23.84972  33.80975 137.70985   5.999  479.98  0.0158  0.1044  0.0929  0.0190   0.2088
23.84889  33.80880 137.70442   6.014  479.00  0.0148  0.1042  0.0878  0.0186   0.2079
23.84764  33.80738 137.69625   6.035  477.76  0.0172  0.1047  0.0835  0.0257   0.2065
23.84639  33.80594 137.68805   6.053  476.62  0.0192  0.1050  0.0821  0.0324   0.2055
23.84514  33.80449 137.67982   6.073  475.28  0.0187  0.1049  0.0824  0.0277   0.2049
23.84389  33.80304 137.67158   6.099  473.61  0.0168  0.1046  0.0842  0.0195   0.2046
23.84306  33.80207 137.66608   6.120  472.25  0.0135  0.1039  0.0860  0.0133   0.2043
23.84222  33.80109 137.66058   6.139  471.14  0.0125  0.1037  0.0883  0.0133   0.2043
23.84139  33.80010 137.65509   6.154  470.22  0.0145  0.1041  0.0910  0.0195   0.2041
23.84014  33.79861 137.64683   6.172  469.07  0.0178  0.1048  0.0962  0.0302   0.2032
23.83847  33.79659 137.63577   6.194  467.59  0.0174  0.1047  0.1048  0.0325   0.2018
23.83722  33.79505 137.62746   6.211  466.55  0.0164  0.1045  0.1127  0.0293   0.2012
23.83639  33.79401 137.62192   6.226  465.65  0.0161  0.1044  0.1196  0.0226   0.2012
23.83556  33.79295 137.61638   6.245  464.40  0.0131  0.1038  0.1285  0.0141   0.2018
23.83431  33.79133 137.60810   6.275  462.62  0.0124  0.1037  0.1428  0.0124   0.2048
23.83306  33.78966 137.59985   6.298  461.33  0.0157  0.1043  0.1541  0.0210   0.2099
23.83222  33.78851 137.59436   6.309  460.59  0.0164  0.1045  0.1601  0.0291   0.2143
23.83097  33.78675 137.58613   6.334  458.87  0.0176  0.1047  0.1723  0.0219   0.2219
23.82972  33.78500 137.57791   6.369  456.89  0.0104  0.1033  0.1840  0.0092   0.2289
23.82889  33.78384 137.57246   6.394  455.41  0.0096  0.1031  0.1879  0.0077   0.2329
23.82806  33.78268 137.56702   6.416  454.00  0.0093  0.1030  0.1893  0.0087   0.2354
23.82722  33.78152 137.56158   6.435  452.93  0.0089  0.1029  0.1901  0.0093   0.2360
23.82597  33.77980 137.55349   6.456  451.67  0.0107  0.1033  0.1913  0.0152   0.2328
23.82472  33.77807 137.54541   6.474  450.52  0.0119  0.1036  0.1932  0.0205   0.2250
23.82347  33.77635 137.53735   6.494  449.18  0.0127  0.1037  0.1959  0.0192   0.2128
23.82222  33.77464 137.52931   6.516  447.84  0.0108  0.1033  0.1988  0.0147   0.1995
23.82139  33.77350 137.52399   6.532  446.86  0.0089  0.1029  0.2003  0.0110   0.1914
23.82014  33.77180 137.51604   6.555  445.50  0.0078  0.1027  0.2014  0.0098   0.1823
23.81889  33.77010 137.50812   6.575  444.20  0.0078  0.1027  0.2018  0.0116   0.1764
23.81764  33.76841 137.50027   6.594  443.08  0.0080  0.1027  0.2019  0.0124   0.1743
23.81597  33.76616 137.48984   6.617  441.77  0.0077  0.1026  0.2019  0.0129   0.1749
23.81431  33.76393 137.47949   6.636  440.71  0.0072  0.1025  0.2019  0.0146   0.1769
