NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/22/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:  23.810 to 24.250 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 333
Relative Std Dev Filter Aerosol[%]: 0.5
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
24.11597  33.49530 139.01119   1.295  871.04  0.2667  0.1318  1.9963  0.5754   1.8079
24.11306  33.50167 139.00084   1.316  868.97  0.2496  0.1304  1.7983  0.5521   1.0235
24.11056  33.50719 138.99191   1.335  866.82  0.2601  0.1312  1.6224  0.5338   0.6399
24.10847  33.51182 138.98447   1.355  864.71  0.2515  0.1305  1.4533  0.4249   0.5975
24.10681  33.51553 138.97855   1.375  862.73  0.2464  0.1301  1.2933  0.3340   0.5943
24.10472  33.52019 138.97122   1.395  860.68  0.2456  0.1300  1.1423  0.4132   0.6104
24.10264  33.52487 138.96390   1.417  858.26  0.2403  0.1296  0.9846  0.3605   0.6537
24.10097  33.52863 138.95804   1.438  856.02  0.2395  0.1295  0.8462  0.2992   0.7022
24.09972  33.53146 138.95364   1.455  854.37  0.2363  0.1293  0.7482  0.2838   0.7307
24.09847  33.53429 138.94925   1.471  852.69  0.2451  0.1300  0.6642  0.3090   0.7242
24.09639  33.53901 138.94188   1.494  850.34  0.2394  0.1295  0.5578  0.3454   0.6205
24.09431  33.54375 138.93446   1.515  848.08  0.2388  0.1294  0.4777  0.3852   0.4718
24.09264  33.54753 138.92851   1.535  846.23  0.2364  0.1292  0.4165  0.3311   0.3579
24.09097  33.55134 138.92255   1.553  844.35  0.2435  0.1298  0.3702  0.3639   0.2672
24.08889  33.55615 138.91509   1.572  842.44  0.2416  0.1296  0.3322  0.4376   0.2012
24.08639  33.56201 138.90608   1.594  840.10  0.2370  0.1292  0.2978  0.4460   0.1866
24.08431  33.56693 138.89853   1.615  837.90  0.2359  0.1291  0.2727  0.3769   0.1956
24.08264  33.57089 138.89249   1.636  835.77  0.2357  0.1291  0.2560  0.3194   0.2067
24.08097  33.57485 138.88642   1.657  833.62  0.2299  0.1286  0.2454  0.3066   0.2199
24.07931  33.57883 138.88033   1.677  831.56  0.2281  0.1285  0.2415  0.3190   0.2341
24.07764  33.58283 138.87423   1.694  829.75  0.2382  0.1293  0.2443  0.3796   0.2461
24.07556  33.58788 138.86656   1.715  827.60  0.2385  0.1293  0.2549  0.4057   0.2583
24.07347  33.59294 138.85889   1.737  825.09  0.2328  0.1288  0.2716  0.3787   0.2656
24.07181  33.59702 138.85271   1.754  823.19  0.2363  0.1291  0.2871  0.3992   0.2717
24.07014  33.60113 138.84650   1.771  821.29  0.2344  0.1289  0.3050  0.3748   0.2847
24.06847  33.60527 138.84026   1.790  819.40  0.2263  0.1282  0.3236  0.3459   0.3109
24.06639  33.61049 138.83241   1.812  817.20  0.2357  0.1290  0.3447  0.3914   0.3621
24.06431  33.61575 138.82451   1.834  814.81  0.2345  0.1289  0.3647  0.3894   0.4275
24.06264  33.61999 138.81816   1.858  812.57  0.2233  0.1280  0.3810  0.2764   0.4733
24.06139  33.62318 138.81337   1.876  810.91  0.2301  0.1285  0.3891  0.2885   0.4934
24.06014  33.62640 138.80858   1.891  809.17  0.2292  0.1284  0.3935  0.3199   0.5010
24.05847  33.63070 138.80217   1.915  807.03  0.2139  0.1272  0.3935  0.2742   0.5039
24.05681  33.63503 138.79576   1.937  804.85  0.2157  0.1273  0.3880  0.2827   0.5084
24.05514  33.63939 138.78932   1.958  802.80  0.2183  0.1275  0.3827  0.3202   0.5321
24.05389  33.64268 138.78445   1.973  801.28  0.2158  0.1273  0.3801  0.3135   0.5571
24.05264  33.64599 138.77958   1.990  799.76  0.2137  0.1271  0.3806  0.2893   0.5596
24.05056  33.65153 138.77142   2.015  797.38  0.2226  0.1278  0.3917  0.3375   0.4809
24.04847  33.65713 138.76316   2.039  795.11  0.2195  0.1275  0.4148  0.3607   0.4055
24.04722  33.66052 138.75816   2.055  793.56  0.2171  0.1273  0.4374  0.3176   0.3629
24.04597  33.66393 138.75314   2.070  792.03  0.2144  0.1271  0.4652  0.3225   0.3180
24.04431  33.66853 138.74638   2.091  789.99  0.2221  0.1277  0.5121  0.3400   0.3660
24.04264  33.67317 138.73959   2.113  787.81  0.2287  0.1282  0.5754  0.3266   0.4898
24.04139  33.67668 138.73445   2.132  785.97  0.2190  0.1274  0.6387  0.2693   0.6284
24.03972  33.68141 138.72757   2.154  783.91  0.2214  0.1276  0.7142  0.3273   0.8955
24.03806  33.68618 138.72063   2.174  781.64  0.2217  0.1276  0.7849  0.3642   1.1891
24.03722  33.68858 138.71715   2.190  780.35  0.2086  0.1266  0.8423  0.2093   1.2828
24.03597  33.69219 138.71192   2.215  777.90  0.2110  0.1268  0.9256  0.2112   1.3695
24.03472  33.69581 138.70668   2.239  775.69  0.2158  0.1271  1.0031  0.2225   1.3874
24.03389  33.69821 138.70317   2.254  774.10  0.2089  0.1266  1.0511  0.2168   1.3555
24.03306  33.70062 138.69966   2.270  772.67  0.2068  0.1264  1.0950  0.2125   1.3019
24.03181  33.70423 138.69440   2.294  770.33  0.2038  0.1261  1.1489  0.2145   1.2105
24.03056  33.70784 138.68912   2.317  768.12  0.1965  0.1255  1.1895  0.2041   1.1765
24.02972  33.71025 138.68561   2.333  766.57  0.1954  0.1254  1.2084  0.2019   1.1713
24.02889  33.71266 138.68208   2.349  765.14  0.1931  0.1252  1.2209  0.2007   1.1818
24.02764  33.71629 138.67680   2.373  762.89  0.1871  0.1247  1.2281  0.1940   1.2264
24.02639  33.71992 138.67151   2.397  760.69  0.1827  0.1243  1.2228  0.1917   1.3004
24.02556  33.72235 138.66798   2.412  759.20  0.1816  0.1242  1.2139  0.1941   1.3606
24.02431  33.72600 138.66270   2.436  756.97  0.1794  0.1240  1.1949  0.1890   1.4470
24.02306  33.72966 138.65741   2.459  754.71  0.1807  0.1241  1.1716  0.1915   1.4913
24.02222  33.73211 138.65389   2.475  753.06  0.1717  0.1233  1.1534  0.1747   1.4752
24.02139  33.73457 138.65036   2.492  751.71  0.1751  0.1236  1.1344  0.1766   1.4183
24.02056  33.73703 138.64684   2.508  750.27  0.1766  0.1237  1.1157  0.1759   1.3544
24.01931  33.74071 138.64155   2.533  747.81  0.1691  0.1231  1.0887  0.1679   1.3069
24.01806  33.74439 138.63626   2.559  745.50  0.1677  0.1229  1.0634  0.1651   1.2624
24.01722  33.74684 138.63274   2.576  743.91  0.1667  0.1228  1.0480  0.1590   1.2382
24.01639  33.74929 138.62918   2.593  742.33  0.1629  0.1225  1.0350  0.1595   1.2279
24.01556  33.75174 138.62561   2.610  740.84  0.1668  0.1228  1.0249  0.1691   1.2336
24.01431  33.75542 138.62025   2.633  738.58  0.1650  0.1227  1.0148  0.1727   1.2744
24.01306  33.75909 138.61490   2.657  736.44  0.1633  0.1225  1.0085  0.1725   1.3251
24.01222  33.76154 138.61133   2.672  735.00  0.1614  0.1223  1.0056  0.1762   1.3527
24.01097  33.76521 138.60596   2.695  732.92  0.1560  0.1218  1.0010  0.1725   1.3518
24.00972  33.76890 138.60056   2.718  730.91  0.1477  0.1211  0.9951  0.1613   1.3081
24.00889  33.77135 138.59694   2.733  729.48  0.1644  0.1226  0.9914  0.1899   1.2663
24.00764  33.77501 138.59150   2.755  727.53  0.1494  0.1212  0.9841  0.1725   1.2073
24.00639  33.77866 138.58601   2.777  725.47  0.1487  0.1211  0.9724  0.1706   1.1515
24.00556  33.78110 138.58235   2.793  724.00  0.1430  0.1206  0.9612  0.1511   1.1194
24.00472  33.78354 138.57869   2.809  722.57  0.1390  0.1202  0.9476  0.1453   1.0890
24.00347  33.78719 138.57320   2.833  720.36  0.1368  0.1200  0.9254  0.1423   1.0485
24.00222  33.79084 138.56770   2.857  718.21  0.1381  0.1201  0.9042  0.1456   1.0279
24.00139  33.79328 138.56400   2.873  716.79  0.1393  0.1202  0.8916  0.1497   1.0161
24.00056  33.79571 138.56029   2.889  715.35  0.1358  0.1199  0.8802  0.1417   1.0002
23.99931  33.79936 138.55473   2.914  713.15  0.1339  0.1197  0.8658  0.1384   0.9695
23.99806  33.80300 138.54916   2.939  710.95  0.1303  0.1193  0.8557  0.1363   0.9347
23.99722  33.80543 138.54546   2.955  709.38  0.1273  0.1190  0.8518  0.1301   0.9119
23.99639  33.80786 138.54175   2.972  707.88  0.1310  0.1194  0.8513  0.1340   0.8930
23.99556  33.81028 138.53803   2.989  706.40  0.1374  0.1200  0.8547  0.1384   0.8764
23.99431  33.81391 138.53241   3.014  704.08  0.1273  0.1190  0.8642  0.1275   0.8567
23.99306  33.81753 138.52678   3.040  701.87  0.1334  0.1196  0.8765  0.1324   0.8404
23.99222  33.81993 138.52303   3.056  700.43  0.1357  0.1198  0.8844  0.1425   0.8281
23.99139  33.82233 138.51923   3.072  699.12  0.1238  0.1187  0.8890  0.1338   0.8128
23.99056  33.82472 138.51543   3.089  697.67  0.1166  0.1179  0.8887  0.1237   0.7949
23.98931  33.82831 138.50973   3.113  695.59  0.1151  0.1178  0.8789  0.1215   0.7600
23.98806  33.83189 138.50403   3.138  693.43  0.1105  0.1173  0.8588  0.1137   0.7171
23.98722  33.83427 138.50023   3.155  691.97  0.1115  0.1174  0.8399  0.1091   0.6845
23.98639  33.83666 138.49641   3.172  690.40  0.1089  0.1171  0.8193  0.1115   0.6524
23.98556  33.83903 138.49258   3.189  688.99  0.1090  0.1171  0.7975  0.1135   0.6250
23.98431  33.84260 138.48682   3.214  686.82  0.1095  0.1172  0.7628  0.1114   0.5972
23.98306  33.84616 138.48105   3.240  684.64  0.1064  0.1168  0.7272  0.1084   0.5868
23.98222  33.84853 138.47720   3.256  683.19  0.1032  0.1165  0.7033  0.1061   0.5913
23.98139  33.85090 138.47336   3.272  681.89  0.1053  0.1167  0.6813  0.1160   0.6040
23.98014  33.85445 138.46758   3.295  679.92  0.1062  0.1168  0.6508  0.1225   0.6353
23.97889  33.85801 138.46176   3.318  677.98  0.1035  0.1165  0.6202  0.1171   0.6705
23.97806  33.86039 138.45787   3.333  676.65  0.1010  0.1162  0.5998  0.1153   0.6894
23.97681  33.86395 138.45203   3.356  674.69  0.0995  0.1161  0.5682  0.1120   0.6984
23.97556  33.86752 138.44620   3.379  672.76  0.0999  0.1161  0.5364  0.1131   0.6781
23.97472  33.86989 138.44229   3.394  671.46  0.1008  0.1162  0.5157  0.1185   0.6443
23.97389  33.87226 138.43835   3.409  670.17  0.0997  0.1161  0.4942  0.1176   0.5992
23.97264  33.87583 138.43245   3.432  668.16  0.0959  0.1157  0.4573  0.1069   0.5263
23.97139  33.87939 138.42654   3.456  666.23  0.0937  0.1154  0.4155  0.1021   0.4658
23.97056  33.88176 138.42261   3.472  664.86  0.0940  0.1154  0.3863  0.1053   0.4413
23.96931  33.88530 138.41666   3.495  662.90  0.0930  0.1153  0.3400  0.1046   0.4222
23.96806  33.88883 138.41069   3.520  660.84  0.0914  0.1152  0.2887  0.0988   0.4140
23.96722  33.89117 138.40671   3.537  659.41  0.0904  0.1150  0.2516  0.0939   0.4120
23.96639  33.89352 138.40273   3.554  658.01  0.0906  0.1151  0.2134  0.0935   0.4101
23.96556  33.89585 138.39874   3.571  656.57  0.0889  0.1149  0.1750  0.0918   0.4066
23.96472  33.89817 138.39473   3.588  655.21  0.0886  0.1148  0.1370  0.0925   0.4020
23.96347  33.90163 138.38870   3.612  653.15  0.0888  0.1148  0.0830  0.0945   0.3943
23.96222  33.90507 138.38265   3.637  651.16  0.0882  0.1148  0.0336  0.0964   0.3875
23.96139  33.90733 138.37857   3.652  649.85  0.0873  0.1147  0.0047  0.1008   0.3847
23.96014  33.91068 138.37240   3.676  647.88  0.0851  0.1144 -0.0352  0.0943   0.3819
23.95889  33.91394 138.36615   3.700  645.95  0.0848  0.1144 -0.0668  0.0919   0.3808
23.95806  33.91603 138.36191   3.716  644.54  0.0840  0.1143 -0.0807  0.0932   0.3804
23.95722  33.91804 138.35762   3.733  643.17  0.0852  0.1144 -0.0875  0.0905   0.3799
23.95597  33.92082 138.35101   3.757  641.25  0.0845  0.1143 -0.0805  0.0957   0.3783
23.95472  33.92327 138.34419   3.777  639.39  0.0993  0.1159 -0.0567  0.1326   0.3754
23.95389  33.92459 138.33948   3.790  638.18  0.1016  0.1162 -0.0314  0.1350   0.3720
23.95264  33.92593 138.33220   3.811  636.42  0.0998  0.1160  0.0195  0.1267   0.3642
