Dataset:              EMAP Lakes Bird Names
File Name:            brdnam
Date Created:         03/13/97
# Variables:          9
# Header Records:     19
# Data Records:       217
Missing Value Symbol: .

Variables:    AOU              Amer. Ornith. Union code
              DIET             Dietary guild
              FEED             Foraging guild
              NAME_COM         common name
              NEOTROP          Neotrophic Migr. (NE) or Resident (RE)
              ORDER            Taxonomic Order
              SCIENTIF         Genus and species
              SPECIES          EMAP code for bird species
              TOLER            Tolerant (TO) or intolerant (IN)

"AOU","DIET","FEED","NAME_COM","NEOTROP","ORDER","SCIENTIF","SPECIES","TOLER" 
6590,"IN","FG","Chestnut-sided Warbler","NE","Passeriformes","Dendroica pensylvanica","CSWA","IN" 
1200,"FI","SD","Double-crested Cormorant","RE","Pelecaniformes","Phalacrocorax auritus","DCCO","TO" 
5670,"SE","GG","Dark-eyed Junco","RE","Passeriformes","Junco hyemalis","DEJU","IN" 
3940,"IN","BG","Downy Woodpecker","RE","Piciformes","Picoides pubescens","DOWO","IN" 
7660,"IN","HA","Eastern Bluebird","RE","Passeriformes","Sialia sialis","EABL","IN" 
4440,"IN","HA","Eastern Kingbird","NE","Passeriformes","Tyrannus tyrannus","EAKI","IN" 
5010,"IN","GG","Eastern Meadowlark","RE","Passeriformes","Sturnella magna","EAME","IN" 
4560,"IN","HA","Eastern Phoebe","RE","Passeriformes","Sayornis phoebe","EAPH","IN" 
4610,"IN","HA","Eastern Wood-Pewee","NE","Passeriformes","Contopus virens","EAWO","IN" 
4930,"IN","GG","European Starling","RE","Passeriformes","Sturnus vulgaris","EUST","TO" 
5140,"SE","GG","Evening Grosbeak","RE","Passeriformes","Coccothraustes vespertinus","EVGR","IN" 
4900,"OM","GG","Fish Crow","RE","Passeriformes","Corvus ossifragus","FICR","TO" 
5630,"IN","GG","Field Sparrow","RE","Passeriformes","Spizella pusilla","FISP","IN" 
1940,"FI","SS","Great Blue Heron","RE","Ciconiiformes","Ardea herodias","GBHE","IN" 
4520,"IN","HA","Great Crested Flycatcher","NE","Passeriformes","Myiarchus crinitus","GCFL","IN" 
7480,"IN","FG","Golden-crowned Kinglet","RE","Passeriformes","Regulus satrapa","GCKI","IN" 
7570,"IN","GG","Gray-cheeked Thrush","NE","Passeriformes","Catharus minimus","GCTH","IN" 
3750,"SM","SW","Great Horned Owl","RE","Strigiformes","Bubo virginianus","GHOW","IN" 
7040,"IN","GG","Gray Catbird","NE","Passeriformes","Dumetella carolinensis","GRCA","IN" 
1960,"FI","SS","Great Egret","RE","Ciconiiformes","Casmerodius albus","GREG","IN" 
2010,"FI","SS","Green-backed Heron","RE","Ciconiiformes","Butorides striatus","GRHE","IN" 
4840,"OM","GG","Gray Jay","RE","Passeriformes","Perisoreus canadensis","GRJA","IN" 
2540,"FI","PR","Greater Yellowlegs","RE","Charadriiformes","Tringa melanoleuca","GRYL","IN" 
1390,"SE","GG","Green-winged Teal","RE","Anseriformes","Anas crecca","GWTE","IN" 
3930,"IN","BG","Hairy Woodpecker","RE","Piciformes","Picoides villosus","HAWO","IN" 
510,"OM","GG","Herring Gull","RE","Charadriiformes","Larus argentatus","HEGU","TO" 
7590,"IN","GG","Hermit Thrush","RE","Passeriformes","Catharus guttatus","HETH","IN" 
5190,"SE","GG","House Finch","RE","Passeriformes","Carpodacus mexicanus","HOFI","TO" 
1310,"FI","SD","Hooded Merganser","RE","Anseriformes","Lophodytes cucullatus","HOME","IN" 
6882,"SE","GG","House Sparrow","RE","Passeriformes","Passer domesticus","HOSP","TO" 
6840,"IN","FG","Hooded Warbler","NE","Passeriformes","Wilsonia citrina","HOWA","IN" 
7210,"IN","GG","House Wren","NE","Passeriformes","Troglodytes aedon","HOWR","IN" 
5980,"IN","FG","Indigo Bunting","NE","Passeriformes","Passerina cyanea","INBU","IN" 
2730,"IN","GG","Killdeer","RE","Charadriiformes","Charadrius vociferus","KILL","IN" 
580,"AI","GG","Laughing Gull","RE","Charadriiformes","Larus atricilla","LAGU","TO" 
2000,"FI","SS","Little Blue Heron","RE","Ciconiiformes","Egretta caerulea","LBHE","IN" 
1910,"FI","SS","Least Bittern","RE","Ciconiiformes","Ixobrychus exilis","LEBI","IN" 
4670,"IN","HG","Least Flycatcher","NE","Passeriformes","Empidonax minimus","LEFL","IN" 
5830,"IN","GG","Lincoln's Sparrow","NE","Passeriformes","Melospiza lincolnii","LISP","IN" 
6760,"AI","GG","Louisiana Waterthrush","NE","Passeriformes","Seiurus motacilla","LOWA","IN" 
1320,"SE","DA","Mallard","RE","Anseriformes","Anas platyrhynchos","MADU","TO" 
6570,"IN","HG","Magnolia Warbler","NE","Passeriformes","Dendroica magnolia","MAWA","IN" 
7250,"IN","GG","Marsh Wren","RE","Passeriformes","Cistothorus palustris","MAWR","IN" 
