Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	204
Date	2004JUL22
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	14.49984	[UTC]
Stop_time	14.78262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.54189	[p_s^-1]
ForeOptic_temperature	27.94	[ns]
Front_temperature	27.94	[ns]
Back_temperature	23.06	[ns]
Inside_temperature	22.61	[ns]
Shelter_temperature	17.47	[ns]
PSUnit_temperature	21.26	[ns]
AirCond_temperature	19.66	[ns]
Outside_temperature	24.55	[ns]
Comments	none
Formatted_file	2004204f05.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
303.822	3.04209	0.0022	0.0000
303.922	4.16038	0.0019	0.0000
304.022	3.63531	0.0020	0.0000
304.122	3.25731	0.0021	0.0000
304.222	3.12773	0.0022	0.0000
304.322	5.16550	0.0017	0.0000
304.422	5.41488	0.0016	0.0000
304.522	6.03153	0.0016	0.0000
304.622	6.40867	0.0015	0.0000
304.722	3.20446	0.0021	0.0000
304.822	4.68781	0.0018	0.0000
304.922	8.00550	0.0014	0.0000
305.022	7.22224	0.0014	0.0000
305.122	8.85790	0.0013	0.0000
305.222	12.11029	0.0011	0.0000
305.322	9.23151	0.0013	0.0000
305.422	7.08136	0.0014	0.0000
305.522	8.95617	0.0013	0.0000
305.622	9.41541	0.0012	0.0000
305.722	4.72697	0.0018	0.0000
305.822	4.96761	0.0017	0.0000
305.922	4.99243	0.0017	0.0000
306.022	8.84613	0.0013	0.0000
306.122	11.44740	0.0011	0.0000
306.222	10.94216	0.0012	0.0000
306.322	9.77195	0.0012	0.0000
306.422	7.87660	0.0014	0.0000
306.522	11.34686	0.0011	0.0000
306.622	8.71906	0.0013	0.0000
306.721	7.26131	0.0014	0.0000
306.822	11.22188	0.0011	0.0000
306.922	15.30137	0.0010	0.0000
307.021	15.85629	0.0010	0.0000
307.121	16.92945	0.0009	0.0000
307.221	14.00092	0.0010	0.0000
307.321	18.62379	0.0009	0.0000
307.421	18.80897	0.0009	0.0000
307.521	12.87834	0.0011	0.0000
307.621	19.66248	0.0009	0.0000
307.721	21.04726	0.0008	0.0000
307.821	15.39689	0.0010	0.0000
307.921	21.81456	0.0008	0.0000
308.021	20.86079	0.0008	0.0000
308.121	16.61523	0.0009	0.0000
