Begin Header
	version	6.0.0
	Date	Sat Oct 02 01:22:16 EDT 2004
	Image File	C:\My Documents\Results\LBL samples\2004_09_28_E28_Salt strtess\E28_Qiang_4_Cy3_12935517.tif
	Page	0
	Page Name	
	Inverted	false
	Begin Field Dimensions
		Field	Metarows	Metacols	Rows	Cols
		A	8	4	16	18
	End Field Dimensions
	Begin Measurement parameters
		Segmentation Method	auto
		Signal Low	0.0
		Signal High	0.0
		Background Low	0.0
		Background High	0.0
		Background Buffer	3.0
		Background Width	3.0
	End Measurement parameters
	Begin Alerts
		Control Type	Minimum threshold	If tested	Percentage allowed	If failed	Maximum threshold	If tested	Percentage allowed	If failed	CV threshold	If tested	If failed
	End Alerts
	Begin Quality Flags
		Begin Flagging Settings
			Empty Spots	true	Threshold:	2.0
			Poor Spots	true
			Begin Poor Spots Parameters
				Background contamination flag	true	Threshold:	0.9995
				Background tested against subgrid data only	true
				Signal contamination flag	false	Threshold:	0.9995
				Signal contamination test connected to background contamination threshold	false
				Ignored percentage flag	true	Threshold:	25.0
				Open perimeter flag	true	Threshold:	25.0
				Shape regularity flag	true	Threshold:	0.6
				Area To Perimeter Ratio flag	false	Threshold:	0.65
				Offset flag	true	Threshold:	60.0
			End Poor Spots Parameters
			Negative Spots	true
		End Flagging Settings
		Begin Flagged spots
			# of Empty Spots: 2141
			# of Poor Spots: 95
			# of Negative Spots: 0
			# of Manually Flagged Spots: 0
		End Flagged spots
		
	End Quality Flags
End Header
Begin Raw Data
	Field	Meta Row	Meta Column	Row	Column	Gene ID	Flag	Signal Mean	Background Mean	Signal Median	Background Median	Signal Mode	Background Mode	Signal Area	Background Area	Signal Total	Background Total	Signal Stdev	Background Stdev	Shape Regularity	Ignored Area	Spot Area	Ignored Median	Area To Perimeter	Open Perimeter	XCoord	YCoord	Diameter	Position offset	Offset X	Offset Y	Expected X	Expected Y	CM-X	CM-Y	CM Offset	CM Offset-X	CM Offset-Y	Min Diam	Max Diam	Control	Failed Control	Background contamination present	Signal contamination present	Ignored % failed	Open perimeter failed	Shape regularity failed	Perim-to-area failed	Offset failed	Empty spot	Negative spot	Selected spot	Saturated spot
	A	1	1	1	11	ORF00847	0	8558.1582	1054.8146	8935.0	902.0	8954.8066	843.7788	95.0	367.0	813025.0	387117.0	2178.8574	718.534	0.8407	0.0	95.0	0.0	1.0	0.0	397.5	162.5	11.0	0.4745	0.4257	0.2096	397.0742	162.2903	397.7789	162.2842	0.7047	0.7046	-0.0061	10.6996	11.4157		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	12	ORF00812	0	6861.5815	1067.0612	6760.0	904.5	6935.7729	701.9302	98.0	408.0	672435.0	435361.0	2585.0744	604.6213	0.8521	0.0	98.0	0.0	1.0	0.0	418.5	161.5	11.0	0.265	-0.1419	-0.2237	418.6419	161.7237	418.4183	161.3469	0.4381	-0.2236	-0.3768	10.6434	11.9079		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	13	ORF00205	0	9121.0449	1052.3291	8332.0	878.0	8383.5419	894.1629	89.0	395.0	811773.0	415670.0	3547.8112	833.6569	0.7739	0.0	89.0	0.0	1.0	0.0	440.0	161.0	10.0	0.7509	0.7286	-0.1818	439.2713	161.1818	439.4382	160.6404	0.5664	0.1668	-0.5413	10.3592	11.0752		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	14	ORF00161	0	6888.9682	941.6298	6264.5	831.0	6086.121	617.3507	94.0	389.0	647563.0	366294.0	2860.685	464.4267	0.8173	0.0	94.0	0.0	1.0	0.0	460.5	160.5	11.0	0.3217	0.2935	-0.1318	460.2064	160.6318	460.617	160.6702	0.4123	0.4105	0.0383	10.7944	11.2692		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	15	ORF00285	0	5147.5058	887.1129	4900.0	788.0	4932.3476	530.4556	87.0	354.0	447833.0	314038.0	1763.2663	438.4754	0.7565	0.0	87.0	0.0	0.9457	0.0	481.5	160.5	11.0	0.6814	0.5418	0.4133	480.9581	160.0866	481.5517	160.3218	0.6384	0.5935	0.2351	10.2773	10.9894		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	16	ORF00243	0	4753.1611	938.0459	4503.0	901.0	4689.2729	783.6795	93.0	348.0	442044.0	326440.0	1988.5942	446.4844	0.8378	0.0	93.0	0.0	1.0	0.0	502.5	159.5	11.0	0.544	0.5429	-0.0349	501.957	159.5349	502.7419	158.9354	0.9876	0.7848	-0.5995	10.5085	11.4425		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	17	ORF00202	0	7601.2871	912.1851	7152.0	836.0	7273.0	667.3759	94.0	389.0	714521.0	354840.0	2910.6477	484.7074	0.8318	0.0	94.0	0.0	1.0	0.0	523.5	158.5	11.0	0.5009	0.1639	-0.4733	523.336	158.9733	523.8404	158.7234	0.5629	0.5043	-0.2499	10.8034	11.2637		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	18	ORF00158	0	7279.2387	936.6489	6921.0	825.0	6863.9584	645.2124	88.0	396.0	640573.0	370913.0	2677.7978	450.8811	0.7787	0.0	88.0	0.0	1.0	0.0	544.0	158.0	10.0	0.4707	-0.2021	-0.4251	544.2021	158.4251	544.0454	157.8977	0.5502	-0.1566	-0.5274	9.6891	11.7258		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	1	ORF01594	0	5593.7919	939.7451	5049.0	814.0	5130.9614	708.095	101.0	361.0	564973.0	339248.0	2615.1616	555.991	0.8938	0.0	101.0	0.0	0.9793	0.0	187.5	189.5	11.0	0.5033	-0.342	0.3693	187.842	189.1306	187.1683	189.2079	0.6781	-0.6737	0.0772	10.9015	11.9497		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	2	ORF01558	0	6242.7788	996.7861	6242.0	884.5	6751.0454	831.1069	95.0	346.0	593064.0	344888.0	3037.7343	699.0288	0.8558	0.0	95.0	0.0	1.0	0.0	208.5	188.5	11.0	1.0338	-1.032	-0.0608	209.532	188.5608	208.9684	187.6526	1.0688	-0.5635	-0.9082	10.3131	11.8712		0	0	0	0	0	0	0	0	0	0	0	0
