                        ,        YTD         , ,        YTD         , ,        YTD         , ,       August       , ,        July        , ,        June        , ,        May         , ,       April        , ,       March        , ,      February      , ,      January       , ,       Total        , ,      December      , ,      November      , ,      October       , ,     September      , ,       August       , ,        July        , ,        June        , ,        May         , ,       April        , ,       March        , ,      February      , ,      January       , 
Maryland                                ,0,NA,13764,  ,14475,  ,0,NA,2757,  ,1732,  ,1021,  ,765,  ,729,  ,1152,  ,850,  ,16789,  ,768,  ,657,  ,758,  ,842,  ,2974,  ,5168,  ,2050,  ,1019,  ,623,  ,729,  ,604,  ,597,  
Massachusetts                           ,0,NA,119408,  ,108892,  ,0,NA,20862,  ,15740,  ,13922,  ,16368,  ,12812,  ,9200,  ,10295,  ,171452,  ,9700,  ,10771,  ,16308,  ,15266,  ,18746,  ,22714,  ,17057,  ,15665,  ,12166,  ,12601,  ,10567,  ,9892,  
Michigan                                ,0,NA,82276,  ,97074,  ,0,NA,12188,  ,12543,  ,10029,  ,8041,  ,8061,  ,11678,  ,7956,  ,111392,  ,6853,  ,7855,  ,8286,  ,6122,  ,16428,  ,19780,  ,8609,  ,8405,  ,8660,  ,7256,  ,5922,  ,7214,  
Minnesota                               ,0,NA,13596,  ,18025,  ,0,NA,4775,  ,3430,  ,2143,  ,2680,  ,2345,  ,3799,  ,2134,  ,23005,  ,2531,  ,2489,  ,3325,  ,1064,  ,2940,  ,5331,  ,1815,  ,982,  ,355,  ,772,  ,627,  ,775,  
Mississippi                             ,0,NA,100748,  ,97460,  ,0,NA,19249,  ,17445,  ,15797,  ,11455,  ,9702,  ,13583,  ,8838,  ,138300,  ,7883,  ,6367,  ,11017,  ,12286,  ,25390,  ,22179,  ,18614,  ,10878,  ,9672,  ,6867,  ,4980,  ,2168,  
Missouri                                ,0,NA,26371,  ,24628,  ,0,NA,5755,  ,3962,  ,3132,  ,1410,  ,862,  ,2430,  ,1643,  ,31702,  ,1060,  ,1189,  ,1747,  ,1336,  ,7671,  ,7622,  ,3593,  ,2809,  ,1872,  ,1659,  ,978,  ,166,  
Montana                                 ,0,NA,147,  ,153,  ,0,NA,73,  ,61,  ,48,  ,13,  ,11,  ,10,  ,5,  ,211,  ,14,  ,15,  ,21,  ,13,  ,35,  ,40,  ,22,  ,13,  ,9,  ,15,  ,8,  ,5,  
Nebraska                                ,0,NA,6471,  ,6076,  ,0,NA,2173,  ,907,  ,949,  ,387,  ,485,  ,876,  ,1135,  ,8203,  ,458,  ,381,  ,582,  ,311,  ,1592,  ,2613,  ,775,  ,528,  ,380,  ,326,  ,168,  ,88,  
Nevada                                  ,0,NA,90147,  ,96582,  ,0,NA,18729,  ,15362,  ,14855,  ,11846,  ,12118,  ,10047,  ,10675,  ,131092,  ,11213,  ,8415,  ,9424,  ,11894,  ,14505,  ,15333,  ,13833,  ,8937,  ,7980,  ,10643,  ,9831,  ,9085,  
New Hampshire                           ,0,NA,25901,  ,33475,  ,0,NA,4795,  ,3259,  ,2409,  ,2984,  ,1761,  ,1727,  ,3644,  ,41339,  ,3985,  ,2245,  ,4758,  ,4450,  ,4265,  ,3077,  ,1614,  ,1105,  ,2310,  ,4874,  ,3994,  ,4661,  
New Jersey                              ,0,NA,99012,  ,88977,  ,0,NA,19818,  ,15407,  ,11049,  ,10908,  ,10777,  ,7134,  ,9172,  ,137298,  ,8838,  ,8273,  ,9723,  ,11453,  ,20700,  ,21946,  ,14119,  ,11172,  ,8046,  ,7968,  ,7099,  ,7962,  
New Mexico                              ,0,NA,29190,  ,28616,  ,0,NA,6508,  ,5325,  ,4191,  ,3641,  ,3564,  ,3786,  ,3943,  ,46322,  ,4250,  ,4573,  ,5018,  ,3292,  ,5104,  ,5589,  ,4332,  ,3554,  ,2965,  ,2795,  ,2399,  ,2452,  
New York                                ,0,NA,270069,  ,222387,  ,0,NA,46666,  ,39236,  ,31230,  ,28269,  ,31064,  ,23087,  ,24244,  ,387566,  ,23604,  ,24295,  ,34391,  ,35206,  ,50840,  ,57478,  ,39219,  ,31676,  ,26138,  ,29252,  ,18350,  ,17116,  
North Carolina                          ,0,NA,24522,  ,21613,  ,0,NA,4789,  ,4186,  ,1749,  ,2679,  ,861,  ,1833,  ,1195,  ,28371,  ,873,  ,852,  ,924,  ,1201,  ,9210,  ,7728,  ,2788,  ,1514,  ,1062,  ,1641,  ,300,  ,280,  
North Dakota                            ,0,NA,0,  ,1,  ,0,NA,23,  ,20,  ,12,  ,0,--,0,--,0,--,0,--,1,  ,0,  ,0,  ,0,  ,0,  ,0,  ,0,  ,0,  ,0,  ,0,  ,0,  ,0,  ,0,  
Ohio                                    ,0,NA,16554,  ,23056,  ,0,NA,3904,  ,3219,  ,2995,  ,1788,  ,1086,  ,2093,  ,1664,  ,23099,  ,1045,  ,1912,  ,2239,  ,1349,  ,5265,  ,6221,  ,1935,  ,1246,  ,472,  ,522,  ,431,  ,462,  
Oklahoma                                ,0,NA,202857,  ,167337,  ,0,NA,31062,  ,25044,  ,22317,  ,21908,  ,15709,  ,18436,  ,20445,  ,275743,  ,17572,  ,14266,  ,20896,  ,20152,  ,39555,  ,34630,  ,27271,  ,27647,  ,24969,  ,17753,  ,18467,  ,12565,  
Oregon                                  ,0,NA,38356,  ,53718,  ,0,NA,8063,  ,6108,  ,3059,  ,4173,  ,3221,  ,8141,  ,8596,  ,74809,  ,9677,  ,7198,  ,10069,  ,9509,  ,9590,  ,9677,  ,2665,  ,684,  ,568,  ,6279,  ,5399,  ,3494,  
Pennsylvania                            ,0,NA,82970,  ,56235,  ,0,NA,20193,  ,13609,  ,9868,  ,8724,  ,8337,  ,5198,  ,4874,  ,104252,  ,4209,  ,3279,  ,6077,  ,7717,  ,18962,  ,22743,  ,12375,  ,7143,  ,5769,  ,8938,  ,4932,  ,2108,  
Rhode Island                            ,0,NA,27413,  ,30088,  ,0,NA,5790,  ,3392,  ,3497,  ,3176,  ,2759,  ,4005,  ,3711,  ,43009,  ,2866,  ,2971,  ,5413,  ,4346,  ,4427,  ,5667,  ,3935,  ,3538,  ,1837,  ,2372,  ,2491,  ,3145,  
South Carolina                          ,0,NA,37874,  ,37632,  ,0,NA,6529,  ,4846,  ,2421,  ,1975,  ,889,  ,4845,  ,3718,  ,50170,  ,1894,  ,3689,  ,3645,  ,3067,  ,11907,  ,10652,  ,5657,  ,2593,  ,2330,  ,2058,  ,1851,  ,827,  
South Dakota                            ,0,NA,2662,  ,2949,  ,0,NA,1068,  ,630,  ,290,  ,180,  ,101,  ,188,  ,132,  ,3277,  ,240,  ,111,  ,124,  ,140,  ,758,  ,1245,  ,447,  ,120,  ,15,  ,41,  ,27,  ,9,  
Tennessee                               ,0,NA,5908,  ,4695,  ,0,NA,398,  ,114,  ,249,  ,99,  ,68,  ,362,  ,292,  ,6691,  ,416,  ,104,  ,99,  ,164,  ,1839,  ,2341,  ,629,  ,216,  ,563,  ,167,  ,111,  ,42,  
Texas                                   ,0,NA,1041679,  ,999766,  ,0,NA,149937,  ,139794,  ,118364,  ,108963,  ,110961,  ,95306,  ,113371,  ,1469078,  ,94646,  ,86903,  ,115105,  ,130746,  ,193590,  ,175624,  ,158053,  ,135026,  ,115836,  ,97464,  ,86890,  ,79196,  
Utah                                    ,0,NA,14646,  ,8619,  ,0,NA,4367,  ,4380,  ,4099,  ,3020,  ,2347,  ,2356,  ,2737,  ,27412,  ,3627,  ,3004,  ,2759,  ,3376,  ,3420,  ,3859,  ,2436,  ,903,  ,1053,  ,1002,  ,730,  ,1242,  
Vermont                                 ,0,NA,15,  ,21,  ,0,NA,4,  ,3,  ,2,  ,3,  ,1,  ,0,  ,2,  ,31,  ,5,  ,4,  ,2,  ,4,  ,2,  ,3,  ,3,  ,2,  ,2,  ,2,  ,0,  ,1,  
Virginia                                ,0,NA,51211,  ,50921,  ,0,NA,13105,  ,7933,  ,3837,  ,3748,  ,4749,  ,5051,  ,4366,  ,60319,  ,2174,  ,2252,  ,2630,  ,2052,  ,16098,  ,16761,  ,7878,  ,2191,  ,1439,  ,2765,  ,3326,  ,753,  
Washington                              ,0,NA,33507,  ,43150,  ,0,NA,7196,  ,2543,  ,1958,  ,1712,  ,1724,  ,4121,  ,5124,  ,66132,  ,6269,  ,5251,  ,10718,  ,10386,  ,10879,  ,8397,  ,2712,  ,1590,  ,1396,  ,1856,  ,3880,  ,2796,  
West Virginia                           ,0,NA,2690,  ,1611,  ,0,NA,354,  ,260,  ,186,  ,236,  ,194,  ,282,  ,182,  ,3626,  ,141,  ,345,  ,298,  ,153,  ,753,  ,915,  ,249,  ,261,  ,120,  ,138,  ,121,  ,132,  
Wisconsin                               ,0,NA,32489,  ,43064,  ,0,NA,6060,  ,4978,  ,3632,  ,4079,  ,4676,  ,6289,  ,4355,  ,47321,  ,2297,  ,4105,  ,5086,  ,3343,  ,6813,  ,8945,  ,3785,  ,3291,  ,1911,  ,3433,  ,2620,  ,1692,  
Wyoming                                 ,0,NA,359,  ,399,  ,0,NA,95,  ,84,  ,59,  ,58,  ,40,  ,39,  ,45,  ,555,  ,56,  ,47,  ,47,  ,46,  ,72,  ,89,  ,53,  ,37,  ,29,  ,33,  ,22,  ,24,  
Total                                  ,4564468,E ,4352175,  ,4077333,  ,883810,E ,765450,R ,632934,  ,513473,  ,461832,  ,420780,  ,439713,  ,446477,  ,6246529,  ,413496,  ,399213,  ,530130,  ,551515,  ,844075,  ,870289,  ,631519,  ,508133,  ,425321,  ,409906,  ,347218,  ,315714,  
