23  1001
Margitan, J. J., Sen, B.
Jet Propulsion Laboratory (JPL)
Ozone  (Balloon UV in situ Photometer)
BOS
1 1
2003 09 16    2003 10 13
0
Elapsed time in UT seconds from 0 hours on the given flight date
2
1.0 1.0
 9999.99 99.999
Pressure (mb)
Ozone Mixing Ratio (ppm)
  1

  6
****** Preliminary Data ******
Data from the Dual Beam, in situ UV Photometer flown aboard the OMS 
in situ gondola from Ft. Sumner NM  34.5N, 255.8E.
Pressure and Ozone retrieved from on-board data.
Estimated ozone accuracy is 5%.
 UTsec   P(mb)  O3(ppm)
 56902  731.36   0.056
 56903  730.80   0.056
 56904  730.24   0.056
 56905  729.67   0.056
 56906  729.11   0.055
 56907  728.55   0.055
 56908  727.97   0.055
 56909  727.45   0.056
 56910  726.90   0.055
 56911  726.36   0.056
 56912  725.82   0.056
 56913  725.28   0.057
 56914  724.75   0.056
 56915  724.20   0.057
 56916  723.66   0.057
 56917  723.12   0.056
 56918  722.58   0.056
 56919  722.00   0.056
 56920  721.41   0.056
 56921  720.83   0.056
 56922  720.24   0.055
 56923  719.66   0.055
 56924  719.07   0.057
 56925  718.48   0.057
 56926  717.90   0.056
 56927  717.31   0.056
 56928  716.72   0.055
 56929  716.21   0.056
 56930  715.70   0.055
 56931  715.19   0.055
 56932  714.68   0.055
 56933  714.17   0.055
 56934  713.66   0.056
 56935  713.15   0.055
 56936  712.64   0.054
 56937  712.13   0.056
 56938  711.60   0.056
 56939  711.02   0.057
 56940  710.43   0.057
 56941  709.84   0.057
 56942  709.24   0.058
 56943  708.65   0.057
 56944  708.06   0.058
 56945  707.46   0.057
 56946  706.87   0.057
 56947  706.28   0.057
 56948  705.69   0.057
 56949  705.21   0.054
 56950  704.72   0.057
 56951  704.25   0.057
 56952  703.77   0.056
 56953  703.29   0.056
 56954  702.80   0.056
 56955  702.33   0.056
 56956  701.85   0.056
 56957  701.36   0.056
 56958  700.89   0.056
 56959  700.33   0.056
 56960  699.77   0.056
 56961  699.21   0.055
 56962  698.66   0.055
 56963  698.10   0.056
 56964  697.54   0.056
 56965  696.99   0.056
 56966  696.43   0.056
 56967  695.87   0.056
 56968  695.30   0.056
 56969  694.91   0.059
 56970  694.51   0.057
 56971  694.10   0.057
 56972  693.70   0.057
 56973  693.29   0.057
 56974  692.89   0.056
 56975  692.49   0.056
 56976  692.08   0.058
 56977  691.68   0.056
 56978  691.28   0.056
 56979  690.72  99.999
 56980  690.17  99.999
 56981  689.62  99.999
 56982  689.06  99.999
 56983  688.51  99.999
 56984  687.96  99.999
 56985  687.40  99.999
 56986  686.85  99.999
 56987  686.30  99.999
 56988  685.73  99.999
 56989  685.29  99.999
 56990  684.83  99.999
 56991  684.37  99.999
 56992  683.91  99.999
 56993  683.45  99.999
 56994  683.00  99.999
 56995  682.54  99.999
 56996  682.08  99.999
 56997  681.62  99.999
 56998  681.16   0.056
 56999  680.66   0.055
 57000  680.15   0.056
 57001  679.65   0.056
 57002  679.14   0.056
 57003  678.64   0.057
 57004  678.13   0.056
 57005  677.62   0.056
 57006  677.12   0.057
 57007  676.61   0.056
 57008  676.09   0.056
 57009  675.60   0.055
 57010  675.10   0.056
 57011  674.60   0.055
 57012  674.10   0.055
 57013  673.59   0.056
 57014  673.09   0.056
 57015  672.59   0.058
 57016  672.09   0.057
 57017  671.59   0.056
 57018  671.08   0.056
 57019  670.58   0.054
 57020  670.08   0.055
 57021  669.58   0.055
 57022  669.08   0.055
 57023  668.57   0.054
 57024  668.07   0.055
 57025  667.57   0.055
 57026  667.07   0.055
 57027  666.57   0.056
 57028  666.05   0.056
 57029  665.57   0.056
 57030  665.08   0.056
 57031  664.59   0.056
 57032  664.10   0.056
 57033  663.60   0.056
 57034  663.11   0.056
 57035  662.62   0.055
 57036  662.13   0.055
 57037  661.64   0.056
 57038  661.15   0.056
 57039  660.64   0.056
 57040  660.13   0.056
 57041  659.62   0.056
 57042  659.12   0.056
 57043  658.61   0.056
 57044  658.10   0.056
 57045  657.60   0.056
 57046  657.09   0.056
 57047  656.58   0.056
 57048  656.07   0.056
 57049  655.59   0.055
 57050  655.10   0.055
 57051  654.62   0.056
 57052  654.14   0.055
 57053  653.65   0.055
 57054  653.16   0.056
 57055  652.68   0.056
 57056  652.20   0.055
 57057  651.71   0.056
 57058  651.22   0.055
 57059  650.74   0.056
 57060  650.25   0.056
 57061  649.77   0.056
 57062  649.28   0.056
 57063  648.80   0.056
 57064  648.31   0.056
 57065  647.82   0.056
 57066  647.34   0.056
 57067  646.85   0.056
 57068  646.35   0.056
 57069  645.92   0.055
 57070  645.47   0.055
 57071  645.02   0.055
 57072  644.57   0.054
 57073  644.12   0.055
 57074  643.67   0.055
 57075  643.22   0.056
 57076  642.77   0.056
 57077  642.32   0.056
 57078  641.88   0.056
 57079  641.36   0.055
 57080  640.85   0.055
 57081  640.34   0.056
 57082  639.83   0.055
 57083  639.32   0.056
 57084  638.81   0.056
 57085  638.30   0.055
 57086  637.79   0.056
 57087  637.28   0.055
 57088  636.76   0.055
 57089  636.28   0.056
 57090  635.79   0.055
 57091  635.31   0.055
 57092  634.82   0.055
 57093  634.34   0.054
 57094  633.85   0.055
 57095  633.37   0.054
 57096  632.88   0.055
 57097  632.40   0.055
 57098  631.90   0.056
 57099  631.44   0.055
 57100  630.97   0.055
 57101  630.50   0.055
 57102  630.03   0.054
 57103  629.55   0.055
 57104  629.08   0.054
 57105  628.61   0.056
 57106  628.14   0.054
 57107  627.67   0.055
 57108  627.20   0.054
 57109  626.70   0.055
 57110  626.21   0.055
 57111  625.72   0.055
 57112  625.22   0.055
 57113  624.73   0.055
 57114  624.24   0.054
 57115  623.74   0.056
 57116  623.25   0.056
 57117  622.76   0.055
 57118  622.27   0.054
 57119  621.84   0.054
 57120  621.42   0.055
 57121  621.00   0.055
 57122  620.57   0.055
 57123  620.15   0.055
 57124  619.73   0.055
 57125  619.30   0.054
 57126  618.88   0.056
 57127  618.46   0.056
 57128  618.03   0.057
 57129  617.62   0.056
 57130  617.21   0.055
 57131  616.80   0.056
 57132  616.39   0.054
 57133  615.98   0.055
 57134  615.57   0.056
 57135  615.16   0.056
 57136  614.75   0.055
 57137  614.34   0.054
 57138  613.92   0.054
 57139  613.43   0.055
 57140  612.93   0.055
 57141  612.43   0.056
 57142  611.93   0.056
 57143  611.43   0.055
 57144  610.93   0.056
 57145  610.43   0.055
 57146  609.93   0.054
 57147  609.43   0.054
 57148  608.94   0.054
 57149  608.56   0.055
 57150  608.18   0.055
 57151  607.80   0.055
 57152  607.42   0.056
 57153  607.05   0.055
 57154  606.67   0.055
 57155  606.29   0.055
 57156  605.91   0.054
 57157  605.53   0.054
 57158  605.15   0.054
 57159  604.73   0.055
 57160  604.30   0.054
 57161  603.86   0.056
 57162  603.44   0.055
 57163  603.01   0.056
 57164  602.58   0.055
 57165  602.15   0.055
 57166  601.71   0.056
 57167  601.28   0.055
 57168  600.84   0.055
 57169  600.43   0.056
 57170  600.00   0.054
 57171  599.58   0.055
 57172  599.15   0.054
 57173  598.72   0.053
 57174  598.30   0.054
 57175  597.87   0.052
 57176  597.45   0.052
 57177  597.02   0.055
 57178  596.59   0.056
 57179  596.19   0.057
