23  1001
Margitan, J. J., Sen, B.
Jet Propulsion Laboratory (JPL)
Ozone  (Balloon UV in situ Photometer)
BOS
1 1
2003 09 16    2003 10 13
0
Elapsed time in UT seconds from 0 hours on the given flight date
2
1.0 1.0
 9999.99 99.999
Pressure (mb)
Ozone Mixing Ratio (ppm)
  1

  6
****** Preliminary Data ******
Data from the Dual Beam, in situ UV Photometer flown aboard the OMS 
in situ gondola from Ft. Sumner NM  34.5N, 255.8E.
Pressure and Ozone retrieved from on-board data.
Estimated ozone accuracy is 5%.
 UTsec   P(mb)  O3(ppm)
 59356   93.17   0.510
 59357   93.10   0.520
 59358   93.02   0.521
 59359   92.96   0.528
 59360   92.89   0.523
 59361   92.82   0.523
 59362   92.74   0.525
 59363   92.67   0.526
 59364   92.60   0.525
 59365   92.53   0.524
 59366   92.46   0.515
 59367   92.39   0.518
 59368   92.31   0.513
 59369   92.25   0.505
 59370   92.18   0.525
 59371   92.11   0.533
 59372   92.04   0.538
 59373   91.97   0.528
 59374   91.90   0.535
 59375   91.83   0.543
 59376   91.76   0.544
 59377   91.69   0.548
 59378   91.62   0.550
 59379   91.55   0.447
 59380   91.49   0.512
 59381   91.42   0.473
 59382   91.35   0.469
 59383   91.29   0.477
 59384   91.22   0.481
 59385   91.16   0.487
 59386   91.09   0.489
 59387   91.02   0.487
 59388   90.95   0.488
 59389   90.89   0.490
 59390   90.83   0.494
 59391   90.76   0.496
 59392   90.70   0.500
 59393   90.63   0.497
 59394   90.57   0.496
 59395   90.50   0.495
 59396   90.44   0.491
 59397   90.37   0.497
 59398   90.30   0.496
 59399   90.24   0.502
 59400   90.17   0.496
 59401   90.10   0.491
 59402   90.03   0.494
 59403   89.96   0.495
 59404   89.88   0.492
 59405   89.81   0.493
 59406   89.74   0.482
 59407   89.67   0.495
 59408   89.59   0.492
 59409   89.53   0.493
 59410   89.46   0.491
 59411   89.40   0.482
 59412   89.33   0.488
 59413   89.26   0.484
 59414   89.19   0.494
 59415   89.12   0.495
 59416   89.05   0.506
 59417   88.98   0.497
 59418   88.91   0.501
 59419   88.85   0.499
 59420   88.78   0.499
 59421   88.71   0.506
 59422   88.64   0.500
 59423   88.57   0.512
 59424   88.51   0.500
 59425   88.44   0.504
 59426   88.37   0.515
 59427   88.30   0.502
 59428   88.23   0.505
 59429   88.16   0.507
 59430   88.09   0.507
 59431   88.02   0.496
 59432   87.95   0.506
 59433   87.87   0.519
 59434   87.80   0.512
 59435   87.73   0.522
 59436   87.66   0.512
 59437   87.59   0.522
 59438   87.51   0.519
 59439   87.45   0.514
 59440   87.37   0.521
 59441   87.30   0.522
 59442   87.23   0.524
 59443   87.16   0.523
 59444   87.09   0.523
 59445   87.02   0.524
 59446   86.95   0.529
 59447   86.88   0.513
 59448   86.80   0.511
 59449   86.73   0.515
 59450   86.66   0.519
 59451   86.59   0.525
 59452   86.52   0.528
 59453   86.45   0.532
 59454   86.38   0.536
 59455   86.31   0.549
 59456   86.24   0.543
 59457   86.17   0.542
 59458   86.09   0.537
 59459   86.03   0.518
 59460   85.96   0.526
 59461   85.90   0.530
 59462   85.83   0.517
 59463   85.76   0.516
 59464   85.69   0.523
 59465   85.63   0.526
 59466   85.56   0.532
 59467   85.49   0.530
 59468   85.43   0.533
 59469   85.36   0.522
 59470   85.29   0.540
 59471   85.23   0.535
 59472   85.16   0.544
 59473   85.09   0.549
 59474   85.03   0.549
 59475   84.96   0.558
 59476   84.89   0.544
 59477   84.83   0.552
 59478   84.76   0.546
 59479   84.69   0.535
 59480   84.62   0.537
 59481   84.55   0.530
 59482   84.47   0.528
 59483   84.40   0.525
 59484   84.33   0.524
 59485   84.26   0.473
 59486   84.19   0.533
 59487   84.11   0.526
 59488   84.04   0.564
 59489   83.98   0.586
 59490   83.91   0.574
 59491   83.84   0.594
 59492   83.78   0.588
 59493   83.71   0.588
 59494   83.64   0.584
 59495   83.58   0.578
 59496   83.51   0.574
 59497   83.44   0.576
 59498   83.37   0.573
 59499   83.32   0.571
 59500   83.26   0.574
 59501   83.20   0.566
 59502   83.14   0.573
 59503   83.08   0.574
 59504   83.02   0.583
 59505   82.96   0.584
 59506   82.90   0.580
 59507   82.84   0.575
 59508   82.77   0.572
 59509   82.72   0.558
 59510   82.66   0.573
 59511   82.61   0.574
 59512   82.55   0.574
 59513   82.49   0.577
 59514   82.43   0.577
 59515   82.37   0.578
 59516   82.31   0.575
 59517   82.25   0.581
 59518   82.19   0.581
 59519   82.14   0.628
 59520   82.08   0.604
 59521   82.02   0.628
 59522   81.96   0.630
 59523   81.90   0.628
 59524   81.84   0.631
 59525   81.78   0.629
 59526   81.72   0.619
 59527   81.66   0.636
 59528   81.59   0.635
 59529   81.55   0.636
 59530   81.50   0.636
 59531   81.45   0.633
 59532   81.40   0.635
 59533   81.35   0.640
 59534   81.30   0.649
 59535   81.25   0.655
 59536   81.20   0.648
 59537   81.14   0.656
 59538   81.08   0.654
 59539   81.04   0.644
 59540   80.98   0.646
 59541   80.92   0.688
 59542   80.86   0.651
 59543   80.80   0.657
 59544   80.74   0.658
 59545   80.68   0.661
 59546   80.62   0.663
 59547   80.56   0.649
 59548   80.50   0.645
 59549   80.46   0.703
 59550   80.42   0.646
 59551   80.38   0.659
 59552   80.33   0.650
 59553   80.29   0.654
 59554   80.25   0.644
 59555   80.21   0.648
 59556   80.16   0.661
 59557   80.12   0.674
 59558   80.08   0.687
 59559   80.03   0.662
 59560   79.99   0.683
 59561   79.95   0.675
 59562   79.90   0.676
 59563   79.86   0.658
 59564   79.81   0.672
 59565   79.77   0.651
 59566   79.73   0.675
 59567   79.68   0.670
 59568   79.63   0.684
 59569   79.60   0.693
 59570   79.56   0.689
 59571   79.52   0.705
 59572   79.48   0.699
 59573   79.44   0.688
 59574   79.40   0.701
 59575   79.36   0.698
 59576   79.33   0.706
 59577   79.29   0.705
 59578   79.25   0.710
 59579   79.21   0.693
 59580   79.17   0.705
 59581   79.12   0.700
 59582   79.08   0.700
 59583   79.04   0.695
 59584   79.00   0.665
 59585   78.96   0.695
 59586   78.92   0.701
 59587   78.88   0.716
 59588   78.83   0.725
 59589   78.80   0.691
 59590   78.75   0.710
 59591   78.71   0.708
 59592   78.67   0.697
 59593   78.62   0.693
 59594   78.58   0.704
 59595   78.54   0.699
 59596   78.50   0.706
 59597   78.45   0.712
 59598   78.41   0.718
 59599   78.37   0.727
 59600   78.34   0.722
 59601   78.31   0.724
 59602   78.27   0.727
 59603   78.24   0.736
 59604   78.20   0.734
 59605   78.17   0.733
 59606   78.14   0.732
 59607   78.10   0.732
 59608   78.06   0.730
 59609   78.02   0.721
 59610   77.97   0.743
 59611   77.93   0.743
 59612   77.88   0.754
 59613   77.84   0.744
 59614   77.79   0.751
 59615   77.74   0.738
 59616   77.70   0.741
 59617   77.65   0.745
 59618   77.61   0.748
 59619   77.56   0.732
 59620   77.51   0.753
 59621   77.47   0.749
 59622   77.42   0.757
 59623   77.37   0.750
 59624   77.33   0.744
 59625   77.28   0.756
 59626   77.23   0.754
 59627   77.19   0.760
 59628   77.13   0.761
 59629   77.09   0.746
 59630   77.04   0.751
 59631   76.98   0.758
 59632   76.93   0.744
 59633   76.88   0.751
 59634   76.83   0.749
 59635   76.78   0.762
 59636   76.73   0.757
 59637   76.68   0.752
 59638   76.62   0.746
 59639   76.56   0.751
 59640   76.50   0.753
 59641   76.44   0.748
 59642   76.37   0.757
 59643   76.31   0.761
 59644   76.25   0.760
 59645   76.19   0.753
 59646   76.12   0.753
 59647   76.06   0.757
 59648   76.00   0.759
 59649   75.93   0.776
 59650   75.87  99.999
 59651   75.81  99.999
 59652   75.75  99.999
 59653   75.68  99.999
 59654   75.62  99.999
 59655   75.56  99.999
 59656   75.50  99.999
 59657   75.44  99.999
 59658   75.37  99.999
 59659   75.31  99.999
 59660   75.26  99.999
 59661   75.20  99.999
 59662   75.14  99.999
 59663   75.08  99.999
 59664   75.02  99.999
 59665   74.97  99.999
 59666   74.91  99.999
 59667   74.85   0.740
 59668   74.79   0.765
 59669   74.73   0.755
 59670   74.67   0.761
 59671   74.61   0.755
 59672   74.54   0.755
 59673   74.48   0.756
 59674   74.42   0.760
 59675   74.36   0.763
 59676   74.30   0.760
 59677   74.23   0.763
 59678   74.16   0.762
 59679   74.12   0.756
 59680   74.06   0.769
 59681   74.01   0.768
 59682   73.95   0.775
 59683   73.90   0.771
 59684   73.84   0.784
 59685   73.79   0.777
 59686   73.73   0.770
 59687   73.68   0.793
 59688   73.62   0.796
 59689   73.56   0.757
 59690   73.51   0.784
 59691   73.45   0.773
 59692   73.39   0.771
 59693   73.34   0.775
 59694   73.28   0.775
 59695   73.22   0.787
 59696   73.17   0.799
 59697   73.11   0.803
 59698   73.05   0.812
 59699   73.00   0.796
 59700   72.94   0.812
 59701   72.89   0.816
 59702   72.84   0.813
 59703   72.78   0.824
 59704   72.73   0.827
 59705   72.68   0.829
 59706   72.62   0.828
 59707   72.57   0.826
 59708   72.51   0.824
 59709   72.46   0.803
 59710   72.41   0.814
 59711   72.35   0.822
 59712   72.30   0.807
 59713   72.24   0.811
 59714   72.19   0.816
 59715   72.13   0.813
 59716   72.08   0.820
 59717   72.02   0.827
 59718   71.97   0.835
 59719   71.92   0.812
 59720   71.86   0.827
 59721   71.81   0.818
 59722   71.76   0.818
 59723   71.71   0.830
 59724   71.65   0.811
 59725   71.60   0.833
 59726   71.55   0.838
 59727   71.49   0.826
 59728   71.44   0.825
 59729   71.38   0.797
 59730   71.33   0.819
 59731   71.27   0.817
 59732   71.21   0.813
 59733   71.15   0.815
 59734   71.09   0.828
 59735   71.03   0.841
 59736   70.97   0.818
 59737   70.92   0.829
 59738   70.86   0.819
 59739   70.81   0.818
 59740   70.75   0.825
 59741   70.70   0.841
 59742   70.65   0.836
 59743   70.60   0.850
 59744   70.55   0.848
 59745   70.50   0.890
 59746   70.45   0.837
 59747   70.39   0.847
 59748   70.33   0.815
 59749   70.29   0.793
 59750   70.23   0.812
 59751   70.17   0.819
 59752   70.12   0.811
 59753   70.06   0.815
 59754   70.00   0.819
 59755   69.95   0.807
 59756   69.89   0.826
 59757   69.84   0.826
 59758   69.77   0.839
 59759   69.72   0.832
 59760   69.65   0.831
 59761   69.59   0.835
 59762   69.53   0.825
 59763   69.47   0.829
 59764   69.40   0.816
 59765   69.34   0.833
 59766   69.28   0.826
 59767   69.21   0.838
 59768   69.15   0.837
 59769   69.09   0.839
 59770   69.04   0.843
 59771   68.98   0.841
 59772   68.92   0.847
 59773   68.87   0.843
 59774   68.81   0.842
 59775   68.75   0.847
 59776   68.70   0.838
 59777   68.64   0.844
 59778   68.58   0.840
 59779   68.52   0.845
 59780   68.47   0.849
 59781   68.41   0.859
 59782   68.35   0.859
 59783   68.30   0.878
 59784   68.24   0.875
 59785   68.18   0.882
 59786   68.13   0.886
 59787   68.07   0.875
 59788   68.01   0.875
 59789   67.96   0.875
 59790   67.90   0.890
 59791   67.84   0.911
 59792   67.78   0.909
 59793   67.73   0.911
 59794   67.67   0.914
 59795   67.61   0.905
 59796   67.55   0.918
 59797   67.49   0.911
 59798   67.44   0.917
 59799   67.38   0.890
 59800   67.32   0.923
 59801   67.26   0.915
 59802   67.19   0.926
 59803   67.13   0.930
 59804   67.07   0.924
 59805   67.01   0.944
 59806   66.95   0.919
 59807   66.89   0.934
 59808   66.83   0.923
 59809   66.78   0.917
 59810   66.73   0.936
 59811   66.68   0.937
 59812   66.63   0.949
 59813   66.58   0.938
 59814   66.53   0.934
 59815   66.48   0.989
 59816   66.43   0.976
 59817   66.38   0.967
 59818   66.33   0.955
 59819   66.27   0.957
 59820   66.22   0.966
 59821   66.17   0.958
 59822   66.12   0.973
 59823   66.07   0.975
 59824   66.01   0.961
 59825   65.96   0.974
 59826   65.91   0.969
 59827   65.86   0.980
 59828   65.80   0.981
 59829   65.75   1.008
 59830   65.69   1.036
 59831   65.64   1.062
 59832   65.58   1.090
 59833   65.53   1.122
 59834   65.47   1.161
 59835   65.42   1.174
 59836   65.36  99.999
 59837   65.31  99.999
 59838   65.25  99.999
 59839   65.20  99.999
 59840   65.14  99.999
 59841   65.09  99.999
 59842   65.04  99.999
 59843   64.99  99.999
 59844   64.93  99.999
 59845   64.88   1.012
 59846   64.83   1.035
 59847   64.77   1.047
 59848   64.72   1.066
 59849   64.67   1.051
 59850   64.63   1.058
 59851   64.58   1.058
 59852   64.53   1.052
 59853   64.49   1.053
 59854   64.44   1.059
 59855   64.39   1.062
 59856   64.35   1.050
 59857   64.30   1.074
 59858   64.25   1.073
 59859   64.20   1.069
 59860   64.15   1.076
 59861   64.11   1.073
 59862   64.06   1.077
 59863   64.01   1.064
 59864   63.96   1.078
 59865   63.91   1.077
 59866   63.86   1.082
 59867   63.81   1.061
 59868   63.75   1.057
 59869   63.71   1.071
 59870   63.66   1.070
 59871   63.61   1.091
 59872   63.55   1.087
 59873   63.50   1.094
 59874   63.45   1.102
 59875   63.40   1.089
 59876   63.35   1.102
 59877   63.30   1.091
 59878   63.24   1.095
 59879   63.19   1.066
 59880   63.14   1.090
 59881   63.08   1.095
 59882   63.03   1.088
 59883   62.97   1.091
 59884   62.92   1.096
 59885   62.87   1.087
 59886   62.81   1.098
 59887   62.76   1.107
 59888   62.70   1.118
 59889   62.65   1.123
 59890   62.61   1.138
 59891   62.56   1.127
 59892   62.51   1.152
 59893   62.46   1.124
 59894   62.41   1.123
 59895   62.36   1.112
 59896   62.32   1.133
 59897   62.27   1.124
 59898   62.22   1.135
 59899   62.17   1.122
 59900   62.12   1.131
 59901   62.07   1.137
 59902   62.02   1.129
 59903   61.97   1.128
 59904   61.92   1.141
 59905   61.87   1.132
 59906   61.82   1.127
 59907   61.78   1.126
 59908   61.72   1.122
 59909   61.68   1.152
 59910   61.63   1.163
 59911   61.58   1.160
 59912   61.53   1.197
 59913   61.49   1.196
 59914   61.44   1.218
 59915   61.39   1.190
 59916   61.34   1.184
 59917   61.29   1.179
 59918   61.24   1.174
 59919   61.20   1.188
 59920   61.15   1.191
 59921   61.10   1.190
 59922   61.05   1.206
 59923   61.00   1.203
 59924   60.95   1.196
 59925   60.90   1.188
 59926   60.86   1.202
 59927   60.81   1.191
 59928   60.75   1.196
 59929   60.71   1.209
 59930   60.65   1.211
 59931   60.60   1.226
 59932   60.55   1.228
 59933   60.50   1.225
 59934   60.44   1.232
 59935   60.39   1.244
 59936   60.34   1.222
 59937   60.29   1.242
 59938   60.22   1.234
 59939   60.18   1.213
 59940   60.13   1.232
 59941   60.08   1.233
 59942   60.03   1.231
 59943   59.98   1.243
 59944   59.93   1.247
 59945   59.88   1.252
 59946   59.83   1.250
 59947   59.78   1.249
 59948   59.72   1.247
 59949   59.68   1.252
 59950   59.63   1.242
 59951   59.58   1.250
 59952   59.52   1.240
 59953   59.47   1.249
 59954   59.42   1.267
 59955   59.37   1.276
 59956   59.32   1.277
 59957   59.27   1.259
 59958   59.22   1.253
 59959   59.17   1.231
 59960   59.12   1.243
 59961   59.07   1.237
 59962   59.02   1.232
 59963   58.96   1.252
 59964   58.91   1.240
 59965   58.86   1.256
 59966   58.81   1.257
 59967   58.76   1.249
 59968   58.70   1.247
 59969   58.65   1.278
 59970   58.60   1.270
 59971   58.55   1.288
 59972   58.50   1.295
 59973   58.45   1.290
 59974   58.40   1.272
 59975   58.34   1.275
 59976   58.29   1.302
 59977   58.24   1.274
 59978   58.18   1.283
 59979   58.15   1.309
 59980   58.10   1.301
 59981   58.06   1.318
 59982   58.01   1.321
 59983   57.97   1.310
 59984   57.93   1.326
 59985   57.88   1.335
 59986   57.84   1.331
 59987   57.79   1.323
 59988   57.75   1.317
 59989   57.70   1.298
 59990   57.65   1.312
 59991   57.60   1.303
 59992   57.55   1.306
 59993   57.50   1.307
 59994   57.45   1.310
 59995   57.40   1.324
 59996   57.35   1.318
 59997   57.30   1.339
 59998   57.25   1.342
 59999   57.21   1.399
 60000   57.17  99.999
 60001   57.12  99.999
 60002   57.08  99.999
 60003   57.04  99.999
 60004   56.99  99.999
 60005   56.95  99.999
 60006   56.90  99.999
 60007   56.86  99.999
 60008   56.81  99.999
 60009   56.77  99.999
 60010   56.73  99.999
 60011   56.69  99.999
 60012   56.64  99.999
 60013   56.60  99.999
 60014   56.55  99.999
 60015   56.51  99.999
 60016   56.47  99.999
 60017   56.42  99.999
 60018   56.38   1.380
 60019   56.33   1.361
 60020   56.28   1.392
 60021   56.24   1.407
 60022   56.19   1.407
 60023   56.14   1.417
 60024   56.09   1.405
 60025   56.05   1.414
 60026   56.00   1.438
 60027   55.95   1.442
 60028   55.90   1.460
 60029   55.86   1.438
 60030   55.81   1.435
 60031   55.77   1.545
 60032   55.73   1.446
 60033   55.68   1.429
 60034   55.64   1.429
 60035   55.59   1.428
 60036   55.55   1.441
 60037   55.50   1.461
 60038   55.45   1.477
 60039   55.41   1.488
 60040   55.37   1.490
 60041   55.33   1.488
 60042   55.28   1.501
 60043   55.24   1.512
 60044   55.19   1.487
 60045   55.15   1.499
 60046   55.11   1.491
 60047   55.06   1.518
 60048   55.02   1.523
 60049   54.98   1.504
 60050   54.94   1.528
 60051   54.89   1.540
 60052   54.85   1.536
 60053   54.81   1.541
 60054   54.77   1.578
 60055   54.72   1.570
 60056   54.68   1.568
 60057   54.64   1.560
 60058   54.59   1.556
 60059   54.56   1.549
 60060   54.52   1.563
 60061   54.48   1.569
 60062   54.44   1.570
 60063   54.40   1.587
 60064   54.36   1.582
 60065   54.32   1.590
 60066   54.28   1.580
 60067   54.24   1.591
 60068   54.20   1.587
 60069   54.16   1.611
 60070   54.13   1.618
 60071   54.09   1.635
 60072   54.05   1.649
 60073   54.01   1.636
 60074   53.97   1.630
 60075   53.94   1.646
 60076   53.90   1.640
 60077   53.86   1.633
 60078   53.81   1.627
 60079   53.79   1.636
 60080   53.75   1.633
 60081   53.72   1.634
 60082   53.68   1.637
 60083   53.65   1.641
 60084   53.62   1.661
 60085   53.58   1.646
 60086   53.55   1.660
 60087   53.52   1.654
 60088   53.47   1.663
 60089   53.44   1.630
 60090   53.39   1.658
 60091   53.35   1.663
 60092   53.30   1.656
 60093   53.26   1.647
 60094   53.22   1.641
 60095   53.17   1.643
 60096   53.13   1.676
 60097   53.08   1.657
 60098   53.04   1.673
 60099   53.00   1.666
 60100   52.96   1.690
 60101   52.92   1.683
 60102   52.88   1.702
 60103   52.84   1.708
 60104   52.80   1.710
 60105   52.76   1.713
 60106   52.71   1.699
 60107   52.67   1.704
 60108   52.63   1.696
 60109   52.59   1.726
 60110   52.54   1.716
 60111   52.50   1.738
 60112   52.45   1.740
 60113   52.41   1.732
 60114   52.36   1.739
 60115   52.32   1.742
 60116   52.27   1.742
 60117   52.23   1.744
 60118   52.18   1.745
 60119   52.14   1.729
 60120   52.10   1.733
 60121   52.05   1.715
 60122   52.01   1.716
 60123   51.97   1.727
 60124   51.92   1.726
 60125   51.88   1.713
 60126   51.84   1.729
 60127   51.80   1.749
 60128   51.75   1.766
 60129   51.71   1.785
 60130   51.67   1.783
 60131   51.63   1.794
 60132   51.58   1.801
 60133   51.54   1.797
 60134   51.50   1.809
 60135   51.45   1.805
 60136   51.41   1.799
 60137   51.37   1.817
 60138   51.31   1.818
 60139   51.28   1.818
 60140   51.23   1.824
 60141   51.19   1.838
 60142   51.14   1.834
 60143   51.09   1.829
 60144   51.05   1.820
 60145   51.00   1.825
 60146   50.95   1.836
 60147   50.91   1.831
 60148   50.86   1.836
 60149   50.82   1.830
 60150   50.78   1.845
 60151   50.74   1.850
 60152   50.70   1.854
 60153   50.66   1.852
 60154   50.61   1.854
 60155   50.57   1.872
 60156   50.53   1.851
 60157   50.49   1.848
 60158   50.45   1.833
 60159   50.40   1.802
 60160   50.36   1.857
 60161   50.31   1.852
 60162   50.26   1.876
 60163   50.21   1.878
 60164   50.17   1.879
 60165   50.12   1.866
 60166   50.07   1.875
 60167   50.03   1.882
 60168   49.97   1.890
 60169   49.94   1.876
 60170   49.89   1.884
 60171   49.85   1.889
 60172   49.81   1.880
 60173   49.77   1.888
 60174   49.73   1.888
 60175   49.68   1.876
 60176   49.64   1.889
 60177   49.60   1.898
 60178   49.56   1.909
 60179   49.52   1.902
 60180   49.47   1.919
 60181   49.43   1.929
 60182   49.39   1.931
 60183   49.35   1.935
 60184   49.31   1.930
 60185   49.26   1.921
 60186   49.22   1.934
 60187   49.18   1.944
 60188   49.13   1.955
 60189   49.10   2.009
 60190   49.06   1.972
 60191   49.02   1.960
 60192   48.98   1.982
 60193   48.94   1.981
 60194   48.90   2.004
 60195   48.86   1.990
 60196   48.82   1.989
 60197   48.78   1.975
 60198   48.74   1.970
 60199   48.71   2.002
 60200   48.67   1.986
 60201   48.64   2.007
 60202   48.60   2.006
 60203   48.57   1.998
 60204   48.53   2.003
 60205   48.50   2.031
 60206   48.46   2.030
 60207   48.43   2.034
 60208   48.38   2.036
 60209   48.35   2.009
 60210   48.32   2.055
 60211   48.28   2.082
 60212   48.24   2.080
 60213   48.20   2.075
 60214   48.17   2.091
 60215   48.13   2.078
 60216   48.09   2.102
 60217   48.05   2.030
 60218   48.02   2.021
 60219   47.98   2.005
 60220   47.94   2.035
 60221   47.90   2.039
 60222   47.86   2.048
 60223   47.82   2.037
 60224   47.78   2.062
 60225   47.74   2.060
 60226   47.70   2.046
 60227   47.66   2.054
 60228   47.61   2.046
 60229   47.58   2.059
 60230   47.54   2.074
 60231   47.50   2.079
 60232   47.46   2.099
 60233   47.42   2.095
 60234   47.38   2.081
 60235   47.34   2.085
 60236   47.30   2.086
 60237   47.26   2.085
 60238   47.22   2.085
 60239   47.18   2.103
 60240   47.15   2.116
 60241   47.11   2.105
 60242   47.08   2.138
 60243   47.04   2.121
 60244   47.01   2.130
 60245   46.97   2.143
 60246   46.94   2.137
 60247   46.90   2.137
 60248   46.86   2.133
 60249   46.83   2.139
 60250   46.79   2.162
 60251   46.75   2.172
 60252   46.70   2.190
 60253   46.66   2.156
 60254   46.62   2.153
 60255   46.58   2.170
 60256   46.54   2.164
 60257   46.50   2.162
 60258   46.45   2.158
 60259   46.41   2.102
 60260   46.37   2.113
 60261   46.33   2.089
 60262   46.29   2.068
 60263   46.25   2.053
 60264   46.21   2.043
 60265   46.17  99.999
 60266   46.12   1.998
 60267   46.08   1.988
 60268   46.04   2.430
 60269   46.00   2.360
 60270   45.97   2.383
 60271   45.93   2.359
 60272   45.89   2.335
 60273   45.86   2.338
 60274   45.82   2.292
 60275   45.78   2.281
 60276   45.74   2.259
 60277   45.71   2.259
 60278   45.66   2.244
 60279   45.63   2.202
 60280   45.59   2.220
 60281   45.55   2.219
 60282   45.51   2.199
 60283   45.47   2.218
 60284   45.43   2.245
 60285   45.39   2.252
 60286   45.34   2.282
 60287   45.30   2.277
 60288   45.25   2.295
 60289   45.22   2.191
 60290   45.19   2.296
 60291   45.15   2.305
 60292   45.11   2.299
 60293   45.07   2.299
 60294   45.03   2.311
 60295   44.99   2.347
 60296   44.95   2.320
 60297   44.91   2.333
 60298   44.86   2.319
 60299   44.83   2.307
 60300   44.80   2.311
 60301   44.76   2.323
 60302   44.72   2.305
 60303   44.69   2.289
 60304   44.65   2.226
 60305   44.61   2.318
 60306   44.58   2.332
 60307   44.54   2.325
 60308   44.50   2.332
 60309   44.46   2.331
 60310   44.42   2.352
 60311   44.38   2.339
 60312   44.34   2.365
 60313   44.30   2.338
 60314   44.26   2.334
 60315   44.22   2.321
 60316   44.17   2.327
 60317   44.13   2.329
 60318   44.09   2.334
 60319   44.06   2.316
 60320   44.03   2.335
 60321   44.00   2.326
 60322   43.96   2.333
 60323   43.93   2.361
 60324   43.90   2.352
 60325   43.87   2.360
 60326   43.84   2.388
 60327   43.81   2.401
 60328   43.77   2.424
 60329   43.74   2.390
 60330   43.70   2.411
 60331   43.66   2.401
 60332   43.63   2.397
 60333   43.59   2.401
 60334   43.55   2.423
 60335   43.51   2.442
 60336   43.48   2.446
 60337   43.44   2.448
 60338   43.40   2.451
 60339   43.36   2.469
 60340   43.33   2.470
 60341   43.29   2.500
 60342   43.25   2.496
 60343   43.22   2.474
 60344   43.18   2.487
 60345   43.15   2.457
 60346   43.11   2.464
 60347   43.07   2.469
 60348   43.04   2.475
 60349   43.01   2.496
 60350   42.97   2.520
 60351   42.94   2.529
 60352   42.91   2.561
 60353   42.88   2.576
 60354   42.85   2.529
 60355   42.82   2.502
 60356   42.79   2.500
 60357   42.76   2.532
 60358   42.72   2.540
 60359   42.69   2.507
 60360   42.66   2.508
 60361   42.62   2.505
 60362   42.59   2.479
 60363   42.55   2.466
 60364   42.52   2.479
 60365   42.48  99.999
 60366   42.44   2.436
 60367   42.41   2.422
 60368   42.36   2.851
 60369   42.34   2.755
 60370   42.30   2.775
 60371   42.27   2.771
 60372   42.23   2.708
 60373   42.20   2.705
 60374   42.16   2.677
 60375   42.13   2.691
 60376   42.09   2.657
 60377   42.06   2.645
 60378   42.02   2.618
 60379   41.99   2.645
 60380   41.95   2.640
 60381   41.92   2.640
 60382   41.88   2.659
 60383   41.84   2.659
 60384   41.81   2.655
 60385   41.77   2.652
 60386   41.73   2.664
 60387   41.70   2.656
 60388   41.65   2.661
 60389   41.63   2.668
 60390   41.59   2.672
 60391   41.56   2.654
 60392   41.53   2.676
 60393   41.49   2.680
 60394   41.46   2.674
 60395   41.43   2.699
 60396   41.39   2.687
 60397   41.36   2.697
 60398   41.33   2.693
 60399   41.30   2.720
 60400   41.27   2.721
 60401   41.23   2.753
 60402   41.20   2.755
 60403   41.17   2.705
 60404   41.14   2.722
 60405   41.11   2.739
 60406   41.08   2.723
 60407   41.05   2.740
 60408   41.02   2.734
 60409   40.99   2.707
 60410   40.96   2.739
 60411   40.93   2.743
 60412   40.89   2.744
 60413   40.86   2.769
 60414   40.83   2.786
 60415   40.80   2.808
 60416   40.77   2.837
 60417   40.74   2.842
 60418   40.70   2.863
 60419   40.67   2.669
 60420   40.64   2.827
 60421   40.61   2.765
 60422   40.58   2.778
 60423   40.55   2.791
 60424   40.52   2.810
 60425   40.49   2.826
 60426   40.45   2.847
 60427   40.42   2.844
 60428   40.38   2.858
 60429   40.36   2.862
 60430   40.33   2.871
 60431   40.30   2.896
 60432   40.27   2.889
 60433   40.24   2.920
 60434   40.21   2.933
 60435   40.18   2.949
 60436   40.16   2.952
 60437   40.13   2.972
 60438   40.09   2.980
 60439   40.07   2.926
 60440   40.04   2.960
 60441   40.01   2.935
 60442   39.98   2.936
 60443   39.96   2.976
 60444   39.93   2.964
 60445   39.90   2.945
 60446   39.87   2.959
 60447   39.84   2.965
 60448   39.81   2.977
 60449   39.78   3.014
 60450   39.74   2.992
 60451   39.71   2.991
 60452   39.67   3.004
 60453   39.64   3.007
 60454   39.60   3.004
 60455   39.57   3.018
 60456   39.53   3.046
 60457   39.49   3.022
 60458   39.45   3.032
 60459   39.43   3.020
 60460   39.41   3.017
 60461   39.38   3.038
 60462   39.35   3.010
 60463   39.33   3.029
 60464   39.30   3.013
 60465   39.28   2.985
 60466   39.25   2.999
 60467   39.22   2.993
 60468   39.20   2.999
 60469   39.16   3.043
 60470   39.13   3.036
 60471   39.10   3.027
 60472   39.07   3.064
 60473   39.04   3.085
 60474   39.00   3.070
 60475   38.97   3.088
 60476   38.94   3.096
 60477   38.91   3.088
 60478   38.86   3.091
 60479   38.84   3.055
 60480   38.81   3.083
 60481   38.78   3.056
 60482   38.74   3.068
 60483   38.71   3.060
 60484   38.68   3.074
 60485   38.65   3.072
 60486   38.62   3.067
 60487   38.58   3.085
 60488   38.54   3.087
 60489   38.52   3.071
 60490   38.48   3.083
 60491   38.45   3.079
 60492   38.42   3.079
 60493   38.38   3.078
 60494   38.35   3.078
 60495   38.31   3.091
 60496   38.28   3.087
 60497   38.25   3.090
