state,     county,      tract,     item,acs_tal,   acs_talse,   cen_tal,   cen_talse,diff_tal,  diff_talse,  acs_sal,   acs_salse,cen_sal,   cen_salse,   diff_sal,  diff_salse,acs_ial,   acs_ialse,   cen_eal,   cen_ealse,diff_ial,  diff_ialse
18,103,000000,qincwg,13.8655,0.9028,21.0193,0.6774,-7.1538,1.1287,11.2670,0.9299,17.3221,0.6857,-6.0551,1.1554,17.9853,2.1129,40.9412,2.0561,-22.9559,2.9482
18,103,000000,qind,6.9167,0.6132,16.4993,0.6338,-9.5826,0.8819,9.4420,0.8949,14.4820,0.6574,-5.0400,1.1104,3.1849,0.9676,27.0349,1.8698,-23.8500,2.1053
18,103,000000,qlang,18.4378,4.7544,37.0370,3.9863,-18.5992,6.2044,31.6274,8.3560,35.7895,4.2193,-4.1621,9.3608,0.0000,13.5469,46.1538,11.8613,-46.1538,18.0058
18,103,000000,qlastwk,5.1097,0.6204,12.9179,0.4588,-7.8082,0.7716,7.0088,0.7974,10.8352,0.4635,-3.8264,0.9223,2.0849,1.0801,23.9808,1.4674,-21.8959,1.8220
18,103,000000,qleavetm,9.2337,0.9453,16.2508,0.7239,-7.0171,1.1906,10.2391,1.1394,13.8614,0.7397,-3.6223,1.3585,7.7451,1.6553,28.8000,2.2216,-21.0549,2.7705
18,103,000000,qlmob,4.1069,0.6130,7.9331,0.3833,-3.8262,0.7230,5.4988,0.6685,6.4371,0.3825,-0.9383,0.7702,2.0783,1.2591,15.1079,1.2236,-13.0296,1.7557
18,103,000000,qmig,2.8156,0.4253,5.9808,0.4917,-3.1652,0.6501,3.7231,0.5070,3.9296,0.4428,-0.2065,0.6732,1.5252,0.8189,15.8273,1.8234,-14.3021,1.9988
18,103,000000,qmig,2.8156,0.4253,5.9808,0.4917,-3.1652,0.6501,3.7231,0.5070,3.9296,0.4428,-0.2065,0.6732,1.5252,0.8189,15.8273,1.8234,-14.3021,1.9988
18,103,000000,qmig,2.8156,0.4253,5.9808,0.4917,-3.1652,0.6501,3.7231,0.5070,3.9296,0.4428,-0.2065,0.6732,1.5252,0.8189,15.8273,1.8234,-14.3021,1.9988
18,103,000000,qmig,2.8156,0.4253,5.9808,0.4917,-3.1652,0.6501,3.7231,0.5070,3.9296,0.4428,-0.2065,0.6732,1.5252,0.8189,15.8273,1.8234,-14.3021,1.9988
18,103,000000,qmigco,7.6382,2.1846,9.8284,0.9794,-2.1902,2.3941,12.7474,3.3383,6.0429,0.8763,6.7045,3.4514,4.0019,3.0432,25.0000,3.1880,-20.9981,4.4073
18,103,000000,qmigpl,7.8879,2.2104,9.9064,0.9829,-2.0185,2.4191,13.3479,3.4131,6.1404,0.8829,7.2075,3.5254,4.0019,3.0432,24.6094,3.1712,-20.6075,4.3952
18,103,000000,qmigst,6.0833,1.7976,9.8373,0.9764,-3.7540,2.0457,11.8602,3.2658,6.0136,0.8722,5.8466,3.3802,1.9718,2.2757,25.0000,3.1634,-23.0282,3.8969
18,103,000000,qmil,9.5351,1.4884,10.9409,0.9815,-1.4058,1.7829,12.3745,1.8406,8.6957,0.9578,3.6788,2.0749,4.4747,3.3666,24.2424,3.5457,-19.7677,4.8894
18,103,000000,qmil,9.5351,1.4884,10.9409,0.9815,-1.4058,1.7829,12.3745,1.8406,8.6957,0.9578,3.6788,2.0749,4.4747,3.3666,24.2424,3.5457,-19.7677,4.8894
18,103,000000,qmil,9.5351,1.4884,10.9409,0.9815,-1.4058,1.7829,12.3745,1.8406,8.6957,0.9578,3.6788,2.0749,4.4747,3.3666,24.2424,3.5457,-19.7677,4.8894
18,103,000000,qmilad,3.4276,0.5623,6.7704,0.3331,-3.3428,0.6536,4.1606,0.6432,4.7597,0.3076,-0.5991,0.7130,2.2721,1.1484,17.4877,1.2672,-15.2156,1.7101
18,103,000000,qmiltot,4.2200,0.9968,9.8468,0.9368,-5.6268,1.3679,4.8661,1.1322,7.1611,0.8765,-2.2950,1.4318,3.0684,3.5983,25.7576,3.6181,-22.6892,5.1028
18,103,000000,qms,0.6152,0.1694,1.3765,0.1630,-0.7613,0.2351,0.7445,0.1932,0.7070,0.1777,0.0375,0.2625,0.4304,0.3800,4.9412,0.6346,-4.5108,0.7397
18,103,000000,qocc,7.0297,0.6235,17.4079,0.6205,-10.3782,0.8796,9.6607,0.9196,15.2261,0.6432,-5.5654,1.1222,3.1415,0.9864,28.1977,1.8153,-25.0562,2.0660
18,103,000000,qpob,4.2749,0.5405,8.8754,0.4181,-4.6005,0.6833,5.3604,0.6185,6.6900,0.4043,-1.3296,0.7390,2.7231,1.0043,19.2053,1.3858,-16.4822,1.7115
18,103,000000,qpowco,4.3703,0.6197,11.5219,0.6205,-7.1516,0.8769,5.6393,0.8178,9.1043,0.6103,-3.4650,1.0204,2.4904,0.9967,24.1379,2.0739,-21.6475,2.3010
18,103,000000,qpowpl,4.5736,0.6367,11.8916,0.6291,-7.3180,0.8951,5.7705,0.8192,9.4714,0.6212,-3.7009,1.0281,2.8004,1.0628,24.1379,2.0739,-21.3375,2.3304
18,103,000000,qpowst,3.9870,0.6124,11.0906,0.6103,-7.1036,0.8646,5.3378,0.8066,8.8106,0.6014,-3.4728,1.0061,1.9860,0.9784,22.9885,2.0392,-21.0025,2.2618
18,103,000000,qrace,1.0504,0.2129,1.8792,0.2578,-0.8288,0.3344,1.4595,0.2992,1.5762,0.2837,-0.1167,0.4123,0.4655,0.3906,3.4768,0.8071,-3.0113,0.8967
18,103,000000,qrel,0.3755,0.0927,1.0408,0.1542,-0.6653,0.1799,0.5678,0.1485,0.7005,0.1697,-0.1327,0.2255,0.1006,0.3257,2.8146,0.4360,-2.7140,0.5442
18,103,000000,qrespnsbl,10.9091,4.5803,19.2308,4.7429,-8.3217,6.5935,16.8091,7.4822,13.6364,4.4896,3.1727,8.7258,1.3804,21.5263,50.0000,15.3408,-48.6196,26.4334
18,103,000000,qsense,4.4080,0.6238,7.6232,0.3763,-3.2152,0.7285,6.0066,0.6743,5.8383,0.3654,0.1683,0.7670,2.0783,1.2591,16.1871,1.2584,-14.1088,1.7801
18,103,000000,qsex,0.2629,0.1063,0.2602,0.1756,0.0027,0.2053,0.3093,0.1440,0.2802,0.1933,0.0291,0.2411,0.1965,0.2818,0.3311,0.4202,-0.1346,0.5059
18,103,000000,qspan,1.9430,0.2604,3.5849,0.3622,-1.6419,0.4461,3.1514,0.4423,3.5377,0.3961,-0.3863,0.5937,0.2152,0.2656,3.8079,0.8922,-3.5927,0.9309
18,103,000000,qspeak,3.3973,0.4706,5.9498,0.3572,-2.5525,0.5908,4.8015,0.6117,3.9671,0.3239,0.8344,0.6921,1.3509,0.8866,15.4676,1.3155,-14.1167,1.5864
18,103,000000,qwklyrhr,6.8773,0.8187,20.0529,0.6464,-13.1756,1.0431,8.3712,1.0723,17.6806,0.6740,-9.3094,1.2665,4.6927,1.2510,31.6294,1.8447,-26.9367,2.2289
18,103,000000,qwklyrwk,8.3815,0.8258,21.3757,0.6618,-12.9942,1.0583,10.4261,1.1749,19.2649,0.6968,-8.8388,1.3660,5.3917,1.2281,31.9489,1.8497,-26.5572,2.2203
18,103,000000,qyr2us,3.6137,6.1804,25.0000,5.4896,-21.3863,8.2663,7.0930,12.1485,23.0769,5.7376,-15.9839,13.4353,0.0000,20.3530,37.5000,16.8084,-37.5000,26.3964
